EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,GamesPlayed,OffPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,SecondsPlayed,Minutes,DefPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PlusMinus,PenaltyDefPoss,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,Offensive Fouls Drawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFtPoints,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,FTOffRebounds,FTDefRebounds,Travels,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,DefFTReboundPct,OffFTReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallTurnovers,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,HeaveAttempts,LostBallOutOfBoundsTurnovers,BlockingFouls,Technical Free Throw Trips,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,StepOutOfBoundsTurnovers,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,Charge Fouls Drawn,BlockingFoulsDrawn,BlockedLongMidRange,3SecondViolations,FG3APctBlocked,Corner3PctBlocked,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,team_id,year,season,team_vs
101138-101183-1718-1891-202340,1610612738,"Brandon Bass, Shavlik Randolph, Paul Pierce, Jason Terry, Avery Bradley","Bass, Randolph, Pierce, Terry, Bradley",101138-101183-1718-1891-202340,BOS,1,1.0,1.0,1.0,1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-1718-1891-201145-201584,1610612738,"Brandon Bass, Paul Pierce, Jason Terry, Jeff Green, Courtney Lee","Bass, Pierce, Terry, Green, Lee",101138-1718-1891-201145-201584,BOS,1,2.0,1.0,1.0,3,1.0,0.5,57.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,75.78947368421053,15.0,27.0,15.0,27.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.5,1.0,0.6778333333333334,0.7349,0.72195,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-1718-1891-201145-201944,1610612738,"Brandon Bass, Paul Pierce, Jason Terry, Jeff Green, Terrence Williams","Bass, Pierce, Terry, Green, Williams",101138-1718-1891-201145-201944,BOS,2,20.0,8.0,4.0,41,8.0,0.4,652.0,11.0,21.0,3.0,7.0,,1.0,,3.0,3.0,10.0,18.0,19.0,,2.0,,,5.0,3.0,4.0,,4.0,5.0,12.0,,1.0,6.0,6.0,,3.0,18.0,3.0,0.3,,,0.3333333333333333,,0.15,0.42857142857142855,,0.15,0.6666666666666666,0.4166666666666667,0.5,90.5521472392638,16.0,15.80952380952381,15.45,15.80952380952381,0.3888888888888889,0.42857142857142855,0.5,0.25,,0.3,,0.8333333333333334,0.5299611111111111,0.4939,0.501445,0.14285714285714285,0.23076923076923078,,0.16666666666666666,4.74,-1.0,10.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,1.0,1.0,3.0,2.0,8.0,6.0,2.0,1.0,5.0,2.0,3.0,3.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,6.0,7.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.25,0.2,0.25,0.4444444444444444,0.1,0.14285714285714285,0.3333333333333333,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.09090909090909091,0.3333333333333333,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.25,0.25,0.2,0.3,0.3333333333333333,0.3333333333333333,24.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-1718-1891-201145-202340,1610612738,"Brandon Bass, Paul Pierce, Jason Terry, Jeff Green, Avery Bradley","Bass, Pierce, Terry, Green, Bradley",101138-1718-1891-201145-202340,BOS,5,54.0,19.0,5.0,108,19.0,0.35185185185185186,1945.0,32.0,54.0,7.0,12.0,,,3.0,5.0,20.0,37.0,70.0,46.0,1.0,2.0,11.0,5.0,13.0,20.0,28.0,2.0,6.0,8.0,28.0,6.0,14.0,16.0,18.0,2.0,5.0,59.0,20.0,0.5405405405405406,0.5,0.38461538461538464,0.5686274509803921,0.8333333333333334,0.3611111111111111,0.5932203389830508,0.7857142857142857,0.43478260869565216,0.35294117647058826,0.28,0.2,79.95886889460155,18.38888888888889,17.62962962962963,17.444444444444443,16.925925925925927,0.23529411764705882,0.5833333333333334,0.7,,,0.2777777777777778,0.6,0.5098039215686274,0.5021049019607843,0.4209,0.5001777777777777,0.09259259259259259,0.125,0.15714285714285714,0.2857142857142857,9.97027027027027,24.0,4.0,12.0,13.0,4.0,,,4.0,10.0,1.0,1.0,5.0,6.0,14.0,12.0,1.0,1.0,5.0,12.0,15.0,3.0,10.0,4.0,2.0,6.0,5.0,11.0,3.0,4.0,27.0,1.0,8.0,11.0,20.0,1.0,7.0,2.0,5.0,,1.0,,6.0,6.0,3.0,2.0,1.0,0.3,0.3157894736842105,0.8333333333333334,0.42857142857142855,0.2,0.42857142857142855,0.27450980392156865,0.05405405405405406,0.16666666666666666,,0.7857142857142857,0.8,0.125,0.7916666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.3333333333333333,1.0,0.8571428571428571,1.0,0.043478260869565216,0.5714285714285714,0.23529411764705882,0.2549019607843137,0.0784313725490196,0.19607843137254902,0.4,0.4,0.75,,0.3333333333333333,,0.2777777777777778,0.2,0.4,24.914285714285715,6.0,7.0,2.0,1.0,1.0,6.0,7.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.5,0.5,0.16666666666666666,0.5384615384615384,0.5384615384615384,0.14285714285714285,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-1718-1891-201145-202348,1610612738,"Brandon Bass, Paul Pierce, Jason Terry, Jeff Green, Jordan Crawford","Bass, Pierce, Terry, Green, Crawford",101138-1718-1891-201145-202348,BOS,3,14.0,7.0,1.0,28,7.0,0.5,420.0,7.0,14.0,3.0,5.0,1.0,1.0,2.0,4.0,5.0,11.0,16.0,20.0,1.0,1.0,2.0,2.0,7.0,8.0,8.0,2.0,2.0,2.0,7.0,1.0,4.0,3.0,3.0,1.0,2.0,14.0,8.0,0.45454545454545453,1.0,0.2857142857142857,0.5416666666666666,1.0,0.4375,0.6153846153846154,1.0,0.5,0.3333333333333333,0.3333333333333333,0.5,96.0,16.285714285714285,13.714285714285714,16.285714285714285,12.928571428571429,0.4166666666666667,0.6,0.75,1.0,1.0,0.5,0.5,0.5,0.5261333333333333,0.4934,0.5411375,0.15384615384615385,0.16666666666666666,0.125,0.5,8.918181818181818,-4.0,8.0,2.0,4.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,2.0,3.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,,1.0,4.0,5.0,,1.0,,1.0,1.0,,,2.0,3.0,1.0,2.0,,0.2,0.25,1.0,1.0,1.0,1.0,0.08333333333333333,0.18181818181818182,0.2,0.3333333333333333,0.8,1.0,,0.8333333333333334,,0.3333333333333333,,1.0,,1.0,1.0,,0.3333333333333333,0.16666666666666666,0.3333333333333333,,0.08333333333333333,1.0,1.0,1.0,,,,0.125,1.0,1.0,25.1,1.0,1.0,,,,,1.0,,,,,,,,,,,,2.0,1.0,1.0,2.0,1.0,,,,,,0.5,0.5,1.0,,0.25,0.25,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-1718-1891-201145-708,1610612738,"Brandon Bass, Paul Pierce, Jason Terry, Jeff Green, Kevin Garnett","Bass, Pierce, Terry, Green, Garnett",101138-1718-1891-201145-708,BOS,5,54.0,7.0,3.0,109,7.0,0.12962962962962962,1755.0,29.0,55.0,11.0,16.0,2.0,3.0,1.0,1.0,18.0,35.0,54.0,64.0,2.0,3.0,4.0,3.0,3.0,12.0,30.0,2.0,2.0,3.0,19.0,5.0,14.0,10.0,9.0,,4.0,50.0,12.0,0.5142857142857142,0.6666666666666666,1.0,0.5217391304347826,0.5,0.75,0.53,0.5,0.75,0.11764705882352941,0.13043478260869565,0.2,89.43589743589743,16.98148148148148,15.236363636363636,16.537037037037038,14.636363636363637,0.34782608695652173,0.6875,0.7333333333333333,0.75,0.6666666666666666,0.125,1.0,0.5869565217391305,0.5026066666666666,0.5834333333333334,0.524925,0.08,0.10256410256410256,0.07407407407407407,0.2222222222222222,9.26,-10.0,33.0,5.0,14.0,2.0,1.0,1.0,3.0,9.0,,2.0,4.0,4.0,11.0,6.0,1.0,2.0,5.0,6.0,9.0,3.0,8.0,3.0,1.0,3.0,3.0,6.0,2.0,3.0,15.0,1.0,5.0,11.0,16.0,,5.0,4.0,1.0,4.0,1.0,3.0,5.0,9.0,,1.0,2.0,0.16666666666666666,0.17647058823529413,0.75,0.36363636363636365,0.4,0.4,0.2391304347826087,0.02857142857142857,0.0625,0.4444444444444444,0.9166666666666666,0.8333333333333334,0.16666666666666666,0.8888888888888888,,0.1,0.2,,1.0,0.875,0.8333333333333334,,0.2727272727272727,0.10869565217391304,0.30434782608695654,0.043478260869565216,0.1956521739130435,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.25,,0.125,0.5,0.5,0.375,28.3,3.0,4.0,1.0,,,,,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,0.6,0.6,,0.2857142857142857,0.2857142857142857,,0.5,0.5,1.0,,,1.0,3.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-1718-1891-201944-202340,1610612738,"Brandon Bass, Paul Pierce, Jason Terry, Terrence Williams, Avery Bradley","Bass, Pierce, Terry, Williams, Bradley",101138-1718-1891-201944-202340,BOS,1,7.0,7.0,1.0,13,7.0,1.0,176.0,3.0,6.0,1.0,2.0,,1.0,1.0,2.0,1.0,4.0,5.0,10.0,,1.0,,1.0,4.0,5.0,2.0,,1.0,1.0,2.0,,,2.0,4.0,,,5.0,5.0,0.25,,0.25,0.25,,0.25,0.4166666666666667,,0.4166666666666667,0.3333333333333333,0.3333333333333333,,106.36363636363637,13.0,14.166666666666666,12.571428571428571,14.166666666666666,0.5,0.5,0.5,1.0,,0.5,0.5,0.5,0.506,0.5432,0.506,,,,1.0,5.3,-5.0,6.0,2.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,2.0,2.0,,,,,,,,,,,,0.5,,1.0,,1.0,0.5,,,,,,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-1718-1891-201944-708,1610612738,"Brandon Bass, Paul Pierce, Jason Terry, Terrence Williams, Kevin Garnett","Bass, Pierce, Terry, Williams, Garnett",101138-1718-1891-201944-708,BOS,2,10.0,2.0,2.0,21,2.0,0.2,363.0,6.0,11.0,,2.0,,1.0,,,,6.0,4.0,6.0,,1.0,1.0,,1.0,,,,2.0,2.0,7.0,1.0,3.0,2.0,2.0,,1.0,3.0,,,,,0.125,,,0.15384615384615385,0.25,,0.3333333333333333,0.2,0.5,83.30578512396694,20.2,14.636363636363637,20.0,13.272727272727273,0.16666666666666666,,,1.0,,,,0.6666666666666666,0.49153181818181824,0.6464,0.467775,0.07692307692307693,0.14285714285714285,0.25,,12.683333333333332,-2.0,4.0,,4.0,,,,1.0,6.0,,,2.0,1.0,6.0,1.0,,,2.0,,3.0,,5.0,1.0,,,1.0,1.0,1.0,,3.0,,2.0,3.0,5.0,1.0,2.0,2.0,,,,,,,,,1.0,,,1.0,0.16666666666666666,,0.2,0.5,,,,0.75,0.6666666666666666,,0.7142857142857143,,0.25,,0.5,,1.0,1.0,0.1,,,0.3333333333333333,,0.5,0.16666666666666666,0.16666666666666666,1.0,,,,0.6666666666666666,,0.2,27.483333333333334,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,0.5,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-1718-1891-202340-202348,1610612738,"Brandon Bass, Paul Pierce, Jason Terry, Avery Bradley, Jordan Crawford","Bass, Pierce, Terry, Bradley, Crawford",101138-1718-1891-202340-202348,BOS,1,1.0,1.0,1.0,3,1.0,1.0,40.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,2.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,108.0,6.0,17.0,5.0,17.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5983,0.6072,0.5983,,,1.0,1.0,1.6,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,0.5,0.5,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-1718-1891-202340-708,1610612738,"Brandon Bass, Paul Pierce, Jason Terry, Avery Bradley, Kevin Garnett","Bass, Pierce, Terry, Bradley, Garnett",101138-1718-1891-202340-708,BOS,1,4.0,,1.0,7,,,106.0,2.0,3.0,1.0,1.0,,,,,1.0,2.0,2.0,5.0,,,,,,,,,,,1.0,,,,,,,2.0,,0.5,,,0.5,,,0.5,,,,,,95.09433962264151,12.25,19.0,12.0,18.333333333333332,0.5,1.0,1.0,,,,,0.5,0.54135,,,,,,,11.6,-3.0,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,1.0,,1.0,,1.0,2.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,0.5,,0.5,,,,,,,1.0,,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
