EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Rebounds,Fouls,Loose Ball Fouls,FoulsDrawn,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,AtRimAssists,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChancePointsPct,ShortMidRangeFGA,Corner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted2s,Fg2aBlocked,DefThreePtRebounds,DefRebounds,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,BlockingFouls,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,Corner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,DefTwoPtRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,BlockedShortMidRange,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyArc3FGA,FtPoints,PenaltyFG3A,PenaltyFtPoints,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,ShortMidRangePctBlocked,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyArc3FGM,PenaltyFG3M,LostBallSteals,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyArc3Accuracy,OffThreePtRebounds,FTDefRebounds,SelfOReb,BadPassTurnovers,SecondChanceTurnovers,Charge Fouls Drawn,Loose Ball Fouls Drawn,Technical Free Throw Trips,DefFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,ShortMidRangeFGM,Corner3FGM,Corner3Assists,ShortMidRangeAssists,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceFtPoints,PtsPutbacks,Offensive Fouls,PtsUnassisted3s,FTOffRebounds,LostBallOutOfBoundsTurnovers,Travels,OffFTReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Charge Fouls,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,HeaveAttempts,BlockedCorner3,PenaltyCorner3FGM,PenaltyCorner3FGA,DefensiveGoaltends,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Fg3aBlocked,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1740-201596-2034-2544-2547,1610612748,"Rashard Lewis, Mario Chalmers, Mike Miller, LeBron James, Chris Bosh","Lewis, Chalmers, Miller, James, Bosh",1740-201596-2034-2544-2547,MIA,129.0,1,2.0,-1.0,3.0,3.0,3.0,1.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,6.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.625,0.625,0.5,1.0,0.5,1.0,66.97674418604652,23.333333333333332,19.666666666666668,21.666666666666668,19.666666666666668,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.4477,0.5079,17.65,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,True
1740-202708-2034-2544-2547,1610612748,"Rashard Lewis, Norris Cole, Mike Miller, LeBron James, Chris Bosh","Lewis, Cole, Miller, James, Bosh",1740-202708-2034-2544-2547,MIA,17.0,1,,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,1.0,1.0,,,2.0,,,2.0,,,,1.0,,1.0,,,2.0,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,169.41176470588235,4.0,13.0,,13.0,,,,,,,,,,1.0,,0.7137,0.7137,0.7,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,True
1740-202708-2203-2365-951,1610612748,"Rashard Lewis, Norris Cole, Shane Battier, Chris Andersen, Ray Allen","Lewis, Cole, Battier, Andersen, Allen",1740-202708-2203-2365-951,MIA,316.0,1,5.0,2.0,9.0,8.0,2.0,2.0,17.0,1.0,2.0,2.0,3.0,2.0,2.0,6.0,2.0,4.0,10.0,8.0,2.0,2.0,6.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,8.0,2.0,2.0,4.0,4.0,1.0,1.0,7.0,,0.5,0.5,1.0,0.5,0.5,0.3333333333333333,0.5,0.5,0.4,0.5,0.3333333333333333,,77.46835443037975,16.77777777777778,20.625,15.444444444444445,18.125,0.2,0.5,0.5,1.0,0.3,0.6666666666666666,0.6666666666666666,1.0,1.0,0.7,0.6666666666666666,0.53404,0.533625,9.5,25.3,1.0,3.0,,,,,3.0,,,0.75,0.75,0.3,0.3333333333333333,0.5,,,,,0.3,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.16666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.4,1.0,1.0,0.5,0.1,0.1,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,True
1740-202708-2544-2547-951,1610612748,"Rashard Lewis, Norris Cole, LeBron James, Chris Bosh, Ray Allen","Lewis, Cole, James, Bosh, Allen",1740-202708-2544-2547-951,MIA,43.0,1,1.0,-2.0,1.0,2.0,2.0,,3.0,,1.0,,1.0,,,1.0,,1.0,,2.0,,,,1.0,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,0.5,1.0,0.5,1.0,100.46511627906976,30.0,6.5,29.0,3.0,0.5,,,,0.5,,,,,0.5,,0.489775,,18.5,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,True
201202-201596-2034-2544-2548,1610612748,"Joel Anthony, Mario Chalmers, Mike Miller, LeBron James, Dwyane Wade","Anthony, Chalmers, Miller, James, Wade",201202-201596-2034-2544-2548,MIA,133.0,2,2.0,,6.0,4.0,3.0,,10.0,1.0,1.0,,,,3.0,3.0,,,6.0,6.0,,4.0,,,,2.0,,2.0,,1.0,4.0,,,1.0,2.0,,,6.0,,0.6666666666666666,0.6666666666666666,,,,1.0,1.0,1.0,,,,,108.27067669172932,9.5,19.0,9.5,18.25,0.3333333333333333,1.0,1.0,1.0,,,,,,0.6666666666666666,,0.5512666666666667,,7.7,,2.0,2.0,,,,,,1.0,,,,0.6666666666666666,1.0,1.0,0.5,,,,,,,,,2.0,,,1.0,,,,,2.0,2.0,,,3.0,2.0,3.0,,,,,,0.25,,,,,,,,6.0,2.0,2.0,3.0,3.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,0.25,1.0,0.3333333333333333,0.6666666666666666,1.0,0.5512666666666667,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,True
201202-201596-2203-2544-2548,1610612748,"Joel Anthony, Mario Chalmers, Shane Battier, LeBron James, Dwyane Wade","Anthony, Chalmers, Battier, James, Wade",201202-201596-2203-2544-2548,MIA,162.0,1,3.0,1.0,4.0,4.0,,1.0,8.0,,,,1.0,,1.0,4.0,,1.0,3.0,2.0,,2.0,,1.0,,1.0,,1.0,,,2.0,1.0,1.0,4.0,,,1.0,1.0,,1.0,1.0,,,,0.25,0.2,0.25,0.2,0.3333333333333333,0.25,,71.1111111111111,16.25,24.25,14.5,14.75,,,,,0.2,,,,,0.8,,0.54837,0.3397,2.6,24.9,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.6,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,,,,,1.0,2.0,3.0,,,,,,,,,,,,,0.25,,,0.5,0.6,0.5,,1.0,0.2,,,,4.0,1.0,3.0,1.0,4.0,3.0,1.0,,,,,,,3.0,4.0,0.25,0.2,0.25,1.0,1.0,,0.6,0.3333333333333333,0.54837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.2,0.16666666666666666,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,True
201202-201596-2544-2547-2548,1610612748,"Joel Anthony, Mario Chalmers, LeBron James, Chris Bosh, Dwyane Wade","Anthony, Chalmers, James, Bosh, Wade",201202-201596-2544-2547-2548,MIA,110.0,1,2.0,6.0,4.0,4.0,,,8.0,,,1.0,1.0,,2.0,2.0,1.0,1.0,9.0,3.0,,,3.0,1.0,1.0,,1.0,1.0,1.0,,3.0,,,,,,1.0,9.0,,,,1.0,1.0,1.0,1.0,1.1666666666666667,1.125,0.3333333333333333,,,,104.72727272727273,11.0,16.5,11.0,16.5,,,,,0.3333333333333333,1.0,1.0,1.0,,1.0,1.0,0.6370833333333333,,0.9,26.8,2.0,2.0,,,,,,,,,,0.6666666666666666,1.0,1.0,,,,,,,,,,4.0,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,2.0,2.0,2.0,9.0,,,,,,,,9.0,4.0,1.0,1.1666666666666667,1.125,,,,0.6666666666666666,1.0,0.6370833333333333,1.0,1.0,1.0,2.0,1.0,2.0,,2.0,,,0.3333333333333333,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,True
201202-201596-2544-2548-2617,1610612748,"Joel Anthony, Mario Chalmers, LeBron James, Dwyane Wade, Udonis Haslem","Anthony, Chalmers, James, Wade, Haslem",201202-201596-2544-2548-2617,MIA,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,True
201202-201596-2544-2548-951,1610612748,"Joel Anthony, Mario Chalmers, LeBron James, Dwyane Wade, Ray Allen","Anthony, Chalmers, James, Wade, Allen",201202-201596-2544-2548-951,MIA,127.0,1,2.0,-5.0,4.0,4.0,4.0,,8.0,,1.0,,,,,2.0,,,4.0,9.0,,,,,,,,,,,,,,,2.0,,2.0,4.0,,,,,,,,,0.5,,,,,90.70866141732283,19.25,12.5,19.25,11.75,0.5,,,,,,,,,,,0.38035,,16.05,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.5,,,,4.0,,,,2.0,4.0,,,,,,,,4.0,4.0,,,0.5,,,,,,0.38035,1.0,1.0,,4.0,,4.0,,4.0,2.0,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,True
201202-202708-2034-2544-951,1610612748,"Joel Anthony, Norris Cole, Mike Miller, LeBron James, Ray Allen","Anthony, Cole, Miller, James, Allen",201202-202708-2034-2544-951,MIA,485.0,2,8.0,,13.0,13.0,,2.0,26.0,1.0,1.0,1.0,3.0,,4.0,9.0,1.0,3.0,13.0,13.0,,4.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,7.0,1.0,2.0,8.0,3.0,,4.0,11.0,,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4583333333333333,0.4583333333333333,0.25,0.2,0.2857142857142857,,77.19587628865979,21.692307692307693,15.615384615384615,20.307692307692307,15.615384615384615,0.08333333333333333,1.0,1.0,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,,0.5833333333333334,0.3333333333333333,0.46508333333333335,0.6877,6.333333333333333,26.8,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.75,0.75,0.3333333333333333,1.0,1.0,,0.15384615384615385,4.0,,,,4.0,1.0,2.0,6.0,,,2.0,1.0,3.0,2.0,1.0,,1.0,1.0,1.0,,0.1111111111111111,,0.6666666666666666,1.0,1.0,,1.0,1.0,0.3333333333333333,,,,,,,,,,3.0,1.0,1.0,,,1.0,,,,,,,1.0,,1.0,,,,,,,2.0,,,,2.0,,0.25,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.25,0.5,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,True
