EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3A,FtPoints,Points,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGA,OffThreePtRebounds,OffRebounds,Rebounds,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,Corner3Frequency,Arc3Frequency,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,Minutes,DefPoss,PenaltyDefPoss,ShortMidRangeFGA,FG2A,OpponentPoints,Fg2aBlocked,OffTwoPtRebounds,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Offensive Fouls,Charge Fouls Drawn,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffShortMidRangeReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,Avg2ptShotDistance,AtRimFGM,AtRimFGA,ShortMidRangeFGM,LongMidRangeFGA,FG2M,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,BlockingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,AtRimAssists,DefTwoPtRebounds,Loose Ball Fouls,TwoPtShootingFoulsDrawn,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,DefTwoPtReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Corner3FGM,PtsAssisted3s,ThreePtAssists,Arc3Assists,Corner3Assists,LiveBallTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,BlockingFouls,2pt And 1 Free Throw Trips,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted3sPct,LongMidRangePctBlocked,LiveBallTurnoverPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceFG2M,LongMidRangeAssists,SecondChanceFg2Pct,SecondChanceEfgPct,AtRimPctBlocked,OffAtRimReboundPct,LongMidRangePctAssisted,SecondChanceAtRimFGM,PtsPutbacks,BadPassTurnovers,BlockedShortMidRange,SecondChanceAtRimAccuracy,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,StepOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTDefRebounds,DefFTReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SelfOReb,SelfORebPct,HeaveAttempts,Charge Fouls,FTOffRebounds,Offensive Fouls Drawn,Technical Free Throw Trips,3SecondViolations,Defensive 3 Seconds Violations,OffFTReboundPct,DefensiveGoaltends,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Arc3PctBlocked,3pt And 1 Free Throw Trips,OffensiveGoaltends,Clear Path Fouls,BlockedCorner3,team_id,year,season,team_vs
1733-201167-202696-202734-2749,1610612753,"Al Harrington, Arron Afflalo, Nikola Vucevic, E'Twaun Moore, Jameer Nelson","Harrington, Afflalo, Vucevic, Moore, Nelson",1733-201167-202696-202734-2749,ORL,14.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,102.85714285714286,14.0,12.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5199,0.5199,1.0,1.0,24.55,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2013,2012-13,True
1733-201167-202696-203090-2749,1610612753,"Al Harrington, Arron Afflalo, Nikola Vucevic, Maurice Harkless, Jameer Nelson","Harrington, Afflalo, Vucevic, Harkless, Nelson",1733-201167-202696-203090-2749,ORL,120.0,1,-3.0,3.0,,1.0,7.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,0.5,,,84.0,19.666666666666668,19.666666666666668,,,,,,,0.3683,,,,,,2.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,15.25,15.0,1.0,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2013,2012-13,True
1733-201167-202696-2749-2757,1610612753,"Al Harrington, Arron Afflalo, Nikola Vucevic, Jameer Nelson, Beno Udrih","Harrington, Afflalo, Vucevic, Nelson, Udrih",1733-201167-202696-2749-2757,ORL,187.0,1,1.0,5.0,,,11.0,,,,,,,,6.0,,,,,,,,,,1.0,1.0,,,,,,,0.75,,,,,,,,84.70588235294117,17.6,17.6,,,,,,0.5,0.5127,,,,,,3.0,6.0,,1.0,4.0,5.0,,,1.0,1.0,,,,,,,,,,16.5,16.5,0.25,7.5,2.0,2.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,0.3333333333333333,0.3333333333333333,0.75,0.75,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2013,2012-13,True
1733-201167-202699-202734-203090,1610612753,"Al Harrington, Arron Afflalo, Tobias Harris, E'Twaun Moore, Maurice Harkless","Harrington, Afflalo, Harris, Moore, Harkless",1733-201167-202699-202734-203090,ORL,34.0,1,-2.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.05882352941177,17.0,17.0,,,,,,,0.4143,,,,,,1.0,2.0,,,1.0,2.0,,,,,,1.0,1.0,,,,,,,8.5,8.5,,18.3,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2013,2012-13,True
1733-201167-202699-202734-2749,1610612753,"Al Harrington, Arron Afflalo, Tobias Harris, E'Twaun Moore, Jameer Nelson","Harrington, Afflalo, Harris, Moore, Nelson",1733-201167-202699-202734-2749,ORL,337.0,1,1.0,11.0,9.0,1.0,21.0,2.0,,1.0,3.0,2.0,5.0,3.0,10.0,,,,3.0,3.0,10.0,3.0,,1.0,6.0,3.0,,6.0,2.0,10.0,9.0,,0.4166666666666667,,0.5,0.5555555555555556,,0.16666666666666666,,,89.73293768545994,15.636363636363637,15.272727272727273,0.2222222222222222,0.3333333333333333,,0.14285714285714285,0.2857142857142857,0.7777777777777778,0.49724999999999997,0.48743571428571425,,1.0,24.96,0.8181818181818182,6.0,10.0,,,4.0,9.0,,1.0,,,,,1.0,,,,,0.5,,16.5,16.3,,10.825,1.0,2.0,,2.0,2.0,2.0,2.0,1.0,1.0,,2.0,4.0,5.0,1.0,,1.0,,,10.0,0.5,0.5,0.5,0.3888888888888889,1.0,0.625,1.0,0.2222222222222222,0.5,0.5,,,,0.2222222222222222,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.2,0.3333333333333333,0.2,0.5,0.5,0.25,1.0,0.3333333333333333,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,1.0,0.2857142857142857,0.5,0.5,0.3333333333333333,0.5295,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2013,2012-13,True
1733-201167-202699-202734-2757,1610612753,"Al Harrington, Arron Afflalo, Tobias Harris, E'Twaun Moore, Beno Udrih","Harrington, Afflalo, Harris, Moore, Udrih",1733-201167-202699-202734-2757,ORL,661.0,7,-6.0,19.0,3.0,1.0,42.0,2.0,,,2.0,1.0,4.0,1.0,21.0,,,,1.0,,,2.0,,1.0,10.0,3.0,,1.0,,,3.0,,0.65625,,,0.25,,0.16666666666666666,,,91.49773071104387,17.63157894736842,17.105263157894736,0.125,0.125,,,0.5,0.75,0.490553125,0.45425,,,24.5,0.15789473684210525,11.0,23.0,5.0,1.0,12.0,27.0,1.0,1.0,4.0,5.0,,1.0,4.0,,1.0,0.08333333333333333,,0.25,,14.173913043478262,12.869565217391305,0.0625,7.616666666666667,6.0,8.0,1.0,3.0,7.0,8.0,6.0,4.0,6.0,1.0,14.0,2.0,9.0,,,,,,21.0,0.5714285714285714,0.5714285714285714,0.5833333333333334,0.625,0.6666666666666666,0.9,1.0,0.5,0.75,0.75,1.0,1.0,1.0,0.1875,1.0,,,,1.0,,2.0,1.0,,1.0,,,1.0,3.0,7.0,,1.0,0.5,,0.5,,,1.0,0.5,1.0,0.5,,,0.5,0.5,1.0,,,,0.5,0.4788,0.0625,0.08333333333333333,1.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,0.5,0.6666666666666666,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2013,2012-13,True
1733-201167-202699-203090-203094,1610612753,"Al Harrington, Arron Afflalo, Tobias Harris, Maurice Harkless, Andrew Nicholson","Harrington, Afflalo, Harris, Harkless, Nicholson",1733-201167-202699-203090-203094,ORL,118.0,1,2.0,3.0,,2.0,5.0,,,,,,,2.0,4.0,,2.0,4.0,,,,,,2.0,2.0,1.0,,2.0,,,,,0.4,1.0,,,,0.6666666666666666,,,61.016949152542374,22.333333333333332,14.333333333333334,,,,,,0.5,0.587725,,1.0,,,,2.0,2.0,,,4.0,2.0,1.0,2.0,,,,,2.0,,,0.25,,0.6666666666666666,,25.5,21.0,,8.65,,2.0,,2.0,1.0,2.0,,1.0,1.0,,2.0,,,1.0,1.0,,,,,1.0,1.0,0.25,0.25,,,,0.5,,,,,,0.5,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,0.5,0.5,,,,,,,,0.4079,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2013,2012-13,True
1733-201167-202699-203090-2749,1610612753,"Al Harrington, Arron Afflalo, Tobias Harris, Maurice Harkless, Jameer Nelson","Harrington, Afflalo, Harris, Harkless, Nelson",1733-201167-202699-203090-2749,ORL,439.0,5,-10.0,15.0,6.0,3.0,29.0,1.0,,,4.0,2.0,5.0,3.0,17.0,,,4.0,2.0,,4.0,4.0,1.0,3.0,4.0,4.0,,4.0,,4.0,6.0,,0.53125,1.0,0.3333333333333333,0.35714285714285715,0.3333333333333333,0.375,0.3333333333333333,,95.125284738041,18.2,17.666666666666668,0.07142857142857142,0.2857142857142857,,,0.3333333333333333,0.7142857142857143,0.46106785714285714,0.4705916666666667,0.23529411764705882,0.23529411764705882,25.259999999999998,0.4,7.0,14.0,5.0,1.0,9.0,27.0,2.0,2.0,,2.0,1.0,2.0,5.0,,,0.2222222222222222,,0.4,,11.857142857142858,10.714285714285714,0.07142857142857142,8.422222222222222,2.0,5.0,1.0,3.0,4.0,2.0,6.0,1.0,3.0,1.0,8.0,,1.0,,,,,,13.0,0.25,0.3333333333333333,0.4444444444444444,0.5,,0.25,,0.35714285714285715,0.4,0.6666666666666666,1.0,1.0,1.0,0.21428571428571427,1.0,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,4.0,,,1.0,,1.0,,2.0,0.4,,0.4,0.5,0.3333333333333333,0.25,,,,0.3333333333333333,0.3333333333333333,0.25,0.25,0.5,0.5,0.6666666666666666,,0.25,0.4798,0.125,0.18181818181818182,1.0,6.0,2.0,1.0,1.0,2.0,1.0,,1.0,,,2.0,,,1.0,2.0,1.0,3.0,1.0,,1.0,0.5,,,0.5,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,0.4,0.6666666666666666,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2013,2012-13,True
1733-201167-202699-203090-2757,1610612753,"Al Harrington, Arron Afflalo, Tobias Harris, Maurice Harkless, Beno Udrih","Harrington, Afflalo, Harris, Harkless, Udrih",1733-201167-202699-203090-2757,ORL,391.0,2,2.0,13.0,2.0,1.0,25.0,1.0,,,5.0,1.0,6.0,,14.0,,,2.0,1.0,,,5.0,1.0,1.0,6.0,1.0,,2.0,,,2.0,,0.6363636363636364,1.0,,0.6,0.25,0.25,0.25,,92.07161125319693,16.46153846153846,16.46153846153846,0.1,0.5,,,1.0,0.9,0.52894,0.5658,0.14285714285714285,,25.616666666666664,0.15384615384615385,7.0,12.0,6.0,,4.0,12.0,,,1.0,3.0,,1.0,1.0,,,,,,,14.75,14.75,,5.375,3.0,3.0,,1.0,4.0,,8.0,,2.0,,6.0,2.0,5.0,1.0,,1.0,,,12.0,,,1.0,0.7,1.0,1.0,1.0,0.3,1.0,1.0,,,,0.1,1.0,,,1.0,1.0,,2.0,1.0,,,,,1.0,,3.0,,1.0,0.3333333333333333,,0.3333333333333333,,,1.0,,1.0,,1.0,1.0,0.2,0.2,1.0,,,,0.2,,0.09090909090909091,0.2,1.0,6.0,2.0,1.0,1.0,2.0,1.0,,1.0,,,,,,,,,,1.0,,0.6666666666666666,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2013,2012-13,True
1733-201167-202699-203199-2749,1610612753,"Al Harrington, Arron Afflalo, Tobias Harris, DeQuan Jones, Jameer Nelson","Harrington, Afflalo, Harris, Jones, Nelson",1733-201167-202699-203199-2749,ORL,135.0,1,-6.0,4.0,,,9.0,1.0,,,,,1.0,,2.0,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,0.3333333333333333,,,0.3333333333333333,1.0,0.5,,1.0,96.0,16.25,16.25,0.3333333333333333,,,,,0.3333333333333333,0.4505166666666667,,,,23.1,,2.0,5.0,,2.0,2.0,8.0,,,2.0,2.0,,,,,,,,,,14.0,14.0,0.6666666666666666,5.25,,,1.0,,1.0,2.0,,1.0,1.0,1.0,2.0,,1.0,,,,,,2.0,1.0,1.0,0.5,0.3333333333333333,,1.0,,,,,0.5,0.5,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2013,2012-13,True
