EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,ShortMidRangeFGM,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffRebounds,BlockedShortMidRange,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChancePointsPct,Fg2aBlocked,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,DefShortMidRangeReboundPct,LostBallTurnovers,Offensive Fouls,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,PtsPutbacks,OffTwoPtRebounds,SelfOReb,PenaltyTurnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,PtsUnassisted3s,SecondChanceTurnovers,Offensive Fouls Drawn,Blocked3s,BlockedCorner3,ShortMidRangePctBlocked,OffCorner3ReboundPct,Charge Fouls,RecoveredBlocks,BlocksRecoveredPct,SecondChanceFtPoints,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,BadPassOutOfBoundsTurnovers,SecondChanceCorner3FGA,StepOutOfBoundsTurnovers,SecondChanceCorner3Frequency,Travels,NonShootingPenaltyNonTakeFouls,Technical Free Throw Trips,BlockedArc3,Defensive 3 Seconds Violations,HeaveAttempts,Loose Ball Fouls,BlockedLongMidRange,DefensiveGoaltends,SecondChanceCorner3FGM,Charge Fouls Drawn,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,FTOffRebounds,OffFTReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,3pt And 1 Free Throw Trips,3SecondViolations,Clear Path Fouls,team_id,year,season,team_vs
1628365-1628964-1628976-1630175-1630532,1610612753,"Markelle Fultz, Mo Bamba, Wendell Carter Jr., Cole Anthony, Franz Wagner","Fultz, Bamba, Carter Jr., Anthony, Wagner",1628365-1628964-1628976-1630175-1630532,ORL,613.0,3,10.0,8.0,21.0,20.0,5.0,3.0,41.0,4.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,7.0,1.0,3.0,4.0,10.0,4.0,8.0,7.0,27.0,19.0,1.0,1.0,1.0,3.0,2.0,7.0,8.0,12.0,7.0,3.0,4.0,4.0,8.0,3.0,1.0,4.0,20.0,5.0,2.0,1.0,8.0,8.0,2.0,1.0,1.0,1.0,1.0,5.0,7.0,1.0,4.0,1.0,1.0,1.0,27.0,7.0,5.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.4,1.0,0.5555555555555556,0.625,0.6428571428571429,0.7,0.4444444444444444,1.0,0.5,1.0,0.7777777777777778,0.5,1.0,1.0,1.0,96.3132137030995,13.952380952380953,16.0,13.952380952380953,15.35,0.3888888888888889,0.5714285714285714,0.5714285714285714,1.0,0.05555555555555555,0.1111111111111111,0.05555555555555555,1.0,1.0,1.0,0.3888888888888889,0.42857142857142855,0.42857142857142855,1.0,0.25,1.0,0.75,0.3333333333333333,0.8333333333333334,0.42857142857142855,0.5939972222222223,0.6249625,0.19047619047619047,0.3076923076923077,0.25925925925925924,5.7299999999999995,26.175,0.23809523809523808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2022,2021-22,True
1628365-1628964-1628976-1630181-1630532,1610612753,"Markelle Fultz, Mo Bamba, Wendell Carter Jr., R.J. Hampton, Franz Wagner","Fultz, Bamba, Carter Jr., Hampton, Wagner",1628365-1628964-1628976-1630181-1630532,ORL,306.0,2,5.0,1.0,11.0,12.0,,,23.0,4.0,5.0,,,1.0,2.0,1.0,1.0,,2.0,,,6.0,8.0,1.0,3.0,3.0,18.0,17.0,,,,,,,10.0,3.0,2.0,,5.0,1.0,6.0,,1.0,3.0,13.0,2.0,2.0,,4.0,5.0,1.0,1.0,,1.0,1.0,2.0,3.0,1.0,2.0,1.0,,1.0,16.0,,,0.8333333333333334,0.8333333333333334,1.0,0.3333333333333333,,0.3333333333333333,0.75,,0.6818181818181818,,0.75,,0.2727272727272727,,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,,0.6666666666666666,108.23529411764707,12.090909090909092,14.416666666666666,12.0,14.083333333333334,0.45454545454545453,0.8,0.8,0.75,0.09090909090909091,0.18181818181818182,0.09090909090909091,1.0,1.0,1.0,0.18181818181818182,,,,,,,,0.7272727272727273,,0.5135863636363637,,0.16666666666666666,0.2222222222222222,,7.7125,27.133333333333336,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2022,2021-22,True
1628365-1628964-1628976-1630181-203082,1610612753,"Markelle Fultz, Mo Bamba, Wendell Carter Jr., R.J. Hampton, Terrence Ross","Fultz, Bamba, Carter Jr., Hampton, Ross",1628365-1628964-1628976-1630181-203082,ORL,158.0,1,3.0,-7.0,5.0,5.0,,2.0,10.0,,1.0,,,1.0,,,2.0,,,,,,2.0,,2.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,91.13924050632912,21.0,10.6,21.0,10.6,0.25,,,,0.25,,0.5,,,,,,,,,,,,0.75,,0.444575,,,,,4.85,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2022,2021-22,True
1628365-1628964-1628976-1630181-203914,1610612753,"Markelle Fultz, Mo Bamba, Wendell Carter Jr., R.J. Hampton, Gary Harris","Fultz, Bamba, Carter Jr., Hampton, Harris",1628365-1628964-1628976-1630181-203914,ORL,83.0,1,1.0,2.0,3.0,3.0,1.0,,6.0,,,,,,,,,,,,,,,,,4.0,4.0,2.0,,,,,2.0,2.0,,,,,,,,,,,,,2.0,,2.0,2.0,,,,,,2.0,4.0,,2.0,,,,4.0,2.0,1.0,,,,,,,,,,,1.0,1.0,,,0.6666666666666666,,0.6666666666666666,1.0,,,,104.09638554216868,9.333333333333334,18.333333333333332,9.333333333333334,18.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2022,2021-22,True
1628365-1628964-1628976-1630532-1630591,1610612753,"Markelle Fultz, Mo Bamba, Wendell Carter Jr., Franz Wagner, Jalen Suggs","Fultz, Bamba, Carter Jr., Wagner, Suggs",1628365-1628964-1628976-1630532-1630591,ORL,131.0,1,2.0,-3.0,6.0,7.0,,,13.0,,1.0,,,,1.0,,,1.0,2.0,,,1.0,2.0,1.0,2.0,,5.0,8.0,,,,,,,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,,5.0,,2.0,,2.0,2.0,1.0,1.0,,1.0,2.0,,,,,,,,5.0,,,1.0,1.0,1.0,0.5,,0.5,0.5,,0.625,,0.625,,0.5,,1.0,,1.0,,,,,142.90076335877865,11.333333333333334,9.0,11.333333333333334,9.0,0.25,,,,,0.25,,,,,0.5,0.5,0.5,1.0,,,,,0.75,0.5,0.50335,,,,,9.8,25.75,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,2.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2022,2021-22,True
1628365-1628964-1628976-1630532-203914,1610612753,"Markelle Fultz, Mo Bamba, Wendell Carter Jr., Franz Wagner, Gary Harris","Fultz, Bamba, Carter Jr., Wagner, Harris",1628365-1628964-1628976-1630532-203914,ORL,88.0,1,1.0,-2.0,3.0,3.0,,,6.0,,,,,1.0,,,,,1.0,,,,1.0,,1.0,,,2.0,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,2.0,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.5,,1.0,1.0,1.0,,1.0,,1.0,98.18181818181819,17.0,12.333333333333334,17.0,12.333333333333334,,,,,0.5,,,,,,0.5,,,,,,,,0.5,,0.484575,,,,,10.8,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2022,2021-22,True
1628365-1628964-1628976-1630591-203914,1610612753,"Markelle Fultz, Mo Bamba, Wendell Carter Jr., Jalen Suggs, Gary Harris","Fultz, Bamba, Carter Jr., Suggs, Harris",1628365-1628964-1628976-1630591-203914,ORL,75.0,1,1.0,3.0,3.0,2.0,,2.0,5.0,,,,,1.0,,,,1.0,3.0,,,,1.0,1.0,3.0,,3.0,,,,,,,,,3.0,3.0,1.0,,1.0,1.0,1.0,,,3.0,2.0,,,2.0,3.0,,,,,,,,,,,,,3.0,,,,,1.0,0.3333333333333333,,0.3333333333333333,,,0.375,,0.375,,0.75,,,1.0,1.0,,,1.0,,96.0,14.333333333333334,16.0,13.666666666666666,16.0,,,,,0.25,,,,,,0.75,0.3333333333333333,0.3333333333333333,1.0,,,,,0.75,0.3333333333333333,0.507925,,,,,12.5,26.733333333333334,,1.0,,,,,,,,,1.0,1.0,,,,,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2022,2021-22,True
1628365-1628964-1629021-1629643-1629962,1610612753,"Markelle Fultz, Mo Bamba, Moritz Wagner, Chuma Okeke, Devin Cannady","Fultz, Bamba, Wagner, Okeke, Cannady",1628365-1628964-1629021-1629643-1629962,ORL,314.0,1,5.0,-1.0,11.0,11.0,6.0,,22.0,3.0,4.0,,,1.0,1.0,1.0,1.0,1.0,4.0,,2.0,3.0,6.0,2.0,5.0,4.0,16.0,17.0,,1.0,1.0,3.0,4.0,7.0,2.0,6.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,2.0,,,2.0,6.0,,,,,1.0,4.0,4.0,,1.0,,,,9.0,7.0,6.0,0.3333333333333333,1.0,1.0,0.4,0.3333333333333333,0.4,0.5,,0.5454545454545454,0.375,0.6153846153846154,0.5833333333333334,0.45454545454545453,,,1.0,1.0,,,1.0,1.0,100.89171974522293,13.181818181818182,15.363636363636363,10.909090909090908,15.363636363636363,0.36363636363636365,0.75,0.75,0.3333333333333333,0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0,1.0,1.0,0.36363636363636365,0.25,0.25,1.0,,,0.5,,0.8181818181818182,0.25,0.5566545454545454,0.543575,0.08333333333333333,0.14285714285714285,0.4375,5.033333333333333,25.48,0.5454545454545454,4.0,,,2.0,2.0,7.0,4.0,,,2.0,4.0,,1.0,0.7,0.7,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,0.4375,,,,2.0,,,2.0,1.0,1.0,,1.0,,3.0,3.0,0.6,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.16666666666666666,0.4,1.0,0.3333333333333333,1.0,0.25,1.0,0.56105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2022,2021-22,True
1628365-1628964-1629021-1629643-1630181,1610612753,"Markelle Fultz, Mo Bamba, Moritz Wagner, Chuma Okeke, R.J. Hampton","Fultz, Bamba, Wagner, Okeke, Hampton",1628365-1628964-1629021-1629643-1630181,ORL,811.0,1,14.0,-1.0,27.0,27.0,4.0,4.0,54.0,2.0,3.0,,,4.0,1.0,,3.0,8.0,17.0,2.0,3.0,4.0,8.0,8.0,20.0,2.0,34.0,35.0,,1.0,2.0,3.0,,6.0,2.0,18.0,17.0,8.0,1.0,6.0,7.0,6.0,,,20.0,6.0,3.0,,9.0,12.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,,1.0,,,1.0,34.0,6.0,4.0,0.25,0.25,0.75,0.4,0.6666666666666666,0.4,0.5,,0.5714285714285714,0.75,0.5862068965517241,0.75,0.7142857142857143,,0.75,0.8571428571428571,0.8181818181818182,1.0,0.6666666666666666,1.0,0.6666666666666666,95.88162762022195,12.555555555555555,17.48148148148148,11.555555555555555,17.185185185185187,0.10714285714285714,0.6666666666666666,1.0,,0.14285714285714285,0.03571428571428571,0.10714285714285714,,,,0.6071428571428571,0.47058823529411764,0.47058823529411764,0.75,,,0.75,0.6666666666666666,0.8214285714285714,0.47058823529411764,0.5426267857142857,0.474925,0.034482758620689655,0.1111111111111111,0.17647058823529413,7.75,26.32,0.14814814814814814,2.0,1.0,1.0,,,,6.0,,1.0,1.0,3.0,,,,,0.08333333333333333,0.1875,,0.25,0.5,,1.0,1.0,1.0,,3.0,,,1.0,0.375,0.3333333333333333,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,2.0,,,,,,,0.5,,0.6666666666666666,,,,,,,,0.5745,6.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2022,2021-22,True
1628365-1628964-1629021-1629643-1630591,1610612753,"Markelle Fultz, Mo Bamba, Moritz Wagner, Chuma Okeke, Jalen Suggs","Fultz, Bamba, Wagner, Okeke, Suggs",1628365-1628964-1629021-1629643-1630591,ORL,270.0,1,4.0,-4.0,10.0,10.0,,,20.0,2.0,2.0,,,1.0,,,1.0,1.0,4.0,,,2.0,3.0,1.0,5.0,2.0,9.0,13.0,,,,,,,2.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,,1.0,5.0,1.0,1.0,,2.0,3.0,,,,,2.0,2.0,2.0,,1.0,1.0,1.0,1.0,7.0,,,0.5,1.0,1.0,0.2,,0.2,0.6666666666666666,,0.4375,,0.5,,0.625,,1.0,1.0,1.0,1.0,,1.0,,106.66666666666667,14.8,12.2,14.8,12.2,0.25,1.0,1.0,0.5,0.125,,0.125,,,,0.5,0.25,0.25,1.0,,,,,0.875,0.25,0.5571625,,0.1111111111111111,0.25,,2.1333333333333333,26.160000000000004,,1.0,,,1.0,1.0,2.0,2.0,,,,1.0,,1.0,1.0,1.0,,0.2,,,,,,,,0.2222222222222222,,1.0,,2.0,,,1.0,,0.5,,1.0,,,,,1.0,1.0,,,,,2.0,1.0,,,,,,,1.0,,1.0,,1.0,1.0,,,,,0.6054,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2022,2021-22,True
