EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG3A,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,DeadBallTurnovers,Offensive Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FtPoints,SecondChanceFG3M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,FoulsDrawn,Charge Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,DefensiveGoaltends,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LongMidRangePctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimPctAssisted,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,SelfOReb,SelfORebPct,ShortMidRangeAssists,ShortMidRangePctAssisted,SecondChanceArc3FGM,SecondChanceFtPoints,SecondChanceTurnovers,Loose Ball Fouls Drawn,Technical Free Throw Trips,BlockedShortMidRange,OffCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Offensive Fouls Drawn,AtRimPctBlocked,OffAtRimReboundPct,RecoveredBlocks,BlocksRecoveredPct,Charge Fouls,Loose Ball Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,NonShootingPenaltyNonTakeFouls,BadPassOutOfBoundsTurnovers,Travels,PenaltyTurnovers,Blocked3s,BlockedCorner3,HeaveAttempts,BlockedArc3,SecondChanceAtRimPctAssisted,team_id,year,season,team_vs
1627783-1627832-1628384-1628449-1630173,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Chris Boucher, Precious Achiuwa","Siakam, VanVleet, Anunoby, Boucher, Achiuwa",1627783-1627832-1628384-1628449-1630173,TOR,376.0,2,6.0,-11.0,12,11.0,2.0,1.0,23,2.0,2.0,1.0,3.0,1.0,3.0,4.0,1.0,4.0,8.0,4.0,8.0,19.0,1.0,8.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,4.0,8.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.125,0.3333333333333333,1.0,1.0,0.25,1.0,1.0,0.125,0.5,1.0,1.0,1.0,88.08510638297872,17.416666666666668,15.181818181818182,16.75,15.181818181818182,0.16666666666666666,1.0,1.0,0.25,0.3333333333333333,0.5,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,0.48517499999999997,0.58395,10.5375,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,False
1627783-1627832-1628384-1628449-1630567,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Chris Boucher, Scottie Barnes","Siakam, VanVleet, Anunoby, Boucher, Barnes",1627783-1627832-1628384-1628449-1630567,TOR,80.0,1,1.0,-3.0,2,2.0,,1.0,4,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,2.0,5.0,,2.0,1.0,,,,,,1.0,1.0,,,1.0,,1.0,,1.0,0.5,0.5,0.5,,,,,,,,1.0,,,,,72.0,10.5,29.5,10.0,29.5,0.5,1.0,1.0,,,,,,,0.5,,1.0,0.5612,,1.9,26.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,False
1627783-1627832-1628384-1629018-1630173,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Gary Trent Jr., Precious Achiuwa","Siakam, VanVleet, Anunoby, Trent Jr., Achiuwa",1627783-1627832-1628384-1629018-1630173,TOR,1583.0,5,26.0,-3.0,43,44.0,2.0,5.0,87,6.0,9.0,1.0,3.0,3.0,9.0,11.0,,10.0,21.0,17.0,47.0,50.0,2.0,12.0,11.0,2.0,4.0,3.0,8.0,12.0,5.0,17.0,3.0,1.0,7.0,6.0,11.0,40.0,0.47619047619047616,0.5394736842105263,0.5465116279069767,0.4473684210526316,0.09523809523809523,0.3333333333333333,0.42857142857142855,0.7272727272727273,0.36363636363636365,0.42857142857142855,0.6111111111111112,0.25,0.5,0.8,0.6,,79.14087176247631,18.11627906976744,18.272727272727273,17.53488372093023,17.522727272727273,0.23684210526315788,0.6666666666666666,0.6666666666666666,0.07894736842105263,0.3333333333333333,0.5,0.23684210526315788,0.3333333333333333,0.375,0.2894736842105263,,0.6842105263157895,0.5095355263157895,0.5629500000000001,9.404761904761905,25.705882352941178,2.0,3.0,2.0,3.0,7.0,4.0,1.0,4.0,2.0,0.6666666666666666,0.7,0.7,0.1111111111111111,0.14285714285714285,0.6,0.6666666666666666,0.14893617021276595,10.0,1.0,1.0,3.0,6.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,7.0,6.0,1.0,1.0,3.0,3.0,6.0,2.0,13.0,8.0,12.0,9.0,4.0,4.0,4.0,8.0,1.0,3.0,3.0,1.0,20.0,1.0,5.0,2.0,3.0,1.0,2.0,10.0,1.0,11.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,10.0,1.0,0.4,0.5,0.5714285714285714,0.4117647058823529,0.5,0.5,0.4117647058823529,0.3333333333333333,0.6111111111111112,0.5909090909090909,0.1111111111111111,1.0,0.5,0.5,1.0,0.5,0.3333333333333333,0.15789473684210525,0.5,0.5,1.0,0.36363636363636365,0.36363636363636365,0.25,0.4,0.5,1.0,0.1111111111111111,1.0,0.2222222222222222,0.5,0.4444444444444444,0.5,0.36363636363636365,0.5050277777777779,0.11904761904761904,0.2,0.2765957446808511,0.23255813953488372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,False
1627783-1627832-1628384-1629018-1630567,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Gary Trent Jr., Scottie Barnes","Siakam, VanVleet, Anunoby, Trent Jr., Barnes",1627783-1627832-1628384-1629018-1630567,TOR,482.0,1,8.0,-11.0,14,15.0,,2.0,29,2.0,3.0,,3.0,1.0,3.0,4.0,,3.0,9.0,5.0,14.0,25.0,1.0,4.0,4.0,1.0,2.0,3.0,1.0,4.0,2.0,6.0,1.0,,1.0,1.0,5.0,11.0,0.3333333333333333,0.42857142857142855,0.4666666666666667,0.35714285714285715,0.1111111111111111,0.3333333333333333,1.0,0.2,0.3333333333333333,0.6,0.4,0.2222222222222222,0.5,,0.6666666666666666,0.5,86.6390041493776,17.714285714285715,15.6,17.142857142857142,13.733333333333333,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.21428571428571427,,,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.2857142857142857,,0.5714285714285714,0.5195321428571429,0.634675,8.3,25.78,,1.0,,1.0,3.0,,,,,,0.75,0.75,,,0.5,,0.21428571428571427,,,,1.0,1.0,1.0,1.0,,,1.0,,,2.0,2.0,1.0,,,,,,,2.0,6.0,,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,8.0,,1.0,,1.0,,1.0,1.0,,2.0,,1.0,,,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,0.4,1.0,,0.4,,,,,,0.3333333333333333,0.3333333333333333,,0.5,,0.07142857142857142,1.0,1.0,1.0,0.25,0.25,1.0,0.5,1.0,1.0,,,,,,,0.25,,0.06666666666666667,0.1,,,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,False
1627783-1627832-1628384-1629018-201152,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Gary Trent Jr., Thaddeus Young","Siakam, VanVleet, Anunoby, Trent Jr., Young",1627783-1627832-1628384-1629018-201152,TOR,101.0,1,2.0,-1.0,3,3.0,,,6,,,1.0,1.0,,,2.0,,1.0,1.0,2.0,5.0,6.0,,,2.0,,,,,,,,,,,1.0,1.0,5.0,1.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,,,,,,,,,,,,,85.54455445544555,15.666666666666666,18.0,15.666666666666666,17.333333333333332,,,,0.3333333333333333,1.0,1.0,,,,0.6666666666666666,,0.6666666666666666,0.48771666666666663,,5.6,26.45,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,2.0,3.0,,1.0,1.0,1.0,2.0,1.0,,,,5.0,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,0.5,,,0.5,,,,,,,,,,,,,,,0.5,0.5,1.0,,,,,,,,,,0.5,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,False
1627783-1627832-1628384-1629018-203920,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Gary Trent Jr., Khem Birch","Siakam, VanVleet, Anunoby, Trent Jr., Birch",1627783-1627832-1628384-1629018-203920,TOR,1190.0,2,20.0,-4.0,37,35.0,,6.0,72,1.0,3.0,4.0,12.0,5.0,7.0,13.0,2.0,10.0,22.0,17.0,36.0,40.0,3.0,10.0,13.0,1.0,4.0,6.0,7.0,14.0,7.0,21.0,1.0,,3.0,3.0,7.0,25.0,0.45454545454545453,0.41025641025641024,0.4268292682926829,0.4358974358974359,0.045454545454545456,0.08333333333333333,0.3333333333333333,0.875,0.3333333333333333,0.6666666666666666,0.7647058823529411,0.28,0.5,0.8571428571428571,0.6666666666666666,0.6666666666666666,87.12605042016807,16.43243243243243,16.62857142857143,15.162162162162161,15.714285714285714,0.07692307692307693,0.3333333333333333,0.3333333333333333,0.3076923076923077,0.3333333333333333,0.36363636363636365,0.1794871794871795,0.7142857142857143,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.5128205128205128,0.48809615384615385,0.4621,9.972727272727273,25.811764705882354,,,2.0,3.0,11.0,,3.0,2.0,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.23076923076923078,0.1,,,0.3055555555555556,1.0,,,1.0,4.0,1.0,1.0,,,3.0,,,4.0,4.0,2.0,1.0,1.0,,,,2.0,10.0,9.0,3.0,3.0,5.0,3.0,8.0,2.0,1.0,1.0,1.0,19.0,1.0,3.0,,3.0,1.0,1.0,4.0,,5.0,,2.0,,1.0,,1.0,,,2.0,1.0,,0.5,0.5,0.75,0.23529411764705882,0.6666666666666666,,0.23529411764705882,1.0,1.0,1.0,,1.0,0.375,,1.0,1.0,0.2,0.10256410256410256,0.25,0.25,1.0,0.23076923076923078,0.23076923076923078,0.6666666666666666,0.16666666666666666,1.0,1.0,,,,,,,0.23076923076923078,0.2697,0.04878048780487805,0.08333333333333333,0.05555555555555555,0.02702702702702703,3.0,0.125,3.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,False
1627783-1627832-1628384-1630173-1630201,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Precious Achiuwa, Malachi Flynn","Siakam, VanVleet, Anunoby, Achiuwa, Flynn",1627783-1627832-1628384-1630173-1630201,TOR,240.0,1,4.0,-3.0,7,8.0,6.0,2.0,15,2.0,6.0,,1.0,,,4.0,2.0,2.0,7.0,5.0,4.0,7.0,3.0,2.0,4.0,1.0,4.0,2.0,,3.0,5.0,8.0,,,,2.0,2.0,4.0,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.14285714285714285,,,,0.8,0.6666666666666666,0.5,0.5,,,0.5,1.0,90.0,18.428571428571427,13.875,16.0,12.625,0.5,0.3333333333333333,0.4,0.08333333333333333,,,,,,0.3333333333333333,0.4,0.9166666666666666,0.5018041666666667,0.4889375,2.6285714285714286,26.439999999999998,,1.0,,2.0,,,1.0,,,,,,0.2,0.25,0.2,,,6.0,1.0,5.0,,1.0,,1.0,,1.0,,,4.0,,,,1.0,6.0,,5.0,,2.0,2.0,,,,1.0,,1.0,,,1.0,,2.0,1.0,1.0,,1.0,,,2.0,,,,,,1.0,1.0,1.0,,,2.0,6.0,,0.5,0.5,,,,,,0.16666666666666666,0.09090909090909091,0.09090909090909091,,1.0,1.0,,,0.5,,0.08333333333333333,,,,,,,0.2,,,0.45454545454545453,0.2,0.09090909090909091,,0.36363636363636365,,,0.47703181818181817,,,0.5,0.8571428571428571,,,,,,,,,,,,,,1.0,0.16666666666666666,0.75,,,,,,,,,,,,,,,,1610612761,2022,2021-22,False
1627783-1627832-1628384-1630173-1630567,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Precious Achiuwa, Scottie Barnes","Siakam, VanVleet, Anunoby, Achiuwa, Barnes",1627783-1627832-1628384-1630173-1630567,TOR,405.0,1,7.0,-1.0,12,13.0,7.0,,25,5.0,5.0,1.0,3.0,,,1.0,,6.0,8.0,2.0,19.0,20.0,,2.0,1.0,,,1.0,4.0,5.0,,5.0,1.0,,1.0,3.0,3.0,19.0,0.75,0.75,0.8636363636363636,0.2,,,1.0,0.8,,0.5,0.7142857142857143,,,0.75,,1.0,88.88888888888889,12.5,19.615384615384617,12.5,18.923076923076923,0.5,1.0,1.0,0.3,0.3333333333333333,0.3333333333333333,,,,0.1,,0.7,0.62995,,4.1375,25.1,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,4.0,,1.0,3.0,1.0,1.0,,5.0,10.0,3.0,,,5.0,1.0,6.0,,1.0,5.0,,13.0,,,,,,1.0,4.0,,4.0,2.0,3.0,,2.0,,2.0,,,5.0,4.0,,0.8333333333333334,0.8333333333333334,1.0,0.5,,1.0,0.5,0.3333333333333333,0.625,0.625,,,,,1.0,1.0,,0.1,1.0,1.0,1.0,,,,,,,0.25,1.0,0.25,1.0,,,,0.5473125,0.2727272727272727,0.3333333333333333,0.2631578947368421,0.3333333333333333,,,,,,,,,,2.0,,,,,,,1.0,0.5,,,,,,,,,,,,,,1610612761,2022,2021-22,False
1627783-1627832-1628384-1630173-201152,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Precious Achiuwa, Thaddeus Young","Siakam, VanVleet, Anunoby, Achiuwa, Young",1627783-1627832-1628384-1630173-201152,TOR,266.0,1,4.0,-9.0,7,8.0,,,15,,,2.0,2.0,,1.0,2.0,,2.0,3.0,2.0,9.0,18.0,,4.0,2.0,,,,1.0,1.0,,1.0,,,1.0,,1.0,9.0,0.6666666666666666,0.7,0.75,0.4,,,,1.0,,,0.5,,,,,,81.203007518797,17.714285714285715,17.75,17.714285714285715,17.625,,,,0.4,1.0,1.0,0.2,,,0.4,,0.4,0.46919000000000005,,11.833333333333334,27.65,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,3.0,,1.0,,1.0,1.0,1.0,,,,3.0,,,,,,,2.0,,2.0,,1.0,,,,,,,,,,,,1.0,0.5,,,0.5,,,,,,,1.0,,,,,,,,0.5,0.5,1.0,,,,,,,,,,0.5,,0.16666666666666666,0.25,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1610612761,2022,2021-22,False
1627783-1627832-1628449-1629018-1630173,1610612761,"Pascal Siakam, Fred VanVleet, Chris Boucher, Gary Trent Jr., Precious Achiuwa","Siakam, VanVleet, Boucher, Trent Jr., Achiuwa",1627783-1627832-1628449-1629018-1630173,TOR,608.0,3,10.0,-4.0,19,19.0,8.0,3.0,38,1.0,2.0,,4.0,,3.0,9.0,1.0,1.0,9.0,11.0,26.0,30.0,1.0,2.0,9.0,,2.0,2.0,2.0,4.0,4.0,8.0,,,,5.0,6.0,24.0,0.1111111111111111,0.5,0.5652173913043478,0.55,,,,1.0,0.25,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,90.0,16.36842105263158,15.631578947368421,15.157894736842104,14.947368421052632,0.1,0.5,0.5,0.2,,,0.15,,,0.45,0.25,0.65,0.526275,0.476925,9.711111111111112,25.936363636363637,1.0,2.0,1.0,3.0,2.0,,2.0,,,0.3333333333333333,0.25,0.25,0.5,0.5,0.5,0.5,0.07692307692307693,11.0,,1.0,2.0,2.0,,,2.0,2.0,4.0,3.0,7.0,6.0,6.0,,,4.0,5.0,9.0,,15.0,,18.0,,4.0,,6.0,6.0,4.0,2.0,,,18.0,,1.0,1.0,,,,5.0,,7.0,,2.0,,,,,,,15.0,11.0,,,,1.0,0.5454545454545454,,0.5555555555555556,0.5454545454545454,,0.5769230769230769,0.5769230769230769,,,0.25,,1.0,,,0.1,1.0,1.0,1.0,0.4444444444444444,0.4444444444444444,1.0,,,,0.07692307692307693,,0.15384615384615385,1.0,0.5384615384615384,0.42857142857142855,0.4444444444444444,0.5285384615384616,0.13043478260869565,0.18181818181818182,0.5769230769230769,0.5789473684210527,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.08333333333333333,,,,,,,,,,1610612761,2022,2021-22,False
