EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,PenaltyOffPoss,TotalPoss,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,PenaltyOffPossPct,Minutes,PlusMinus,DefPoss,PenaltyDefPoss,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefThreePtReboundPct,DefFGReboundPct,DefCorner3ReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,AtRimFGM,ShortMidRangeFGA,FtPoints,SecondChanceFG2A,PtsUnassisted2s,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,Steals,BadPassSteals,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,DeadBallTurnovers,Travels,PtsUnassisted3s,AtRimAssists,DefAtRimReboundPct,AtRimPctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,Corner3Assists,ShortMidRangeAssists,FTDefRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Charge Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,OffensiveGoaltends,3SecondViolations,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,DefFTReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,Fg3aBlocked,OffThreePtRebounds,FTOffRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,BlockedShortMidRange,DefensiveGoaltends,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Arc3PctBlocked,HeaveAttempts,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,team_id,year,season,team_vs
101108-1626164-1626166-1628969-203109,1610612756,"Chris Paul, Devin Booker, Cameron Payne, Mikal Bridges, Jae Crowder","Paul, Booker, Payne, Bridges, Crowder",101108-1626164-1626166-1628969-203109,PHX,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,480.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2022,2021-22,False
101108-1626164-1628470-1628969-1629028,1610612756,"Chris Paul, Devin Booker, Torrey Craig, Mikal Bridges, Deandre Ayton","Paul, Booker, Craig, Bridges, Ayton",101108-1626164-1628470-1628969-1629028,PHX,110.0,2,4.0,,7.0,,,,,,,91.63636363636364,12.25,12.25,,2.0,-1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,6.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.625,0.625,0.5,0.5,1.0,1.0,1.0,1.0,20.333333333333332,20.333333333333332,0.25,0.25,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.75,0.5,0.5551875,7.85,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2022,2021-22,False
101108-1626164-1628470-1628969-1629661,1610612756,"Chris Paul, Devin Booker, Torrey Craig, Mikal Bridges, Cameron Johnson","Paul, Booker, Craig, Bridges, Johnson",101108-1626164-1628470-1628969-1629661,PHX,193.0,1,5.0,,11.0,1.0,1.0,1.0,,,1.0,82.07253886010362,15.6,11.8,,3.0,2.0,6.0,,2.0,,,,,1.0,4.0,,,4.0,2.0,,,,,,,,,,,,1.0,2.0,3.0,1.0,1.0,4.0,,,,,,,0.25,0.25,0.4,,,,0.5,0.5,,19.166666666666668,16.666666666666668,0.5,,,,,,,,,0.5,,0.610525,6.325,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.5,0.5,0.5,0.4291,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2022,2021-22,False
101108-1626164-1628470-1629028-203109,1610612756,"Chris Paul, Devin Booker, Torrey Craig, Deandre Ayton, Jae Crowder","Paul, Booker, Craig, Ayton, Crowder",101108-1626164-1628470-1629028-203109,PHX,65.0,1,2.0,,4.0,,,1.0,,,,88.61538461538463,7.0,7.0,,1.0,-3.0,2.0,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,25.5,25.5,,,,,,,,,,,,0.4079,12.6,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2022,2021-22,False
101108-1626164-1628470-1629661-201580,1610612756,"Chris Paul, Devin Booker, Torrey Craig, Cameron Johnson, JaVale McGee","Paul, Booker, Craig, Johnson, McGee",101108-1626164-1628470-1629661-201580,PHX,313.0,2,10.0,,19.0,1.0,1.0,1.0,,,1.0,87.41214057507987,15.9,15.9,,5.0,4.0,9.0,,3.0,,,3.0,4.0,2.0,3.0,3.0,4.0,16.0,12.0,2.0,,4.0,3.0,,1.0,,1.0,,,2.0,2.0,4.0,4.0,,,16.0,,0.5,0.5,,0.75,0.75,0.6666666666666666,0.9285714285714286,0.8888888888888888,0.5714285714285714,,,1.0,0.8,1.0,17.11111111111111,16.88888888888889,0.42857142857142855,,,,,0.5714285714285714,0.75,0.75,,1.0,0.75,0.5968,1.5666666666666667,27.175,,2.0,,3.0,,2.0,,2.0,,,,4.0,4.0,2.0,0.6666666666666666,,,,1.0,1.0,0.6666666666666666,0.6666666666666666,,,0.2222222222222222,0.4,,,9.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2022,2021-22,False
101108-1626164-1628969-1629028-1629661,1610612756,"Chris Paul, Devin Booker, Mikal Bridges, Deandre Ayton, Cameron Johnson","Paul, Booker, Bridges, Ayton, Johnson",101108-1626164-1628969-1629028-1629661,PHX,1422.0,7,45.0,5.0,88.0,2.0,1.0,5.0,1.0,5.0,0.4,89.11392405063292,15.266666666666667,15.244444444444444,0.1111111111111111,24.0,19.0,43.0,28.0,15.0,4.0,8.0,3.0,7.0,23.0,32.0,4.0,9.0,63.0,44.0,26.0,9.0,7.0,3.0,,13.0,3.0,16.0,2.0,1.0,35.0,7.0,15.0,18.0,4.0,8.0,59.0,2.0,0.5652173913043478,0.6190476190476191,0.75,0.4444444444444444,0.4444444444444444,0.71875,0.7073170731707317,0.7325581395348837,0.21951219512195122,,,0.7,0.5909090909090909,0.6666666666666666,17.093023255813954,16.186046511627907,0.36585365853658536,0.1951219512195122,0.5,0.5,0.25,0.17073170731707318,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.5853658536585366,0.42857142857142855,0.5413378048780487,7.5718749999999995,25.5,3.0,13.0,9.0,5.0,2.0,20.0,3.0,6.0,3.0,4.0,3.0,6.0,6.0,1.0,0.5,0.3333333333333333,0.21428571428571427,0.5,,0.7142857142857143,0.8666666666666667,0.8666666666666667,0.21951219512195122,0.5368,0.023809523809523808,0.030303030303030304,3.0,,3.0,8.0,1.0,0.6153846153846154,2.0,2.0,1.0,1.0,6.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,4.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,0.5,1.0,0.3333333333333333,0.25,0.25,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.04878048780487805,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.44298333333333334,0.06349206349206349,0.06349206349206349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2022,2021-22,False
101108-1626164-1628969-1629028-203109,1610612756,"Chris Paul, Devin Booker, Mikal Bridges, Deandre Ayton, Jae Crowder","Paul, Booker, Bridges, Ayton, Crowder",101108-1626164-1628969-1629028-203109,PHX,9748.0,11,308.0,49.0,615.0,27.0,22.0,42.0,7.0,49.0,0.6428571428571429,90.84940500615511,15.21103896103896,14.792207792207792,0.1590909090909091,162.0,8.0,307.0,31.0,63.0,24.0,41.0,28.0,69.0,102.0,187.0,35.0,87.0,364.0,356.0,104.0,84.0,69.0,28.0,10.0,52.0,28.0,80.0,21.0,10.0,188.0,54.0,118.0,152.0,28.0,60.0,330.0,2.0,0.5098039215686274,0.5591397849462365,0.8,0.40229885057471265,0.40229885057471265,0.5454545454545454,0.5638686131386861,0.5973597359735974,0.3175182481751825,0.053475935828877004,0.07936507936507936,0.7941176470588235,0.7077922077922078,0.7857142857142857,16.49185667752443,15.765472312703583,0.22992700729927007,0.14963503649635038,0.5853658536585366,0.5853658536585366,0.4166666666666667,0.2518248175182482,0.4057971014492754,0.4057971014492754,0.75,0.5474452554744526,0.4057971014492754,0.5184403284671533,8.32192513368984,25.30574712643678,28.0,45.0,83.0,55.0,23.0,100.0,25.0,55.0,34.0,17.0,12.0,80.0,69.0,29.0,0.6395348837209303,0.29411764705882354,0.2426470588235294,0.3888888888888889,0.7058823529411765,0.7962962962962963,0.7142857142857143,0.7758620689655172,0.3029197080291971,0.5241152173913044,0.10702341137123746,0.13875598086124402,15.0,1.0,21.0,27.0,0.5416666666666666,0.6,8.0,12.0,11.0,16.0,33.0,7.0,18.0,9.0,13.0,34.0,17.0,31.0,13.0,15.0,67.0,18.0,7.0,15.0,9.0,5.0,1.0,5.0,2.0,1.0,1.0,4.0,13.0,6.0,15.0,8.0,,,67.0,3.0,0.5652173913043478,0.5483870967741935,0.5,0.5909090909090909,0.53125,0.6320754716981132,1.0,0.32,0.11764705882352941,0.6666666666666666,0.5333333333333333,0.39759036144578314,0.4230769230769231,0.45454545454545453,0.06569343065693431,0.3888888888888889,0.4117647058823529,1.0,0.41379310344827586,0.6666666666666666,0.36363636363636365,0.6875,0.20454545454545456,0.532628409090909,0.09340659340659341,0.18406593406593408,1.0,1.0,4.0,1.0,5.0,5.0,1.0,6.0,5.0,6.0,1.0,8.0,1.0,4.0,3.0,1.0,3.0,6.0,3.0,8.0,7.0,2.0,3.0,2.0,1.0,1.0,7.0,1.0,0.16666666666666666,0.46153846153846156,0.011494252873563218,0.060240963855421686,0.05555555555555555,0.25,0.1568627450980392,0.12195121951219512,0.3,0.032,0.125,0.034482758620689655,0.1724137931034483,0.2,0.09090909090909091,0.25,0.5555555555555556,0.03333333333333333,,,,,,,,1610612756,2022,2021-22,False
101108-1626164-1628969-1629661-202687,1610612756,"Chris Paul, Devin Booker, Mikal Bridges, Cameron Johnson, Bismack Biyombo","Paul, Booker, Bridges, Johnson, Biyombo",101108-1626164-1628969-1629661-202687,PHX,538.0,3,15.0,7.0,30.0,,,2.0,1.0,7.0,,80.29739776951672,17.4,17.333333333333332,0.4666666666666667,9.0,1.0,15.0,7.0,2.0,2.0,4.0,2.0,3.0,6.0,10.0,3.0,4.0,21.0,20.0,4.0,9.0,3.0,2.0,,2.0,3.0,5.0,2.0,,13.0,2.0,4.0,5.0,1.0,2.0,21.0,,0.3333333333333333,0.3333333333333333,1.0,0.75,0.75,0.6,0.75,0.75,0.2857142857142857,,,0.6666666666666666,0.375,1.0,18.466666666666665,18.0,0.14285714285714285,0.2857142857142857,0.5,0.5,,0.21428571428571427,0.6666666666666666,0.6666666666666666,1.0,0.42857142857142855,0.6666666666666666,0.4438321428571429,11.1,25.125,1.0,1.0,4.0,,1.0,8.0,1.0,1.0,1.0,,,1.0,,,0.2,0.3333333333333333,0.25,,,0.5,0.5,0.5,0.2857142857142857,0.3869,,,2.0,,,,1.0,,,1.0,,1.0,3.0,1.0,1.0,,,,5.0,7.0,,,10.0,,1.0,2.0,1.0,,1.0,,,1.0,,,1.0,,1.0,,,,10.0,,,0.7142857142857143,,0.7142857142857143,,0.7142857142857143,1.0,1.0,,,,0.75,0.75,0.6666666666666666,0.07142857142857142,1.0,1.0,1.0,1.0,,0.14285714285714285,,,0.37875714285714285,,0.47619047619047616,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2022,2021-22,False
101108-1626164-1628969-1629661-203109,1610612756,"Chris Paul, Devin Booker, Mikal Bridges, Cameron Johnson, Jae Crowder","Paul, Booker, Bridges, Johnson, Crowder",101108-1626164-1628969-1629661-203109,PHX,201.0,3,9.0,9.0,15.0,,,,,6.0,,107.46268656716417,12.222222222222221,11.11111111111111,1.0,3.0,,6.0,6.0,1.0,,,,3.0,1.0,2.0,,3.0,9.0,9.0,2.0,,3.0,,,1.0,,1.0,,,2.0,2.0,3.0,4.0,1.0,1.0,7.0,,1.0,1.0,,,,0.5,0.2,0.5,0.6,,,0.5,0.6,,15.166666666666666,12.833333333333334,0.2,,,,,0.6,,,,0.8,,0.5442400000000001,7.05,25.96666666666667,1.0,1.0,1.0,7.0,1.0,,1.0,1.0,1.0,,,4.0,8.0,,1.0,1.0,0.25,,1.0,0.5,1.0,1.0,0.2,0.7353,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,3.0,1.0,2.0,1.0,2.0,3.0,7.0,9.0,,,,,,,,,,,4.0,,,,,,,4.0,1.0,1.0,0.5,1.0,0.2,1.0,0.5,,1.0,,,,,,,,,,,1.0,1.0,0.2,1.0,0.6,0.5442400000000001,0.2222222222222222,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1610612756,2022,2021-22,False
101108-1626164-1628969-1630688-203109,1610612756,"Chris Paul, Devin Booker, Mikal Bridges, Ish Wainright, Jae Crowder","Paul, Booker, Bridges, Wainright, Crowder",101108-1626164-1628969-1630688-203109,PHX,53.0,1,1.0,1.0,3.0,,,,,1.0,,81.50943396226415,6.0,6.0,1.0,1.0,-1.0,2.0,2.0,,,,,,1.0,1.0,,,2.0,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,1.0,1.0,,,,,,,23.5,23.5,,,,,,,,,,,,0.3964,5.3,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,0.3964,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2022,2021-22,False
