EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,OffArc3ReboundPct,SecondChanceArc3FGA,Travels,SecondChanceArc3Frequency,PenaltyCorner3FGM,HeaveAttempts,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Loose Ball Fouls,SecondChanceAtRimPctAssisted,Charge Fouls,DefensiveGoaltends,FTOffRebounds,OffFTReboundPct,Charge Fouls Drawn,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Loose Ball Fouls Drawn,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,Blocked3s,BlockedCorner3,BlockedLongMidRange,Arc3PctBlocked,BlockedArc3,OffensiveGoaltends,LongMidRangePctBlocked,3SecondViolations,team_id,year,season,team_vs
1626149-1626162-1626179-1628970-1628998,1610612766,"Montrezl Harrell, Kelly Oubre Jr., Terry Rozier, Miles Bridges, Cody Martin","Harrell, Oubre Jr., Rozier, Bridges, Martin",1626149-1626162-1626179-1628970-1628998,CHA,3664.0,18,61.0,-6.0,115.0,120.0,16.0,23.0,14.0,235.0,24.0,38.0,7.0,9.0,4.0,7.0,10.0,20.0,2.0,8.0,6.0,16.0,3.0,3.0,1.0,12.0,26.0,2.0,5.0,36.0,66.0,18.0,42.0,16.0,142.0,148.0,7.0,10.0,3.0,3.0,2.0,25.0,4.0,10.0,2.0,6.0,3.0,17.0,36.0,36.0,51.0,3.0,12.0,26.0,12.0,7.0,18.0,17.0,35.0,11.0,6.0,9.0,8.0,1.0,87.0,1.0,15.0,21.0,24.0,4.0,49.0,16.0,65.0,1.0,6.0,4.0,2.0,5.0,5.0,1.0,10.0,2.0,4.0,15.0,1.0,1.0,12.0,21.0,1.0,23.0,2.0,22.0,3.0,1.0,11.0,1.0,7.0,4.0,3.0,7.0,4.0,117.0,17.0,16.0,2.0,1.0,0.5,0.6,0.9444444444444444,0.42857142857142855,1.0,0.3333333333333333,0.42857142857142855,0.5454545454545454,0.7,0.4,0.5833333333333334,0.8846153846153846,0.4375,0.6025641025641025,0.8333333333333334,0.4722222222222222,0.3888888888888889,0.10606060606060606,0.10526315789473684,0.15,0.3333333333333333,1.0,0.7741935483870968,0.5,0.8076923076923077,0.041666666666666664,0.7894736842105263,0.2962962962962963,0.5714285714285714,0.6,0.16666666666666666,0.1,0.7692307692307693,0.75,0.8333333333333334,0.8095238095238095,0.8,0.02127659574468085,92.35807860262008,0.5714285714285714,15.443478260869565,15.733333333333333,15.008695652173913,15.266666666666667,0.35185185185185186,0.631578947368421,0.7058823529411765,0.375,0.18518518518518517,0.5,0.5882352941176471,0.8,0.07407407407407407,0.25,0.25,0.5,0.14814814814814814,0.375,0.375,1.0,0.24074074074074073,0.46153846153846156,0.46153846153846156,0.9166666666666666,0.6923076923076923,0.7777777777777778,0.23076923076923078,1.0,1.0,0.4375,0.5714285714285714,0.0625,0.3125,0.4,0.7407407407407407,0.46153846153846156,0.5411231481481481,0.59345,0.52095,0.09482758620689655,0.14864864864864866,0.176056338028169,0.11971830985915492,5.942424242424242,25.097619047619045,0.1391304347826087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2022,2021-22,False
1626149-1626162-1626179-1628970-1629023,1610612766,"Montrezl Harrell, Kelly Oubre Jr., Terry Rozier, Miles Bridges, P.J. Washington","Harrell, Oubre Jr., Rozier, Bridges, Washington",1626149-1626162-1626179-1628970-1629023,CHA,604.0,3,10.0,1.0,21.0,20.0,10.0,13.0,4.0,41.0,4.0,7.0,1.0,2.0,2.0,5.0,,2.0,,,1.0,5.0,,,1.0,1.0,5.0,1.0,4.0,4.0,9.0,2.0,10.0,4.0,18.0,17.0,1.0,3.0,,,,2.0,2.0,5.0,1.0,5.0,2.0,9.0,6.0,2.0,6.0,,2.0,5.0,1.0,,3.0,2.0,5.0,1.0,1.0,3.0,,,12.0,3.0,1.0,1.0,6.0,1.0,8.0,4.0,12.0,1.0,1.0,1.0,,3.0,1.0,2.0,1.0,,1.0,4.0,1.0,1.0,4.0,7.0,,5.0,1.0,5.0,1.0,,3.0,,2.0,,2.0,2.0,2.0,16.0,9.0,10.0,,,0.75,1.0,1.0,0.2,,0.2,0.2,0.4444444444444444,0.3333333333333333,0.4,0.3684210526315789,0.3333333333333333,0.35,0.42857142857142855,0.3333333333333333,0.4090909090909091,0.5263157894736842,,,,0.75,1.0,1.0,0.2,1.0,0.375,1.0,0.3076923076923077,0.3333333333333333,,,0.5,1.0,1.0,1.0,,1.0,0.09090909090909091,97.74834437086093,1.0,14.047619047619047,15.45,13.238095238095237,14.95,0.3684210526315789,0.5714285714285714,0.5714285714285714,0.75,0.10526315789473684,,,,,,,,0.2631578947368421,0.2,0.3333333333333333,1.0,0.2631578947368421,0.2,0.2,1.0,0.6666666666666666,0.5,,,,0.5,0.4,0.1,0.4,0.25,0.8947368421052632,0.2,0.5749526315789474,0.6206,0.5881000000000001,0.14285714285714285,0.2727272727272727,0.1111111111111111,0.5,1.8555555555555554,25.089999999999996,0.47619047619047616,2.0,0.2,0.4,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2022,2021-22,False
1626149-1626162-1626179-1628970-1630163,1610612766,"Montrezl Harrell, Kelly Oubre Jr., Terry Rozier, Miles Bridges, LaMelo Ball","Harrell, Oubre Jr., Rozier, Bridges, Ball",1626149-1626162-1626179-1628970-1630163,CHA,80.0,1,1.0,1.0,4.0,4.0,1.0,2.0,,8.0,2.0,2.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,3.0,4.0,,,1.0,7.0,6.0,,,,,,,1.0,1.0,,,,2.0,4.0,2.0,,,,,,1.0,2.0,,2.0,,,1.0,,1.0,4.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,7.0,2.0,1.0,,,0.6666666666666666,0.6666666666666666,,,,,,0.75,,1.0,0.75,,1.0,0.875,,1.0,,0.25,,1.0,,1.0,,,,,,,,,,,,,,,,,144.0,,12.5,7.5,12.5,7.5,0.5,1.0,1.0,0.5,0.25,,,,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,0.5,,0.5389,,0.5208,0.25,0.25,,0.2857142857142857,5.575,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2022,2021-22,False
1626149-1626162-1626179-1628970-1630550,1610612766,"Montrezl Harrell, Kelly Oubre Jr., Terry Rozier, Miles Bridges, JT Thor","Harrell, Oubre Jr., Rozier, Bridges, Thor",1626149-1626162-1626179-1628970-1630550,CHA,558.0,4,9.0,,18.0,22.0,11.0,,2.0,40.0,5.0,7.0,,,3.0,5.0,1.0,2.0,,,2.0,3.0,,,1.0,1.0,3.0,,2.0,6.0,9.0,3.0,6.0,4.0,25.0,25.0,,,,1.0,,,4.0,6.0,,3.0,4.0,12.0,8.0,4.0,6.0,3.0,,3.0,1.0,,4.0,2.0,6.0,1.0,1.0,4.0,,,14.0,,2.0,8.0,2.0,,10.0,2.0,12.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,2.0,1.0,1.0,,1.0,,3.0,,6.0,,,2.0,1.0,2.0,1.0,1.0,2.0,1.0,25.0,12.0,11.0,,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,,,0.5,0.6666666666666666,,0.6666666666666666,0.7,,0.4444444444444444,0.6944444444444444,,0.5,0.4,,,,0.5,,0.5,0.6666666666666666,0.8888888888888888,,0.7692307692307693,0.3333333333333333,1.0,,,,0.6666666666666666,,,0.8,1.0,0.16666666666666666,103.2258064516129,0.5,14.11111111111111,13.818181818181818,12.944444444444445,12.863636363636363,0.4666666666666667,0.7142857142857143,0.7142857142857143,0.8,0.13333333333333333,0.5,0.5,,,,,,0.2,0.6666666666666666,0.6666666666666666,0.5,0.2,0.3333333333333333,0.3333333333333333,1.0,,,,,,0.5555555555555556,0.6,0.1111111111111111,0.2222222222222222,,0.8666666666666667,0.3333333333333333,0.5887866666666667,0.53805,0.5934444444444444,0.11764705882352941,0.18181818181818182,,0.48,2.5555555555555554,24.916666666666668,0.6111111111111112,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2022,2021-22,False
1626149-1626162-1626179-1628970-203486,1610612766,"Montrezl Harrell, Kelly Oubre Jr., Terry Rozier, Miles Bridges, Mason Plumlee","Harrell, Oubre Jr., Rozier, Bridges, Plumlee",1626149-1626162-1626179-1628970-203486,CHA,286.0,1,5.0,2.0,10.0,10.0,1.0,,1.0,20.0,3.0,5.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,1.0,,1.0,,,4.0,6.0,,2.0,2.0,10.0,8.0,1.0,1.0,,,,2.0,,,,1.0,,,6.0,2.0,,,2.0,1.0,,1.0,3.0,,3.0,,,2.0,,1.0,6.0,,1.0,3.0,1.0,,4.0,1.0,5.0,,2.0,1.0,1.0,2.0,,1.0,,,1.0,2.0,,,,,,2.0,,2.0,,,1.0,,,,,,,8.0,,1.0,,,0.75,1.0,,,,,,0.6666666666666666,1.0,,0.5,1.0,,0.5555555555555556,1.0,,0.25,0.16666666666666666,0.2,,1.0,,1.0,0.5,1.0,,1.0,0.25,0.5,,,,,1.0,,1.0,1.0,,100.69930069930071,,15.9,12.7,15.8,12.7,0.625,0.6,0.75,0.6666666666666666,,,,,0.125,1.0,1.0,1.0,0.125,,,,0.125,,,,1.0,1.0,,,,,,1.0,,,0.875,,0.5916,0.6042,0.61845,0.1111111111111111,0.14285714285714285,0.2,,3.9,23.75,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2022,2021-22,False
1626149-1626162-1626179-1628998-1629023,1610612766,"Montrezl Harrell, Kelly Oubre Jr., Terry Rozier, Cody Martin, P.J. Washington","Harrell, Oubre Jr., Rozier, Martin, Washington",1626149-1626162-1626179-1628998-1629023,CHA,1296.0,10,22.0,-16.0,43.0,44.0,24.0,16.0,7.0,87.0,11.0,17.0,4.0,5.0,6.0,9.0,2.0,8.0,1.0,3.0,2.0,5.0,,,2.0,2.0,13.0,2.0,9.0,14.0,28.0,4.0,18.0,8.0,48.0,64.0,5.0,6.0,,,,10.0,9.0,13.0,3.0,11.0,3.0,30.0,14.0,14.0,9.0,3.0,6.0,12.0,2.0,5.0,7.0,3.0,10.0,1.0,2.0,5.0,1.0,1.0,23.0,4.0,5.0,6.0,4.0,1.0,11.0,9.0,20.0,,2.0,,2.0,2.0,1.0,1.0,2.0,,1.0,4.0,1.0,4.0,2.0,6.0,,10.0,4.0,12.0,1.0,1.0,3.0,,,,,,,38.0,30.0,24.0,3.0,,0.5,0.6363636363636364,0.75,0.2222222222222222,,0.2727272727272727,0.23529411764705882,0.5,0.8333333333333334,0.6923076923076923,0.43478260869565216,0.8333333333333334,0.5625,0.47,0.8333333333333334,0.5769230769230769,0.391304347826087,0.17857142857142858,0.23529411764705882,0.125,0.5,1.0,1.0,0.35714285714285715,0.8571428571428571,0.3076923076923077,0.9090909090909091,0.3333333333333333,0.5,0.3333333333333333,,,1.0,1.0,1.0,0.8333333333333334,1.0,,96.66666666666666,,18.697674418604652,11.181818181818182,18.162790697674417,11.181818181818182,0.3695652173913043,0.6470588235294118,0.8461538461538461,0.45454545454545453,0.17391304347826086,0.25,0.2857142857142857,0.5,0.06521739130434782,0.3333333333333333,0.3333333333333333,1.0,0.10869565217391304,0.4,0.4,1.0,0.2826086956521739,0.15384615384615385,0.15384615384615385,0.5,0.8333333333333334,0.8,,,,0.375,0.6666666666666666,0.08333333333333333,0.375,0.2222222222222222,0.7608695652173914,0.16666666666666666,0.5423322222222222,0.604575,0.5543630434782608,0.1,0.1,0.20833333333333334,0.625,4.742857142857143,26.572222222222223,0.5581395348837209,,,,0.4,,,,1.0,1.0,1.0,2.0,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,1610612766,2022,2021-22,False
1626149-1626162-1626179-1628998-1629667,1610612766,"Montrezl Harrell, Kelly Oubre Jr., Terry Rozier, Cody Martin, Jalen McDaniels","Harrell, Oubre Jr., Rozier, Martin, McDaniels",1626149-1626162-1626179-1628998-1629667,CHA,614.0,3,10.0,-7.0,20.0,19.0,2.0,7.0,3.0,39.0,4.0,8.0,2.0,2.0,,,1.0,6.0,1.0,1.0,,,,,,,3.0,,1.0,6.0,15.0,,3.0,2.0,14.0,21.0,2.0,2.0,,,1.0,5.0,,1.0,,1.0,,,8.0,4.0,,,2.0,3.0,,1.0,4.0,,4.0,,,3.0,,1.0,8.0,,3.0,4.0,3.0,,7.0,3.0,10.0,1.0,2.0,2.0,,1.0,1.0,1.0,2.0,1.0,,3.0,,,3.0,6.0,,4.0,,6.0,1.0,,2.0,,1.0,,1.0,1.0,,9.0,,2.0,,,0.6666666666666666,0.8,,,,,,0.4,1.0,,0.3333333333333333,1.0,,0.35,0.8333333333333334,,0.16666666666666666,0.06666666666666667,0.125,,0.3333333333333333,,0.6,0.3333333333333333,0.8,,0.7,0.25,0.5,0.2,,,,0.5,1.0,0.8,,0.09090909090909091,91.46579804560261,,16.95,14.473684210526315,15.7,13.894736842105264,0.4444444444444444,0.5,0.5714285714285714,0.75,0.3333333333333333,0.16666666666666666,0.16666666666666666,,0.05555555555555555,1.0,1.0,1.0,,,,,0.16666666666666666,,,,1.0,1.0,,,,,,,0.5,,0.6111111111111112,,0.49846388888888893,0.6431,0.471675,0.15,0.125,0.35714285714285715,,5.1066666666666665,25.133333333333336,0.1,,,,,,,,,,,1.0,,0.25,1.0,0.5,,,,,,,,,,,,,,,,,,,,1610612766,2022,2021-22,False
1626149-1626162-1626179-1628998-1630550,1610612766,"Montrezl Harrell, Kelly Oubre Jr., Terry Rozier, Cody Martin, JT Thor","Harrell, Oubre Jr., Rozier, Martin, Thor",1626149-1626162-1626179-1628998-1630550,CHA,45.0,1,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,1.0,2.0,,,1.0,3.0,2.0,1.0,1.0,,,,2.0,1.0,2.0,,,1.0,3.0,2.0,,,,,,,,1.0,,1.0,,,1.0,,,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,2.0,,,1.0,,,,,,,1.0,3.0,1.0,,,1.0,1.0,,,,,,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,64.0,,35.0,10.0,32.0,10.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,0.5,,,,1.0,,0.55935,0.6855,0.55935,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,2.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1610612766,2022,2021-22,False
1626149-1626162-1626179-1629023-1629667,1610612766,"Montrezl Harrell, Kelly Oubre Jr., Terry Rozier, P.J. Washington, Jalen McDaniels","Harrell, Oubre Jr., Rozier, Washington, McDaniels",1626149-1626162-1626179-1629023-1629667,CHA,137.0,2,2.0,2.0,6.0,5.0,4.0,,1.0,11.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,2.0,,2.0,2.0,3.0,,2.0,2.0,6.0,4.0,1.0,1.0,,,,2.0,1.0,1.0,,2.0,2.0,4.0,,4.0,,,2.0,2.0,,,,,,,,,,,,,1.0,1.0,2.0,,3.0,1.0,4.0,1.0,,,,,,,1.0,,,1.0,,,,1.0,,1.0,,2.0,,,1.0,,,,,,,4.0,4.0,4.0,,,,,,,,,,0.6666666666666666,1.0,1.0,0.4,1.0,0.3333333333333333,0.5,1.0,0.5,0.4,,,,,,0.6666666666666666,1.0,1.0,,0.75,0.3333333333333333,1.0,,,,,0.5,1.0,1.0,,0.3333333333333333,115.62043795620438,,8.666666666666666,17.0,8.5,15.2,0.6,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,0.4,,,,1.0,1.0,,,,0.3333333333333333,1.0,,0.6666666666666666,,1.0,,0.57353,0.5762,0.6046166666666667,0.16666666666666666,0.25,0.3333333333333333,0.6666666666666666,1.9000000000000001,25.6,0.6666666666666666,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1610612766,2022,2021-22,False
1626149-1626162-1626179-1629023-1630163,1610612766,"Montrezl Harrell, Kelly Oubre Jr., Terry Rozier, P.J. Washington, LaMelo Ball","Harrell, Oubre Jr., Rozier, Washington, Ball",1626149-1626162-1626179-1629023-1630163,CHA,110.0,3,2.0,-4.0,6.0,4.0,6.0,4.0,,10.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,1.0,,1.0,2.0,3.0,,1.0,2.0,6.0,10.0,,,,,,,2.0,3.0,,1.0,2.0,6.0,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,2.0,,1.0,,2.0,,,1.0,,,,,,,6.0,6.0,6.0,1.0,,,,,,,,,0.6666666666666666,,0.6666666666666666,0.5,,0.5,0.6,,0.6,0.25,,,,1.0,,,,,,,,,,,,,,,,,,130.9090909090909,,11.666666666666666,10.0,11.666666666666666,10.0,0.25,1.0,1.0,,0.5,0.5,0.5,,,,,,,,,,0.25,,,,,,,,,0.25,1.0,,0.25,,0.5,,0.4003625,,0.4003625,0.2,0.25,,1.0,5.566666666666666,30.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2022,2021-22,False
