EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,FG2A,OpponentPoints,DeadBallTurnovers,Turnovers,3SecondViolations,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimAssists,2pt And 1 Free Throw Trips,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFGM,Corner3FGM,Corner3FGA,PtsPutbacks,Fg2aBlocked,Corner3Assists,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,Charge Fouls Drawn,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,OffLongMidRangeReboundPct,DefCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimAccuracy,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,Offensive Fouls Drawn,ShortMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,FTOffRebounds,LostBallTurnovers,Offensive Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg3Pct,OffFTReboundPct,BlocksRecoveredPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,LongMidRangeAssists,LongMidRangePctAssisted,PenaltyCorner3FGA,PtsUnassisted3s,FTDefRebounds,SecondChanceTurnovers,Loose Ball Fouls Drawn,DefFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,SecondChanceCorner3FGA,Fg3aBlocked,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,Charge Fouls,PenaltyCorner3FGM,Travels,Blocked3s,BlockedArc3,OffensiveGoaltends,PenaltyCorner3Accuracy,3pt And 1 Free Throw Trips,DefensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,Clear Path Fouls,Corner3PctBlocked,BlockedLongMidRange,BlockedCorner3,team_id,year,season,team_vs
1626159-1627826-1628379-1629599-202339,1610612746,"Justise Winslow, Ivica Zubac, Luke Kennard, Amir Coffey, Eric Bledsoe","Winslow, Zubac, Kennard, Coffey, Bledsoe",1626159-1627826-1628379-1629599-202339,LAC,76.0,1,1.0,-4.0,3.0,2.0,5.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,94.73684210526316,18.666666666666668,10.0,18.666666666666668,10.0,0.5,0.5,0.44585,12.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2022,2021-22,False
1626159-1627826-1628379-1629599-202704,1610612746,"Justise Winslow, Ivica Zubac, Luke Kennard, Amir Coffey, Reggie Jackson","Winslow, Zubac, Kennard, Coffey, Jackson",1626159-1627826-1628379-1629599-202704,LAC,308.0,2,5.0,8.0,9.0,8.0,17.0,3.0,2.0,6.0,7.0,,1.0,,79.48051948051948,18.333333333333332,17.875,16.22222222222222,17.875,0.3333333333333333,0.2222222222222222,0.48147777777777784,10.950000000000001,9.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,6.0,15.0,1.0,2.0,4.0,6.0,3.0,6.0,1.0,3.0,6.0,15.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,4.0,5.0,4.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,2.0,1.0,9.0,15.0,9.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.625,0.75,0.625,0.3333333333333333,1.0,0.8,0.6666666666666666,1.0,1.0,0.8333333333333334,0.8,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.2,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.4241,0.48147777777777784,0.18181818181818182,0.25,0.4,1.0,26.766666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2022,2021-22,False
1626159-1627826-1628379-1629611-202339,1610612746,"Justise Winslow, Ivica Zubac, Luke Kennard, Terance Mann, Eric Bledsoe","Winslow, Zubac, Kennard, Mann, Bledsoe",1626159-1627826-1628379-1629611-202339,LAC,256.0,2,4.0,-8.0,8.0,8.0,16.0,1.0,,3.0,15.0,,2.0,,90.0,18.25,13.75,18.25,13.75,0.16666666666666666,,0.5133583333333334,6.166666666666667,,,2.0,,,,,1.0,3.0,,,2.0,1.0,3.0,,7.0,,,,,,,,,,,4.0,,3.0,3.0,1.0,2.0,1.0,3.0,1.0,,7.0,,,1.0,,1.0,,1.0,,2.0,2.0,,2.0,3.0,2.0,1.0,1.0,,7.0,,,,1.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.6666666666666666,,,0.5833333333333334,,,0.5833333333333334,,,0.5,1.0,,,1.0,,1.0,,,,,,,,1.0,,0.3333333333333333,,,,,,0.5,0.3333333333333333,0.3333333333333333,1.0,,,,,0.8333333333333334,0.3333333333333333,,,0.16666666666666666,0.3333333333333333,,,26.433333333333334,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2022,2021-22,False
1626159-1627826-1628379-1629611-202704,1610612746,"Justise Winslow, Ivica Zubac, Luke Kennard, Terance Mann, Reggie Jackson","Winslow, Zubac, Kennard, Mann, Jackson",1626159-1627826-1628379-1629611-202704,LAC,977.0,2,16.0,-5.0,31.0,33.0,64.0,3.0,6.0,13.0,38.0,1.0,4.0,,94.32958034800409,16.64516129032258,13.969696969696969,16.35483870967742,13.666666666666666,0.10714285714285714,0.21428571428571427,0.5322767857142857,11.069230769230769,1.0,2.0,4.0,2.0,,2.0,1.0,5.0,10.0,,,5.0,7.0,15.0,2.0,33.0,1.0,2.0,1.0,3.0,,1.0,,,,,4.0,6.0,21.0,10.0,5.0,2.0,7.0,9.0,5.0,1.0,25.0,1.0,3.0,5.0,7.0,12.0,4.0,16.0,1.0,3.0,3.0,,,4.0,9.0,6.0,3.0,,30.0,,1.0,,0.4,0.5,1.0,0.4666666666666667,,0.4666666666666667,0.38461538461538464,0.5,,0.5535714285714286,0.5,,0.532258064516129,0.5,,0.5357142857142857,0.75,1.0,0.375,0.7142857142857143,0.125,0.8571428571428571,0.25,1.0,,0.2,1.0,1.0,,0.6666666666666666,0.07142857142857142,0.14285714285714285,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,0.2,0.35714285714285715,0.5,0.5,1.0,1.0,,,,0.6785714285714286,0.5,0.6095,0.3417,0.0967741935483871,0.1875,0.09090909090909091,,25.040000000000003,0.03225806451612903,2.0,1.0,,0.5,0.6666666666666666,0.5,1.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,0.15384615384615385,0.25,0.16666666666666666,0.2,1.0,0.17857142857142858,0.4,0.4,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2022,2021-22,False
1626159-1627826-1628379-201587-202339,1610612746,"Justise Winslow, Ivica Zubac, Luke Kennard, Nicolas Batum, Eric Bledsoe","Winslow, Zubac, Kennard, Batum, Bledsoe",1626159-1627826-1628379-201587-202339,LAC,41.0,1,1.0,2.0,2.0,1.0,3.0,,,1.0,,,,,105.36585365853658,8.0,25.0,8.0,25.0,,,0.556125,2.2,2.0,,1.0,,1.0,,,,1.0,,1.0,1.0,,1.0,,2.0,,,,,1.0,1.0,,1.0,,2.0,,2.0,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,1.0,,1.0,0.5,,0.5,0.5,,0.5,0.5,,1.0,,,,1.0,,,,,,1.0,,,,0.5,,,,,,0.5,,,,,0.5,0.5,,1.0,,,0.556125,,,,1.0,26.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2022,2021-22,False
1626159-1627826-1628379-202694-202704,1610612746,"Justise Winslow, Ivica Zubac, Luke Kennard, Marcus Morris Sr., Reggie Jackson","Winslow, Zubac, Kennard, Morris Sr., Jackson",1626159-1627826-1628379-202694-202704,LAC,28.0,1,,-2.0,1.0,1.0,2.0,,,1.0,2.0,,,,102.85714285714286,28.0,,28.0,,,,0.4353,3.9,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2022,2021-22,False
1626159-1627826-1628392-1629599-1629611,1610612746,"Justise Winslow, Ivica Zubac, Isaiah Hartenstein, Amir Coffey, Terance Mann","Winslow, Zubac, Hartenstein, Coffey, Mann",1626159-1627826-1628392-1629599-1629611,LAC,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2022,2021-22,False
1626159-1627826-1629599-1629611-202339,1610612746,"Justise Winslow, Ivica Zubac, Amir Coffey, Terance Mann, Eric Bledsoe","Winslow, Zubac, Coffey, Mann, Bledsoe",1626159-1627826-1629599-1629611-202339,LAC,15.0,1,,-2.0,1.0,1.0,2.0,1.0,,1.0,2.0,,,,192.0,11.0,4.0,11.0,4.0,1.0,,0.4155,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2022,2021-22,False
1626159-1627826-1629599-202331-202704,1610612746,"Justise Winslow, Ivica Zubac, Amir Coffey, Paul George, Reggie Jackson","Winslow, Zubac, Coffey, George, Jackson",1626159-1627826-1629599-202331-202704,LAC,82.0,1,1.0,,3.0,3.0,6.0,,1.0,2.0,5.0,,,,105.36585365853658,9.333333333333334,18.0,9.333333333333334,18.0,,0.3333333333333333,0.6225666666666666,8.1,2.0,,1.0,,1.0,,1.0,,1.0,,1.0,2.0,,1.0,1.0,5.0,,,,,1.0,1.0,,1.0,,2.0,2.0,2.0,,1.0,,1.0,,1.0,,,2.0,,,,,,,,,,,,,2.0,1.0,1.0,1.0,,5.0,2.0,2.0,,0.5,0.5,,,,,1.0,,1.0,0.6666666666666666,,0.5,0.8333333333333334,,0.5,0.3333333333333333,,,,,,,,,,,,,,,,0.3333333333333333,,,,1.0,1.0,0.3333333333333333,,,,,0.5,0.5,,0.6666666666666666,,,0.72035,0.3333333333333333,0.5,,0.4,27.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2022,2021-22,False
1626159-1627826-1629611-1630527-202339,1610612746,"Justise Winslow, Ivica Zubac, Terance Mann, Brandon Boston Jr., Eric Bledsoe","Winslow, Zubac, Mann, Boston Jr., Bledsoe",1626159-1627826-1629611-1630527-202339,LAC,194.0,1,3.0,2.0,7.0,7.0,14.0,1.0,1.0,6.0,4.0,,,,103.91752577319588,15.142857142857142,12.571428571428571,15.142857142857142,12.571428571428571,0.14285714285714285,0.14285714285714285,0.5116928571428572,7.066666666666666,,,4.0,,,1.0,,,1.0,,,3.0,,1.0,,6.0,,,,,,,,,,,6.0,,,1.0,,3.0,,3.0,,1.0,6.0,,,3.0,2.0,5.0,,5.0,,,,,,,1.0,,,,6.0,,,,1.0,1.0,,,,,0.5,,,0.42857142857142855,,,0.42857142857142855,,,0.14285714285714285,,1.0,,1.0,,1.0,,,,,,1.0,,1.0,,0.5714285714285714,1.0,1.0,1.0,,,0.14285714285714285,,,,,,,,0.7142857142857143,,,,,,,,25.1,,2.0,2.0,,0.5,0.5,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2022,2021-22,False
