EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FirstChancePoints,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,AtRimFGM,ShortMidRangeFGM,Corner3FGA,FG2M,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,SecondChanceOffPoss,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,ThreePtAssists,Arc3Assists,OffThreePtRebounds,FTDefRebounds,OffRebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,Assisted3sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,Arc3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,LongMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG3A,OffTwoPtRebounds,LiveBallTurnovers,BadPassTurnovers,Offensive Fouls,BlockedAtRim,LiveBallTurnoverPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,PenaltyOffPoss,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,Fg2aBlocked,SecondChanceTurnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,Corner3Assists,SelfOReb,SecondChanceFg3Pct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangeAssists,RecoveredBlocks,BlocksRecoveredPct,LongMidRangePctAssisted,PenaltyFtPoints,LostBallSteals,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,LostBallTurnovers,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,Charge Fouls,PenaltyAtRimFGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,OffCorner3ReboundPct,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,Loose Ball Fouls,OffensiveGoaltends,NonShootingPenaltyNonTakeFouls,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,Blocked3s,BlockedCorner3,DefensiveGoaltends,BadPassOutOfBoundsTurnovers,Charge Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Travels,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,FTOffRebounds,OffFTReboundPct,HeaveAttempts,Defensive 3 Seconds Violations,LongMidRangePctBlocked,HeaveMakes,BlockedArc3,BlockedLongMidRange,3SecondViolations,Corner3PctBlocked,team_id,year,season,team_vs
1626144-1626158-1630169-203084-203090,1610612758,"Emmanuel Mudiay, Richaun Holmes, Tyrese Haliburton, Harrison Barnes, Maurice Harkless","Mudiay, Holmes, Haliburton, Barnes, Harkless",1626144-1626158-1630169-203084-203090,SAC,192.0,1,3.0,-6.0,6.0,6.0,12.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,9.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,0.3333333333333333,0.3333333333333333,0.25,0.25,0.5,1.0,1.0,1.0,90.0,18.5,13.5,18.5,13.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4739583333333333,9.933333333333334,26.96666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2022,2021-22,False
1626144-1627741-1629002-202684-203090,1610612758,"Emmanuel Mudiay, Buddy Hield, Chimezie Metu, Tristan Thompson, Maurice Harkless","Mudiay, Hield, Metu, Thompson, Harkless",1626144-1627741-1629002-202684-203090,SAC,202.0,1,3.0,-2.0,7.0,8.0,15.0,1.0,3.0,,,1.0,4.0,,3.0,4.0,6.0,,1.0,,4.0,5.0,5.0,,,,1.0,4.0,,,0.2857142857142857,0.2857142857142857,0.42857142857142855,1.0,1.0,1.0,106.93069306930693,12.571428571428571,14.25,12.571428571428571,14.25,0.14285714285714285,0.42857142857142855,,0.14285714285714285,,,0.5714285714285714,,0.5182071428571429,5.1,24.266666666666666,1.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2022,2021-22,False
1626158-1626168-1628368-1628978-1630558,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Donte DiVincenzo, Davion Mitchell","Holmes, Lyles, Fox, DiVincenzo, Mitchell",1626158-1626168-1628368-1628978-1630558,SAC,377.0,2,6.0,7.0,13.0,14.0,27.0,4.0,4.0,,2.0,4.0,8.0,2.0,5.0,21.0,14.0,,4.0,2.0,3.0,6.0,7.0,1.0,1.0,2.0,3.0,19.0,0.4,0.4,0.7692307692307693,0.8076923076923077,0.38461538461538464,0.6,0.7142857142857143,1.0,103.12997347480106,14.076923076923077,13.857142857142858,13.692307692307692,13.428571428571429,0.3076923076923077,0.3076923076923077,,0.3076923076923077,0.5,0.5,0.6923076923076923,0.5,0.5280076923076924,4.8625,24.64,,4.0,3.0,1.0,7.0,2.0,1.0,3.0,,1.0,8.0,2.0,0.14285714285714285,0.14285714285714285,0.875,1.0,0.5,,1.0,1.0,1.0,,0.75,0.75,0.3333333333333333,0.07692307692307693,1.0,1.0,1.0,1.0,2.0,12.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,1.0,0.07692307692307693,0.125,0.09523809523809523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2022,2021-22,False
1626158-1626168-1628368-1628978-203084,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Donte DiVincenzo, Harrison Barnes","Holmes, Lyles, Fox, DiVincenzo, Barnes",1626158-1626168-1628368-1628978-203084,SAC,421.0,2,7.0,2.0,15.0,16.0,31.0,3.0,6.0,2.0,1.0,4.0,11.0,1.0,4.0,17.0,15.0,3.0,4.0,1.0,2.0,9.0,11.0,,,4.0,6.0,17.0,0.25,0.25,0.5666666666666667,0.5666666666666667,0.26666666666666666,0.6666666666666666,0.8571428571428571,0.5,106.0332541567696,13.2,13.9375,11.933333333333334,13.5,0.2,0.4,0.13333333333333333,0.26666666666666666,0.25,0.25,0.4666666666666667,0.25,0.46862,9.118181818181817,25.95,1.0,2.0,4.0,,7.0,6.0,3.0,3.0,2.0,1.0,6.0,4.0,0.42857142857142855,0.42857142857142855,0.6363636363636364,1.0,1.0,,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.25,,2.0,,,,,8.0,,,,,3.0,2.0,1.0,,2.0,,,,,,1.0,,1.0,,,,,1.0,,0.2857142857142857,,,,,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.5655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2022,2021-22,False
1626158-1626168-1628368-1630558-203084,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Davion Mitchell, Harrison Barnes","Holmes, Lyles, Fox, Mitchell, Barnes",1626158-1626168-1628368-1630558-203084,SAC,224.0,2,4.0,-9.0,7.0,8.0,15.0,1.0,2.0,2.0,,4.0,5.0,,4.0,4.0,13.0,,4.0,,,1.0,4.0,,,1.0,1.0,4.0,,,0.2222222222222222,0.2222222222222222,0.4444444444444444,,0.5,,96.42857142857143,18.714285714285715,11.625,15.714285714285714,11.5,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.4444444444444444,,,0.5555555555555556,,0.46412222222222227,9.4,24.925,7.0,,1.0,,2.0,,,,,,,1.0,,,0.4,0.5,,,0.5,,,,0.5,1.0,,,2.0,,,1.0,,4.0,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,0.42857142857142855,,,,,,1.0,1.0,1.0,3.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,0.5,0.5,0.5,0.46395,7.0,1.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,4.0,7.0,0.5,0.25,0.25,0.4,1.0,0.5,1.0,0.125,0.5,0.471425,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2022,2021-22,False
1626158-1626168-1628368-203084-203200,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Harrison Barnes, Justin Holiday","Holmes, Lyles, Fox, Barnes, Holiday",1626158-1626168-1628368-203084-203200,SAC,126.0,1,2.0,-8.0,4.0,4.0,8.0,1.0,2.0,,,1.0,3.0,,1.0,2.0,10.0,,1.0,,,,1.0,,,,,2.0,,,0.25,0.25,0.25,,,,91.42857142857143,23.75,7.75,23.75,7.5,0.25,0.5,,0.25,,,0.5,,0.4525375,6.333333333333333,24.9,1.0,,1.0,,1.0,,,,,,,,,,0.3333333333333333,,,,,,,,0.5,0.5,,,,,,,,2.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,1.0,1.0,1.0,,,1.0,0.5,1.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,,,0.3333333333333333,1.0,,,0.5,0.5,0.493825,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2022,2021-22,False
1626158-1627734-1628368-1628978-203090,1610612758,"Richaun Holmes, Domantas Sabonis, De'Aaron Fox, Donte DiVincenzo, Maurice Harkless","Holmes, Sabonis, Fox, DiVincenzo, Harkless",1626158-1627734-1628368-1628978-203090,SAC,166.0,1,3.0,,6.0,6.0,12.0,2.0,,1.0,,1.0,3.0,2.0,3.0,8.0,8.0,,1.0,,1.0,3.0,4.0,,,1.0,2.0,5.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.5,,104.09638554216868,14.833333333333334,12.833333333333334,14.0,11.0,0.3333333333333333,,0.16666666666666666,0.16666666666666666,,,0.8333333333333334,,0.488575,7.666666666666667,24.400000000000002,,1.0,,2.0,1.0,,,2.0,,,6.0,1.0,,,0.3333333333333333,1.0,1.0,,,0.5,0.5,,,,,0.3333333333333333,1.0,,,,3.0,2.0,6.0,2.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,1.5,1.5,1.0,1.0,0.3333333333333333,1.0,,,,0.375,,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2022,2021-22,False
1626158-1627734-1628368-1630558-203084,1610612758,"Richaun Holmes, Domantas Sabonis, De'Aaron Fox, Davion Mitchell, Harrison Barnes","Holmes, Sabonis, Fox, Mitchell, Barnes",1626158-1627734-1628368-1630558-203084,SAC,144.0,1,2.0,1.0,6.0,6.0,12.0,,1.0,1.0,1.0,3.0,2.0,1.0,3.0,7.0,6.0,,3.0,1.0,1.0,3.0,3.0,,,1.0,1.0,7.0,0.3333333333333333,0.3333333333333333,0.7,0.7,0.6,1.0,1.0,1.0,120.0,10.333333333333334,13.666666666666666,10.333333333333334,13.666666666666666,,0.2,0.2,0.6,0.3333333333333333,0.3333333333333333,0.6,0.3333333333333333,0.53074,12.8,25.433333333333334,,,1.0,,2.0,4.0,2.0,3.0,,1.0,7.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,3.0,1.0,1.0,,,,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2022,2021-22,False
1626158-1627734-1628978-1629002-1630558,1610612758,"Richaun Holmes, Domantas Sabonis, Donte DiVincenzo, Chimezie Metu, Davion Mitchell","Holmes, Sabonis, DiVincenzo, Metu, Mitchell",1626158-1627734-1628978-1629002-1630558,SAC,95.0,2,2.0,2.0,4.0,3.0,7.0,2.0,,,,1.0,2.0,,1.0,5.0,3.0,,1.0,,,3.0,3.0,,,1.0,1.0,5.0,,,0.3333333333333333,0.625,0.3333333333333333,,1.0,,106.10526315789474,13.25,14.0,13.25,10.0,0.6666666666666666,,,0.3333333333333333,,,1.0,,0.43271666666666664,3.0,25.4,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,0.5,1.0,,,1.0,0.5,1.0,1.0,,,,,,3.0,,,,,,,,,1.0,,,,,2.0,,3.0,1.0,2.0,,,,,,,,1.0,,,,,0.5,0.6666666666666666,,,,,,,,,,,,,,1.0,,,,,3.0,1.0,1.0,,1.0,1.0,2.0,1.0,,,2.0,3.0,,,0.3333333333333333,0.5,0.5,,,0.5,0.5,0.456625,0.4,0.75,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2022,2021-22,False
1626158-1627741-1628368-1628963-1630169,1610612758,"Richaun Holmes, Buddy Hield, De'Aaron Fox, Marvin Bagley III, Tyrese Haliburton","Holmes, Hield, Fox, Bagley III, Haliburton",1626158-1627741-1628368-1628963-1630169,SAC,55.0,1,1.0,1.0,2.0,2.0,4.0,1.0,,,,,1.0,,,3.0,2.0,,,,,,,1.0,,,,3.0,,,1.0,0.75,,,,,104.72727272727273,9.0,18.5,9.0,18.5,1.0,,,,,,1.0,,0.9082,0.8,,,1.0,,,1.0,2.0,1.0,1.0,1.0,,2.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2022,2021-22,False
