EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,Corner3FGA,SecondChanceCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG3A,NonHeaveArc3FGA,Steals,BadPassSteals,LostBallSteals,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,TsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Corner3Frequency,Arc3Frequency,SecondChanceCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,SecondChanceAtRimFGM,Corner3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFG3M,PenaltyFtPoints,PtsAssisted3s,Fg2aBlocked,Fg3aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,LongMidRangeAssists,FTDefRebounds,Travels,Loose Ball Fouls,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,DefAtRimReboundPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,LongMidRangePctBlocked,OffLongMidRangeReboundPct,SecondChanceCorner3FGM,PenaltyCorner3FGM,StepOutOfBoundsTurnovers,Offensive Fouls,Offensive Fouls Drawn,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Defensive 3 Seconds Violations,Charge Fouls Drawn,Blocked3s,BlockedArc3,DefensiveGoaltends,3SecondViolations,Corner3PctBlocked,Charge Fouls,BlockedCorner3,BlockedLongMidRange,OffensiveGoaltends,FTOffRebounds,OffFTReboundPct,3pt And 1 Free Throw Trips,HeaveAttempts,HeaveMakes,team_id,year,season,team_vs
1627783-1627832-1628384-1628449-1629004,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Chris Boucher, Svi Mykhailiuk","Siakam, VanVleet, Anunoby, Boucher, Mykhailiuk",1627783-1627832-1628384-1628449-1629004,TOR,87.0,1,1.0,-2.0,4.0,4.0,2.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,0.25,1.0,132.41379310344828,11.5,10.25,10.0,10.25,0.5,0.5,1.0,1.0,1.0,0.56085,0.5748,0.5469,0.5,1.0,24.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,True
1627783-1627832-1628384-1628449-1629018,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Chris Boucher, Gary Trent Jr.","Siakam, VanVleet, Anunoby, Boucher, Trent Jr.",1627783-1627832-1628384-1628449-1629018,TOR,1178.0,9,20.0,-14.0,40.0,39.0,9.0,6.0,79.0,6.0,2.0,8.0,1.0,14.0,6.0,37.0,51.0,4.0,2.0,8.0,3.0,3.0,,2.0,10.0,9.0,5.0,35.0,9.0,0.43902439024390244,0.3684210526315789,96.5704584040747,15.3,14.512820512820513,14.375,13.615384615384615,0.15789473684210525,0.21052631578947367,0.25,0.14285714285714285,0.7894736842105263,0.5343394736842106,0.48279999999999995,0.5973928571428572,0.12195121951219512,0.18518518518518517,25.092857142857145,0.225,6.0,10.0,16.0,3.0,3.0,5.0,3.0,5.0,1.0,3.0,1.0,1.0,2.0,14.0,24.0,1.0,1.0,4.0,2.0,3.0,5.0,6.0,16.0,12.0,3.0,2.0,1.0,8.0,8.0,7.0,1.0,16.0,6.0,3.0,8.0,5.0,13.0,9.0,22.0,1.0,7.0,1.0,5.0,3.0,1.0,2.0,10.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,0.5714285714285714,0.6153846153846154,0.07142857142857142,0.07142857142857142,0.5833333333333334,0.25,0.6,0.40789473684210525,0.125,0.42857142857142855,0.1111111111111111,0.42857142857142855,0.7,0.7142857142857143,0.3,0.7272727272727273,0.5,0.7222222222222222,0.4090909090909091,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.75,0.6666666666666666,0.75,0.6666666666666666,0.045454545454545456,1.0,0.42105263157894735,0.625,0.625,0.7,0.13157894736842105,0.6,0.6,0.3333333333333333,0.07894736842105263,0.3333333333333333,0.3333333333333333,0.125,0.125,0.375,0.25,0.7142857142857143,0.6,0.14285714285714285,0.125,0.05405405405405406,0.16216216216216217,4.9875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,True
1627783-1627832-1628384-1628449-1630173,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Chris Boucher, Precious Achiuwa","Siakam, VanVleet, Anunoby, Boucher, Achiuwa",1627783-1627832-1628384-1628449-1630173,TOR,2888.0,12,48.0,-7.0,96.0,94.0,32.0,10.0,190.0,16.0,1.0,24.0,5.0,40.0,16.0,106.0,113.0,4.0,9.0,24.0,9.0,4.0,5.0,21.0,14.0,18.0,7.0,98.0,32.0,0.5463917525773195,0.449438202247191,94.73684210526316,14.041666666666666,16.382978723404257,13.520833333333334,15.382978723404255,0.1797752808988764,0.2696629213483146,0.125,0.1724137931034483,0.7640449438202247,0.5270938202247191,0.4068833333333333,0.5281517241379311,0.08421052631578947,0.12962962962962962,25.134999999999998,0.3333333333333333,15.0,19.0,28.0,1.0,8.0,12.0,6.0,13.0,2.0,8.0,4.0,7.0,3.0,27.0,49.0,12.0,2.0,4.0,8.0,12.0,20.0,36.0,36.0,18.0,3.0,2.0,7.0,18.0,29.0,15.0,1.0,69.0,7.0,4.0,13.0,17.0,34.0,11.0,45.0,1.0,8.0,1.0,5.0,2.0,,3.0,10.0,1.0,4.0,11.0,1.0,2.0,,6.0,2.0,6.0,3.0,36.0,0.6666666666666666,0.6923076923076923,0.3,0.3,0.5510204081632653,0.5,0.6,0.5056179775280899,0.4375,0.46551724137931033,0.4444444444444444,0.5454545454545454,0.8,0.5666666666666667,0.18181818181818182,0.65,0.25,0.6,0.22,0.3333333333333333,0.14285714285714285,0.17647058823529413,0.36363636363636365,0.45454545454545453,0.875,0.6428571428571429,0.6666666666666666,0.022727272727272728,0.5,0.3146067415730337,0.6785714285714286,0.7916666666666666,0.7894736842105263,0.14606741573033707,0.46153846153846156,0.5,0.16666666666666666,0.0898876404494382,0.25,0.25,0.2916666666666667,0.30434782608695654,0.125,0.375,0.41379310344827586,0.6666666666666666,0.13793103448275862,0.2916666666666667,0.07547169811320754,0.33962264150943394,6.824489795918367,1.0,5.0,1.0,1.0,1.0,1.0,1.0,9.0,33.0,5.0,1.0,11.0,6.0,5.0,2.0,4.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,0.9166666666666666,0.25,0.1111111111111111,0.025,0.10204081632653061,0.14285714285714285,0.07692307692307693,0.041666666666666664,0.8,0.45454545454545453,1.0,0.3125,0.3125,1.0,0.8571428571428571,1.0,1.0,0.3333333333333333,1.0,0.2,0.024390243902439025,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,True
1627783-1627832-1628384-1628449-1630551,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Chris Boucher, Justin Champagnie","Siakam, VanVleet, Anunoby, Boucher, Champagnie",1627783-1627832-1628384-1628449-1630551,TOR,1135.0,6,19.0,-17.0,36.0,33.0,5.0,4.0,69.0,4.0,,13.0,1.0,17.0,5.0,37.0,54.0,2.0,1.0,13.0,2.0,2.0,,10.0,7.0,5.0,2.0,37.0,5.0,0.5441176470588235,0.53125,87.54185022026431,17.63888888888889,15.151515151515152,16.083333333333332,13.878787878787879,0.125,0.40625,,0.5,0.6875,0.485371875,0.3516375,0.4746,0.06060606060606061,0.125,26.182352941176468,0.1388888888888889,18.0,3.0,5.0,,,,4.0,6.0,,4.0,,5.0,2.0,7.0,15.0,6.0,,3.0,,1.0,1.0,9.0,6.0,8.0,6.0,,5.0,3.0,7.0,2.0,1.0,18.0,2.0,3.0,4.0,3.0,7.0,5.0,12.0,,6.0,1.0,5.0,1.0,,1.0,7.0,1.0,1.0,3.0,,1.0,,2.0,1.0,2.0,1.0,9.0,0.42857142857142855,0.42857142857142855,0.35294117647058826,0.35294117647058826,0.4666666666666667,,1.0,0.5,,1.25,,1.125,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.18181818181818182,0.5,0.2777777777777778,1.0,,0.25,,0.5,0.5,0.5714285714285714,,,0.5,0.15625,0.6,0.75,0.6666666666666666,0.1875,0.6666666666666666,0.6666666666666666,0.25,0.125,,,0.38461538461538464,0.38461538461538464,,0.4,,,,0.38461538461538464,,0.24324324324324326,8.393333333333334,,1.0,,1.0,,,1.0,4.0,12.0,2.0,,4.0,3.0,1.0,,,,1.0,,1.0,1.0,2.0,1.0,0.6666666666666666,,1.0,,0.13333333333333333,0.2,,,,,,0.25,0.25,1.0,0.6,,,,,1.0,,1.0,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,True
1627783-1627832-1628384-1628449-1630567,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Chris Boucher, Scottie Barnes","Siakam, VanVleet, Anunoby, Boucher, Barnes",1627783-1627832-1628384-1628449-1630567,TOR,2025.0,11,34.0,1.0,63.0,64.0,32.0,6.0,127.0,10.0,1.0,13.0,5.0,23.0,13.0,71.0,70.0,2.0,12.0,13.0,5.0,4.0,1.0,8.0,15.0,15.0,5.0,58.0,30.0,0.6228070175438597,0.45098039215686275,90.31111111111112,16.253968253968253,15.640625,15.714285714285714,15.171875,0.19607843137254902,0.2549019607843137,0.125,0.21739130434782608,0.7450980392156863,0.517507843137255,0.51048,0.52505,0.09433962264150944,0.16666666666666666,24.817391304347826,0.5079365079365079,21.0,11.0,15.0,4.0,5.0,7.0,2.0,8.0,1.0,5.0,7.0,6.0,1.0,14.0,28.0,10.0,3.0,6.0,13.0,5.0,11.0,37.0,14.0,14.0,6.0,6.0,6.0,7.0,15.0,5.0,1.0,38.0,3.0,6.0,12.0,13.0,26.0,9.0,35.0,1.0,8.0,1.0,5.0,7.0,2.0,3.0,15.0,,8.0,3.0,,3.0,,3.0,2.0,3.0,1.0,33.0,0.5,0.6363636363636364,0.43478260869565216,0.43478260869565216,0.5,0.5,0.45454545454545453,0.5686274509803921,0.75,0.6086956521739131,0.8125,0.6607142857142857,0.5333333333333333,0.8125,0.42857142857142855,0.8,0.23076923076923078,0.8064516129032258,0.3333333333333333,0.5,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.7272727272727273,1.0,0.7,1.0,0.043478260869565216,0.3333333333333333,0.29411764705882354,0.7333333333333333,0.8461538461538461,0.45454545454545453,0.1568627450980392,0.25,0.3333333333333333,0.5,0.09803921568627451,0.2,0.2,0.46153846153846156,0.46153846153846156,0.5,0.125,0.30434782608695654,0.7142857142857143,0.30434782608695654,0.46153846153846156,0.18309859154929578,0.5211267605633803,6.646428571428571,3.0,4.0,1.0,3.0,2.0,1.0,6.0,9.0,24.0,4.0,,8.0,4.0,4.0,1.0,1.0,,,,4.0,1.0,,2.0,0.8,1.0,0.5,,0.14285714285714285,0.13333333333333333,0.25,,1.0,1.0,1.0,0.4,0.4,1.0,0.6666666666666666,0.75,,1.0,1.0,0.6,,,,0.5,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.42857142857142855,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,True
1627783-1627832-1628384-1628449-201152,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Chris Boucher, Thaddeus Young","Siakam, VanVleet, Anunoby, Boucher, Young",1627783-1627832-1628384-1628449-201152,TOR,229.0,2,4.0,-5.0,7.0,8.0,5.0,1.0,15.0,2.0,1.0,2.0,1.0,4.0,2.0,7.0,12.0,1.0,2.0,2.0,,,,2.0,3.0,2.0,1.0,4.0,5.0,0.5,0.6666666666666666,94.32314410480349,19.142857142857142,11.875,17.857142857142858,11.75,0.3333333333333333,0.3333333333333333,1.0,0.25,0.8333333333333334,0.49756666666666666,,0.4979125,0.14285714285714285,0.3333333333333333,24.5,0.7142857142857143,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,2.0,1.0,,,3.0,1.0,2.0,7.0,,2.0,,,,,1.0,,,3.0,1.0,,1.0,,2.0,1.0,3.0,,1.0,,1.0,,,,1.0,,1.0,2.0,,,,,,,,7.0,,,0.25,0.25,0.5,,0.5,0.4166666666666667,1.5,0.625,1.5,0.7,1.0,,,0.5,0.3333333333333333,0.5,0.25,,,0.5,,,,0.5,,,,0.16666666666666666,,,,0.16666666666666666,1.0,1.0,,,,,,,,,0.25,,0.25,,0.42857142857142855,1.0,6.8,,1.0,,,1.0,,1.0,2.0,3.0,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,0.5,,,,,,1.0,,,0.5,0.5,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,True
1627783-1627832-1628384-1628449-203920,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Chris Boucher, Khem Birch","Siakam, VanVleet, Anunoby, Boucher, Birch",1627783-1627832-1628384-1628449-203920,TOR,1600.0,9,27.0,-19.0,49.0,49.0,15.0,4.0,98.0,9.0,1.0,15.0,5.0,24.0,12.0,50.0,69.0,4.0,8.0,15.0,3.0,3.0,,15.0,10.0,15.0,3.0,40.0,12.0,0.46296296296296297,0.5106382978723404,88.2,14.795918367346939,17.857142857142858,14.346938775510203,16.53061224489796,0.19148936170212766,0.3191489361702128,0.14285714285714285,0.4166666666666667,0.6595744680851063,0.4948851063829788,0.5039125,0.45752499999999996,0.06,0.11538461538461539,25.166666666666668,0.30612244897959184,20.0,3.0,7.0,2.0,1.0,3.0,3.0,8.0,4.0,8.0,3.0,4.0,3.0,10.0,23.0,6.0,1.0,3.0,10.0,1.0,4.0,18.0,12.0,8.0,,,4.0,6.0,12.0,2.0,3.0,30.0,6.0,3.0,5.0,10.0,18.0,9.0,27.0,1.0,3.0,,1.0,1.0,1.0,2.0,4.0,,2.0,6.0,,,1.0,3.0,1.0,3.0,,12.0,0.6,0.6,0.25,0.25,0.43478260869565216,0.3333333333333333,0.25,0.40425531914893614,0.5714285714285714,0.4583333333333333,0.625,0.5625,0.75,0.5555555555555556,0.23076923076923078,0.5,0.35294117647058826,0.5357142857142857,0.3,0.5,,0.4,0.2857142857142857,0.5555555555555556,0.8,0.4444444444444444,1.0,0.037037037037037035,,0.14893617021276595,0.42857142857142855,0.6,0.6666666666666666,0.1702127659574468,0.375,0.375,1.0,0.1702127659574468,0.5,0.5,0.26666666666666666,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.25,0.3333333333333333,0.25,0.26666666666666666,0.2,0.36,10.021739130434783,,2.0,1.0,2.0,2.0,2.0,3.0,7.0,18.0,2.0,1.0,6.0,4.0,2.0,1.0,3.0,,4.0,,4.0,2.0,2.0,1.0,1.0,0.5,0.375,0.041666666666666664,0.08695652173913043,0.2857142857142857,,0.06666666666666667,1.0,0.25,0.25,0.2222222222222222,0.2222222222222222,1.0,1.0,,,0.3333333333333333,1.0,0.4,,,,0.25,1.0,1.0,,,,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,1610612761,2022,2021-22,True
1627783-1627832-1628384-1629004-1629018,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Svi Mykhailiuk, Gary Trent Jr.","Siakam, VanVleet, Anunoby, Mykhailiuk, Trent Jr.",1627783-1627832-1628384-1629004-1629018,TOR,222.0,1,4.0,-1.0,6.0,7.0,,1.0,13.0,2.0,,1.0,,3.0,,9.0,10.0,,,1.0,,,,2.0,,,,7.0,,0.6428571428571429,0.42857142857142855,84.32432432432432,19.833333333333332,14.714285714285714,19.666666666666668,14.285714285714286,0.2857142857142857,0.14285714285714285,,,0.5714285714285714,0.4773,,,,,23.433333333333334,,,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,1.0,,3.0,4.0,1.0,1.0,1.0,2.0,,,,,6.0,,2.0,1.0,,1.0,,,3.0,1.0,,2.0,1.0,3.0,1.0,4.0,,,,,,,,,,,2.0,,,,,,,,,,,0.3333333333333333,0.3333333333333333,0.75,1.0,,0.6428571428571429,1.0,,1.0,,,0.5,,1.0,0.5,0.75,0.3333333333333333,,,,0.5,,,1.0,1.0,,,0.14285714285714285,1.0,1.0,,0.14285714285714285,1.0,1.0,,0.2857142857142857,0.5,0.5,1.0,1.0,1.0,,,,,1.0,0.2222222222222222,,10.5,1.0,,,,,,,,3.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,True
1627783-1627832-1628384-1629004-1630567,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Svi Mykhailiuk, Scottie Barnes","Siakam, VanVleet, Anunoby, Mykhailiuk, Barnes",1627783-1627832-1628384-1629004-1630567,TOR,112.0,1,2.0,2.0,3.0,3.0,,1.0,6.0,,,1.0,,1.0,1.0,6.0,4.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,3.0,,1.0,0.3333333333333333,77.14285714285714,19.666666666666668,17.666666666666668,17.666666666666668,15.666666666666666,,0.3333333333333333,,,0.6666666666666666,0.5960333333333333,0.585,,0.3333333333333333,0.5,24.7,,,1.0,1.0,,,,,,,1.0,,1.0,1.0,1.0,2.0,1.0,,,3.0,,,,2.0,,,,1.0,1.0,2.0,1.0,,5.0,,1.0,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,0.5,,,0.8333333333333334,1.5,,1.5,,1.0,,1.0,,,,1.0,,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,0.3333333333333333,,,1.0,1.0,,1.0,,,,1.0,0.5,,8.45,,,1.0,,1.0,,,,3.0,,,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,True
1627783-1627832-1628384-1629004-1630625,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Svi Mykhailiuk, Dalano Banton","Siakam, VanVleet, Anunoby, Mykhailiuk, Banton",1627783-1627832-1628384-1629004-1630625,TOR,279.0,1,5.0,1.0,10.0,10.0,10.0,1.0,20.0,1.0,,1.0,1.0,2.0,,10.0,9.0,,2.0,1.0,2.0,1.0,1.0,1.0,,,,10.0,10.0,0.5,0.2,103.2258064516129,12.8,15.1,12.8,13.4,0.1,0.1,,0.1,0.6,0.44147499999999995,0.5021,0.44147499999999995,,,25.8,1.0,10.0,2.0,4.0,1.0,2.0,4.0,3.0,4.0,,,1.0,,,5.0,8.0,,,1.0,,5.0,8.0,10.0,6.0,4.0,,,,3.0,3.0,2.0,1.0,6.0,,1.0,2.0,2.0,4.0,1.0,5.0,,1.0,,1.0,,,,1.0,,1.0,,,,,1.0,,1.0,,10.0,0.6,0.6,,,0.625,,0.625,0.5,,0.5,,0.5,1.0,0.5,0.3333333333333333,1.0,,0.6666666666666666,0.25,,1.0,,,0.5,,1.0,,,,0.4,0.5,0.6666666666666666,1.0,0.4,0.75,0.75,0.3333333333333333,,,,,,1.0,,0.4,0.5,0.1,,,1.0,5.0625,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,0.125,0.25,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,True
