EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyTurnovers,NonShootingPenaltyNonTakeFouls,PlusMinus,Corner3FGA,PtsAssisted3s,ThreePtAssists,Arc3Assists,Assisted3sPct,Corner3Frequency,Arc3PctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFtPoints,DeadBallTurnovers,Charge Fouls,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceOffPoss,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,Corner3Assists,Steals,BadPassSteals,Offensive Fouls,PenaltyFg3Pct,DefAtRimReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyDefPoss,LongMidRangeFGA,OffTwoPtRebounds,OffRebounds,SecondChanceTurnovers,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,LongMidRangeFrequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,SelfOReb,BlockedLongMidRange,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Loose Ball Fouls Drawn,LongMidRangeFGM,SecondChanceFtPoints,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,Loose Ball Fouls,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyArc3FGM,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,PenaltyArc3Accuracy,SecondChanceArc3FGA,SecondChanceFG3A,Technical Free Throw Trips,ShortMidRangePctBlocked,SecondChanceArc3Frequency,FTDefRebounds,DefFTReboundPct,OffAtRimReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,LostBallOutOfBoundsTurnovers,SecondChanceFg3Pct,OffArc3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,BlockedAtRim,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Travels,Charge Fouls Drawn,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffensiveGoaltends,HeaveAttempts,FTOffRebounds,OffFTReboundPct,Corner3PctBlocked,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1627777-1627788-1629003-1630178-203954,1610612755,"Georges Niang, Furkan Korkmaz, Shake Milton, Tyrese Maxey, Joel Embiid","Niang, Korkmaz, Milton, Maxey, Embiid",1627777-1627788-1629003-1630178-203954,PHI,375.0,2,6.0,12.0,12.0,3.0,24,4.0,5.0,2.0,2.0,1.0,4.0,1.0,6.0,7.0,1.0,4.0,1.0,16.0,16.0,2.0,2.0,1.0,4.0,6.0,6.0,3.0,4.0,1.0,1.0,3.0,3.0,3.0,6.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,4.0,3.0,0.5,0.5,0.25,0.25,0.8571428571428571,1.0,0.6818181818181818,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.36363636363636365,0.14285714285714285,0.2,1.0,0.4,1.0,0.5714285714285714,0.5,1.0,1.0,1.0,92.16,15.0,16.25,15.0,15.666666666666666,0.45454545454545453,0.8,1.0,0.75,0.18181818181818182,1.0,1.0,0.36363636363636365,0.25,0.25,0.3333333333333333,0.8181818181818182,0.25,0.52615,0.4175166666666667,0.09090909090909091,0.14285714285714285,0.25,4.071428571428571,25.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,False
1627777-1627788-1629680-1630178-203954,1610612755,"Georges Niang, Furkan Korkmaz, Matisse Thybulle, Tyrese Maxey, Joel Embiid","Niang, Korkmaz, Thybulle, Maxey, Embiid",1627777-1627788-1629680-1630178-203954,PHI,12.0,1,,1.0,,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,120.0,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,False
1627777-1627788-1629680-1630194-201935,1610612755,"Georges Niang, Furkan Korkmaz, Matisse Thybulle, Paul Reed, James Harden","Niang, Korkmaz, Thybulle, Reed, Harden",1627777-1627788-1629680-1630194-201935,PHI,118.0,1,2.0,3.0,4.0,,7,,,,,1.0,1.0,,,,1.0,2.0,,3.0,6.0,,,,,,,,1.0,1.0,,,1.0,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,3.0,,,,,0.5,0.5,,,0.75,,0.75,,1.0,,,1.0,1.0,,1.0,1.0,,,,85.42372881355932,21.333333333333332,13.5,21.333333333333332,13.5,,,,,,,,0.5,1.0,1.0,,1.0,1.0,0.57195,,,,,,24.9,,,,-3.0,1.0,3.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,False
1627777-1627788-1629680-201935-203954,1610612755,"Georges Niang, Furkan Korkmaz, Matisse Thybulle, James Harden, Joel Embiid","Niang, Korkmaz, Thybulle, Harden, Embiid",1627777-1627788-1629680-201935-203954,PHI,160.0,1,3.0,5.0,6.0,5.0,11,1.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,3.0,5.0,5.0,1.0,1.0,1.0,5.0,2.0,,,1.0,,,1.0,1.0,1.0,2.0,,3.0,3.0,3.0,,,1.0,1.0,2.0,2.0,4.0,,2.0,,,,5.0,5.0,5.0,1.0,1.0,,,1.0,1.0,0.5,0.5,0.625,0.625,0.5,,,,1.0,,1.0,1.0,1.0,,,99.0,11.4,17.166666666666668,11.4,17.166666666666668,0.5,1.0,1.0,1.0,,,,0.5,,,0.5,1.0,,0.655425,0.655425,0.5,0.6666666666666666,1.0,0.5,26.2,1.0,1.0,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,False
1627777-1627788-1630178-1630194-201935,1610612755,"Georges Niang, Furkan Korkmaz, Tyrese Maxey, Paul Reed, James Harden","Niang, Korkmaz, Maxey, Reed, Harden",1627777-1627788-1630178-1630194-201935,PHI,161.0,1,3.0,7.0,7.0,6.0,14,3.0,3.0,,1.0,,,,3.0,4.0,1.0,1.0,1.0,10.0,10.0,3.0,4.0,1.0,10.0,2.0,4.0,,,,,1.0,2.0,1.0,5.0,,2.0,2.0,2.0,,,1.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,10.0,10.0,6.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.75,0.75,0.9,0.9,1.0,1.0,0.2,,,,1.0,,1.0,,1.0,,,125.21739130434784,9.0,14.0,8.714285714285714,14.0,0.6,1.0,1.0,0.3333333333333333,0.2,,,,,,,0.8,,0.58972,0.58972,0.2,0.25,1.0,2.85,23.4,0.8571428571428571,1.0,,,1.0,3.0,1.0,,1.0,0.2,,3.0,3.0,1.0,1.0,,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,False
1627777-1627788-1630178-1630194-202699,1610612755,"Georges Niang, Furkan Korkmaz, Tyrese Maxey, Paul Reed, Tobias Harris","Niang, Korkmaz, Maxey, Reed, Harris",1627777-1627788-1630178-1630194-202699,PHI,55.0,1,1.0,2.0,2.0,2.0,4,,,,,,,,,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.5,1.0,,1.0,1.0,,,,104.72727272727273,14.0,13.5,13.5,13.5,,,,,,,,,,,,,,0.3807,0.3807,,,,16.6,,1.0,2.0,,-2.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,False
1627777-1627788-1630178-200794-202699,1610612755,"Georges Niang, Furkan Korkmaz, Tyrese Maxey, Paul Millsap, Tobias Harris","Niang, Korkmaz, Maxey, Millsap, Harris",1627777-1627788-1630178-200794-202699,PHI,117.0,1,2.0,4.0,4.0,,8,1.0,1.0,,2.0,,,,1.0,3.0,,,4.0,6.0,6.0,,,,,,2.0,,,,,,,,,1.0,,1.0,2.0,,,,,,2.0,4.0,,2.0,1.0,,1.0,4.0,,,,,,,0.3333333333333333,,0.3333333333333333,,0.6,,,,,,,0.3333333333333333,0.25,,,,1.0,98.46153846153847,11.25,18.0,11.0,10.25,0.3333333333333333,1.0,1.0,,0.6666666666666666,,,,,,,0.3333333333333333,,0.46280000000000004,,0.4,0.4,,8.1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,0.5,0.5,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.4783,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,False
1627777-1627788-1630178-201935-203954,1610612755,"Georges Niang, Furkan Korkmaz, Tyrese Maxey, James Harden, Joel Embiid","Niang, Korkmaz, Maxey, Harden, Embiid",1627777-1627788-1630178-201935-203954,PHI,88.0,1,1.0,2.0,2.0,,4,,,1.0,2.0,,,,1.0,2.0,,,2.0,4.0,,,,,,,2.0,,,,,,,,,2.0,,2.0,3.0,,,,,1.0,2.0,2.0,,1.0,,,,4.0,,,,,,,0.5,,0.5,,0.6666666666666666,,,,,,,1.0,1.0,,,1.0,1.0,65.45454545454545,17.0,27.0,17.0,27.0,,,,,1.0,0.5,0.5,,,,,,,0.35395,,0.3333333333333333,0.3333333333333333,,4.9,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,False
1627777-1627788-1630194-201935-202699,1610612755,"Georges Niang, Furkan Korkmaz, Paul Reed, James Harden, Tobias Harris","Niang, Korkmaz, Reed, Harden, Harris",1627777-1627788-1630194-201935-202699,PHI,71.0,1,1.0,2.0,2.0,,4,1.0,1.0,,,,1.0,,1.0,2.0,,1.0,,2.0,2.0,,,,,,2.0,,1.0,,,,,,,,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,0.5,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,1.0,,1.0,1.0,,,,81.12676056338029,17.5,18.0,14.5,18.0,0.3333333333333333,1.0,1.0,,,,,0.3333333333333333,,,,0.6666666666666666,,0.5349833333333334,,,,,9.75,24.9,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,0.5,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,1.0,,,1.0,1.0,0.6534,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,False
1627777-1629003-1629680-1630178-1630194,1610612755,"Georges Niang, Shake Milton, Matisse Thybulle, Tyrese Maxey, Paul Reed","Niang, Milton, Thybulle, Maxey, Reed",1627777-1629003-1629680-1630178-1630194,PHI,38.0,2,1.0,,2.0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.5,,,,,75.78947368421053,,19.0,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,False
