EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,Corner3Assists,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,LongMidRangeFGA,PtsUnassisted3s,Fg2aBlocked,AtRimAssists,SelfOReb,Steals,BadPassSteals,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,DefAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeFGM,SecondChanceCorner3FGA,SecondChanceFG3A,FTOffRebounds,PenaltyTurnovers,Loose Ball Fouls,OffFTReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,BlockedShortMidRange,ShootingFouls,Offensive Fouls,SecondChanceArc3FGA,SecondChanceFtPoints,FTDefRebounds,DefFTReboundPct,OffArc3ReboundPct,SecondChanceArc3Frequency,PenaltyArc3FGM,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,ShortMidRangePctBlocked,PenaltyArc3Accuracy,LostBallSteals,SecondChanceArc3FGM,SecondChanceFG3M,Travels,SecondChanceFg3Pct,OffLongMidRangeReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangeAssists,StepOutOfBoundsTurnovers,Charge Fouls,BlockedLongMidRange,LongMidRangePctAssisted,BadPassOutOfBoundsTurnovers,Blocked3s,BlockedArc3,DefensiveGoaltends,HeaveAttempts,Defensive 3 Seconds Violations,Charge Fouls Drawn,SecondChanceCorner3FGM,Technical Free Throw Trips,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawn,BlockedCorner3,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3SecondViolations,OffensiveGoaltends,Corner3PctBlocked,HeaveMakes,team_id,year,season,team_vs
101150-1626153-1627789-1628381-201568,1610612737,"Lou Williams, Delon Wright, Timothe Luwawu-Cabarrot, John Collins, Danilo Gallinari","Williams, Wright, Luwawu-Cabarrot, Collins, Gallinari",101150-1626153-1627789-1628381-201568,ATL,541.0,3,9.0,7.0,17.0,15.0,1.0,1.0,32.0,4.0,5.0,1.0,1.0,1.0,3.0,1.0,3.0,6.0,5.0,8.0,3.0,7.0,2.0,21.0,14.0,1.0,1.0,2.0,1.0,1.0,2.0,8.0,9.0,2.0,6.0,3.0,1.0,3.0,4.0,3.0,1.0,11.0,1.0,1.0,6.0,3.0,9.0,2.0,11.0,3.0,2.0,1.0,1.0,4.0,3.0,5.0,3.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,0.2,0.25,1.0,0.42857142857142855,0.42857142857142855,0.625,1.0,0.6333333333333333,1.0,0.65625,1.0,0.5,0.4666666666666667,0.75,0.6,0.5,1.0,0.25,0.8181818181818182,0.3333333333333333,0.5,1.0,0.5,1.0,1.0,85.17560073937153,16.764705882352942,17.066666666666666,16.647058823529413,15.8,0.3333333333333333,0.8,0.8,0.2,0.3333333333333333,0.3333333333333333,1.0,0.06666666666666667,0.4,0.5,0.5,1.0,1.0,1.0,0.8,0.5,0.5886633333333333,0.6398,0.06666666666666667,0.125,0.09523809523809523,0.047619047619047616,3.2375,24.75714285714286,0.058823529411764705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,True
101150-1626153-1627789-1629629-1630168,1610612737,"Lou Williams, Delon Wright, Timothe Luwawu-Cabarrot, Cam Reddish, Onyeka Okongwu","Williams, Wright, Luwawu-Cabarrot, Reddish, Okongwu",101150-1626153-1627789-1629629-1630168,ATL,114.0,2,2.0,,3.0,4.0,,,7.0,,1.0,,,1.0,2.0,,,,1.0,3.0,,,,2.0,2.0,,,,,,,2.0,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,,,1.0,,,,,,2.0,,,,,,,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,,,,1.0,,1.0,,,,,,1.0,88.42105263157895,15.333333333333334,17.0,15.333333333333334,17.0,0.3333333333333333,,,0.6666666666666666,0.5,0.5,,,,,,,,,0.3333333333333333,,0.41406666666666664,,,,,,7.366666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,True
101150-1626153-1627789-1629629-203476,1610612737,"Lou Williams, Delon Wright, Timothe Luwawu-Cabarrot, Cam Reddish, Gorgui Dieng","Williams, Wright, Luwawu-Cabarrot, Reddish, Dieng",101150-1626153-1627789-1629629-203476,ATL,104.0,1,2.0,1.0,4.0,4.0,4.0,,8.0,1.0,2.0,,,,,1.0,,1.0,1.0,2.0,1.0,2.0,,5.0,4.0,,,,,5.0,,2.0,3.0,,1.0,,,1.0,1.0,,,3.0,,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,5.0,5.0,4.0,,,,1.0,0.5,0.5,0.5,,0.625,,0.625,,0.625,0.5,,,,1.0,,1.0,,,,,,,110.76923076923076,11.5,14.5,11.5,14.5,0.5,0.5,0.5,,,,,0.25,0.25,,,,,,1.0,,0.5586375,,,,,1.0,2.05,24.6,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.625,1.0,1.0,1.0,1.0,0.5,0.5,0.25,1.0,0.25,0.5586375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,True
101150-1626153-1627789-1630168-1630219,1610612737,"Lou Williams, Delon Wright, Timothe Luwawu-Cabarrot, Onyeka Okongwu, Skylar Mays","Williams, Wright, Luwawu-Cabarrot, Okongwu, Mays",101150-1626153-1627789-1630168-1630219,ATL,288.0,1,5.0,2.0,9.0,10.0,,1.0,19.0,3.0,5.0,1.0,1.0,,,1.0,1.0,2.0,3.0,6.0,1.0,3.0,3.0,12.0,10.0,1.0,1.0,2.0,,,4.0,2.0,,2.0,2.0,1.0,2.0,,2.0,,,4.0,,1.0,4.0,1.0,5.0,1.0,6.0,,,,,,,3.0,3.0,1.0,2.0,,10.0,,,,0.6666666666666666,1.0,,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5,1.0,0.6,1.0,,0.3333333333333333,,0.5,0.3333333333333333,1.0,,0.8333333333333334,0.2,,,,,1.0,95.0,16.444444444444443,14.0,16.22222222222222,13.8,0.5555555555555556,0.6,0.75,,,,,0.1111111111111111,0.2222222222222222,0.5,0.5,,1.0,1.0,0.8888888888888888,0.5,0.5608333333333334,0.4477,0.2,0.2857142857142857,0.16666666666666666,,4.95,24.5,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.2,0.5,1.0,0.25,1.0,0.6666666666666666,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,True
101150-1626153-1627789-1630168-201568,1610612737,"Lou Williams, Delon Wright, Timothe Luwawu-Cabarrot, Onyeka Okongwu, Danilo Gallinari","Williams, Wright, Luwawu-Cabarrot, Okongwu, Gallinari",101150-1626153-1627789-1630168-201568,ATL,697.0,3,12.0,-5.0,20.0,21.0,10.0,3.0,41.0,2.0,5.0,1.0,2.0,3.0,6.0,1.0,1.0,4.0,7.0,13.0,1.0,5.0,8.0,25.0,30.0,1.0,2.0,2.0,3.0,13.0,6.0,8.0,,,4.0,1.0,3.0,,3.0,,2.0,6.0,,2.0,3.0,1.0,4.0,3.0,7.0,,,1.0,,1.0,3.0,8.0,9.0,1.0,4.0,1.0,23.0,13.0,10.0,,0.42857142857142855,0.42857142857142855,,0.2,0.2,0.5384615384615384,0.5,0.4722222222222222,0.3333333333333333,0.5681818181818182,0.3333333333333333,0.7222222222222222,0.2777777777777778,,0.5,0.3333333333333333,0.75,,0.6666666666666666,0.2,0.6666666666666666,,0.5,,1.0,84.70588235294117,18.8,15.285714285714286,17.65,15.0,0.2777777777777778,0.4,1.0,0.3333333333333333,0.5,0.5,0.6666666666666666,0.05555555555555555,0.2222222222222222,0.25,0.25,,0.6666666666666666,0.5,0.5555555555555556,0.25,0.525875,0.7273333333333333,0.19047619047619047,0.25,0.08,0.52,7.961538461538462,25.56,0.5,6.0,1.0,2.0,,,,1.0,5.0,7.0,,1.0,,,2.0,,0.7142857142857143,0.625,,,,,0.25,0.5,,,0.125,0.49011875000000005,2.0,3.0,3.0,1.0,1.0,2.0,2.0,,,,,0.23076923076923078,0.6,,,0.14285714285714285,,0.5,0.1111111111111111,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,True
101150-1626153-1627789-1630168-203992,1610612737,"Lou Williams, Delon Wright, Timothe Luwawu-Cabarrot, Onyeka Okongwu, Bogdan Bogdanovic","Williams, Wright, Luwawu-Cabarrot, Okongwu, Bogdanovic",101150-1626153-1627789-1630168-203992,ATL,231.0,2,4.0,10.0,5.0,5.0,,,10.0,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,14.0,4.0,,,,,,2.0,4.0,6.0,,1.0,1.0,1.0,2.0,3.0,1.0,,8.0,,,1.0,2.0,3.0,,3.0,,,,,,2.0,2.0,3.0,1.0,2.0,,14.0,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,,1.2,,1.1666666666666667,,,0.4,,0.6666666666666666,,0.5,,0.6,,,,0.5,1.0,0.5,62.33766233766234,18.0,28.2,18.0,25.2,0.4,1.0,1.0,0.2,1.0,1.0,,0.2,0.2,1.0,1.0,1.0,,,0.8,1.0,0.49144,,0.3333333333333333,0.5,,,4.7,23.7,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,0.5,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,True
101150-1626153-1627789-201568-203476,1610612737,"Lou Williams, Delon Wright, Timothe Luwawu-Cabarrot, Danilo Gallinari, Gorgui Dieng","Williams, Wright, Luwawu-Cabarrot, Gallinari, Dieng",101150-1626153-1627789-201568-203476,ATL,268.0,1,4.0,-1.0,7.0,8.0,,,15.0,1.0,1.0,,,,,1.0,1.0,2.0,1.0,3.0,2.0,3.0,,8.0,9.0,,,,,,2.0,,6.0,,2.0,1.0,1.0,2.0,3.0,1.0,,8.0,,,1.0,3.0,4.0,,4.0,,,1.0,,1.0,3.0,2.0,,,,,8.0,,,,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,,0.6666666666666666,,0.6666666666666666,,,0.5,,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,80.59701492537313,15.0,20.375,15.0,20.375,0.16666666666666666,1.0,1.0,,,,,0.16666666666666666,0.3333333333333333,0.5,0.5,1.0,,,0.6666666666666666,0.5,0.5020583333333334,,,,,,12.833333333333334,24.266666666666666,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,1.0,0.3333333333333333,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,True
101150-1626153-1627789-201568-203991,1610612737,"Lou Williams, Delon Wright, Timothe Luwawu-Cabarrot, Danilo Gallinari, Clint Capela","Williams, Wright, Luwawu-Cabarrot, Gallinari, Capela",101150-1626153-1627789-201568-203991,ATL,570.0,3,10.0,1.0,18.0,18.0,5.0,3.0,36.0,,3.0,,1.0,2.0,5.0,1.0,1.0,4.0,2.0,11.0,2.0,5.0,6.0,16.0,15.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,6.0,,4.0,1.0,1.0,2.0,3.0,1.0,1.0,8.0,1.0,2.0,3.0,3.0,7.0,4.0,11.0,1.0,,,1.0,1.0,2.0,4.0,8.0,,3.0,1.0,12.0,2.0,5.0,1.0,0.5,0.5,1.0,0.4,0.4,0.18181818181818182,0.5,0.3125,0.3333333333333333,0.4,0.5,0.2,0.3125,1.0,1.0,0.2222222222222222,1.0,0.3333333333333333,1.0,0.25,0.3333333333333333,,1.0,1.0,1.0,90.94736842105263,15.222222222222221,16.444444444444443,14.5,16.444444444444443,0.1875,,,0.3125,0.4,0.4,0.5,0.0625,0.25,0.25,0.25,1.0,0.3333333333333333,,0.5,0.25,0.499971875,0.451925,0.15789473684210525,0.21428571428571427,0.25,0.125,8.709090909090909,25.18,0.2777777777777778,1.0,,2.0,1.0,,,2.0,,2.0,,2.0,1.0,,,,,,,1.0,1.0,1.0,0.5,,,,0.5,0.609975,3.0,,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,,0.09090909090909091,0.3333333333333333,0.3333333333333333,,0.09090909090909091,,,0.1875,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,1.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,True
101150-1626153-1628381-1628989-1629629,1610612737,"Lou Williams, Delon Wright, John Collins, Kevin Huerter, Cam Reddish","Williams, Wright, Collins, Huerter, Reddish",101150-1626153-1628381-1628989-1629629,ATL,53.0,1,1.0,2.0,2.0,2.0,,,4.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,2.0,1.0,1.0,,,1.0,,1.0,2.0,,1.0,,2.0,,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,1.0,,,,,,1.0,108.67924528301887,11.5,15.0,11.5,15.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,True
101150-1626153-1628381-1628989-201568,1610612737,"Lou Williams, Delon Wright, John Collins, Kevin Huerter, Danilo Gallinari","Williams, Wright, Collins, Huerter, Gallinari",101150-1626153-1628381-1628989-201568,ATL,316.0,2,5.0,-1.0,13.0,11.0,5.0,2.0,24.0,2.0,2.0,,,,3.0,,2.0,5.0,3.0,6.0,2.0,5.0,,12.0,13.0,1.0,1.0,2.0,,5.0,4.0,2.0,,,5.0,2.0,2.0,,2.0,,,4.0,,2.0,2.0,1.0,3.0,2.0,5.0,3.0,2.0,1.0,1.0,4.0,1.0,4.0,,,,,10.0,5.0,5.0,,0.6666666666666666,0.6666666666666666,,0.4,0.4,0.5,1.0,0.5454545454545454,1.0,0.5454545454545454,1.0,0.625,0.45454545454545453,0.75,1.0,0.6666666666666666,1.0,,1.0,0.3333333333333333,0.6666666666666666,,,1.0,1.0,109.36708860759494,14.0,12.181818181818182,13.076923076923077,12.181818181818182,0.18181818181818182,1.0,1.0,0.2727272727272727,,,,,0.45454545454545453,0.4,0.4,,,,0.6363636363636364,0.4,0.5357181818181819,0.3995,,,0.16666666666666666,0.4166666666666667,7.016666666666667,26.380000000000003,0.38461538461538464,,1.0,1.0,,,,2.0,1.0,2.0,1.0,2.0,,,,0.5,0.5,0.625,,,,,0.25,1.0,,,0.5,0.5603,1.0,6.0,2.0,2.0,,3.0,3.0,,,,,0.3333333333333333,,,,,,1.0,0.09090909090909091,1.0,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,True
