EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFtPoints,FTOffRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,AtRimPctBlocked,OffFTReboundPct,OffAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceCorner3Accuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,Travels,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct,Offensive Fouls,Offensive Fouls Drawn,Technical Free Throw Trips,SecondChanceCorner3PctAssisted,LongMidRangeAssists,LongMidRangePctAssisted,PenaltyCorner3FGM,Fg3aBlocked,Charge Fouls,BlockedCorner3,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3Accuracy,HeaveAttempts,StepOutOfBoundsTurnovers,Charge Fouls Drawn,DefensiveGoaltends,LongMidRangePctBlocked,Corner3PctBlocked,SecondChanceAtRimPctAssisted,Clear Path Fouls,3SecondViolations,3pt And 1 Free Throw Trips,OffensiveGoaltends,HeaveMakes,team_id,year,season,team_vs
1627783-1627832-1628384-1628449-1629004,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Chris Boucher, Svi Mykhailiuk","Siakam, VanVleet, Anunoby, Boucher, Mykhailiuk",1627783-1627832-1628384-1628449-1629004,TOR,87.0,1,1.0,2.0,4.0,4.0,2.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,132.41379310344828,10.25,11.5,10.25,10.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.4092,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,False
1627783-1627832-1628384-1628449-1629018,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Chris Boucher, Gary Trent Jr.","Siakam, VanVleet, Anunoby, Boucher, Trent Jr.",1627783-1627832-1628384-1628449-1629018,TOR,1178.0,9,20.0,14.0,39.0,40.0,9.0,79.0,8.0,8.0,6.0,10.0,15.0,22.0,51.0,37.0,8.0,22.0,4.0,9.0,2.0,23.0,6.0,1.0,14.0,19.0,3.0,3.0,,4.0,5.0,10.0,2.0,47.0,0.26666666666666666,0.3076923076923077,0.6818181818181818,0.6153846153846154,0.6375,0.75,1.0,0.5,0.5909090909090909,0.3333333333333333,0.6666666666666666,96.5704584040747,14.512820512820513,15.3,13.615384615384615,14.375,0.20512820512820512,1.0,1.0,0.25,0.2564102564102564,0.6,0.6666666666666666,0.6410256410256411,0.5065833333333333,7.513636363636363,6.0,5.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,4.0,1.0,5.0,13.0,2.0,1.0,2.0,6.0,17.0,3.0,2.0,2.0,3.0,4.0,3.0,6.0,1.0,2.0,9.0,15.0,3.0,4.0,13.0,5.0,1.0,5.0,4.0,1.0,2.0,3.0,2.0,7.0,5.0,7.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,9.0,6.0,0.8333333333333334,0.35294117647058826,0.5,0.35294117647058826,1.0,0.5,0.4,0.5625,0.4,0.5625,0.4358974358974359,0.045454545454545456,0.1,0.7,0.2857142857142857,0.2727272727272727,0.2777777777777778,0.25,0.3333333333333333,0.25,0.3333333333333333,0.6666666666666666,0.5,1.0,0.3333333333333333,0.10256410256410256,0.25,0.25,0.10256410256410256,0.25,0.25,1.0,0.3333333333333333,0.38461538461538464,0.38461538461538464,0.8,0.2,1.0,0.2,0.4,0.375,1.0,0.25,0.5,0.38461538461538464,0.56765,0.51545625,0.05,0.08695652173913043,0.0784313725490196,0.17647058823529413,26.429411764705883,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,False
1627783-1627832-1628384-1628449-1630173,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Chris Boucher, Precious Achiuwa","Siakam, VanVleet, Anunoby, Boucher, Achiuwa",1627783-1627832-1628384-1628449-1630173,TOR,2888.0,12,48.0,7.0,94.0,96.0,32.0,190.0,20.0,31.0,12.0,23.0,33.0,63.0,113.0,106.0,28.0,38.0,14.0,23.0,9.0,55.0,21.0,1.0,40.0,61.0,9.0,4.0,5.0,11.0,8.0,14.0,21.0,85.0,0.42424242424242425,0.5384615384615384,0.5238095238095238,0.515625,0.5380952380952381,0.8181818181818182,1.0,0.75,0.78,0.8235294117647058,0.6363636363636364,94.73684210526316,16.382978723404257,14.041666666666666,15.382978723404255,13.520833333333334,0.3229166666666667,0.6451612903225806,0.7407407407407407,0.45,0.23958333333333334,0.5217391304347826,0.5714285714285714,0.6666666666666666,0.519515625,6.128571428571429,15.0,21.0,8.0,12.0,3.0,3.0,1.0,9.0,3.0,10.0,1.0,8.0,23.0,4.0,1.0,3.0,11.0,33.0,14.0,9.0,14.0,5.0,28.0,5.0,8.0,1.0,4.0,20.0,27.0,6.0,14.0,23.0,8.0,6.0,9.0,7.0,2.0,5.0,7.0,13.0,18.0,21.0,8.0,5.0,3.0,,2.0,1.0,23.0,5.0,11.0,,19.0,14.0,0.8181818181818182,0.3333333333333333,0.25,0.3333333333333333,0.6428571428571429,0.625,0.631578947368421,0.5416666666666666,0.6666666666666666,0.5882352941176471,0.34375,0.09523809523809523,0.08695652173913043,0.8181818181818182,0.43333333333333335,0.35,0.4,0.5454545454545454,0.125,0.35714285714285715,0.3333333333333333,0.6666666666666666,0.8571428571428571,1.0,0.4166666666666667,0.09375,0.1111111111111111,0.1111111111111111,0.10416666666666667,0.3,0.3,0.6666666666666666,0.23958333333333334,0.34782608695652173,0.34782608695652173,0.875,0.631578947368421,0.6666666666666666,0.05263157894736842,0.21052631578947367,0.25,1.0,0.25,0.3333333333333333,0.34782608695652173,0.5436107142857143,0.49169166666666664,0.10784313725490197,0.15942028985507245,0.24778761061946902,0.17699115044247787,25.696969696969695,0.1595744680851064,1.0,1.0,1.0,2.0,4.0,7.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,5.0,1.0,1.0,4.0,1.0,6.0,3.0,1.0,2.0,0.4,0.12903225806451613,0.2,0.5454545454545454,0.06818181818181818,0.5,1.0,0.25,1.0,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,False
1627783-1627832-1628384-1628449-1630551,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Chris Boucher, Justin Champagnie","Siakam, VanVleet, Anunoby, Boucher, Champagnie",1627783-1627832-1628384-1628449-1630551,TOR,1135.0,6,19.0,17.0,33.0,36.0,5.0,69.0,4.0,5.0,5.0,9.0,10.0,17.0,54.0,37.0,8.0,12.0,4.0,10.0,3.0,26.0,9.0,,13.0,20.0,2.0,2.0,,4.0,2.0,7.0,10.0,47.0,0.4,0.4,0.5882352941176471,0.6875,0.75,0.5,,0.8181818181818182,0.7222222222222222,0.75,1.0,87.54185022026431,15.151515151515152,17.63888888888889,13.878787878787879,16.083333333333332,0.15625,0.8,1.0,0.75,0.28125,0.5555555555555556,0.625,0.625,0.49369999999999997,7.505882352941177,18.0,5.0,,,1.0,2.0,1.0,3.0,,,,8.0,15.0,3.0,4.0,9.0,8.0,15.0,10.0,2.0,3.0,3.0,7.0,4.0,10.0,4.0,9.0,27.0,18.0,6.0,,15.0,8.0,2.0,6.0,6.0,,1.0,3.0,4.0,4.0,7.0,6.0,5.0,1.0,,2.0,,12.0,1.0,2.0,,27.0,18.0,0.75,0.5333333333333333,0.4444444444444444,0.5333333333333333,0.6666666666666666,0.4,0.5833333333333334,0.5263157894736842,0.5833333333333334,0.6136363636363636,0.46875,0.11764705882352941,0.1111111111111111,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.5,0.5,0.5,0.42857142857142855,,,1.0,0.6666666666666666,0.2,0.09375,0.3333333333333333,0.3333333333333333,,,,,0.46875,0.5333333333333333,0.5333333333333333,0.75,,,,0.5,0.10526315789473684,0.5,0.47368421052631576,0.4444444444444444,0.5333333333333333,0.4315666666666667,0.4746552631578947,0.08823529411764706,0.1111111111111111,0.12962962962962962,0.5,26.486666666666668,0.5454545454545454,,,1.0,1.0,,7.0,,1.0,,1.0,3.0,1.0,2.0,2.0,,,1.0,,2.0,,1.0,2.0,0.3333333333333333,0.2,,1.0,0.08333333333333333,,,0.3333333333333333,1.0,,1.0,1.0,1.0,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,False
1627783-1627832-1628384-1628449-1630567,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Chris Boucher, Scottie Barnes","Siakam, VanVleet, Anunoby, Boucher, Barnes",1627783-1627832-1628384-1628449-1630567,TOR,2025.0,11,34.0,-1.0,64.0,63.0,32.0,127.0,9.0,10.0,5.0,16.0,14.0,30.0,70.0,71.0,20.0,8.0,10.0,20.0,9.0,50.0,10.0,1.0,19.0,25.0,5.0,4.0,1.0,6.0,5.0,15.0,8.0,66.0,0.7142857142857143,0.7692307692307693,0.4666666666666667,0.5423728813559322,0.5645161290322581,0.8333333333333334,1.0,0.7692307692307693,0.6666666666666666,0.8571428571428571,0.6666666666666666,90.31111111111112,15.640625,16.253968253968253,15.171875,15.714285714285714,0.1694915254237288,0.9,1.0,1.0,0.2711864406779661,0.3125,0.35714285714285715,0.6610169491525424,0.49525254237288135,7.8100000000000005,21.0,5.0,,1.0,5.0,5.0,,4.0,5.0,11.0,,7.0,18.0,2.0,2.0,7.0,12.0,29.0,6.0,1.0,3.0,2.0,4.0,5.0,11.0,2.0,8.0,16.0,30.0,6.0,2.0,18.0,7.0,3.0,10.0,5.0,5.0,1.0,3.0,3.0,8.0,6.0,8.0,5.0,3.0,,1.0,,6.0,,3.0,,16.0,21.0,0.8333333333333334,0.41379310344827586,0.25,0.41379310344827586,0.3333333333333333,0.45454545454545453,0.2,0.42105263157894735,0.3333333333333333,0.42105263157894735,0.4915254237288136,0.1,0.125,0.5714285714285714,0.1875,0.2,0.1935483870967742,0.2727272727272727,,0.3,,0.5,0.6666666666666666,0.5,0.2,0.06779661016949153,,,0.1864406779661017,0.45454545454545453,0.45454545454545453,1.0,0.3050847457627119,0.3888888888888889,0.3888888888888889,0.7142857142857143,0.2,,,0.4,0.2631578947368421,1.0,0.3684210526315789,0.2857142857142857,0.3888888888888889,0.45626666666666665,0.4370236842105263,0.04838709677419355,0.09090909090909091,0.05714285714285714,0.22857142857142856,25.21034482758621,0.328125,,1.0,,,2.0,,,,,,2.0,,,4.0,,,2.0,2.0,4.0,3.0,2.0,,,0.1,,,,0.75,,,,0.05263157894736842,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,False
1627783-1627832-1628384-1628449-201152,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Chris Boucher, Thaddeus Young","Siakam, VanVleet, Anunoby, Boucher, Young",1627783-1627832-1628384-1628449-201152,TOR,229.0,2,4.0,5.0,8.0,7.0,5.0,15.0,3.0,3.0,1.0,1.0,4.0,4.0,12.0,7.0,4.0,4.0,2.0,2.0,1.0,4.0,2.0,,3.0,4.0,,,,,1.0,3.0,2.0,10.0,0.5,0.6666666666666666,1.0,0.6666666666666666,0.75,,,0.6666666666666666,0.75,0.5,1.0,94.32314410480349,11.875,19.142857142857142,11.75,17.857142857142858,0.5,1.0,1.0,0.3333333333333333,0.16666666666666666,1.0,1.0,0.8333333333333334,0.604075,2.725,1.0,1.0,1.0,1.0,,,,,,,,,2.0,,,1.0,,2.0,4.0,1.0,1.0,,2.0,,,,1.0,,,,2.0,2.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,4.0,,2.0,,,1.0,,,,,1.0,,1.0,,1.0,,0.3333333333333333,,,1.0,,0.5,0.5,,,0.5,,1.0,,,1.0,,,,,,,,0.3333333333333333,,,,1.0,1.0,,,,,1.0,,,,0.5358,0.25,0.3333333333333333,0.16666666666666666,,24.95,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,False
1627783-1627832-1628384-1628449-203920,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Chris Boucher, Khem Birch","Siakam, VanVleet, Anunoby, Boucher, Birch",1627783-1627832-1628384-1628449-203920,TOR,1600.0,9,27.0,19.0,49.0,49.0,15.0,98.0,10.0,14.0,1.0,10.0,12.0,30.0,69.0,50.0,10.0,14.0,5.0,10.0,5.0,25.0,11.0,,21.0,34.0,3.0,3.0,,5.0,3.0,10.0,15.0,59.0,0.4166666666666667,0.5,0.4,0.54,0.5862068965517241,0.6,,0.6470588235294118,0.7,0.6,0.7142857142857143,88.2,17.857142857142858,14.795918367346939,16.53061224489796,14.346938775510203,0.28,0.7142857142857143,0.8333333333333334,0.5,0.2,0.1,0.1111111111111111,0.68,0.481306,7.546666666666666,20.0,10.0,3.0,6.0,4.0,7.0,1.0,6.0,1.0,2.0,2.0,9.0,18.0,1.0,5.0,5.0,10.0,20.0,15.0,3.0,7.0,3.0,10.0,5.0,15.0,5.0,5.0,34.0,15.0,15.0,4.0,18.0,9.0,3.0,5.0,4.0,1.0,,5.0,8.0,10.0,13.0,3.0,1.0,2.0,1.0,2.0,,20.0,3.0,6.0,,30.0,17.0,0.5,0.5,1.0,0.5,0.42857142857142855,0.3333333333333333,0.45,0.625,0.45454545454545453,0.68,0.4,0.1,0.1,0.7692307692307693,0.4444444444444444,0.5,0.4642857142857143,0.4444444444444444,0.2,0.5555555555555556,,0.5,1.0,0.75,,0.12,0.16666666666666666,0.16666666666666666,0.04,0.5,0.5,1.0,0.36,0.5,0.5,0.4444444444444444,0.6,0.5,0.2,0.1,0.35,0.5714285714285714,0.25,1.0,0.5,0.5769714285714286,0.48004750000000007,0.11320754716981132,0.18181818181818182,0.14492753623188406,0.4927536231884058,26.76,0.40816326530612246,1.0,,,1.0,1.0,9.0,,,,2.0,1.0,4.0,5.0,2.0,1.0,1.0,2.0,,3.0,1.0,1.0,2.0,0.3333333333333333,0.14285714285714285,,0.75,,0.3333333333333333,0.5,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,False
1627783-1627832-1628384-1629004-1629018,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Svi Mykhailiuk, Gary Trent Jr.","Siakam, VanVleet, Anunoby, Mykhailiuk, Trent Jr.",1627783-1627832-1628384-1629004-1629018,TOR,222.0,1,4.0,1.0,7.0,6.0,,13.0,1.0,2.0,,,2.0,4.0,10.0,9.0,2.0,2.0,1.0,2.0,,5.0,1.0,,2.0,3.0,,,,,,,2.0,10.0,0.5,0.5,0.5,0.5,0.625,,,0.5,0.6666666666666666,,0.5,84.32432432432432,14.714285714285714,19.833333333333332,14.285714285714286,19.666666666666668,0.2857142857142857,0.5,0.5,,,,,0.7142857142857143,0.5038071428571429,10.075,,1.0,,,,,1.0,2.0,,1.0,1.0,1.0,2.0,,,,1.0,3.0,3.0,,,1.0,,,,,,,3.0,,,2.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,3.0,1.0,2.0,,,,1.0,0.3333333333333333,,0.3333333333333333,,,,,,,0.42857142857142855,,,1.0,0.5,,0.25,,1.0,,,,,1.0,,0.2857142857142857,0.5,0.5,0.14285714285714285,,,,0.2857142857142857,0.5,0.5,1.0,,,1.0,,,,,,0.5,0.5232,,0.25,0.4,,,24.03333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,False
1627783-1627832-1628384-1629004-1630567,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Svi Mykhailiuk, Scottie Barnes","Siakam, VanVleet, Anunoby, Mykhailiuk, Barnes",1627783-1627832-1628384-1629004-1630567,TOR,112.0,1,2.0,-2.0,3.0,3.0,,6.0,2.0,3.0,,,2.0,3.0,4.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,2.0,1.0,,1.0,1.0,1.0,1.0,,2.0,0.5,1.0,0.6666666666666666,0.5,0.5,1.0,,,,,,77.14285714285714,17.666666666666668,19.666666666666668,15.666666666666666,17.666666666666668,0.75,0.6666666666666666,1.0,0.5,,,,1.0,0.637275,1.0,,1.0,1.0,2.0,,,,,,,,,1.0,,,,,1.0,,1.0,2.0,,2.0,,,,,,,,2.0,1.0,,1.0,,,,,1.0,1.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,0.5,,0.5,,0.5,,0.25,0.3333333333333333,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,0.25,,,,1.0,0.5,,,,,,,,0.7614,,,,0.5,,25.9,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,False
1627783-1627832-1628384-1629004-1630625,1610612761,"Pascal Siakam, Fred VanVleet, OG Anunoby, Svi Mykhailiuk, Dalano Banton","Siakam, VanVleet, Anunoby, Mykhailiuk, Banton",1627783-1627832-1628384-1629004-1630625,TOR,279.0,1,5.0,-1.0,10.0,10.0,10.0,20.0,,2.0,2.0,4.0,2.0,6.0,9.0,10.0,2.0,2.0,1.0,1.0,,2.0,1.0,,3.0,5.0,2.0,1.0,1.0,2.0,,,1.0,6.0,0.5,0.5,0.3333333333333333,0.3888888888888889,0.45,1.0,,1.0,0.75,,1.0,103.2258064516129,15.1,12.8,13.4,12.8,0.2222222222222222,,,,0.4444444444444444,0.5,0.5,0.5555555555555556,0.43911666666666666,4.8,10.0,2.0,,1.0,,2.0,,,,,,1.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,,1.0,1.0,3.0,2.0,6.0,1.0,3.0,9.0,,3.0,,3.0,1.0,1.0,,,,1.0,,2.0,2.0,2.0,1.0,1.0,,,,,3.0,,,,9.0,10.0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.75,0.3888888888888889,0.75,0.45,0.3333333333333333,0.16666666666666666,,0.6666666666666666,0.5,,0.3333333333333333,0.5,,,,1.0,,,0.5,,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.5,,,0.5,0.2222222222222222,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.428275,0.43911666666666666,,,0.3333333333333333,1.0,26.733333333333334,1.0,,,1.0,1.0,,2.0,,,,,2.0,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,0.5,,0.5,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612761,2022,2021-22,False
