EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,FtPoints,PtsUnassisted2s,Corner3Assists,ShortMidRangeAssists,DefTwoPtRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,FoulsDrawn,Charge Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,DefensiveGoaltends,LiveBallTurnoverPct,DefTwoPtReboundPct,DefAtRimReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,OffThreePtRebounds,FTDefRebounds,OffRebounds,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,DefFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,SecondChanceArc3FGA,SecondChanceFG3A,Fg2aBlocked,OffTwoPtRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,BlockedShortMidRange,RecoveredBlocks,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,Travels,PtsUnassisted3s,SelfOReb,Loose Ball Fouls,2pt And 1 Free Throw Trips,3SecondViolations,SelfORebPct,LongMidRangeAssists,LongMidRangePctAssisted,AtRimPctBlocked,PenaltyCorner3FGA,Charge Fouls,Loose Ball Fouls Drawn,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,DefCorner3ReboundPct,PenaltyCorner3Frequency,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,Fg3aBlocked,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,Offensive Fouls Drawn,StepOutOfBoundsTurnovers,SecondChanceFtPoints,Blocked3s,BlockedArc3,PenaltyCorner3FGM,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,LongMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,HeaveMakes,HeaveAttempts,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,Corner3PctBlocked,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,OffensiveGoaltends,BlockedCorner3,team_id,year,season,team_vs
1626149-1628398-1628988-1629060-1630557,1610612764,"Montrezl Harrell, Kyle Kuzma, Aaron Holiday, Rui Hachimura, Corey Kispert","Harrell, Kuzma, Holiday, Hachimura, Kispert",1626149-1628398-1628988-1629060-1630557,WAS,96.0,1,2.0,3.0,3.0,3.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.5,0.5,1.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,1.0,1.0,1.0,90.0,15.666666666666666,16.333333333333332,15.666666666666666,16.333333333333332,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,1.0,0.5,0.47658333333333336,3.7,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2022,2021-22,False
1626149-1628398-1628988-1630166-1630557,1610612764,"Montrezl Harrell, Kyle Kuzma, Aaron Holiday, Deni Avdija, Corey Kispert","Harrell, Kuzma, Holiday, Avdija, Kispert",1626149-1628398-1628988-1630166-1630557,WAS,652.0,4,11.0,6.0,18.0,19.0,37.0,4.0,6.0,2.0,3.0,6.0,9.0,4.0,5.0,26.0,20.0,8.0,12.0,3.0,2.0,4.0,4.0,8.0,2.0,3.0,20.0,5.0,6.0,6.0,2.0,26.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.8,0.6666666666666666,0.8571428571428571,0.8125,0.35714285714285715,1.0,0.6666666666666666,1.0,81.71779141104294,19.0,16.31578947368421,19.0,15.473684210526315,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.75,0.21428571428571427,0.6666666666666666,0.6666666666666666,1.0,0.7857142857142857,0.6666666666666666,0.5438535714285714,3.2,26.139999999999997,1.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,7.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.25,0.25,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.5,0.14285714285714285,1.0,1.0,1.0,0.125,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2022,2021-22,False
1626149-1628398-1628988-1630166-202722,1610612764,"Montrezl Harrell, Kyle Kuzma, Aaron Holiday, Deni Avdija, Davis Bertans","Harrell, Kuzma, Holiday, Avdija, Bertans",1626149-1628398-1628988-1630166-202722,WAS,205.0,1,3.0,3.0,7.0,7.0,14.0,3.0,3.0,,1.0,4.0,5.0,,1.0,12.0,9.0,4.0,,1.0,,2.0,,2.0,,2.0,4.0,,4.0,5.0,1.0,10.0,0.5,0.6666666666666666,,,,0.8,0.6666666666666666,0.75,0.16666666666666666,,0.6,,98.34146341463415,13.285714285714286,16.0,13.285714285714286,14.857142857142858,0.5,1.0,1.0,0.6666666666666666,0.16666666666666666,,,,0.6666666666666666,,0.454775,3.6799999999999997,27.2,5.0,1.0,2.0,,,4.0,4.0,,,3.0,,,,,,,,,1.0,2.0,,4.0,1.0,,,,,,1.0,,0.3333333333333333,0.5,0.5,,,,,,0.14285714285714285,0.16666666666666666,7.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,4.0,12.0,2.0,1.0,1.0,1.0,1.0,12.0,7.0,1.0,1.0,0.8,1.0,0.6666666666666666,1.0,0.75,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.16666666666666666,0.454775,0.16666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2022,2021-22,False
1626149-1628398-1628988-1630166-203078,1610612764,"Montrezl Harrell, Kyle Kuzma, Aaron Holiday, Deni Avdija, Bradley Beal","Harrell, Kuzma, Holiday, Avdija, Beal",1626149-1628398-1628988-1630166-203078,WAS,849.0,3,14.0,9.0,27.0,26.0,53.0,3.0,6.0,1.0,4.0,11.0,20.0,2.0,7.0,32.0,23.0,2.0,6.0,4.0,1.0,1.0,2.0,3.0,1.0,,8.0,3.0,11.0,18.0,4.0,26.0,0.09090909090909091,0.1111111111111111,1.0,0.2857142857142857,0.2857142857142857,0.55,0.5185185185185185,0.5333333333333333,0.25925925925925924,0.75,0.8461538461538461,0.75,89.89399293286219,17.40740740740741,14.576923076923077,16.11111111111111,14.153846153846153,0.2222222222222222,0.5,0.5,,0.14814814814814814,0.25,0.25,1.0,0.48148148148148145,0.25,0.47660555555555556,8.504999999999999,25.442857142857143,6.0,5.0,10.0,1.0,3.0,4.0,20.0,1.0,1.0,8.0,3.0,1.0,1.0,,3.0,,1.0,4.0,3.0,6.0,,6.0,3.0,2.0,,2.0,,0.25,0.8888888888888888,1.0,0.37037037037037035,0.5,0.625,0.2,0.1111111111111111,0.3333333333333333,0.3333333333333333,1.0,0.1,0.13043478260869565,5.0,5.0,2.0,3.0,,,1.0,3.0,4.0,6.0,2.0,3.0,1.0,,4.0,4.0,2.0,,7.0,,4.0,5.0,,0.75,0.6666666666666666,0.6,0.5,0.6,0.5,,0.4,0.5,0.3333333333333333,0.8333333333333334,1.0,0.6,0.6666666666666666,,,0.25,0.384325,0.1875,0.125,0.18518518518518517,3.0,4.0,1.0,1.0,2.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.1,0.2,0.5555555555555556,0.6666666666666666,0.4,1.0,0.5,1.0,0.14814814814814814,0.75,0.75,0.2,0.484125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2022,2021-22,False
1626149-1628398-1628988-1630166-203484,1610612764,"Montrezl Harrell, Kyle Kuzma, Aaron Holiday, Deni Avdija, Kentavious Caldwell-Pope","Harrell, Kuzma, Holiday, Avdija, Caldwell-Pope",1626149-1628398-1628988-1630166-203484,WAS,52.0,1,1.0,3.0,2.0,1.0,3.0,,,1.0,1.0,,2.0,1.0,1.0,3.0,,,3.0,1.0,1.0,,1.0,1.0,1.0,,3.0,1.0,1.0,2.0,,3.0,,,1.0,1.0,1.0,,0.5,0.5,0.3333333333333333,1.0,1.0,1.0,83.07692307692308,16.5,19.0,12.0,19.0,,,,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.4734666666666667,13.45,24.3,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,0.5,,1.0,,,,0.3333333333333333,,,,0.4278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2022,2021-22,False
1626149-1628398-1628988-1630166-203526,1610612764,"Montrezl Harrell, Kyle Kuzma, Aaron Holiday, Deni Avdija, Raul Neto","Harrell, Kuzma, Holiday, Avdija, Neto",1626149-1628398-1628988-1630166-203526,WAS,323.0,5,5.0,1.0,10.0,11.0,21.0,1.0,1.0,1.0,1.0,4.0,8.0,1.0,1.0,14.0,13.0,4.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,7.0,2.0,6.0,6.0,3.0,14.0,0.5,0.5,1.0,1.0,1.0,0.5,0.6111111111111112,0.6363636363636364,0.1111111111111111,1.0,1.0,1.0,93.62229102167181,15.6,15.181818181818182,15.6,14.090909090909092,0.1111111111111111,1.0,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,0.2222222222222222,1.0,0.4226277777777778,9.5375,27.2,2.0,3.0,6.0,,,3.0,4.0,,1.0,3.0,,,,,,,,,3.0,4.0,,3.0,1.0,,,,,,1.0,,0.6666666666666666,0.5,0.5,0.3333333333333333,,,,,0.1,0.1111111111111111,2.0,,,,,,,,,,,2.0,,1.0,1.0,,,1.0,,1.0,1.0,2.0,,,,,,,0.16666666666666666,1.0,,,,1.0,1.0,,,,,,0.38155,,0.07142857142857142,0.2,,1.0,,,,,,,,,,,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2022,2021-22,False
1626149-1628398-1628988-1630166-203915,1610612764,"Montrezl Harrell, Kyle Kuzma, Aaron Holiday, Deni Avdija, Spencer Dinwiddie","Harrell, Kuzma, Holiday, Avdija, Dinwiddie",1626149-1628398-1628988-1630166-203915,WAS,206.0,1,3.0,-1.0,6.0,6.0,12.0,1.0,1.0,,2.0,2.0,3.0,,2.0,4.0,5.0,4.0,,2.0,,2.0,,2.0,,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,0.6666666666666666,0.4,0.4,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,83.88349514563107,15.0,19.333333333333332,15.0,17.833333333333332,0.2,1.0,1.0,1.0,0.4,,,,0.6,,0.5354099999999999,8.766666666666667,24.2,,1.0,2.0,,,,,,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,,,0.4,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2022,2021-22,False
1626149-1628398-1628988-1630557-202722,1610612764,"Montrezl Harrell, Kyle Kuzma, Aaron Holiday, Corey Kispert, Davis Bertans","Harrell, Kuzma, Holiday, Kispert, Bertans",1626149-1628398-1628988-1630557-202722,WAS,626.0,2,10.0,-9.0,19.0,19.0,38.0,3.0,4.0,2.0,6.0,5.0,8.0,2.0,8.0,18.0,27.0,8.0,6.0,6.0,2.0,4.0,2.0,6.0,2.0,3.0,14.0,3.0,7.0,7.0,5.0,18.0,0.8,0.8,1.0,0.25,0.25,0.625,0.5,0.5294117647058824,0.5,0.5,0.6363636363636364,0.5,87.41214057507987,15.526315789473685,17.42105263157895,15.526315789473685,16.36842105263158,0.25,0.75,0.75,1.0,0.375,0.3333333333333333,0.3333333333333333,1.0,0.75,0.3333333333333333,0.50999375,5.7625,25.5875,,2.0,3.0,,2.0,2.0,2.0,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,2.0,,2.0,1.0,1.0,1.0,1.0,,0.5,0.8,,0.1875,0.6666666666666666,1.0,0.5,0.125,,,,0.058823529411764705,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,0.125,0.3333333333333333,,,,,,,0.0625,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2022,2021-22,False
1626149-1628398-1628988-1630557-203078,1610612764,"Montrezl Harrell, Kyle Kuzma, Aaron Holiday, Corey Kispert, Bradley Beal","Harrell, Kuzma, Holiday, Kispert, Beal",1626149-1628398-1628988-1630557-203078,WAS,810.0,5,14.0,6.0,25.0,23.0,48.0,8.0,11.0,1.0,5.0,10.0,20.0,2.0,7.0,30.0,24.0,12.0,3.0,5.0,1.0,6.0,1.0,7.0,,6.0,15.0,6.0,11.0,16.0,8.0,26.0,0.6,0.75,0.5,0.2857142857142857,0.2857142857142857,0.5,0.48148148148148145,0.5172413793103449,0.25925925925925924,0.8571428571428571,0.7142857142857143,0.8571428571428571,85.33333333333333,17.04,16.695652173913043,16.48,15.608695652173912,0.4074074074074074,0.7272727272727273,0.7272727272727273,0.75,0.18518518518518517,0.2,0.2,,0.6666666666666666,0.2,0.5040481481481481,6.45,24.771428571428572,,2.0,6.0,1.0,2.0,4.0,8.0,1.0,,4.0,2.0,1.0,,,1.0,,,1.0,2.0,6.0,,5.0,3.0,2.0,1.0,2.0,1.0,,0.5714285714285714,1.0,0.2222222222222222,0.3333333333333333,0.3333333333333333,,0.07407407407407407,0.5,0.5,1.0,0.10344827586206896,0.13636363636363635,,5.0,2.0,4.0,,,,2.0,5.0,4.0,,,,,,4.0,1.0,1.0,5.0,,,,,0.4,,0.4,,0.4,,1.0,0.2,0.3333333333333333,0.25,0.5,0.5,0.8,0.5,,,,,0.13333333333333333,,,,3.0,,,,4.0,1.0,,,,,1.0,2.0,,,0.4,,0.5,0.6666666666666666,,1.0,0.1111111111111111,,,,0.563575,,3.0,1.0,1.0,1.0,1.0,0.06666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2022,2021-22,False
1626149-1628398-1628988-1630557-203915,1610612764,"Montrezl Harrell, Kyle Kuzma, Aaron Holiday, Corey Kispert, Spencer Dinwiddie","Harrell, Kuzma, Holiday, Kispert, Dinwiddie",1626149-1628398-1628988-1630557-203915,WAS,158.0,1,3.0,2.0,5.0,5.0,10.0,,,1.0,2.0,2.0,2.0,1.0,2.0,8.0,6.0,4.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,,7.0,,2.0,2.0,,8.0,1.0,1.0,1.0,0.5,0.5,1.0,0.875,0.8,0.5,,1.0,,91.13924050632912,13.6,18.0,13.6,18.0,,,,,0.5,0.5,0.5,1.0,0.5,0.5,0.4760125,11.65,28.2,,1.0,1.0,,,1.0,,,1.0,2.0,,,,,,,,,,1.0,,2.0,1.0,,,,,,1.0,,0.25,1.0,1.0,1.0,,,,,0.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.25,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2022,2021-22,False
