EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,FoulsDrawn,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGM,FG3M,FtPoints,PenaltyFG2A,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Steals,BadPassSteals,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefArc3ReboundPct,LongMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGA,SecondChanceFG2A,OffTwoPtRebounds,OffRebounds,ShootingFouls,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,Corner3FGM,SecondChanceArc3FGA,SecondChanceFG3A,Fg2aBlocked,Corner3Assists,FG2APctBlocked,AtRimPctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,LongMidRangeFGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG2M,SecondChanceFG3M,SecondChancePoints,PenaltyFG2M,PenaltyFG3A,PenaltyPoints,PtsPutbacks,Fg3aBlocked,AtRimAssists,OffThreePtRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,BlockedShortMidRange,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APctBlocked,Corner3PctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,SecondChancePointsPct,PenaltyPointsPct,PenaltyFtPoints,FTDefRebounds,DefFTReboundPct,SecondChanceTurnovers,Charge Fouls,OffLongMidRangeReboundPct,Blocked3s,BlockedArc3,PtsUnassisted3s,SecondChanceCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG3M,LongMidRangeAssists,SelfOReb,LostBallOutOfBoundsTurnovers,Travels,Offensive Fouls,NonShootingFoulsDrawn,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,LongMidRangePctBlocked,OffCorner3ReboundPct,SelfORebPct,LongMidRangePctAssisted,SecondChanceCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,ShortMidRangePctBlocked,HeaveAttempts,Charge Fouls Drawn,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Arc3PctBlocked,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,FTOffRebounds,OffFTReboundPct,Clear Path Fouls,OffensiveGoaltends,3SecondViolations,team_id,year,season,team_vs
1627777-1627788-1629003-1629646-1629680,1610612755,"Georges Niang, Furkan Korkmaz, Shake Milton, Charles Bassey, Matisse Thybulle","Niang, Korkmaz, Milton, Bassey, Thybulle",1627777-1627788-1629003-1629646-1629680,PHI,301.0,1,5.0,-9.0,10.0,10.0,2.0,20.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,5.0,2.0,11.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.25,0.1111111111111111,0.1111111111111111,0.5555555555555556,1.0,0.8,0.5,0.7142857142857143,0.6666666666666666,1.0,1.0,95.68106312292359,1.0,14.8,15.3,14.8,14.3,0.2222222222222222,0.2222222222222222,0.5,0.5,1.0,0.3333333333333333,0.2222222222222222,0.7777777777777778,0.4891777777777777,7.725,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,False
1627777-1627788-1629003-1629646-1630178,1610612755,"Georges Niang, Furkan Korkmaz, Shake Milton, Charles Bassey, Tyrese Maxey","Niang, Korkmaz, Milton, Bassey, Maxey",1627777-1627788-1629003-1629646-1630178,PHI,287.0,3,5.0,-1.0,7.0,9.0,3.0,16.0,1.0,1.0,2.0,,2.0,1.0,4.0,2.0,7.0,8.0,,2.0,,1.0,,3.0,2.0,,2.0,2.0,,,,5.0,3.0,,,,,,7.0,,,0.25,0.4166666666666667,0.5,0.3333333333333333,,,1.0,0.5,,,,80.27874564459931,,17.714285714285715,18.11111111111111,17.714285714285715,16.555555555555557,0.16666666666666666,0.3333333333333333,0.5,0.5,,,0.3333333333333333,0.5,0.44917500000000005,10.325,25.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,0.16666666666666666,0.5,0.5,1.0,1.0,0.5,0.3728,0.14285714285714285,0.2,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,False
1627777-1627788-1629003-1629646-1630198,1610612755,"Georges Niang, Furkan Korkmaz, Shake Milton, Charles Bassey, Isaiah Joe","Niang, Korkmaz, Milton, Bassey, Joe",1627777-1627788-1629003-1629646-1630198,PHI,52.0,1,1.0,,1.0,1.0,,2.0,1.0,,1.0,,,,2.0,,,,,,,,,,,,,2.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,55.38461538461538,,20.0,32.0,11.0,20.0,0.5,0.5,,,,,,0.5,0.5447,4.95,,,,,,,,,,,,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,False
1627777-1627788-1629003-1629646-201980,1610612755,"Georges Niang, Furkan Korkmaz, Shake Milton, Charles Bassey, Danny Green","Niang, Korkmaz, Milton, Bassey, Green",1627777-1627788-1629003-1629646-201980,PHI,241.0,1,4.0,4.0,7.0,7.0,,14.0,3.0,,1.0,2.0,3.0,,4.0,5.0,9.0,5.0,,3.0,,3.0,,9.0,1.0,4.0,5.0,7.0,,,,,,,2.0,2.0,2.0,2.0,9.0,,,,0.5,0.5,0.5555555555555556,,1.0,0.5,0.8333333333333334,1.0,1.0,,83.65145228215768,1.0,17.285714285714285,17.142857142857142,15.142857142857142,15.571428571428571,0.3333333333333333,0.1111111111111111,,,,0.2222222222222222,0.3333333333333333,0.8888888888888888,0.5402555555555556,4.85,25.580000000000002,,,,2.0,3.0,,,,9.0,2.0,3.0,2.0,,,,,,,1.0,0.6,0.6,0.5,,0.6666666666666666,0.6666666666666666,1.0,,0.6666666666666666,,,,,1.0,1.0,1.0,2.0,2.0,,0.5,0.3333333333333333,0.6666666666666666,,0.5,0.5385,1.0,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,False
1627777-1627788-1629003-1629646-203552,1610612755,"Georges Niang, Furkan Korkmaz, Shake Milton, Charles Bassey, Seth Curry","Niang, Korkmaz, Milton, Bassey, Curry",1627777-1627788-1629003-1629646-203552,PHI,791.0,1,13.0,12.0,27.0,27.0,3.0,54.0,5.0,4.0,7.0,4.0,8.0,9.0,13.0,12.0,34.0,22.0,6.0,8.0,3.0,8.0,1.0,21.0,8.0,5.0,13.0,17.0,5.0,4.0,6.0,7.0,3.0,,3.0,2.0,3.0,1.0,27.0,0.3333333333333333,0.42857142857142855,0.6923076923076923,0.66,0.68,0.48,0.8333333333333334,0.4166666666666667,1.0,0.65,0.5,0.3333333333333333,1.0,98.30594184576485,0.3333333333333333,14.11111111111111,15.185185185185185,13.962962962962964,13.851851851851851,0.2,0.28,0.5714285714285714,0.5714285714285714,0.25,0.16,0.32,0.68,0.510752,5.161538461538461,25.383333333333336,4.0,1.0,1.0,4.0,5.0,1.0,3.0,12.0,15.0,4.0,5.0,4.0,3.0,1.0,,1.0,1.0,4.0,1.0,0.4166666666666667,0.4166666666666667,1.0,0.04,0.5,0.5,1.0,0.25,0.5,0.4851125,0.04,0.07692307692307693,0.14814814814814814,4.0,3.0,3.0,3.0,4.0,2.0,0.75,0.36363636363636365,,1.0,0.75,0.6320333333333333,1.0,1.0,1.0,,1.0,,,0.25,0.3333333333333333,1.0,0.25,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,2.0,1.0,4.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.875,0.5,0.875,0.5,0.08333333333333333,0.25,0.14285714285714285,0.25,0.5,0.8,0.8,0.5,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.25,0.20588235294117646,0.11764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,False
1627777-1627788-1629003-1629680-1630178,1610612755,"Georges Niang, Furkan Korkmaz, Shake Milton, Matisse Thybulle, Tyrese Maxey","Niang, Korkmaz, Milton, Thybulle, Maxey",1627777-1627788-1629003-1629680-1630178,PHI,171.0,3,3.0,5.0,9.0,7.0,5.0,16.0,,2.0,3.0,1.0,1.0,2.0,5.0,2.0,9.0,4.0,4.0,1.0,2.0,3.0,2.0,7.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,9.0,1.0,1.0,0.4,0.5,0.5625,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,,,134.73684210526315,1.0,11.555555555555555,9.571428571428571,11.555555555555555,9.571428571428571,,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.43550000000000005,11.24,24.3,6.0,,2.0,1.0,1.0,2.0,4.0,,3.0,1.0,1.0,1.0,1.0,,,2.0,1.0,6.0,1.0,0.5,0.5,1.0,0.2857142857142857,1.0,1.0,1.0,,1.0,0.40972,0.125,0.16666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,1.0,6.0,,,,,1.0,,,,,,,,6.0,,,,0.5,,0.4,,0.5,,,,,,,,,,,,,,,0.2,,0.6666666666666666,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,False
1627777-1627788-1629003-1629680-1630194,1610612755,"Georges Niang, Furkan Korkmaz, Shake Milton, Matisse Thybulle, Paul Reed","Niang, Korkmaz, Milton, Thybulle, Reed",1627777-1627788-1629003-1629680-1630194,PHI,216.0,2,4.0,-2.0,6.0,6.0,,12.0,2.0,1.0,1.0,,1.0,3.0,4.0,1.0,7.0,9.0,4.0,1.0,2.0,2.0,,4.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,,,,,,7.0,0.6666666666666666,0.6666666666666666,0.75,0.6,0.7,0.2,0.5,0.5,0.5,0.5,,0.5,1.0,80.0,,16.0,20.0,14.833333333333334,17.833333333333332,0.4,0.2,1.0,1.0,,,0.2,0.6,0.52394,6.175,24.5,3.0,,1.0,,,1.0,2.0,2.0,,,,,,,,1.0,1.0,3.0,,,,,0.2,,,,,,0.42495,0.2,0.25,0.5,1.0,,,1.0,1.0,,1.0,0.5,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,2.0,,,2.0,,,,1.0,,2.0,,1.0,,2.0,,,,0.5,,0.5,,0.5,,,,,,1.0,1.0,1.0,,,,,,,,,0.2857142857142857,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,False
1627777-1627788-1629003-1629680-1630198,1610612755,"Georges Niang, Furkan Korkmaz, Shake Milton, Matisse Thybulle, Isaiah Joe","Niang, Korkmaz, Milton, Thybulle, Joe",1627777-1627788-1629003-1629680-1630198,PHI,234.0,2,4.0,-3.0,5.0,7.0,1.0,12.0,1.0,,1.0,,2.0,1.0,3.0,2.0,5.0,8.0,2.0,2.0,1.0,2.0,,5.0,2.0,1.0,3.0,3.0,,,,1.0,2.0,1.0,,,1.0,1.0,5.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.4,,0.3333333333333333,1.0,0.6,,0.5,,73.84615384615385,1.0,19.2,19.714285714285715,19.2,17.714285714285715,0.2,0.2,,,,,0.4,0.6,0.48446,7.633333333333333,27.1,,,1.0,1.0,1.0,,,,3.0,1.0,1.0,1.0,,,,,,,1.0,0.5,0.5,1.0,0.2,0.5,0.5,1.0,,0.5,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,False
1627777-1627788-1629003-1629680-202699,1610612755,"Georges Niang, Furkan Korkmaz, Shake Milton, Matisse Thybulle, Tobias Harris","Niang, Korkmaz, Milton, Thybulle, Harris",1627777-1627788-1629003-1629680-202699,PHI,149.0,2,2.0,-3.0,4.0,6.0,2.0,10.0,1.0,,,1.0,1.0,,1.0,2.0,3.0,6.0,,1.0,,,,,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,3.0,,,,0.5,0.5,0.6666666666666666,1.0,0.5,1.0,0.6,0.3333333333333333,,,96.64429530201342,,15.75,14.333333333333334,15.75,14.333333333333334,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,1.0,0.4969166666666667,3.6,24.5,,,,,1.0,,,,,,,,,,,,,,,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,False
1627777-1627788-1629003-1629680-203083,1610612755,"Georges Niang, Furkan Korkmaz, Shake Milton, Matisse Thybulle, Andre Drummond","Niang, Korkmaz, Milton, Thybulle, Drummond",1627777-1627788-1629003-1629680-203083,PHI,3659.0,12,61.0,32.0,131.0,123.0,40.0,254.0,33.0,7.0,16.0,17.0,39.0,33.0,57.0,56.0,146.0,114.0,38.0,39.0,19.0,38.0,3.0,95.0,22.0,20.0,44.0,54.0,6.0,5.0,20.0,31.0,25.0,1.0,10.0,,13.0,8.0,135.0,0.5757575757575758,0.6129032258064516,0.5789473684210527,0.5707964601769911,0.5983606557377049,0.49557522123893805,0.3,0.5882352941176471,0.7586206896551724,0.6666666666666666,0.5454545454545454,0.6,0.5714285714285714,99.96173817983055,0.6153846153846154,13.648854961832061,15.211382113821138,13.381679389312977,14.487804878048781,0.2920353982300885,0.1415929203539823,0.4375,0.4375,0.42857142857142855,0.1504424778761062,0.34513274336283184,0.7876106194690266,0.5478929203539823,5.542105263157894,25.610714285714288,24.0,6.0,8.0,15.0,21.0,17.0,11.0,28.0,57.0,15.0,19.0,13.0,14.0,11.0,1.0,23.0,10.0,24.0,0.9047619047619048,0.375,0.375,0.8181818181818182,0.07079646017699115,0.38461538461538464,0.38461538461538464,0.8666666666666667,0.2857142857142857,0.38461538461538464,0.5337642857142857,0.08333333333333333,0.15625,0.183206106870229,10.0,2.0,4.0,8.0,10.0,11.0,0.3333333333333333,0.17857142857142858,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.538511111111111,6.0,3.0,5.0,4.0,6.0,0.07017543859649122,0.09090909090909091,0.35294117647058826,0.35294117647058826,1.0,0.3333333333333333,24.0,2.0,4.0,2.0,4.0,1.0,3.0,1.0,11.0,6.0,10.0,25.0,4.0,,15.0,2.0,3.0,3.0,14.0,1.0,3.0,2.0,3.0,9.0,25.0,5.0,0.2,0.75,0.5454545454545454,0.5,0.5,0.55,0.5434782608695652,,,0.0625,0.047619047619047616,0.625,0.7272727272727273,0.8,0.625,0.25,0.2857142857142857,1.0,0.3333333333333333,1.0,0.6666666666666666,0.19047619047619047,0.07534246575342465,0.17123287671232876,4.0,2.0,1.0,1.0,1.0,0.5,3.0,2.0,6.0,2.0,3.0,6.0,2.0,3.0,1.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,0.3,0.125,0.09090909090909091,0.038461538461538464,0.5,0.2222222222222222,0.2857142857142857,0.5,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,False
