EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGA,Fg2aBlocked,Blocked2s,BlockedAtRim,Blocks,FG2APctBlocked,AtRimPctBlocked,PenaltyCorner3Frequency,LongMidRangeFGA,PenaltyArc3FGM,PenaltyFG3M,Fg3aBlocked,OffTwoPtRebounds,FTDefRebounds,LiveBallTurnovers,LostBallTurnovers,Loose Ball Fouls Drawn,BlockedShortMidRange,RecoveredBlocks,PenaltyFg3Pct,FG3APctBlocked,Corner3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,BadPassTurnovers,Offensive Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangeFGM,LongMidRangeAssists,BlockedLongMidRange,ShortMidRangePctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyCorner3FGM,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,HeaveAttempts,SelfOReb,SecondChanceTurnovers,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,SelfORebPct,SecondChanceArc3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,FTOffRebounds,LostBallOutOfBoundsTurnovers,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,Charge Fouls,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,OffLongMidRangeReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,DefensiveGoaltends,BlockedCorner3,OffensiveGoaltends,team_id,year,season,team_vs
1627759-1628369-1628401-1628464-1629684,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Daniel Theis, Grant Williams","Brown, Tatum, White, Theis, Williams",1627759-1628369-1628401-1628464-1629684,BOS,385.0,3,6.0,12.0,14.0,14.0,4.0,4.0,1.0,28,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,4.0,5.0,3.0,6.0,3.0,20.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,6.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,10.0,1.0,4.0,3.0,7.0,1.0,8.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,4.0,1.0,5.0,1.0,2.0,18.0,3.0,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.8,1.0,1.0,0.7727272727272727,1.0,0.5,0.7307692307692307,1.0,0.5,0.5454545454545454,0.75,1.0,0.3333333333333333,0.875,0.25,0.5,1.0,1.0,1.0,1.0,104.72727272727272,12.642857142857142,14.857142857142858,12.642857142857142,14.785714285714286,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.5,0.18181818181818182,1.0,1.0,0.5,0.18181818181818182,0.5,0.5,1.0,0.36363636363636365,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.8181818181818182,0.5,0.5304772727272727,0.60305,0.15384615384615385,0.2857142857142857,0.1,0.15,4.26,25.383333333333336,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,False
1627759-1628369-1628401-1628464-1630174,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Daniel Theis, Aaron Nesmith","Brown, Tatum, White, Theis, Nesmith",1627759-1628369-1628401-1628464-1630174,BOS,113.0,1,2.0,-7.0,4.0,5.0,4.0,5.0,,9,,1.0,,,,1.0,,,,1.0,,1.0,1.0,,1.0,,2.0,2.0,2.0,9.0,,,,,1.0,2.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,2.0,,1.0,2.0,2.0,4.0,,,,,,,,,,,,,0.25,,0.25,0.6666666666666666,0.5,,,0.5,,,0.5,,,,114.69026548672566,14.25,11.2,14.25,9.0,0.3333333333333333,,,,,,,,0.3333333333333333,,,,0.3333333333333333,,,,,,0.3333333333333333,,0.3333333333333333,1.0,,0.5868166666666667,0.5868166666666667,0.25,0.5,,1.0,2.2,25.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,False
1627759-1628369-1628401-1628464-1630202,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Daniel Theis, Payton Pritchard","Brown, Tatum, White, Theis, Pritchard",1627759-1628369-1628401-1628464-1630202,BOS,309.0,3,5.0,1.0,12.0,11.0,8.0,2.0,2.0,23,1.0,4.0,1.0,2.0,1.0,4.0,,3.0,,2.0,2.0,4.0,3.0,1.0,8.0,2.0,6.0,2.0,10.0,9.0,1.0,3.0,2.0,1.0,5.0,5.0,2.0,7.0,2.0,,,6.0,,4.0,2.0,1.0,,1.0,,,1.0,,2.0,1.0,1.0,5.0,7.0,4.0,11.0,,,,,,,1.0,,1.0,2.0,,2.0,,2.0,,1.0,8.0,7.0,8.0,1.0,1.0,1.0,,0.3333333333333333,0.3333333333333333,0.125,0.3333333333333333,0.2,0.2857142857142857,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.3181818181818182,0.42857142857142855,1.0,1.0,0.3333333333333333,1.0,0.4,,1.0,1.0,1.0,,107.18446601941747,13.916666666666666,12.909090909090908,11.25,12.909090909090908,0.2857142857142857,0.25,0.5,1.0,0.21428571428571427,,,,0.14285714285714285,,,,0.2857142857142857,0.5,0.5,,0.6666666666666666,0.5,0.4,0.25,0.3,0.7142857142857143,0.5,0.49325714285714284,0.5149549999999999,0.06666666666666667,0.1111111111111111,0.2,0.7,5.625,25.366666666666664,0.6666666666666666,2.0,2.0,2.0,,2.0,0.25,0.5,0.2,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,0.2,0.16666666666666666,0.5,1.0,1.0,0.42857142857142855,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.07142857142857142,1.0,0.3333333333333333,0.5374333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,False
1627759-1628369-1628401-1628464-201143,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Daniel Theis, Al Horford","Brown, Tatum, White, Theis, Horford",1627759-1628369-1628401-1628464-201143,BOS,185.0,2,3.0,-1.0,8.0,6.0,4.0,6.0,,14,,,,,,,,1.0,1.0,1.0,,,,,2.0,1.0,1.0,3.0,6.0,7.0,,,,,1.0,,1.0,1.0,,,3.0,,,,,,1.0,1.0,,1.0,,,3.0,,1.0,2.0,3.0,,3.0,,,,,2.0,,3.0,2.0,,2.0,,3.0,,4.0,,1.0,6.0,1.0,4.0,,,,1.0,1.0,1.0,,,,0.5,,,0.6,,0.25,0.3333333333333333,1.0,1.0,,1.0,,,,1.0,,1.0,108.97297297297297,13.0,13.5,13.0,13.5,,,,,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,0.3333333333333333,,0.46021666666666666,0.4312,0.25,0.3333333333333333,,0.16666666666666666,13.4,23.3,0.5,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,0.3333333333333333,,,,,,1.0,,0.3333333333333333,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,False
1627759-1628369-1628401-1628464-203935,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Daniel Theis, Marcus Smart","Brown, Tatum, White, Theis, Smart",1627759-1628369-1628401-1628464-203935,BOS,245.0,2,4.0,5.0,7.0,8.0,,,1.0,15,1.0,3.0,1.0,1.0,,,1.0,2.0,,1.0,1.0,2.0,,3.0,6.0,1.0,3.0,,9.0,4.0,1.0,1.0,2.0,,,,,,2.0,4.0,3.0,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,5.0,1.0,2.0,3.0,5.0,2.0,7.0,,,,,,,,,1.0,2.0,,2.0,,,,,7.0,,,,0.3333333333333333,0.5,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,,0.5,1.0,,0.5,1.0,,0.3333333333333333,0.75,1.0,0.5,0.8333333333333334,0.4,,,1.0,1.0,,88.16326530612245,17.571428571428573,15.25,17.571428571428573,14.0,0.3333333333333333,0.3333333333333333,0.5,,0.2222222222222222,0.5,1.0,,0.1111111111111111,,,,0.2222222222222222,0.5,0.5,1.0,1.0,1.0,,,,0.6666666666666666,0.5,0.5322,,,,0.2222222222222222,,5.883333333333333,24.53333333333333,,,2.0,2.0,,2.0,0.3333333333333333,0.3333333333333333,,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,0.3333333333333333,0.5,,1.0,0.5,0.5,0.1111111111111111,,,0.5841,,,,,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,False
1627759-1628369-1628401-1629057-1629684,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Robert Williams III, Grant Williams","Brown, Tatum, White, Williams III, Williams",1627759-1628369-1628401-1629057-1629684,BOS,1749.0,8,29.0,18.0,61.0,59.0,24.0,27.0,8.0,120,10.0,18.0,3.0,3.0,3.0,4.0,3.0,8.0,4.0,7.0,6.0,16.0,6.0,16.0,29.0,10.0,23.0,15.0,77.0,59.0,3.0,5.0,10.0,6.0,8.0,11.0,8.0,35.0,20.0,12.0,18.0,12.0,6.0,15.0,6.0,10.0,6.0,16.0,2.0,4.0,7.0,3.0,38.0,3.0,8.0,15.0,24.0,9.0,33.0,5.0,4.0,1.0,2.0,3.0,,10.0,5.0,4.0,11.0,2.0,14.0,1.0,20.0,,7.0,67.0,35.0,24.0,2.0,0.625,0.7692307692307693,0.6,0.43478260869565216,0.45454545454545453,0.5517241379310345,0.6,0.75,0.5961538461538461,0.5,0.7105263157894737,0.6311475409836066,0.625,0.7608695652173914,0.4423076923076923,0.8333333333333334,0.5714285714285714,0.25,0.71875,0.36,0.1111111111111111,0.6,1.0,0.6363636363636364,0.3333333333333333,98.79931389365352,14.524590163934427,14.627118644067796,14.114754098360656,13.983050847457626,0.34615384615384615,0.5555555555555556,0.7142857142857143,0.7,0.15384615384615385,0.375,0.375,1.0,0.1346153846153846,0.5714285714285714,0.5714285714285714,1.0,0.3076923076923077,0.375,0.375,0.3333333333333333,0.5,1.0,0.21052631578947367,0.75,0.3157894736842105,0.7884615384615384,0.4,0.5276519607843138,0.4741833333333333,0.12280701754385964,0.20588235294117646,0.12987012987012986,0.45454545454545453,4.793103448275862,26.569565217391304,0.39344262295081966,5.0,4.0,6.0,3.0,7.0,0.13793103448275862,0.2222222222222222,0.2631578947368421,3.0,2.0,5.0,,6.0,1.0,7.0,2.0,2.0,2.0,5.0,0.45454545454545453,,,0.7,1.0,0.46153846153846156,0.375,0.6,0.6666666666666666,0.875,0.7142857142857143,0.057692307692307696,,0.3333333333333333,0.43764000000000003,5.0,1.0,4.0,2.0,3.0,,1.0,,1.0,1.0,,3.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,0.047619047619047616,0.16666666666666666,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,False
1627759-1628369-1628401-1629057-1630202,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Robert Williams III, Payton Pritchard","Brown, Tatum, White, Williams III, Pritchard",1627759-1628369-1628401-1629057-1630202,BOS,793.0,7,13.0,7.0,27.0,23.0,3.0,,2.0,50,2.0,2.0,,,,,3.0,6.0,3.0,4.0,2.0,6.0,,7.0,14.0,5.0,10.0,,29.0,22.0,,1.0,,1.0,2.0,,,2.0,10.0,4.0,12.0,3.0,,6.0,2.0,5.0,4.0,9.0,1.0,3.0,1.0,3.0,22.0,1.0,4.0,3.0,7.0,1.0,8.0,3.0,3.0,,,1.0,,4.0,1.0,,2.0,,4.0,1.0,,,,29.0,2.0,3.0,,0.7142857142857143,0.7142857142857143,0.8,0.5,0.5,0.5,,0.5,0.6041666666666666,,0.5,0.6041666666666666,,0.5,0.4166666666666667,0.6,0.8,0.2,0.7,0.09090909090909091,0.25,,1.0,0.75,1.0,90.79445145018916,15.666666666666666,16.08695652173913,14.962962962962964,15.956521739130435,0.08333333333333333,1.0,1.0,0.5,0.25,0.5,0.5,1.0,0.16666666666666666,0.75,0.75,1.0,0.25,0.3333333333333333,0.3333333333333333,0.5,,,,,,0.5,0.3333333333333333,0.46338541666666666,0.34535,,,,0.06896551724137931,11.650000000000002,25.3,0.1111111111111111,,,2.0,1.0,2.0,,,,6.0,,,,,,3.0,2.0,,1.0,1.0,,,,0.75,,,,,,0.6666666666666666,0.5,0.25,,,0.4302,1.0,,,,2.0,1.0,,,0.3333333333333333,0.3333333333333333,0.5,,1.0,1.0,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,False
1627759-1628369-1628401-1629057-201143,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Robert Williams III, Al Horford","Brown, Tatum, White, Williams III, Horford",1627759-1628369-1628401-1629057-201143,BOS,1482.0,6,25.0,9.0,48.0,48.0,,,6.0,96,8.0,11.0,1.0,2.0,,,5.0,8.0,3.0,11.0,3.0,6.0,,16.0,25.0,6.0,17.0,1.0,51.0,42.0,2.0,4.0,4.0,,,,,,24.0,8.0,18.0,,,6.0,3.0,12.0,6.0,18.0,3.0,3.0,6.0,3.0,42.0,2.0,6.0,15.0,22.0,6.0,28.0,4.0,2.0,2.0,,5.0,,11.0,,4.0,12.0,,5.0,,3.0,,2.0,47.0,,,,0.75,0.75,1.0,0.35294117647058826,0.35294117647058826,0.64,0.5,,0.5952380952380952,0.4,,0.5930232558139535,0.4,,0.40476190476190477,0.6818181818181818,0.5454545454545454,0.18181818181818182,0.6363636363636364,0.25,0.3333333333333333,0.5,1.0,0.6666666666666666,0.4,93.27935222672065,15.729166666666666,15.145833333333334,14.604166666666666,14.291666666666666,0.2619047619047619,0.7272727272727273,1.0,0.75,0.19047619047619047,0.625,0.625,0.6,0.2619047619047619,0.2727272727272727,0.2727272727272727,1.0,0.14285714285714285,0.5,0.5,1.0,0.4,0.5,,,,0.6666666666666666,0.5,0.5283107142857143,,0.046511627906976744,0.07692307692307693,0.0784313725490196,,7.9,24.670588235294115,,,3.0,5.0,2.0,5.0,0.12,0.2727272727272727,,6.0,,,,3.0,1.0,6.0,1.0,2.0,3.0,2.0,,,,0.5454545454545454,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.125,0.6428571428571429,0.4,0.14285714285714285,1.0,,0.574275,5.0,2.0,,,3.0,3.0,,,0.5,0.5,1.0,,,1.0,,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,False
1627759-1628369-1628401-1629057-203935,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Robert Williams III, Marcus Smart","Brown, Tatum, White, Williams III, Smart",1627759-1628369-1628401-1629057-203935,BOS,1028.0,4,17.0,13.0,33.0,34.0,12.0,16.0,3.0,67,6.0,8.0,1.0,1.0,3.0,5.0,6.0,9.0,,,1.0,8.0,2.0,15.0,22.0,1.0,8.0,7.0,40.0,27.0,2.0,2.0,7.0,5.0,8.0,2.0,3.0,13.0,16.0,14.0,3.0,,2.0,8.0,1.0,8.0,1.0,9.0,1.0,,3.0,4.0,19.0,1.0,9.0,4.0,13.0,3.0,16.0,6.0,5.0,1.0,,4.0,,6.0,3.0,,4.0,,10.0,2.0,7.0,,4.0,33.0,13.0,12.0,3.0,0.5333333333333333,0.5714285714285714,1.0,0.125,0.125,0.6818181818181818,1.0,0.625,0.55,1.1666666666666667,0.5,0.6060606060606061,1.1666666666666667,0.5909090909090909,0.26666666666666666,0.4444444444444444,0.75,0.14285714285714285,0.6190476190476191,0.25,0.14285714285714285,,0.5,0.8,0.5,93.85214007782102,15.484848484848484,15.205882352941176,15.121212121212121,14.323529411764707,0.26666666666666666,0.75,0.75,0.5,0.3,0.6666666666666666,0.75,0.6666666666666666,,,,,0.26666666666666666,0.125,0.14285714285714285,1.0,0.3333333333333333,1.0,0.5,0.6,0.2,0.5333333333333333,0.125,0.46446833333333337,0.49372499999999997,0.125,0.16666666666666666,0.175,0.325,8.577272727272728,27.1375,0.36363636363636365,,1.0,2.0,,2.0,0.045454545454545456,,,5.0,,,1.0,2.0,,2.0,2.0,2.0,2.0,,,0.125,,0.3333333333333333,,0.4,0.5,0.3333333333333333,,0.42857142857142855,,0.16666666666666666,,,0.48891666666666667,,1.0,1.0,,3.0,1.0,,0.1111111111111111,0.6,0.6,0.3333333333333333,,1.0,1.0,,,1.0,,2.0,,,0.1,0.3333333333333333,,,,1.0,,,1.0,1.0,1.0,0.125,1.0,1.0,,,,,,,,,,,,,,,,1610612738,2022,2021-22,False
1627759-1628369-1628401-1629684-201143,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Grant Williams, Al Horford","Brown, Tatum, White, Williams, Horford",1627759-1628369-1628401-1629684-201143,BOS,2105.0,13,35.0,29.0,67.0,69.0,16.0,18.0,4.0,136,4.0,14.0,1.0,5.0,2.0,5.0,6.0,11.0,4.0,9.0,12.0,21.0,6.0,12.0,28.0,16.0,30.0,12.0,84.0,55.0,1.0,5.0,3.0,4.0,8.0,9.0,3.0,20.0,14.0,10.0,42.0,6.0,2.0,21.0,12.0,7.0,14.0,21.0,10.0,4.0,2.0,3.0,56.0,3.0,15.0,14.0,30.0,6.0,36.0,8.0,5.0,3.0,,1.0,,9.0,2.0,3.0,7.0,,12.0,,15.0,,7.0,81.0,20.0,16.0,1.0,0.5833333333333334,0.6363636363636364,0.875,0.5333333333333333,0.5333333333333333,0.42857142857142855,0.2,0.5,0.6206896551724138,0.2,0.5,0.6461538461538462,0.25,0.5263157894736842,0.5172413793103449,0.6666666666666666,0.7894736842105263,0.23076923076923078,0.725,0.20689655172413793,0.2222222222222222,0.8333333333333334,0.75,0.8125,0.6666666666666666,93.03562945368171,15.686567164179104,15.27536231884058,15.388059701492537,14.057971014492754,0.2413793103448276,0.2857142857142857,0.3333333333333333,0.5,0.1896551724137931,0.5454545454545454,0.5454545454545454,0.5,0.15517241379310345,0.4444444444444444,0.4444444444444444,1.0,0.3620689655172414,0.5714285714285714,0.5714285714285714,0.8333333333333334,1.0,0.2,0.29411764705882354,0.4,0.35294117647058826,0.7586206896551724,0.5714285714285714,0.5150586206896551,0.5278058823529411,0.109375,0.20588235294117646,0.03571428571428571,0.23809523809523808,5.507142857142858,25.336666666666666,0.23880597014925373,3.0,2.0,5.0,2.0,5.0,0.07142857142857142,0.14285714285714285,0.17647058823529413,3.0,2.0,3.0,,3.0,1.0,8.0,6.0,,2.0,3.0,0.3333333333333333,,,0.8888888888888888,1.0,0.1875,0.3,,0.25,0.5454545454545454,0.6,0.05172413793103448,,0.3333333333333333,0.445,2.0,,1.0,1.0,2.0,2.0,1.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,,,1.0,,,,1.0,,,,,0.3333333333333333,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1610612738,2022,2021-22,False
