EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PlusMinus,DefCorner3ReboundPct,LongMidRangeAssists,Charge Fouls Drawn,LongMidRangePctAssisted,Corner3FGM,FG3M,PtsUnassisted3s,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Fg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,DefFTReboundPct,DefShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,OffThreePtRebounds,LongMidRangePctBlocked,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,Loose Ball Fouls,PenaltyArc3FGA,PenaltyFG3A,PenaltyArc3Frequency,Arc3FGM,SecondChanceFtPoints,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DeadBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,LostBallSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,OffCorner3ReboundPct,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,FTOffRebounds,BlockedShortMidRange,Defensive 3 Seconds Violations,PenaltyFg3Pct,OffFTReboundPct,PenaltyCorner3Frequency,PenaltyArc3Accuracy,PenaltyCorner3FGM,Corner3Assists,DefLongMidRangeReboundPct,Corner3PctAssisted,PenaltyCorner3Accuracy,HeaveAttempts,BlockedLongMidRange,AtRimPctBlocked,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BadPassOutOfBoundsTurnovers,Charge Fouls,3SecondViolations,Travels,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,Technical Free Throw Trips,BlockedCorner3,SecondChanceArc3PctAssisted,team_id,year,season,team_vs
1627777-1627788-1629003-1630178-203954,1610612755,"Georges Niang, Furkan Korkmaz, Shake Milton, Tyrese Maxey, Joel Embiid","Niang, Korkmaz, Milton, Maxey, Embiid",1627777-1627788-1629003-1630178-203954,PHI,375.0,2,6.0,12.0,12.0,3.0,3.0,24,4.0,6.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,7.0,12.0,2.0,2.0,16.0,16.0,3.0,3.0,6.0,4.0,10.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0,0.2857142857142857,0.4,0.5833333333333334,1.0,0.5,1.0,0.5333333333333333,1.0,0.14285714285714285,0.08333333333333333,0.3333333333333333,1.0,0.6,1.0,1.0,0.42857142857142855,1.0,0.5,1.0,1.0,0.16666666666666666,92.16,1.0,16.25,15.0,15.666666666666666,15.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.25,0.21428571428571427,0.3333333333333333,0.5,1.0,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.07142857142857142,0.07142857142857142,1.0,1.0,0.3333333333333333,0.5714285714285714,0.533875,0.609,0.06666666666666667,0.07692307692307693,0.375,7.633333333333333,25.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,True
1627777-1627788-1629680-1630178-203954,1610612755,"Georges Niang, Furkan Korkmaz, Matisse Thybulle, Tyrese Maxey, Joel Embiid","Niang, Korkmaz, Thybulle, Maxey, Embiid",1627777-1627788-1629680-1630178-203954,PHI,12.0,1,,,1.0,1.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,True
1627777-1627788-1629680-1630194-201935,1610612755,"Georges Niang, Furkan Korkmaz, Matisse Thybulle, Paul Reed, James Harden","Niang, Korkmaz, Thybulle, Reed, Harden",1627777-1627788-1629680-1630194-201935,PHI,118.0,1,2.0,4.0,3.0,,,7,1.0,1.0,,,1.0,2.0,,,,,2.0,3.0,,2.0,6.0,3.0,,,,,4.0,,,,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,2.0,1.0,,,,,6.0,,,0.6666666666666666,,0.6666666666666666,,0.75,,,,,,,1.0,1.0,,,,,,,85.42372881355932,,13.5,21.333333333333332,13.5,21.333333333333332,0.3333333333333333,1.0,1.0,,0.6666666666666666,0.5,0.5,,,,,,,,,,0.3333333333333333,0.4456333333333333,,0.25,0.25,,6.8999999999999995,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,True
1627777-1627788-1629680-201935-203954,1610612755,"Georges Niang, Furkan Korkmaz, Matisse Thybulle, James Harden, Joel Embiid","Niang, Korkmaz, Thybulle, Harden, Embiid",1627777-1627788-1629680-201935-203954,PHI,160.0,1,3.0,6.0,5.0,5.0,,11,,,,,,1.0,2.0,4.0,,,2.0,5.0,,1.0,5.0,5.0,,,,2.0,2.0,,,,1.0,1.0,,,2.0,,1.0,,1.0,,1.0,,,,2.0,2.0,2.0,2.0,1.0,,,,,5.0,0.5,0.5,0.4,,0.4,,0.4166666666666667,,,,,,,1.0,1.0,,,,,1.0,,99.0,,17.166666666666668,11.4,17.166666666666668,11.4,,,,,0.2,,,,0.8,0.5,0.5,,,,,,,0.41681999999999997,,0.16666666666666666,0.16666666666666666,,17.36,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,True
1627777-1627788-1630178-1630194-201935,1610612755,"Georges Niang, Furkan Korkmaz, Tyrese Maxey, Paul Reed, James Harden","Niang, Korkmaz, Maxey, Reed, Harden",1627777-1627788-1630178-1630194-201935,PHI,161.0,1,3.0,7.0,7.0,6.0,,14,,1.0,,,1.0,1.0,1.0,2.0,1.0,,2.0,4.0,1.0,3.0,10.0,10.0,,,,,4.0,,,,,,,,,,,1.0,2.0,,2.0,,,,1.0,1.0,3.0,3.0,2.0,,,,,10.0,,,0.5,,0.7,,0.8333333333333334,,0.2,,,1.0,,,1.0,,,,,,,125.21739130434784,,14.0,9.0,14.0,8.714285714285714,0.2,,,,0.2,1.0,1.0,,0.4,0.5,0.5,0.2,,,,,0.4,0.47169,,0.3333333333333333,0.4,,12.125,23.3,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,True
1627777-1627788-1630178-1630194-202699,1610612755,"Georges Niang, Furkan Korkmaz, Tyrese Maxey, Paul Reed, Tobias Harris","Niang, Korkmaz, Maxey, Reed, Harris",1627777-1627788-1630178-1630194-202699,PHI,55.0,1,1.0,2.0,2.0,2.0,,4,1.0,1.0,,,,1.0,,,,,1.0,2.0,,,2.0,,,,,2.0,,,,,1.0,1.0,1.0,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,2.0,1.0,1.0,0.5,,0.5,,0.5,,,,,,,,,,,,,,,104.72727272727273,,13.5,14.0,13.5,13.5,0.5,1.0,1.0,1.0,0.5,,,,,,,,,,,,0.5,0.3679,,,,,3.25,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.5,0.5,0.5,0.5,1.0,0.3679,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,True
1627777-1627788-1630178-200794-202699,1610612755,"Georges Niang, Furkan Korkmaz, Tyrese Maxey, Paul Millsap, Tobias Harris","Niang, Korkmaz, Maxey, Millsap, Harris",1627777-1627788-1630178-200794-202699,PHI,117.0,1,2.0,4.0,4.0,,2.0,8,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,3.0,4.0,3.0,,6.0,6.0,1.0,1.0,2.0,,6.0,,2.0,1.0,,,,,,1.0,,1.0,1.0,3.0,4.0,,,,2.0,2.0,,,,,,,,4.0,,,0.75,1.0,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.25,,0.5,1.0,,0.5,0.75,,,,,,98.46153846153847,,18.0,11.25,10.25,11.0,0.2857142857142857,1.0,1.0,,0.14285714285714285,1.0,1.0,,0.14285714285714285,,,0.14285714285714285,0.2857142857142857,0.3333333333333333,1.0,,0.7142857142857143,0.5468,0.37725,,,0.3333333333333333,7.825,26.0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,True
1627777-1627788-1630178-201935-203954,1610612755,"Georges Niang, Furkan Korkmaz, Tyrese Maxey, James Harden, Joel Embiid","Niang, Korkmaz, Maxey, Harden, Embiid",1627777-1627788-1630178-201935-203954,PHI,88.0,1,1.0,2.0,2.0,,,4,,,,,,,,,1.0,1.0,,,2.0,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,65.45454545454545,,27.0,17.0,27.0,17.0,,,,,,,,,,,,0.5,0.5,,,,1.0,0.518625,,,,,,24.6,,,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,True
1627777-1627788-1630194-201935-202699,1610612755,"Georges Niang, Furkan Korkmaz, Paul Reed, James Harden, Tobias Harris","Niang, Korkmaz, Reed, Harden, Harris",1627777-1627788-1630194-201935-202699,PHI,71.0,1,1.0,2.0,2.0,,,4,,,,,,1.0,,,,,,1.0,,2.0,2.0,2.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,2.0,1.0,,,,,2.0,,,,,,,0.5,,,,,,,1.0,0.5,,,,,1.0,,81.12676056338029,,18.0,17.5,18.0,14.5,,,,,1.0,,,,,,,,,,,,,0.4182,,0.5,0.5,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,True
1627777-1629003-1629680-1630178-1630194,1610612755,"Georges Niang, Shake Milton, Matisse Thybulle, Tyrese Maxey, Paul Reed","Niang, Milton, Thybulle, Maxey, Reed",1627777-1629003-1629680-1630178-1630194,PHI,38.0,2,1.0,2.0,,,1.0,2,,1.0,,1.0,,,,,,2.0,,1.0,2.0,,,,,1.0,,,,,2.0,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,0.5,,,,,,75.78947368421053,,19.0,,16.5,,0.3333333333333333,,,,,,,,,,,,0.6666666666666666,1.0,,,1.0,0.56275,,,,,,27.55,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,,,2.0,,,,0.3333333333333333,,0.56275,,1.0,,,,1.0,,1.0,,1.0,,,,2.0,2.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2022,2021-22,True
