EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Offensive Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Arc3Assists,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,ShootingFouls,Offensive Fouls Drawn,TwoPtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceFG2M,PtsPutbacks,SelfOReb,SecondChanceFg2Pct,OffArc3ReboundPct,SelfORebPct,Loose Ball Fouls,Blocked3s,BlockedArc3,AtRimPctBlocked,SecondChanceArc3PctAssisted,SecondChanceFtPoints,BadPassTurnovers,SecondChanceAtRimFGM,Fg3aBlocked,RecoveredBlocks,FG3APctBlocked,Arc3PctBlocked,BlocksRecoveredPct,SecondChanceAtRimAccuracy,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,LongMidRangePctAssisted,FTOffRebounds,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,OffFTReboundPct,Travels,OffLongMidRangeReboundPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,NonShootingPenaltyNonTakeFouls,BlockedAtRim,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,3pt And 1 Free Throw Trips,SecondChanceCorner3FGM,Technical Free Throw Trips,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,Charge Fouls,Charge Fouls Drawn,BlockedLongMidRange,Defensive 3 Seconds Violations,LongMidRangePctBlocked,DefensiveGoaltends,Corner3PctBlocked,team_id,year,season,team_vs
1626172-1627780-1629673-201939-202691,1610612744,"Kevon Looney, Gary Payton II, Jordan Poole, Stephen Curry, Klay Thompson","Looney, Payton II, Poole, Curry, Thompson",1626172-1627780-1629673-201939-202691,GSW,120.0,1,2.0,1.0,5.0,4.0,5.0,1.0,9.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,6.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.625,0.625,0.6,0.6,0.25,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,108.0,8.8,19.0,8.4,16.0,0.5,0.5,0.5,1.0,0.25,0.25,1.0,1.0,1.0,1.0,0.5,0.5,0.25,1.0,0.75,0.591275,0.5811,0.591275,1.0,4.033333333333333,23.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2022,2021-22,False
1626172-1627780-1629673-201939-203490,1610612744,"Kevon Looney, Gary Payton II, Jordan Poole, Stephen Curry, Otto Porter Jr.","Looney, Payton II, Poole, Curry, Porter Jr.",1626172-1627780-1629673-201939-203490,GSW,864.0,5,14.0,2.0,31.0,32.0,20.0,2.0,63.0,1.0,2.0,,,,11.0,1.0,2.0,1.0,2.0,9.0,15.0,5.0,10.0,7.0,40.0,38.0,,5.0,9.0,5.0,9.0,3.0,28.0,10.0,9.0,5.0,3.0,8.0,1.0,1.0,19.0,1.0,2.0,5.0,8.0,2.0,10.0,2.0,3.0,,5.0,,8.0,8.0,2.0,1.0,1.0,1.0,37.0,28.0,20.0,,0.5555555555555556,0.5555555555555556,0.6,0.5,0.5555555555555556,0.5,0.6,0.5555555555555556,0.66,0.6944444444444444,0.6896551724137931,0.7,0.4,0.625,0.16666666666666666,0.5,0.5833333333333334,0.18181818181818182,,0.4,0.5,105.0,13.258064516129032,14.15625,12.806451612903226,13.34375,0.08,0.5,0.5,1.0,0.44,0.08,0.5,0.5,1.0,,,,0.1111111111111111,0.5,0.48,0.472548,,0.4715611111111111,0.7,8.133333333333333,26.05,0.6451612903225806,22.0,7.0,1.0,2.0,4.0,8.0,1.0,1.0,4.0,7.0,1.0,1.0,3.0,8.0,6.0,8.0,4.0,1.0,2.0,4.0,1.0,1.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.5,1.5,0.06666666666666667,0.09090909090909091,0.3333333333333333,1.0,0.2,1.0,1.0,1.0,1.0,0.5,0.6363636363636364,0.7,0.5714285714285714,0.08,0.5,0.5,0.32,0.5,0.5,0.5,1.0,1.0,0.3888888888888889,0.5714285714285714,0.5,0.07407407407407407,0.11764705882352941,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2022,2021-22,False
1626172-1627780-1629673-201939-203952,1610612744,"Kevon Looney, Gary Payton II, Jordan Poole, Stephen Curry, Andrew Wiggins","Looney, Payton II, Poole, Curry, Wiggins",1626172-1627780-1629673-201939-203952,GSW,369.0,4,6.0,1.0,10.0,11.0,1.0,2.0,21.0,1.0,1.0,,,,1.0,,,,,2.0,2.0,2.0,8.0,1.0,11.0,10.0,1.0,,,,2.0,,,2.0,3.0,1.0,1.0,2.0,,1.0,5.0,,1.0,2.0,3.0,2.0,5.0,,1.0,,2.0,,1.0,2.0,,,,,9.0,,1.0,,0.5,1.0,0.5,0.25,,0.25,1.0,,0.5,,0.5,,0.8,0.5,,0.25,0.375,0.4,,,0.25,81.95121951219512,16.4,18.636363636363637,16.1,16.545454545454547,0.1,1.0,1.0,1.0,0.1,,,,,,,,,,0.9,0.50986,,0.364125,,3.9,26.725,0.1,2.0,1.0,,,2.0,8.0,,1.0,,2.0,,1.0,2.0,2.0,3.0,8.0,2.0,,1.0,,2.0,,2.0,1.0,1.0,1.0,,1.0,,,,,1.0,,0.5,0.5,,,1.0,,0.4,,,,1.0,,1.0,1.0,,,,,0.8,0.25,0.25,0.5,0.5,,1.0,,0.25,0.09090909090909091,0.3333333333333333,0.18181818181818182,1.0,2.0,1.0,1.0,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2022,2021-22,False
1626172-1627780-1629673-202691-203490,1610612744,"Kevon Looney, Gary Payton II, Jordan Poole, Klay Thompson, Otto Porter Jr.","Looney, Payton II, Poole, Thompson, Porter Jr.",1626172-1627780-1629673-202691-203490,GSW,409.0,3,7.0,-4.0,12.0,11.0,5.0,1.0,23.0,1.0,3.0,,,2.0,2.0,1.0,1.0,,,2.0,7.0,2.0,4.0,2.0,12.0,16.0,,,3.0,1.0,1.0,2.0,5.0,4.0,6.0,2.0,2.0,4.0,1.0,1.0,10.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,5.0,,1.0,2.0,1.0,,,1.0,9.0,5.0,5.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.2857142857142857,,0.45454545454545453,0.375,0.5,0.5,0.36363636363636365,0.25,0.2,0.3333333333333333,0.3,0.14285714285714285,,0.25,0.4,80.97799511002445,15.416666666666666,20.363636363636363,15.333333333333334,17.727272727272727,0.2727272727272727,0.3333333333333333,1.0,1.0,0.18181818181818182,0.09090909090909091,1.0,1.0,1.0,,0.5,,,,0.6363636363636364,0.4684090909090909,0.40455,0.3764875,0.4166666666666667,7.6571428571428575,25.325,0.4166666666666667,5.0,1.0,,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,3.0,,,1.0,1.5,1.5,0.2857142857142857,,,,,0.5,,,,,0.5,0.5,1.0,0.18181818181818182,,,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.25,1.0,0.3333333333333333,,,0.25,,,,,,,1.0,1.0,1.0,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2022,2021-22,False
1626172-1627780-1629673-202691-203952,1610612744,"Kevon Looney, Gary Payton II, Jordan Poole, Klay Thompson, Andrew Wiggins","Looney, Payton II, Poole, Thompson, Wiggins",1626172-1627780-1629673-202691-203952,GSW,30.0,1,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.5,,,,48.0,19.0,,15.0,,,,,,0.5,,,,,,,,,,0.5,0.44795,,,,5.6,27.8,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2022,2021-22,False
1626172-1627780-1629673-203490-203952,1610612744,"Kevon Looney, Gary Payton II, Jordan Poole, Otto Porter Jr., Andrew Wiggins","Looney, Payton II, Poole, Porter Jr., Wiggins",1626172-1627780-1629673-203490-203952,GSW,93.0,1,2.0,-2.0,3.0,3.0,,1.0,6.0,,,,,,,,,,,,,,2.0,3.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,,2.0,1.0,4.0,4.0,,,,,2.0,,,,,,,,,,,,,,0.375,,1.0,,,,,1.0,,,,92.90322580645162,17.0,14.0,12.333333333333334,10.333333333333334,,,,,,,,,,,,,,,1.0,0.554175,,,,,26.85,,,,,,,2.0,,1.0,,,,1.0,1.0,,,2.0,,,,,2.0,,1.0,,1.0,,,,,,1.0,,2.0,,,0.25,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,0.5,1.0,0.3333333333333333,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2022,2021-22,False
1626172-1627780-201939-202691-203110,1610612744,"Kevon Looney, Gary Payton II, Stephen Curry, Klay Thompson, Draymond Green","Looney, Payton II, Curry, Thompson, Green",1626172-1627780-201939-202691-203110,GSW,64.0,1,1.0,-2.0,2.0,3.0,,,5.0,,,,,,,,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,3.0,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,1.0,1.0,,,1.0,1.0,112.5,16.0,10.666666666666666,16.0,10.666666666666666,,,,,,,,,,,,,,,0.5,0.4895,,,,18.1,27.5,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2022,2021-22,False
1626172-1627780-201939-202691-203490,1610612744,"Kevon Looney, Gary Payton II, Stephen Curry, Klay Thompson, Otto Porter Jr.","Looney, Payton II, Curry, Thompson, Porter Jr.",1626172-1627780-201939-202691-203490,GSW,168.0,3,3.0,8.0,5.0,3.0,,,8.0,,,,,,1.0,1.0,2.0,,,1.0,1.0,2.0,3.0,,8.0,,,,,,,,,2.0,6.0,1.0,2.0,3.0,1.0,,8.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,8.0,,,,1.0,1.0,1.0,0.6666666666666666,,0.6666666666666666,1.0,,1.0,,1.0,,0.75,,,1.0,0.5,,,,,68.57142857142857,15.2,30.666666666666668,15.2,30.333333333333332,,,,,0.25,0.5,0.5,0.5,1.0,,,,,,0.75,0.511575,,,,10.3,23.366666666666664,,,1.0,,,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,,2.0,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,0.25,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2022,2021-22,False
1626172-1627780-201939-202691-203952,1610612744,"Kevon Looney, Gary Payton II, Stephen Curry, Klay Thompson, Andrew Wiggins","Looney, Payton II, Curry, Thompson, Wiggins",1626172-1627780-201939-202691-203952,GSW,555.0,4,9.0,-4.0,21.0,21.0,,3.0,42.0,3.0,3.0,3.0,,,4.0,,4.0,,,7.0,9.0,1.0,12.0,,17.0,21.0,3.0,,,,,,,8.0,3.0,4.0,1.0,5.0,,,11.0,,1.0,3.0,5.0,3.0,8.0,2.0,3.0,,8.0,1.0,1.0,,,1.0,1.0,1.0,11.0,,,,0.5714285714285714,1.0,1.0,0.08333333333333333,,0.08333333333333333,0.7777777777777778,,0.40476190476190477,,0.40476190476190477,,0.5714285714285714,0.6,,0.5,0.5714285714285714,0.23076923076923078,,0.6666666666666666,0.5,108.97297297297297,14.0,12.428571428571429,13.80952380952381,11.714285714285714,0.14285714285714285,1.0,1.0,,0.19047619047619047,0.19047619047619047,,,,1.0,,,,,0.7142857142857143,0.519452380952381,,,,6.833333333333333,27.133333333333336,,14.0,4.0,,2.0,1.0,8.0,,,,,,,6.0,6.0,,8.0,1.0,,1.0,4.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,,,,5.0,1.0,,,1.0,1.0,,,0.3333333333333333,1.0,0.2727272727272727,,0.25,,1.0,,1.0,1.0,1.0,0.09523809523809523,,,0.38095238095238093,0.125,0.14285714285714285,1.0,,,,,0.125,,,0.35294117647058826,3.0,6.0,,1.0,0.2857142857142857,,,,,,,,1.0,3.0,1.0,1.0,0.08333333333333333,0.125,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2022,2021-22,False
1626172-1627780-201939-203110-203952,1610612744,"Kevon Looney, Gary Payton II, Stephen Curry, Draymond Green, Andrew Wiggins","Looney, Payton II, Curry, Green, Wiggins",1626172-1627780-201939-203110-203952,GSW,31.0,1,1.0,-2.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,92.9032258064516,14.0,17.0,14.0,17.0,,,,,,,,,,,,,,,1.0,0.50625,,,,,30.9,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2022,2021-22,False
