EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,TotalPoss,ShortMidRangeFGA,FG2A,Fg2aBlocked,Fouls,Loose Ball Fouls,FG2APctBlocked,ShortMidRangePctBlocked,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,ShortMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2M,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,PlusMinus,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGM,Arc3Assists,NonShootingFoulsDrawn,BlockedShortMidRange,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,DefArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,ShortMidRangeFGM,PenaltyCorner3FGM,PenaltyArc3FGM,SecondChanceFG2M,PenaltyFG3M,PenaltyFtPoints,PtsUnassisted3s,PtsPutbacks,ShortMidRangeAssists,FTOffRebounds,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,PenaltyTurnovers,Offensive Fouls,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,OffFTReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,FTDefRebounds,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Charge Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,RecoveredBlocks,SecondChanceFg3Pct,DefFTReboundPct,BlocksRecoveredPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffThreePtRebounds,SecondChanceTurnovers,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,Loose Ball Fouls Drawn,OffensiveGoaltends,HeaveAttempts,Travels,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,LongMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,OffLongMidRangeReboundPct,Clear Path Fouls,StepOutOfBoundsTurnovers,BlockedCorner3,3SecondViolations,3pt And 1 Free Throw Trips,LongMidRangePctBlocked,BlockedLongMidRange,Corner3PctBlocked,team_id,year,season,team_vs
1626156-1626157-1627736-1627752-1629006,1610612750,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Taurean Prince, Josh Okogie","Russell, Towns, Beasley, Prince, Okogie",1626156-1626157-1627736-1627752-1629006,MIN,32.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45.0,19.0,19.0,1.0,0.3746,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2022,2021-22,False
1626156-1626157-1627736-1627752-1629020,1610612750,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Taurean Prince, Jarred Vanderbilt","Russell, Towns, Beasley, Prince, Vanderbilt",1626156-1626157-1627736-1627752-1629020,MIN,288.0,5,5.0,9.0,19.0,1.0,6.0,1.0,3.0,,0.16666666666666666,,95.0,16.666666666666668,15.88888888888889,0.1111111111111111,0.5644944444444444,3.6166666666666667,10.0,3.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,11.0,11.0,1.0,2.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,8.0,2.0,1.0,4.0,5.0,2.0,7.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.4444444444444444,0.55,0.3333333333333333,0.2,1.0,0.6666666666666666,0.4,0.5,0.625,0.3333333333333333,0.5,0.5,1.0,0.5,0.5,0.2,13.8,11.3,0.5555555555555556,0.2,0.25,1.0,0.2222222222222222,1.0,1.0,1.0,0.1111111111111111,1.0,0.8888888888888888,0.6136,0.2,0.2857142857142857,24.266666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2022,2021-22,False
1626156-1626157-1627736-1627752-1629162,1610612750,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Taurean Prince, Jordan McLaughlin","Russell, Towns, Beasley, Prince, McLaughlin",1626156-1626157-1627736-1627752-1629162,MIN,221.0,2,4.0,9.0,18.0,1.0,4.0,1.0,1.0,1.0,0.25,1.0,117.28506787330318,13.666666666666666,13.0,0.1111111111111111,0.5205444444444445,8.15,9.0,,1.0,2.0,2.0,,,1.0,4.0,3.0,1.0,5.0,1.0,10.0,14.0,,2.0,3.0,4.0,1.0,1.0,2.0,,1.0,5.0,,2.0,1.0,3.0,,3.0,,,,,,1.0,1.0,,,1.0,,1.0,9.0,0.3333333333333333,0.3333333333333333,1.0,0.2,0.2,0.75,0.5,0.5,0.5555555555555556,,,0.5,,0.6666666666666666,0.6,,,,0.5,,0.5,,10.88888888888889,10.11111111111111,0.2222222222222222,1.0,1.0,0.5,0.1111111111111111,,,,0.4444444444444444,,0.7777777777777778,0.49545,,,24.8,-4.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,6.0,4.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,0.6,0.25,0.6,1.0,0.1111111111111111,1.0,1.0,0.25,0.25,1.0,1.0,0.4,1.0,0.2,0.2,0.25,0.5288999999999999,0.1,0.6,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2022,2021-22,False
1626156-1626157-1627736-1627752-1629669,1610612750,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Taurean Prince, Jaylen Nowell","Russell, Towns, Beasley, Prince, Nowell",1626156-1626157-1627736-1627752-1629669,MIN,593.0,3,10.0,22.0,44.0,5.0,14.0,1.0,4.0,1.0,0.07142857142857142,,106.84654300168634,13.0,12.409090909090908,0.2631578947368421,0.5516657894736842,4.25,22.0,10.0,2.0,8.0,9.0,1.0,1.0,1.0,4.0,13.0,3.0,5.0,6.0,41.0,21.0,2.0,6.0,3.0,4.0,3.0,1.0,4.0,,2.0,9.0,1.0,7.0,2.0,9.0,2.0,11.0,,,,2.0,1.0,5.0,8.0,2.0,2.0,1.0,1.0,1.0,37.0,0.23076923076923078,0.25,0.3333333333333333,0.6,0.6,0.9285714285714286,0.9210526315789473,0.9318181818181818,0.2631578947368421,0.1111111111111111,,0.4,1.0,1.0,0.75,0.3333333333333333,1.0,,1.0,0.3333333333333333,1.0,,13.954545454545455,13.954545454545455,0.47368421052631576,0.8888888888888888,1.0,0.25,0.05263157894736842,1.0,1.0,,0.21052631578947367,0.5,0.7368421052631579,0.4493,0.10526315789473684,0.14285714285714285,26.119999999999997,20.0,16.0,6.0,7.0,,,1.0,2.0,,3.0,,,4.0,9.0,10.0,4.0,29.0,20.0,2.0,1.0,3.0,,29.0,16.0,0.9,0.8571428571428571,1.0,0.8529411764705882,1.0,,,,0.5,0.5,0.5,,0.5,0.8571428571428571,0.07142857142857142,0.21428571428571427,0.5,0.5404428571428571,0.0975609756097561,0.7073170731707317,0.7272727272727273,1.0,5.0,1.0,1.0,2.0,2.0,5.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,0.5,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2022,2021-22,False
1626156-1626157-1627736-1627752-1630162,1610612750,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Taurean Prince, Anthony Edwards","Russell, Towns, Beasley, Prince, Edwards",1626156-1626157-1627736-1627752-1630162,MIN,1374.0,16,23.0,52.0,104.0,4.0,17.0,2.0,10.0,,0.11764705882352941,,108.99563318777294,14.211538461538462,14.115384615384615,0.09302325581395349,0.5291186046511629,6.947058823529412,52.0,11.0,1.0,6.0,9.0,,2.0,8.0,18.0,10.0,9.0,26.0,8.0,55.0,61.0,,10.0,21.0,18.0,5.0,7.0,12.0,2.0,3.0,31.0,,7.0,6.0,14.0,,14.0,,2.0,1.0,6.0,2.0,8.0,10.0,,4.0,2.0,1.0,2.0,52.0,0.5,0.5,0.7777777777777778,0.34615384615384615,0.34615384615384615,0.5882352941176471,0.5465116279069767,0.5729166666666666,0.6046511627906976,0.2222222222222222,0.3333333333333333,0.75,,0.875,0.8125,,,1.0,0.6666666666666666,0.6666666666666666,1.0,,12.211538461538462,11.884615384615385,0.20930232558139536,0.6666666666666666,0.8571428571428571,0.5,0.18604651162790697,0.25,0.25,1.0,0.4186046511627907,,0.813953488372093,0.45405,0.0851063829787234,0.19047619047619047,25.015384615384615,-6.0,12.0,3.0,3.0,2.0,4.0,2.0,7.0,1.0,4.0,1.0,,3.0,3.0,4.0,6.0,23.0,10.0,7.0,5.0,1.0,1.0,21.0,11.0,0.75,1.05,1.5,1.0454545454545454,0.75,0.09302325581395349,0.5,0.5,0.3888888888888889,0.3888888888888889,0.7142857142857143,1.0,0.3,1.0,0.2,0.4,0.3888888888888889,0.520495,0.05454545454545454,0.41818181818181815,0.23076923076923078,,2.0,2.0,3.0,,5.0,2.0,6.0,,2.0,,5.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,,0.8333333333333334,,1.5,,0.5,0.5,1.0,,,1.0,0.75,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2022,2021-22,False
1626156-1626157-1627736-1627752-1630183,1610612750,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Taurean Prince, Jaden McDaniels","Russell, Towns, Beasley, Prince, McDaniels",1626156-1626157-1627736-1627752-1630183,MIN,907.0,9,15.0,32.0,60.0,3.0,17.0,2.0,2.0,,0.11764705882352941,,95.25909592061741,14.03125,13.4375,0.09375,0.5655140625,4.105882352941176,28.0,8.0,4.0,9.0,13.0,3.0,3.0,7.0,8.0,11.0,5.0,15.0,5.0,42.0,32.0,3.0,10.0,15.0,8.0,5.0,5.0,10.0,3.0,5.0,25.0,3.0,6.0,5.0,13.0,5.0,18.0,,2.0,,3.0,,6.0,6.0,2.0,3.0,1.0,,1.0,38.0,0.45454545454545453,0.5555555555555556,1.0,0.3333333333333333,0.3333333333333333,0.6470588235294118,0.578125,0.6176470588235294,0.46875,0.15384615384615385,0.6666666666666666,0.625,0.5,0.8571428571428571,0.7333333333333333,0.3125,0.5,,0.6666666666666666,1.0,1.0,,16.357142857142858,16.321428571428573,0.40625,0.6923076923076923,0.8181818181818182,0.5555555555555556,0.21875,0.42857142857142855,0.42857142857142855,1.0,0.25,0.75,0.875,0.4702,0.09090909090909091,0.16666666666666666,24.566666666666666,10.0,4.0,,,1.0,1.0,,2.0,1.0,3.0,1.0,,4.0,,,3.0,5.0,12.0,2.0,2.0,1.0,1.0,5.0,4.0,,0.5,0.5,0.625,0.8,0.03125,1.0,1.0,0.25,0.25,1.0,0.25,,,,1.0,0.25,0.5559,0.09523809523809523,0.11904761904761904,0.125,2.0,1.0,,1.0,2.0,1.0,2.0,,4.0,,,,,,1.0,,,,1.0,,0.3333333333333333,0.6666666666666666,0.5,,0.3333333333333333,0.3333333333333333,,0.6666666666666666,,,0.3333333333333333,,,2.0,1.0,2.0,,,,1.0,,1.0,1.0,,,2.0,1.0,0.2,0.5,0.16666666666666666,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2022,2021-22,False
1626156-1626157-1627736-1627752-201976,1610612750,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Taurean Prince, Patrick Beverley","Russell, Towns, Beasley, Prince, Beverley",1626156-1626157-1627736-1627752-201976,MIN,271.0,1,5.0,12.0,24.0,,3.0,,3.0,,,,127.52767527675277,12.833333333333334,12.833333333333334,,0.5711833333333334,1.0999999999999999,12.0,12.0,1.0,3.0,3.0,,,1.0,5.0,3.0,2.0,6.0,3.0,15.0,17.0,,6.0,6.0,5.0,3.0,2.0,5.0,,3.0,12.0,,1.0,1.0,2.0,1.0,3.0,,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,,,,13.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.75,0.6666666666666666,,0.3333333333333333,0.5,,1.0,0.6666666666666666,0.25,,1.0,,,1.0,,9.75,9.75,0.3333333333333333,1.0,1.0,1.0,0.1111111111111111,,,,0.5555555555555556,,1.0,,0.1111111111111111,0.3333333333333333,26.95,-2.0,8.0,2.0,2.0,,,1.0,2.0,,3.0,,2.0,2.0,2.0,2.0,4.0,6.0,,2.0,2.0,1.0,,6.0,8.0,1.0,0.3333333333333333,1.0,0.42857142857142855,,,,,0.4,0.4,1.0,,0.3333333333333333,1.0,0.16666666666666666,0.5,0.4,0.555575,0.13333333333333333,0.4,0.6666666666666666,,,,,,,2.0,,,,,2.0,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.25,,0.3333333333333333,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2022,2021-22,False
1626156-1626157-1627736-1629006-1629669,1610612750,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Josh Okogie, Jaylen Nowell","Russell, Towns, Beasley, Okogie, Nowell",1626156-1626157-1627736-1629006-1629669,MIN,25.0,1,,1.0,3.0,,1.0,,,,,,172.79999999999998,11.0,11.0,,0.5466,2.3,2.0,,,1.0,1.0,,,,,1.0,,,,2.0,,,2.0,,,1.0,,1.0,,1.0,2.0,,,,1.0,,1.0,,,,,,,,,,,,,2.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,7.0,7.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2022,2021-22,False
1626156-1626157-1627736-1629006-1629675,1610612750,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Josh Okogie, Naz Reid","Russell, Towns, Beasley, Okogie, Reid",1626156-1626157-1627736-1629006-1629675,MIN,299.0,2,5.0,9.0,18.0,1.0,4.0,,1.0,,,,86.68896321070234,13.222222222222221,12.88888888888889,0.1111111111111111,0.4901,8.775,9.0,7.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,5.0,2.0,17.0,6.0,1.0,2.0,6.0,3.0,1.0,2.0,3.0,2.0,,8.0,1.0,3.0,1.0,4.0,2.0,6.0,,1.0,1.0,1.0,,1.0,2.0,,1.0,,,,13.0,0.3333333333333333,0.5,0.6666666666666666,0.6,0.6,0.75,0.8333333333333334,0.85,0.5555555555555556,,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,,1.0,,1.0,,20.0,20.0,0.2222222222222222,0.5,0.5,,0.2222222222222222,1.0,1.0,1.0,0.3333333333333333,1.0,0.7777777777777778,0.4929,0.1,0.2,24.96,11.0,1.0,,,1.0,1.0,,1.0,,,,2.0,4.0,,,,,4.0,1.0,,,,,1.0,,,1.0,,1.0,0.1111111111111111,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,0.3333333333333333,,0.23529411764705882,,0.1111111111111111,1.0,1.0,,,1.0,,,3.0,2.0,1.0,,,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2022,2021-22,False
1626156-1626157-1627736-1629006-1630162,1610612750,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Josh Okogie, Anthony Edwards","Russell, Towns, Beasley, Okogie, Edwards",1626156-1626157-1627736-1629006-1630162,MIN,1059.0,9,18.0,35.0,67.0,9.0,15.0,,9.0,,,,91.10481586402267,16.571428571428573,16.542857142857144,0.34615384615384615,0.5045839999999999,6.36,32.0,22.0,1.0,4.0,5.0,1.0,,2.0,9.0,10.0,2.0,11.0,6.0,32.0,43.0,1.0,8.0,3.0,8.0,4.0,1.0,5.0,,2.0,11.0,,3.0,4.0,7.0,1.0,8.0,,3.0,2.0,7.0,2.0,8.0,8.0,,3.0,2.0,,2.0,30.0,0.4,0.4444444444444444,0.5,0.18181818181818182,0.2,0.6666666666666666,0.5,0.5333333333333333,0.4230769230769231,,0.42857142857142855,0.4444444444444444,,0.6,0.5,0.07692307692307693,,0.25,0.6,,1.0,,14.96875,14.5625,0.19230769230769232,0.8,0.8,0.5,0.07692307692307693,,,,0.34615384615384615,1.0,0.6153846153846154,,0.10344827586206896,0.16666666666666666,27.654545454545453,-11.0,8.0,2.0,2.0,1.0,1.0,1.0,2.0,,4.0,,,2.0,3.0,3.0,5.0,11.0,12.0,2.0,1.0,1.0,2.0,11.0,8.0,1.0,0.5625,1.0,0.6111111111111112,0.3333333333333333,0.038461538461538464,1.0,1.0,0.2222222222222222,0.2222222222222222,0.5,,0.25,1.0,0.125,0.5,0.25,0.5950928571428572,0.0625,0.34375,0.22857142857142856,1.0,5.0,,1.0,1.0,1.0,2.0,3.0,2.0,2.0,,2.0,2.0,,4.0,,2.0,,3.0,,0.2,1.0,1.0,,0.5555555555555556,0.5555555555555556,0.4,1.0,,,0.25,,,,,1.0,,,1.0,1.0,,,0.5,,,1.0,,0.125,,,0.5,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2022,2021-22,False
