EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,BlockedAtRim,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,PtsUnassisted2s,ShortMidRangeAssists,BadPassTurnovers,NonShootingPenaltyNonTakeFouls,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG2M,SecondChanceFG2A,Corner3Assists,RecoveredBlocks,SecondChanceFg2Pct,OffCorner3ReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Offensive Fouls Drawn,Charge Fouls,Fg2aBlocked,Fg3aBlocked,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,FTDefRebounds,DefFTReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PtsUnassisted3s,PtsPutbacks,LongMidRangeAssists,OffTwoPtRebounds,SelfOReb,LostBallSteals,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Technical Free Throw Trips,3SecondViolations,AtRimPctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LostBallOutOfBoundsTurnovers,HeaveAttempts,Travels,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,StepOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,BlockedLongMidRange,Arc3PctBlocked,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,team_id,year,season,team_vs
1627827-1628373-1628467-1628973-1629029,1610612742,"Dorian Finney-Smith, Frank Ntilikina, Maxi Kleber, Jalen Brunson, Luka Doncic","Finney-Smith, Ntilikina, Kleber, Brunson, Doncic",1627827-1628373-1628467-1628973-1629029,DAL,323.0,3,5.0,7.0,11.0,12.0,9.0,5.0,1.0,23.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,8.0,18.0,11.0,2.0,2.0,1.0,1.0,2.0,4.0,7.0,15.0,4.0,6.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,10.0,1.0,3.0,3.0,6.0,1.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,6.0,1.0,9.0,1.0,1.0,4.0,1.0,1.0,1.0,16.0,15.0,9.0,4.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.8333333333333334,0.8,0.9,1.0,0.8333333333333334,0.6666666666666666,0.5,0.75,0.75,0.5,0.75,0.5,0.5,0.5,1.0,1.0,0.5,102.53869969040247,12.181818181818182,15.75,12.181818181818182,15.75,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,0.2,1.0,0.8,0.5,1.0,0.5,0.6116166666666667,0.58458,0.16666666666666666,0.5,0.1111111111111111,0.8333333333333334,0.95,25.575,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,False
1627827-1628373-1628467-1628973-203493,1610612742,"Dorian Finney-Smith, Frank Ntilikina, Maxi Kleber, Jalen Brunson, Reggie Bullock","Finney-Smith, Ntilikina, Kleber, Brunson, Bullock",1627827-1628373-1628467-1628973-203493,DAL,163.0,1,3.0,-1.0,4.0,4.0,,,1.0,8.0,1.0,1.0,,,1.0,4.0,,,1.0,1.0,1.0,4.0,,5.0,6.0,,3.0,,,,,,,2.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,,,,2.0,2.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,1.0,,1.0,2.0,,,,1.0,1.0,1.0,0.25,,0.25,1.0,,0.5,,0.5,1.5,,0.8,1.0,,,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,,,,70.67484662576686,26.0,14.75,22.75,14.5,0.2,1.0,1.0,1.0,0.8,0.25,0.25,1.0,,,,,1.0,0.25,0.55781,,,,0.6,,0.6,26.275,,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,0.3891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,False
1627827-1628373-1628467-1628973-203915,1610612742,"Dorian Finney-Smith, Frank Ntilikina, Maxi Kleber, Jalen Brunson, Spencer Dinwiddie","Finney-Smith, Ntilikina, Kleber, Brunson, Dinwiddie",1627827-1628373-1628467-1628973-203915,DAL,216.0,1,4.0,-3.0,8.0,9.0,,8.0,,17.0,,,,,1.0,2.0,,,2.0,3.0,1.0,3.0,2.0,9.0,12.0,,,,,,,,,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,5.0,,2.0,,2.0,,2.0,1.0,1.0,1.0,,,,1.0,,2.0,3.0,1.0,,2.0,,1.0,,1.0,1.0,1.0,9.0,,,,0.5,0.5,1.0,0.3333333333333333,,0.3333333333333333,0.6666666666666666,,0.5833333333333334,,0.6428571428571429,,,0.5,1.0,,1.0,,0.6666666666666666,,,,,1.0,1.0,113.33333333333333,14.5,11.11111111111111,14.5,10.666666666666666,,,,,0.3333333333333333,0.5,0.5,1.0,,,,,0.5,0.5,0.48095,,0.14285714285714285,0.25,,,10.566666666666666,24.366666666666664,,,,,,,,,,,,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,False
1627827-1628373-1628467-1629029-203915,1610612742,"Dorian Finney-Smith, Frank Ntilikina, Maxi Kleber, Luka Doncic, Spencer Dinwiddie","Finney-Smith, Ntilikina, Kleber, Doncic, Dinwiddie",1627827-1628373-1628467-1629029-203915,DAL,684.0,5,11.0,-11.0,21.0,26.0,7.0,15.0,1.0,47.0,1.0,1.0,,,1.0,10.0,,2.0,3.0,4.0,4.0,16.0,1.0,19.0,30.0,,2.0,1.0,1.0,2.0,4.0,,8.0,4.0,12.0,10.0,1.0,2.0,4.0,6.0,1.0,1.0,16.0,1.0,4.0,6.0,10.0,1.0,11.0,2.0,2.0,2.0,,,1.0,2.0,2.0,3.0,3.0,4.0,,2.0,,1.0,,1.0,1.0,1.0,17.0,8.0,7.0,,0.6666666666666666,0.6666666666666666,1.0,0.25,0.5,0.25,0.75,1.0,0.45,0.8,0.4523809523809524,1.0,0.8,0.8,1.0,0.6666666666666666,0.8,0.09090909090909091,0.7142857142857143,0.08333333333333333,,0.6,1.0,0.75,1.0,98.94736842105263,15.333333333333334,13.923076923076923,15.19047619047619,13.576923076923077,0.05,1.0,1.0,1.0,0.5,0.1,0.1,1.0,,,0.4,,0.85,0.1,0.5415225,0.49199000000000004,0.047619047619047616,0.2,0.10526315789473684,0.42105263157894735,4.35,25.15625,0.3333333333333333,,,,,,,1.0,,,,,2.0,3.0,,6.0,2.0,1.0,1.0,,0.15,0.6666666666666666,0.6666666666666666,0.5,,0.3,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.5,1.0,0.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,False
1627827-1628373-1628973-1629029-202722,1610612742,"Dorian Finney-Smith, Frank Ntilikina, Jalen Brunson, Luka Doncic, Davis Bertans","Finney-Smith, Ntilikina, Brunson, Doncic, Bertans",1627827-1628373-1628973-1629029-202722,DAL,5.0,1,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,288.0,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,False
1627827-1628373-1628973-1629029-203915,1610612742,"Dorian Finney-Smith, Frank Ntilikina, Jalen Brunson, Luka Doncic, Spencer Dinwiddie","Finney-Smith, Ntilikina, Brunson, Doncic, Dinwiddie",1627827-1628373-1628973-1629029-203915,DAL,120.0,1,2.0,-4.0,3.0,4.0,,,1.0,7.0,,,,,,1.0,,,1.0,1.0,,2.0,1.0,3.0,7.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,1.0,1.0,2.0,,2.0,,1.0,,,,,2.0,,,,,,,,,,1.0,,0.3333333333333333,,0.375,0.5,,0.6666666666666666,,,,0.5,,0.5,,,,,,84.0,21.333333333333332,14.0,19.0,14.0,,,,,0.3333333333333333,,,,,,,,0.6666666666666666,,0.4865333333333333,,0.25,0.5,0.3333333333333333,,10.2,24.6,,,,,,,,,,,,,1.0,1.0,,1.0,2.0,,,,0.3333333333333333,1.0,1.0,,,0.3333333333333333,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,False
1627827-1628373-1628973-1629029-203939,1610612742,"Dorian Finney-Smith, Frank Ntilikina, Jalen Brunson, Luka Doncic, Dwight Powell","Finney-Smith, Ntilikina, Brunson, Doncic, Powell",1627827-1628373-1628973-1629029-203939,DAL,7.0,1,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.71428571428572,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,False
1627827-1628373-1628973-202722-203915,1610612742,"Dorian Finney-Smith, Frank Ntilikina, Jalen Brunson, Davis Bertans, Spencer Dinwiddie","Finney-Smith, Ntilikina, Brunson, Bertans, Dinwiddie",1627827-1628373-1628973-202722-203915,DAL,117.0,1,2.0,3.0,4.0,5.0,4.0,5.0,,9.0,,,,,,1.0,,1.0,1.0,1.0,1.0,2.0,,5.0,2.0,,,1.0,1.0,1.0,2.0,,5.0,,3.0,1.0,,,1.0,1.0,,,3.0,,2.0,2.0,4.0,,4.0,,,,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,5.0,5.0,4.0,,,,1.0,0.5,0.5,0.5,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,,0.8333333333333334,0.6666666666666666,,1.0,1.0,,1.0,,,1.0,,1.0,,110.76923076923077,14.25,12.0,14.25,12.0,,,,,0.3333333333333333,,,,,,0.3333333333333333,,0.6666666666666666,,0.48856666666666665,0.48856666666666665,,,,1.0,6.5,25.65,1.0,,,,,,,,,,,,1.0,1.0,,1.0,2.0,,,,0.3333333333333333,1.0,1.0,,,0.3333333333333333,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,0.3333333333333333,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,False
1627827-1628373-1628973-203493-203915,1610612742,"Dorian Finney-Smith, Frank Ntilikina, Jalen Brunson, Reggie Bullock, Spencer Dinwiddie","Finney-Smith, Ntilikina, Brunson, Bullock, Dinwiddie",1627827-1628373-1628973-203493-203915,DAL,45.0,1,1.0,-5.0,1.0,2.0,,,,3.0,,,,,,,,,,1.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,25.0,10.0,25.0,10.0,,,,,,,,,,,,,,,0.3964,,,,,,9.5,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,False
1627827-1628373-1629029-202722-203915,1610612742,"Dorian Finney-Smith, Frank Ntilikina, Luka Doncic, Davis Bertans, Spencer Dinwiddie","Finney-Smith, Ntilikina, Doncic, Bertans, Dinwiddie",1627827-1628373-1629029-202722-203915,DAL,72.0,2,1.0,,2.0,2.0,1.0,1.0,1.0,4.0,,,,,,1.0,,1.0,,1.0,,2.0,,,,,,,,,2.0,,,,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.6666666666666666,,,1.0,0.5,1.0,0.3333333333333333,,,,1.0,,80.0,24.0,12.0,22.5,12.0,,,,,0.3333333333333333,,,,,,0.5,,0.6666666666666666,,0.4191666666666667,0.4539,,,,,4.8,24.2,0.5,,1.0,,1.0,,,,1.0,,,0.3882,,1.0,,1.0,,,,,0.3333333333333333,,,,,0.3333333333333333,,,1.0,,,,,,1.0,,,,,0.5,,,,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,False
