EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2A,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGM,FtPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,NonHeaveArc3FGM,Arc3Assists,OffThreePtRebounds,StepOutOfBoundsTurnovers,Technical Free Throw Trips,SecondChanceTsPct,ShortMidRangePctBlocked,OffThreePtReboundPct,OffCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChancePointsPct,PenaltyTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefCorner3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimFGA,Steals,BadPassSteals,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,LostBallSteals,Offensive Fouls Drawn,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,SecondChanceAtRimFGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,SecondChanceFG2M,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,Fg3aBlocked,Offensive Fouls,BlockedShortMidRange,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,PenaltyTsPct,FG3APctBlocked,Corner3PctBlocked,OffLongMidRangeReboundPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,PenaltyPointsPct,PtsUnassisted3s,Charge Fouls Drawn,SecondChanceArc3FGA,SecondChanceFG3A,OffArc3ReboundPct,SecondChanceArc3Frequency,2pt And 1 Free Throw Trips,PenaltyFG2M,PenaltyFg2Pct,PtsPutbacks,FTDefRebounds,Travels,DefFTReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFGM,SelfOReb,DefensiveGoaltends,SelfORebPct,PenaltyAtRimAccuracy,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceCorner3FGM,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,Loose Ball Fouls Drawn,LongMidRangePctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Charge Fouls,FTOffRebounds,BlockedLongMidRange,OffFTReboundPct,3SecondViolations,Blocked3s,BlockedArc3,BlockedCorner3,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,OffensiveGoaltends,Clear Path Fouls,team_id,year,season,team_vs
1628365-1628964-1628976-1630175-1630532,1610612753,"Markelle Fultz, Mo Bamba, Wendell Carter Jr., Cole Anthony, Franz Wagner","Fultz, Bamba, Carter Jr., Anthony, Wagner",1628365-1628964-1628976-1630175-1630532,ORL,613.0,3,10.0,-8.0,20.0,21.0,3.0,5.0,2.0,41.0,5.0,7.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0,8.0,12.0,1.0,6.0,19.0,27.0,1.0,2.0,12.0,4.0,3.0,4.0,1.0,6.0,1.0,7.0,1.0,4.0,1.0,1.0,15.0,2.0,4.0,6.0,10.0,2.0,12.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,5.0,1.0,2.0,1.0,19.0,3.0,0.75,0.75,1.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.5277777777777778,0.5,0.3333333333333333,0.08333333333333333,0.14285714285714285,0.6666666666666666,1.0,0.5,1.0,1.0,0.2222222222222222,0.5,1.0,1.0,1.0,1.0,1.0,96.3132137030995,16.0,13.952380952380953,15.35,13.952380952380953,0.3888888888888889,0.7142857142857143,0.8333333333333334,0.8,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.1111111111111111,0.5,0.5,1.0,0.1111111111111111,0.5,0.5,1.0,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.7222222222222222,0.557625,0.6162166666666666,0.05263157894736842,0.07692307692307693,5.808333333333334,25.650000000000002,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2022,2021-22,False
1628365-1628964-1628976-1630181-1630532,1610612753,"Markelle Fultz, Mo Bamba, Wendell Carter Jr., R.J. Hampton, Franz Wagner","Fultz, Bamba, Carter Jr., Hampton, Wagner",1628365-1628964-1628976-1630181-1630532,ORL,306.0,2,5.0,-1.0,12.0,11.0,,,1.0,23.0,,1.0,,1.0,2.0,,1.0,2.0,5.0,2.0,,1.0,4.0,4.0,7.0,17.0,18.0,,,2.0,,12.0,2.0,1.0,1.0,4.0,5.0,2.0,,1.0,,14.0,1.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,,,2.0,,2.0,2.0,1.0,3.0,1.0,14.0,,1.0,1.0,1.0,0.5714285714285714,0.5714285714285714,0.25,0.6363636363636364,0.6666666666666666,0.6363636363636364,0.25,,0.5,1.0,0.3333333333333333,0.5,0.75,0.3333333333333333,,1.0,1.0,,1.0,0.5,108.23529411764707,14.416666666666666,12.090909090909092,14.083333333333334,12.0,0.09090909090909091,,,,0.18181818181818182,0.5,1.0,1.0,0.09090909090909091,,,,0.45454545454545453,0.4,0.4,1.0,0.18181818181818182,,,0.7272727272727273,0.5194727272727273,,0.08333333333333333,0.2,8.325,24.542857142857144,,2.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.17647058823529413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2022,2021-22,False
1628365-1628964-1628976-1630181-203082,1610612753,"Markelle Fultz, Mo Bamba, Wendell Carter Jr., R.J. Hampton, Terrence Ross","Fultz, Bamba, Carter Jr., Hampton, Ross",1628365-1628964-1628976-1630181-203082,ORL,158.0,1,3.0,7.0,5.0,5.0,2.0,,,10.0,1.0,1.0,,1.0,1.0,,,,,2.0,1.0,2.0,2.0,1.0,2.0,7.0,,,1.0,2.0,2.0,3.0,2.0,,1.0,1.0,2.0,,,1.0,,5.0,,2.0,2.0,4.0,,4.0,1.0,,,,1.0,1.0,,,,1.0,,,7.0,2.0,0.5,0.5,1.0,0.5,0.5,1.0,0.875,0.875,0.5,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,91.13924050632912,10.6,21.0,10.6,21.0,0.25,1.0,1.0,,0.25,1.0,1.0,1.0,,,,,,,,,0.5,,1.0,0.75,0.486625,0.28575,,,4.55,27.25,0.4,1.0,,,,,1.0,1.0,,,,,,,,0.5,0.5,1.0,0.5,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2022,2021-22,False
1628365-1628964-1628976-1630181-203914,1610612753,"Markelle Fultz, Mo Bamba, Wendell Carter Jr., R.J. Hampton, Gary Harris","Fultz, Bamba, Carter Jr., Hampton, Harris",1628365-1628964-1628976-1630181-203914,ORL,83.0,1,1.0,-2.0,3.0,3.0,,1.0,1.0,6.0,1.0,2.0,,,2.0,,,,,,,1.0,4.0,,,2.0,4.0,,,2.0,,,,,1.0,,1.0,,1.0,,,2.0,1.0,,,,1.0,1.0,,,,,,,,2.0,2.0,,,,2.0,,1.0,1.0,,,,0.25,0.25,0.25,,,,,,0.3333333333333333,,,0.3333333333333333,,0.5,,,,,104.09638554216868,18.333333333333332,9.333333333333334,18.0,9.333333333333334,0.5,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,0.5,0.497575,,,,5.325,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.6084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2022,2021-22,False
1628365-1628964-1628976-1630532-1630591,1610612753,"Markelle Fultz, Mo Bamba, Wendell Carter Jr., Franz Wagner, Jalen Suggs","Fultz, Bamba, Carter Jr., Wagner, Suggs",1628365-1628964-1628976-1630532-1630591,ORL,131.0,1,2.0,3.0,7.0,6.0,,,,13.0,2.0,2.0,,,2.0,1.0,1.0,,,,,3.0,5.0,,,8.0,5.0,,,4.0,2.0,,,,2.0,,2.0,,2.0,,,4.0,,1.0,1.0,2.0,,2.0,1.0,1.0,,,,1.0,,,,2.0,2.0,1.0,8.0,,0.6666666666666666,0.6666666666666666,,,,0.6,0.6,0.6666666666666666,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,142.90076335877865,9.0,11.333333333333334,9.0,11.333333333333334,0.4,1.0,1.0,1.0,0.4,,,,0.2,1.0,1.0,,,,,,,,,0.4,0.51156,,0.16666666666666666,0.16666666666666666,5.42,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2022,2021-22,False
1628365-1628964-1628976-1630532-203914,1610612753,"Markelle Fultz, Mo Bamba, Wendell Carter Jr., Franz Wagner, Gary Harris","Fultz, Bamba, Carter Jr., Wagner, Harris",1628365-1628964-1628976-1630532-203914,ORL,88.0,1,1.0,2.0,3.0,3.0,,,,6.0,,,,1.0,1.0,,1.0,,1.0,,,1.0,2.0,,1.0,2.0,,,,,2.0,,,,,,,,,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,1.0,1.0,,,2.0,,,,,,,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,98.18181818181819,12.333333333333334,17.0,12.333333333333334,17.0,,,,,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,0.3333333333333333,,,,,,,0.3333333333333333,0.459,,,,15.2,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2022,2021-22,False
1628365-1628964-1628976-1630591-203914,1610612753,"Markelle Fultz, Mo Bamba, Wendell Carter Jr., Jalen Suggs, Gary Harris","Fultz, Bamba, Carter Jr., Suggs, Harris",1628365-1628964-1628976-1630591-203914,ORL,75.0,1,1.0,-3.0,2.0,3.0,2.0,,,5.0,,,,,,,,,,2.0,2.0,,,,2.0,,3.0,,2.0,,,,2.0,,,,,,,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,1.0,,0.5,0.6666666666666666,,,,,1.0,,0.5,96.0,16.0,14.333333333333334,16.0,13.666666666666666,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,0.577575,0.577575,,,,24.15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2022,2021-22,False
1628365-1628964-1629021-1629643-1629962,1610612753,"Markelle Fultz, Mo Bamba, Moritz Wagner, Chuma Okeke, Devin Cannady","Fultz, Bamba, Wagner, Okeke, Cannady",1628365-1628964-1629021-1629643-1629962,ORL,314.0,1,5.0,1.0,11.0,11.0,,6.0,,22.0,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,3.0,2.0,,4.0,4.0,3.0,5.0,17.0,16.0,,,,8.0,9.0,2.0,,,3.0,3.0,2.0,,,,9.0,,1.0,1.0,2.0,,2.0,,,2.0,,,2.0,,1.0,4.0,1.0,,,17.0,,,,1.0,0.6,0.6,1.0,0.9444444444444444,0.9444444444444444,0.5555555555555556,,,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,,,,,1.0,0.3333333333333333,100.89171974522293,15.363636363636363,13.181818181818182,15.363636363636363,10.909090909090908,0.2222222222222222,1.0,1.0,,0.1111111111111111,1.0,1.0,,0.1111111111111111,1.0,1.0,,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.2222222222222222,,,0.7777777777777778,0.5846722222222223,,,,8.725,24.46,,1.0,,,,,1.0,1.0,,1.0,,,,,,0.5,0.5,1.0,0.5,,,,,,,,,,2.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2022,2021-22,False
1628365-1628964-1629021-1629643-1630181,1610612753,"Markelle Fultz, Mo Bamba, Moritz Wagner, Chuma Okeke, R.J. Hampton","Fultz, Bamba, Wagner, Okeke, Hampton",1628365-1628964-1629021-1629643-1630181,ORL,811.0,1,14.0,1.0,27.0,27.0,4.0,4.0,2.0,54.0,4.0,5.0,,1.0,1.0,,3.0,4.0,7.0,8.0,2.0,5.0,9.0,8.0,15.0,35.0,34.0,,3.0,6.0,4.0,24.0,8.0,,3.0,8.0,11.0,4.0,3.0,,,30.0,1.0,11.0,2.0,13.0,2.0,15.0,3.0,2.0,1.0,,1.0,4.0,,1.0,3.0,2.0,2.0,1.0,31.0,4.0,0.6,0.6,1.0,0.5333333333333333,0.5333333333333333,0.5555555555555556,0.7083333333333334,0.7,0.625,,,0.75,0.5,0.25,0.9166666666666666,0.8125,0.18181818181818182,,,1.0,0.3333333333333333,,1.0,95.88162762022195,17.48148148148148,12.555555555555555,17.185185185185187,11.555555555555555,0.20833333333333334,0.8,0.8,0.75,0.041666666666666664,1.0,1.0,,0.125,,,,0.2916666666666667,0.5714285714285714,0.6666666666666666,1.0,0.3333333333333333,,0.6666666666666666,0.8333333333333334,0.55415625,0.53325,0.04,0.1,7.077777777777778,24.633333333333333,0.14814814814814814,4.0,1.0,2.0,,4.0,4.0,4.0,1.0,,,1.0,,0.14285714285714285,0.3333333333333333,0.5,0.5,1.0,0.5,0.11428571428571428,,3.0,1.0,3.0,2.0,0.6666666666666666,0.6666666666666666,1.0,1.0,,0.5,0.5035,1.0,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,1.0,1.0,2.0,7.0,0.6666666666666666,1.0,1.0,1.0,0.875,0.06666666666666667,0.14285714285714285,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2022,2021-22,False
1628365-1628964-1629021-1629643-1630591,1610612753,"Markelle Fultz, Mo Bamba, Moritz Wagner, Chuma Okeke, Jalen Suggs","Fultz, Bamba, Wagner, Okeke, Suggs",1628365-1628964-1629021-1629643-1630591,ORL,270.0,1,4.0,4.0,10.0,10.0,,,,20.0,3.0,4.0,,1.0,1.0,1.0,1.0,,,2.0,,5.0,6.0,1.0,2.0,13.0,9.0,,,6.0,4.0,,2.0,1.0,3.0,,3.0,,2.0,1.0,,6.0,,4.0,,4.0,,4.0,,,2.0,2.0,,2.0,,1.0,2.0,2.0,,,13.0,,0.6,0.6,,0.5,0.5,0.8333333333333334,0.8125,0.8125,0.25,0.16666666666666666,0.25,,,,1.0,0.8,,,,,,,1.0,106.66666666666667,12.2,14.8,12.2,14.8,0.5,0.75,1.0,0.6666666666666666,0.125,1.0,1.0,1.0,0.125,1.0,1.0,,,,,,0.25,,,0.75,0.556575,,,,6.766666666666667,26.0,,1.0,,,,,1.0,,,,,,,,,0.5,0.5,,0.5,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2022,2021-22,False
