EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,TotalPoss,Arc3FGA,FG3A,NonHeaveArc3FGA,FG3APct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,Minutes,PlusMinus,DefPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,FG2M,FG2A,FG3M,Points,OpponentPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,LongMidRangeFGA,LongMidRangeFrequency,PenaltyOffPoss,PenaltyDefPoss,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FtPoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,Corner3Assists,FTDefRebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,DefShortMidRangeReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,LongMidRangeFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,TwoPtAssists,AtRimAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,Loose Ball Fouls Drawn,Blocked2s,BlockedShortMidRange,Blocks,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,HeaveAttempts,NonShootingFoulsDrawn,PenaltyFg2Pct,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFg2Pct,OffAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PtsUnassisted3s,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,LiveBallTurnovers,LostBallTurnovers,ShortMidRangePctBlocked,LiveBallTurnoverPct,SecondChanceCorner3FGA,PtsPutbacks,BadPassTurnovers,SecondChanceCorner3Frequency,SecondChanceFtPoints,LostBallSteals,Technical Free Throw Trips,LostBallOutOfBoundsTurnovers,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeAssists,LongMidRangeAssists,SelfOReb,BadPassOutOfBoundsTurnovers,Travels,Charge Fouls,BlockedAtRim,RecoveredBlocks,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,FTOffRebounds,OffFTReboundPct,DefLongMidRangeReboundPct,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,3SecondViolations,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,OffLongMidRangeReboundPct,SecondChanceCorner3FGM,StepOutOfBoundsTurnovers,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1626220-1627823-1627863-201144-203497,1610612762,"Royce O'Neale, Juancho Hernangomez, Danuel House Jr., Mike Conley, Rudy Gobert","O'Neale, Hernangomez, House Jr., Conley, Gobert",1626220-1627823-1627863-201144-203497,UTA,22.0,1,1.0,1.0,1.0,1.0,1.0,1.0,65.45454545454545,22.0,22.0,1.0,1.0,0.45285,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2022,2021-22,True
1626220-1627823-201144-203497-203903,1610612762,"Royce O'Neale, Juancho Hernangomez, Mike Conley, Rudy Gobert, Jordan Clarkson","O'Neale, Hernangomez, Conley, Gobert, Clarkson",1626220-1627823-201144-203497-203903,UTA,151.0,1,4.0,7.0,1.0,1.0,1.0,0.25,66.75496688741723,19.5,19.5,0.25,0.5,0.4297,25.3,3.0,5.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,7.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.6666666666666666,0.875,0.875,0.3333333333333333,1.0,0.5,0.25,0.5,24.333333333333332,17.0,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,6.933333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2022,2021-22,True
1626220-1627863-1628378-201144-202355,1610612762,"Royce O'Neale, Danuel House Jr., Donovan Mitchell, Mike Conley, Hassan Whiteside","O'Neale, House Jr., Mitchell, Conley, Whiteside",1626220-1627863-1628378-201144-202355,UTA,23.0,1,1.0,1.0,,,,,62.60869565217391,14.0,14.0,,,0.3877,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2022,2021-22,True
1626220-1627863-1628378-201144-203497,1610612762,"Royce O'Neale, Danuel House Jr., Donovan Mitchell, Mike Conley, Rudy Gobert","O'Neale, House Jr., Mitchell, Conley, Gobert",1626220-1627863-1628378-201144-203497,UTA,91.0,1,4.0,8.0,,2.0,,1.0,126.5934065934066,11.25,11.25,,1.0,0.5934,23.4,2.0,2.0,4.0,,,,,,,1.0,4.0,2.0,,3.0,,,1.0,1.0,,3.0,1.0,2.0,2.0,,1.0,,1.0,,2.0,,1.0,4.0,1.0,0.5,0.5,,0.75,0.6666666666666666,,,1.0,1.0,,11.5,11.5,,,,,,,,,0.3333333333333333,1.0,,,,4.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,0.5,0.75,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5934,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2022,2021-22,True
1626220-1627863-1628378-202355-202711,1610612762,"Royce O'Neale, Danuel House Jr., Donovan Mitchell, Hassan Whiteside, Bojan Bogdanovic","O'Neale, House Jr., Mitchell, Whiteside, Bogdanovic",1626220-1627863-1628378-202355-202711,UTA,467.0,2,15.0,30.0,7.0,9.0,7.0,0.5294117647058824,92.50535331905782,15.2,13.933333333333334,0.4117647058823529,0.8235294117647058,0.5511617647058823,25.200000000000003,8.0,,15.0,5.0,1.0,2.0,2.0,4.0,8.0,3.0,17.0,17.0,6.0,9.0,2.0,2.0,3.0,4.0,2.0,11.0,2.0,5.0,7.0,1.0,3.0,1.0,2.0,,,,,14.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.25,0.4,0.4,0.625,1.0,15.933333333333334,15.733333333333333,0.29411764705882354,0.11764705882352941,0.5,0.5,0.2857142857142857,0.2857142857142857,1.0,0.2857142857142857,,,5.875,1.0,0.058823529411764705,,,1.0,2.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,0.25,0.11764705882352941,0.5,0.5,1.0,,,,,,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,0.25,0.25,0.5,0.75,0.75,0.25,1.0,0.16666666666666666,0.2,1.0,0.2,1.0,0.4,0.6666666666666666,0.5,1.0,1.0,1.0,0.5,1.0,0.5691,0.17647058823529413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2022,2021-22,True
1626220-1627863-1628378-202711-203497,1610612762,"Royce O'Neale, Danuel House Jr., Donovan Mitchell, Bojan Bogdanovic, Rudy Gobert","O'Neale, House Jr., Mitchell, Bogdanovic, Gobert",1626220-1627863-1628378-202711-203497,UTA,227.0,3,6.0,11.0,2.0,4.0,1.0,0.6666666666666666,69.77973568281938,17.833333333333332,17.833333333333332,0.3333333333333333,0.6666666666666666,0.48344,29.924999999999997,4.0,3.0,5.0,,1.0,2.0,1.0,1.0,2.0,3.0,12.0,9.0,2.0,9.0,1.0,,3.0,3.0,1.0,9.0,1.0,1.0,1.0,,,,2.0,,2.0,,,12.0,1.0,0.75,1.0,0.5,0.9166666666666666,0.8571428571428571,,,0.5,0.5,,24.0,24.0,,0.3333333333333333,0.5,0.5,0.5,0.5,1.0,1.0,,,5.3,,,5.0,,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,12.0,2.0,,,,,,,,11.0,4.0,0.75,1.1,1.0,,0.5,0.3333333333333333,1.0,1.0,1.0,0.4,1.0,0.5254,1.0,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2022,2021-22,True
1626220-1627863-201144-202355-203903,1610612762,"Royce O'Neale, Danuel House Jr., Mike Conley, Hassan Whiteside, Jordan Clarkson","O'Neale, House Jr., Conley, Whiteside, Clarkson",1626220-1627863-201144-202355-203903,UTA,100.0,1,2.0,4.0,,,,,57.599999999999994,35.5,31.5,,1.0,0.5793,,2.0,-3.0,2.0,3.0,,,,1.0,3.0,,2.0,5.0,,,,,,1.0,,2.0,,,1.0,,,,1.0,,,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,14.5,14.5,1.0,,,,,,,,,,1.9333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,2.0,2.0,1.0,1.0,,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,0.5,,,0.5,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,0.8,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2022,2021-22,True
1626220-1627863-201144-203497-203903,1610612762,"Royce O'Neale, Danuel House Jr., Mike Conley, Rudy Gobert, Jordan Clarkson","O'Neale, House Jr., Conley, Gobert, Clarkson",1626220-1627863-201144-203497-203903,UTA,176.0,1,6.0,12.0,,4.0,,1.0,98.18181818181819,15.0,15.0,,1.0,0.5796,23.175,3.0,4.0,6.0,,,,,,,4.0,14.0,10.0,,9.0,,,3.0,3.0,,9.0,,1.0,1.0,1.0,4.0,,2.0,1.0,2.0,,,14.0,0.75,1.0,1.0,,1.5,1.4,,,,0.5,,14.333333333333334,13.166666666666666,,,,,,,,,,,,,,6.0,6.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,14.0,3.0,,,,1.0,1.0,1.0,1.0,14.0,6.0,1.0,1.5,1.4,,,1.0,1.0,1.0,0.75,1.0,1.0,0.5796,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2022,2021-22,True
1626220-1628378-1629672-201144-202711,1610612762,"Royce O'Neale, Donovan Mitchell, Eric Paschall, Mike Conley, Bojan Bogdanovic","O'Neale, Mitchell, Paschall, Conley, Bogdanovic",1626220-1628378-1629672-201144-202711,UTA,225.0,2,7.0,14.0,2.0,2.0,2.0,0.3333333333333333,89.6,12.571428571428571,12.571428571428571,0.3333333333333333,0.5,0.467825,25.6,4.0,4.0,7.0,1.0,3.0,3.0,1.0,4.0,4.0,1.0,11.0,7.0,8.0,,1.0,,,,,,,4.0,4.0,1.0,1.0,,,,,,,11.0,,0.5,0.5,1.0,0.9166666666666666,0.9166666666666666,,,,1.0,,19.571428571428573,19.571428571428573,0.16666666666666666,0.5,1.0,1.0,0.5,0.5,,0.5,,,7.675,,,5.0,4.0,,,,,,1.0,2.0,,7.0,,,,,,,,,7.0,5.0,0.5,0.875,0.875,,,,,,,,,0.4463125,0.6363636363636364,0.7142857142857143,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,1.0,2.0,2.0,2.0,,,1.0,0.5,0.5,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2022,2021-22,True
1626220-1628378-1629672-201144-203903,1610612762,"Royce O'Neale, Donovan Mitchell, Eric Paschall, Mike Conley, Jordan Clarkson","O'Neale, Mitchell, Paschall, Conley, Clarkson",1626220-1628378-1629672-201144-203903,UTA,162.0,1,5.0,10.0,1.0,2.0,1.0,0.6666666666666666,88.88888888888889,17.8,17.8,0.3333333333333333,0.6666666666666666,0.4995,25.0,3.0,-1.0,5.0,,,1.0,,,1.0,1.0,5.0,6.0,,3.0,,1.0,1.0,1.0,,3.0,1.0,2.0,2.0,1.0,1.0,,3.0,,2.0,,1.0,5.0,1.0,0.5,0.5,,0.5,0.625,1.0,,0.5,0.5,,14.6,12.2,,0.3333333333333333,,,,,,,0.25,0.5,5.8,,,,,1.0,1.0,,,2.0,,,,,1.0,,,,,1.0,,,,,,,,,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2022,2021-22,True
