EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,ShortMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffThreePtRebounds,DefTwoPtRebounds,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,Avg3ptShotDistance,ShortMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,HeaveAttempts,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,LostBallTurnovers,Offensive Fouls,Offensive Fouls Drawn,BlockedAtRim,BlockedLongMidRange,RecoveredBlocks,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,OffShortMidRangeReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,Charge Fouls Drawn,NonShootingPenaltyNonTakeFouls,OffArc3ReboundPct,SecondChanceFtPoints,Fg3aBlocked,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffensiveGoaltends,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceTurnovers,FTDefRebounds,Charge Fouls,Loose Ball Fouls,ShortMidRangePctBlocked,DefFTReboundPct,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,DefensiveGoaltends,Technical Free Throw Trips,SecondChanceCorner3FGM,ThreePtShootingFoulsDrawn,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,SecondChanceAtRimPctAssisted,team_id,year,season,team_vs
1626171-1626192-1628960-1628975-201950,1610612749,"Bobby Portis, Pat Connaughton, Grayson Allen, Jevon Carter, Jrue Holiday","Portis, Connaughton, Allen, Carter, Holiday",1626171-1626192-1628960-1628975-201950,MIL,124.0,2,2.0,2.0,5.0,5.0,5.0,5.0,1.0,10.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,5.0,3.0,7.0,5.0,2.0,2.0,5.0,3.0,7.0,4.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,7.0,7.0,5.0,1.0,1.0,0.4,0.4,0.4,0.4,0.5833333333333334,0.5833333333333334,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,1.0,1.0,0.3333333333333333,116.1290322580645,11.4,13.4,11.2,13.0,0.6,0.3333333333333333,0.3333333333333333,1.0,0.4,0.5,0.5,1.0,1.0,0.6,0.3333333333333333,0.6,0.57816,0.65455,0.57816,0.3333333333333333,0.3333333333333333,1.0,5.96,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2022,2021-22,True
1626171-1626192-1628960-1628975-203507,1610612749,"Bobby Portis, Pat Connaughton, Grayson Allen, Jevon Carter, Giannis Antetokounmpo","Portis, Connaughton, Allen, Carter, Antetokounmpo",1626171-1626192-1628960-1628975-203507,MIL,540.0,4,9.0,-19.0,16.0,19.0,6.0,1.0,1.0,35.0,2.0,2.0,1.0,1.0,1.0,,1.0,2.0,5.0,1.0,8.0,27.0,1.0,1.0,3.0,1.0,6.0,,,1.0,,,3.0,,3.0,5.0,1.0,6.0,,2.0,1.0,2.0,3.0,4.0,2.0,,,6.0,6.0,6.0,,,0.4,0.3333333333333333,0.2916666666666667,0.5,0.3076923076923077,0.5,,0.75,0.7142857142857143,0.1111111111111111,,,0.6666666666666666,,93.33333333333333,16.875,14.210526315789474,16.875,13.789473684210526,0.16666666666666666,1.0,1.0,,0.08333333333333333,,,,1.0,0.2,1.0,0.75,0.5121666666666667,,0.53957,,,0.75,7.9799999999999995,0.375,1.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,2.0,4.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.5,0.14285714285714285,1.0,1.0,1.0,0.5833333333333334,0.5,0.6666666666666666,0.16666666666666666,0.5,0.5,1.0,1.0,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.2,0.2,1.0,1.0,0.2,0.2,1.0,0.2,0.25,25.857142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2022,2021-22,True
1626171-1626192-1628960-201572-201950,1610612749,"Bobby Portis, Pat Connaughton, Grayson Allen, Brook Lopez, Jrue Holiday","Portis, Connaughton, Allen, Lopez, Holiday",1626171-1626192-1628960-201572-201950,MIL,1347.0,10,22.0,12.0,40.0,43.0,8.0,15.0,3.0,83.0,3.0,7.0,1.0,1.0,2.0,3.0,6.0,10.0,19.0,8.0,55.0,43.0,3.0,2.0,3.0,5.0,12.0,8.0,4.0,11.0,2.0,,29.0,3.0,6.0,21.0,5.0,26.0,1.0,,,2.0,4.0,10.0,12.0,,6.0,48.0,12.0,8.0,0.4,0.4444444444444444,0.5263157894736842,0.6666666666666666,0.6025641025641025,0.5,0.6111111111111112,0.6,0.3333333333333333,0.8571428571428571,0.7,0.2631578947368421,0.5,,1.0,0.05555555555555555,88.73051224944321,16.2,16.25581395348837,15.7,15.69767441860465,0.1794871794871795,0.42857142857142855,0.5,0.6666666666666666,0.15384615384615385,0.5,0.5,,0.25,0.2857142857142857,0.5,0.6923076923076923,0.5201065789473684,0.5060333333333333,0.5611166666666666,0.13333333333333333,0.24,0.21818181818181817,9.294736842105262,0.2,1.0,6.0,7.0,1.0,7.0,13.0,,3.0,9.0,20.0,2.0,7.0,1.0,4.0,12.0,21.0,2.0,12.0,7.0,7.0,5.0,2.0,15.0,,2.0,,1.0,1.0,,3.0,,2.0,,5.0,1.0,5.0,0.7777777777777778,0.45,0.25,0.47368421052631576,0.6666666666666666,0.875,0.875,0.5128205128205128,0.6666666666666666,0.6521739130434783,0.2,0.4,0.45454545454545453,1.0,0.5,0.15384615384615385,0.1794871794871795,0.3333333333333333,0.5384615384615384,0.5384615384615384,0.7142857142857143,1.0,0.14285714285714285,0.42857142857142855,,0.5833333333333334,0.12727272727272726,27.035000000000004,4.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,0.05263157894736842,0.14285714285714285,0.5,0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666,0.5,0.2857142857142857,0.2857142857142857,1.0,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2022,2021-22,True
1626171-1626192-1628960-201572-203507,1610612749,"Bobby Portis, Pat Connaughton, Grayson Allen, Brook Lopez, Giannis Antetokounmpo","Portis, Connaughton, Allen, Lopez, Antetokounmpo",1626171-1626192-1628960-201572-203507,MIL,31.0,1,1.0,2.0,2.0,2.0,,,,4.0,1.0,1.0,,,,,,1.0,1.0,,2.0,,,,,,,2.0,1.0,1.0,1.0,,2.0,,1.0,2.0,,2.0,,,,,,,,,,2.0,,,1.0,1.0,1.0,,0.5,,0.5,,,1.0,1.0,,,,1.0,,185.8064516129032,6.0,9.5,6.0,9.5,0.5,1.0,1.0,1.0,,,,,,,,1.0,0.5784,,,,,,2.6,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.5,,1.0,,,1.0,,,,,0.5,,,,,,,,,,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2022,2021-22,True
1626171-1626192-1628960-201588-203507,1610612749,"Bobby Portis, Pat Connaughton, Grayson Allen, George Hill, Giannis Antetokounmpo","Portis, Connaughton, Allen, Hill, Antetokounmpo",1626171-1626192-1628960-201588-203507,MIL,656.0,4,11.0,12.0,22.0,22.0,3.0,9.0,,44.0,3.0,4.0,,,1.0,1.0,3.0,5.0,9.0,3.0,28.0,16.0,,1.0,2.0,,2.0,8.0,4.0,7.0,3.0,,17.0,,4.0,10.0,1.0,11.0,,1.0,,1.0,6.0,4.0,4.0,,2.0,28.0,2.0,3.0,0.8,0.8,0.5555555555555556,0.5,0.6944444444444444,0.3333333333333333,0.7,0.3333333333333333,,0.8,0.7692307692307693,0.125,,,1.0,,96.58536585365853,14.818181818181818,15.0,14.818181818181818,14.954545454545455,0.2222222222222222,0.75,0.75,1.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,0.7222222222222222,0.5283055555555555,,0.5363,0.1,0.18181818181818182,0.07142857142857142,8.944444444444445,0.13636363636363635,,2.0,1.0,,4.0,8.0,,1.0,5.0,9.0,,,,1.0,2.0,9.0,,8.0,4.0,3.0,2.0,1.0,6.0,1.0,1.0,,,2.0,,3.0,1.0,,,2.0,1.0,2.0,0.6,0.5555555555555556,,0.5555555555555556,,,,0.5,0.3333333333333333,0.75,0.25,,0.8,,,0.1111111111111111,0.05555555555555555,0.4444444444444444,0.5,0.5,0.5,,,0.3333333333333333,,0.5,,25.9,1.0,1.0,,,,,,6.0,,,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,,,,,0.6666666666666666,0.5,0.5,0.5,1.0,1.0,1.0,1.0,,,,,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2022,2021-22,True
1626171-1626192-1628960-201950-202083,1610612749,"Bobby Portis, Pat Connaughton, Grayson Allen, Jrue Holiday, Wesley Matthews","Portis, Connaughton, Allen, Holiday, Matthews",1626171-1626192-1628960-201950-202083,MIL,62.0,2,1.0,5.0,2.0,3.0,2.0,,,5.0,,,,,,,,,,2.0,5.0,,,,,2.0,5.0,,,1.0,,,3.0,,1.0,2.0,,2.0,,,,,,1.0,2.0,,1.0,5.0,5.0,2.0,,,,,1.5,1.5,1.25,1.25,,1.0,1.0,,,,1.0,,116.1290322580645,7.5,15.666666666666666,7.5,15.666666666666666,,,,,,,,,,,,1.0,0.4788,,0.4788,0.5,1.0,1.0,,1.0,,,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,,3.0,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,1.0,,,,,24.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2022,2021-22,True
1626171-1626192-1628960-201950-203114,1610612749,"Bobby Portis, Pat Connaughton, Grayson Allen, Jrue Holiday, Khris Middleton","Portis, Connaughton, Allen, Holiday, Middleton",1626171-1626192-1628960-201950-203114,MIL,58.0,1,1.0,5.0,3.0,2.0,,,,5.0,1.0,1.0,,,,,1.0,1.0,2.0,,5.0,,,,,,,,,1.0,,,3.0,,1.0,1.0,,1.0,,,,,,,,,,5.0,,,,,0.5,,0.8333333333333334,,0.8333333333333334,,,1.0,1.0,,,,,,124.13793103448276,10.0,14.0,10.0,14.0,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,,,0.6666666666666666,0.5631,,,,,,10.6,,,,,,1.0,1.0,,,1.0,1.0,,,,,2.0,3.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,0.3333333333333333,,,,,,,1.0,,,0.3333333333333333,1.0,1.0,1.0,,,,,1.0,,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2022,2021-22,True
1626171-1626192-1628960-201950-203507,1610612749,"Bobby Portis, Pat Connaughton, Grayson Allen, Jrue Holiday, Giannis Antetokounmpo","Portis, Connaughton, Allen, Holiday, Antetokounmpo",1626171-1626192-1628960-201950-203507,MIL,1150.0,8,19.0,-15.0,37.0,43.0,2.0,11.0,2.0,80.0,2.0,6.0,1.0,,1.0,3.0,7.0,8.0,18.0,3.0,34.0,49.0,1.0,,2.0,,,14.0,7.0,12.0,2.0,2.0,29.0,1.0,11.0,13.0,2.0,15.0,,4.0,3.0,3.0,11.0,5.0,6.0,,3.0,33.0,,2.0,0.875,0.875,0.4444444444444444,,0.5,,0.5,,0.1111111111111111,0.7333333333333333,0.65,0.11764705882352941,0.25,,0.8333333333333334,,100.17391304347825,15.027027027027026,13.813953488372093,14.972972972972974,12.837209302325581,0.1935483870967742,0.3333333333333333,0.4,1.0,0.22580645161290322,0.42857142857142855,0.5,0.6666666666666666,1.0,0.5,,0.6129032258064516,0.49488225806451613,0.6153,0.5994,0.08823529411764706,0.14285714285714285,,10.077777777777778,0.05405405405405406,,5.0,1.0,,4.0,12.0,,,5.0,13.0,,1.0,,,2.0,15.0,,12.0,4.0,5.0,4.0,1.0,2.0,1.0,2.0,,2.0,4.0,,6.0,,,,2.0,1.0,2.0,1.0,0.38461538461538464,,0.38461538461538464,,,0.25,0.41935483870967744,0.3333333333333333,0.4,0.125,,,,0.3333333333333333,0.16129032258064516,0.03225806451612903,0.3870967741935484,0.3333333333333333,0.36363636363636365,1.0,,,,,0.3333333333333333,0.029411764705882353,26.015384615384615,3.0,1.0,,,,,,,,2.0,1.0,3.0,,2.0,,1.0,,1.0,,0.1111111111111111,0.16666666666666666,,1.0,0.5,0.6,0.6,1.0,1.0,1.0,1.0,,,,,1.0,,0.125,1.0,1.0,0.07692307692307693,0.14285714285714285,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2022,2021-22,True
1626171-1626192-1628975-201572-201950,1610612749,"Bobby Portis, Pat Connaughton, Jevon Carter, Brook Lopez, Jrue Holiday","Portis, Connaughton, Carter, Lopez, Holiday",1626171-1626192-1628975-201572-201950,MIL,103.0,1,2.0,-1.0,4.0,4.0,,,,8.0,,,,,,,,,1.0,,3.0,4.0,,,,,,,,1.0,,,3.0,,,1.0,,1.0,,,,,1.0,1.0,,,,3.0,,,,,,,0.5,,0.5,,,,1.0,,,,,,111.84466019417476,11.75,14.0,11.75,14.0,,,,,,,,,,,,0.6666666666666666,0.50845,,,,,,6.0,,,1.0,1.0,,,1.0,,,1.0,2.0,,,,,,3.0,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,1.0,0.5,,0.5,,,,0.6666666666666666,,1.0,,,1.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,24.9,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2022,2021-22,True
1626171-1626192-1628975-201950-203507,1610612749,"Bobby Portis, Pat Connaughton, Jevon Carter, Jrue Holiday, Giannis Antetokounmpo","Portis, Connaughton, Carter, Holiday, Antetokounmpo",1626171-1626192-1628975-201950-203507,MIL,109.0,2,2.0,1.0,4.0,3.0,3.0,1.0,1.0,7.0,,,,,,,,1.0,1.0,,5.0,4.0,,1.0,1.0,,5.0,2.0,1.0,2.0,,,5.0,,1.0,1.0,1.0,2.0,,,,,1.0,1.0,,,,2.0,5.0,3.0,1.0,1.0,1.0,1.0,0.625,0.8333333333333334,0.625,0.8333333333333334,,1.0,1.0,0.5,,,,,92.4770642201835,17.75,12.666666666666666,17.5,12.666666666666666,,,,,,,,,,,,0.75,0.489975,,0.47609999999999997,,,1.0,8.5,0.75,,1.0,,,1.0,3.0,1.0,2.0,1.0,3.0,,3.0,1.0,2.0,,3.0,,3.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,,1.0,0.3333333333333333,0.5,0.3333333333333333,,1.5,1.5,0.75,1.0,,0.5,,,,1.0,0.25,,0.75,0.3333333333333333,0.3333333333333333,1.0,,,0.6666666666666666,0.5,0.3333333333333333,0.6,25.333333333333332,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2022,2021-22,True
