EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,PenaltyDefPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,Steals,BadPassSteals,FG3APct,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,Minutes,PlusMinus,OffPoss,PenaltyOffPoss,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,FtPoints,Points,OpponentPoints,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,ShortMidRangeFGA,LongMidRangeFGA,SecondChanceArc3FGA,FG2A,SecondChanceFG3A,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,LiveBallTurnoverPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,ShortMidRangeFrequency,LongMidRangeFrequency,SecondChanceArc3Frequency,Avg2ptShotDistance,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,LongMidRangeFGM,FG2M,SecondChanceFG2A,PtsAssisted2s,TwoPtAssists,AtRimAssists,LongMidRangeAssists,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,ShortMidRangeAssists,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,SecondChancePointsPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,HeaveAttempts,Fg3aBlocked,FTDefRebounds,LostBallOutOfBoundsTurnovers,Travels,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,Blocked3s,BlockedCorner3,BlockedShortMidRange,OffensiveGoaltends,3SecondViolations,FG3APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,DefFTReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedArc3,FTOffRebounds,ThreePtShootingFoulsDrawn,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,LongMidRangePctBlocked,team_id,year,season,team_vs
101108-1626164-1626166-1628969-203109,1610612756,"Chris Paul, Devin Booker, Cameron Payne, Mikal Bridges, Jae Crowder","Paul, Booker, Payne, Bridges, Crowder",101108-1626164-1626166-1628969-203109,PHX,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,480.0,3.0,3.0,1.0,1.0,1.0,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2022,2021-22,True
101108-1626164-1628470-1628969-1629028,1610612756,"Chris Paul, Devin Booker, Torrey Craig, Mikal Bridges, Deandre Ayton","Paul, Booker, Craig, Bridges, Ayton",101108-1626164-1628470-1628969-1629028,PHX,110.0,2,4.0,,7.0,,,2.0,2.0,,,,1.0,91.63636363636364,12.25,12.25,,,1.0,24.45,2.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,6.0,5.0,1.0,3.0,6.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,3.0,1.0,1.0,0.5,0.5,0.5,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,20.333333333333332,20.333333333333332,1.0,0.5,0.5,1.0,1.0,0.5,0.55395,0.55395,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2022,2021-22,True
101108-1626164-1628470-1628969-1629661,1610612756,"Chris Paul, Devin Booker, Torrey Craig, Mikal Bridges, Cameron Johnson","Paul, Booker, Craig, Bridges, Johnson",101108-1626164-1628470-1628969-1629661,PHX,193.0,1,5.0,,11.0,1.0,,2.0,,1.0,1.0,1.0,0.5,82.07253886010362,15.6,11.8,0.25,,0.5,24.2,3.0,-2.0,6.0,,,1.0,,,,2.0,2.0,4.0,,,,,,,,,,2.0,2.0,4.0,1.0,2.0,1.0,,,,,,2.0,,,,,,,,,,0.2,,0.6666666666666666,,0.6666666666666666,,,,19.166666666666668,16.666666666666668,0.25,,,,,,0.46695,,0.2,0.3333333333333333,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,0.5,1.0,1.0,1.0,0.25,0.25,0.25,1.0,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2022,2021-22,True
101108-1626164-1628470-1629028-203109,1610612756,"Chris Paul, Devin Booker, Torrey Craig, Deandre Ayton, Jae Crowder","Paul, Booker, Craig, Ayton, Crowder",101108-1626164-1628470-1629028-203109,PHX,65.0,1,2.0,,4.0,2.0,,2.0,,2.0,,,1.0,88.61538461538463,7.0,7.0,1.0,,1.0,25.95,1.0,3.0,2.0,,,,,,1.0,,3.0,,,,,3.0,1.0,1.0,,3.0,,1.0,1.0,1.0,1.0,,,,,,,,3.0,,,,1.0,0.5,,0.5,0.75,,0.75,,1.0,,1.0,,,,25.5,25.5,,,,,,,0.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2022,2021-22,True
101108-1626164-1628470-1629661-201580,1610612756,"Chris Paul, Devin Booker, Torrey Craig, Cameron Johnson, JaVale McGee","Paul, Booker, Craig, Johnson, McGee",101108-1626164-1628470-1629661-201580,PHX,313.0,2,10.0,,19.0,3.0,,4.0,,3.0,1.0,1.0,0.4,87.41214057507987,15.9,15.9,0.3,,0.6,26.2,5.0,-4.0,9.0,,,1.0,,,2.0,,12.0,16.0,,,,6.0,2.0,5.0,,12.0,1.0,1.0,2.0,3.0,,,,,,,,,12.0,,,,1.0,0.5,,0.5,0.6,,0.6,,1.0,1.0,1.0,1.0,1.0,,17.11111111111111,16.88888888888889,0.1,,,,,,0.486225,,,,,,1.0,1.0,3.0,,6.0,,,1.0,1.0,1.0,,,,,,2.0,4.0,,0.3333333333333333,,0.2,1.0,,,0.2,0.1,0.3,,9.983333333333333,2.0,2.0,2.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,2.0,1.0,2.0,3.0,1.0,6.0,3.0,1.0,2.0,1.0,1.0,0.5,0.2,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.3464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2022,2021-22,True
101108-1626164-1628969-1629028-1629661,1610612756,"Chris Paul, Devin Booker, Mikal Bridges, Deandre Ayton, Cameron Johnson","Paul, Booker, Bridges, Ayton, Johnson",101108-1626164-1628969-1629028-1629661,PHX,1422.0,7,45.0,5.0,88.0,11.0,10.0,16.0,12.0,11.0,2.0,1.0,0.42105263157894735,89.11392405063292,15.266666666666667,15.244444444444444,0.2894736842105263,0.37037037037037035,0.7105263157894737,25.225,24.0,-19.0,43.0,28.0,2.0,5.0,,2.0,6.0,8.0,44.0,63.0,4.0,6.0,26.0,12.0,4.0,7.0,2.0,18.0,5.0,6.0,11.0,20.0,8.0,13.0,4.0,3.0,,,,,36.0,26.0,28.0,2.0,0.6666666666666666,0.375,0.3333333333333333,0.375,0.47368421052631576,0.37037037037037035,0.5,0.41935483870967744,0.6666666666666666,1.0,0.7857142857142857,0.5,1.0,,17.093023255813954,16.186046511627907,0.13157894736842105,0.4,0.4,1.0,0.07407407407407407,,0.5096907894736842,0.5071018518518519,0.0975609756097561,0.16,0.5909090909090909,0.6511627906976745,8.0,11.0,,2.0,22.0,2.0,3.0,6.0,9.0,3.0,4.0,3.0,4.0,8.0,1.0,1.0,6.0,0.5,0.5,0.3,0.4090909090909091,0.75,0.3333333333333333,0.6666666666666666,0.15,0.2894736842105263,,0.2857142857142857,4.8136363636363635,4.0,4.0,2.0,0.36363636363636365,0.36363636363636365,0.5,0.36363636363636365,7.0,11.0,3.0,,9.0,5.0,6.0,3.0,2.0,,0.3333333333333333,0.375,0.4090909090909091,0.2894736842105263,0.6363636363636364,0.7777777777777778,0.2857142857142857,,,,0.42857142857142855,0.56405,2.0,4.0,8.0,2.0,1.0,4.0,2.0,1.0,1.0,8.0,4.0,15.0,12.0,6.0,2.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,0.5,0.4,0.26666666666666666,0.5,0.5,0.09090909090909091,0.18181818181818182,0.2857142857142857,0.75,1.0,0.18181818181818182,0.18181818181818182,0.5,0.6666666666666666,0.5,1.0,0.2962962962962963,0.5,0.4,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2022,2021-22,True
101108-1626164-1628969-1629028-203109,1610612756,"Chris Paul, Devin Booker, Mikal Bridges, Deandre Ayton, Jae Crowder","Paul, Booker, Bridges, Ayton, Crowder",101108-1626164-1628969-1629028-203109,PHX,9748.0,11,308.0,49.0,615.0,83.0,10.0,111.0,12.0,82.0,27.0,22.0,0.38144329896907214,90.84940500615511,15.21103896103896,14.792207792207792,0.2852233676975945,0.3448275862068966,0.6563573883161512,25.64684684684685,162.0,-8.0,307.0,31.0,14.0,28.0,1.0,2.0,42.0,42.0,356.0,364.0,6.0,7.0,41.0,96.0,32.0,71.0,13.0,174.0,43.0,60.0,106.0,151.0,60.0,57.0,28.0,3.0,10.0,5.0,11.0,6.0,307.0,41.0,31.0,2.0,0.7619047619047619,0.3783783783783784,0.5,0.38181818181818183,0.5395189003436426,0.5862068965517241,0.5659163987138264,0.6029411764705882,0.7058823529411765,0.8431372549019608,0.7573529411764706,0.6111111111111112,0.8780487804878049,0.5454545454545454,16.49185667752443,15.765472312703583,0.09621993127147767,0.5,0.5185185185185185,0.9285714285714286,0.06896551724137931,0.5,0.5317605172413793,0.5368214285714286,0.09090909090909091,0.14213197969543148,0.1151685393258427,0.10097719869706841,40.0,69.0,31.0,5.0,180.0,11.0,14.0,31.0,45.0,12.0,17.0,12.0,24.0,41.0,3.0,32.0,80.0,0.4146341463414634,0.36046511627906974,0.20588235294117646,0.2922077922077922,0.3333333333333333,0.21428571428571427,0.68,0.08633093525179857,0.23711340206185566,0.10652920962199312,0.13157894736842105,7.392222222222221,28.0,28.0,19.0,0.3373493975903614,0.34146341463414637,0.6785714285714286,0.34146341463414637,56.0,80.0,17.0,14.0,94.0,27.0,78.0,39.0,31.0,5.0,0.4148936170212766,0.4642857142857143,0.5222222222222223,0.27491408934707906,0.7,0.7567567567567568,0.5535714285714286,0.45161290322580644,0.45161290322580644,0.35714285714285715,0.4473684210526316,0.5363046875,9.0,6.0,7.0,24.0,2.0,5.0,16.0,4.0,5.0,49.0,8.0,17.0,110.0,30.0,20.0,13.0,3.0,5.0,5.0,5.0,4.0,1.0,1.0,11.0,3.0,0.36363636363636365,0.5925925925925926,0.47058823529411764,0.5789473684210527,0.5853658536585366,0.07222222222222222,0.075,0.2037037037037037,0.8823529411764706,0.7,0.34782608695652173,0.3870967741935484,0.125,0.5294117647058824,0.4,1.0,0.2413793103448276,0.8571428571428571,0.5,0.13764044943820225,2.0,6.0,1.0,2.0,3.0,3.0,2.0,3.0,8.0,3.0,6.0,4.0,1.0,1.0,5.0,1.0,1.0,0.018018018018018018,0.10144927536231885,0.03571428571428571,0.012048192771084338,0.75,0.4583333333333333,0.29411764705882354,0.1111111111111111,0.15789473684210525,0.3333333333333333,1.0,,,,,,,,,1610612756,2022,2021-22,True
101108-1626164-1628969-1629661-202687,1610612756,"Chris Paul, Devin Booker, Mikal Bridges, Cameron Johnson, Bismack Biyombo","Paul, Booker, Bridges, Johnson, Biyombo",101108-1626164-1628969-1629661-202687,PHX,538.0,3,15.0,7.0,30.0,6.0,3.0,8.0,4.0,6.0,,,0.5,80.29739776951672,17.4,17.333333333333332,0.375,0.42857142857142855,0.5625,26.1125,9.0,-1.0,15.0,7.0,1.0,2.0,,1.0,4.0,2.0,20.0,21.0,2.0,,8.0,6.0,2.0,3.0,1.0,8.0,1.0,2.0,3.0,8.0,2.0,2.0,1.0,,,,,,15.0,8.0,7.0,,0.5,0.5,0.5,0.5,0.5625,0.5714285714285714,0.5882352941176471,0.5714285714285714,0.6666666666666666,1.0,0.75,,1.0,,18.466666666666665,18.0,0.125,0.5,0.5,1.0,0.14285714285714285,,0.466640625,0.49485,0.058823529411764705,0.1111111111111111,0.4,0.4666666666666667,3.0,6.0,1.0,1.0,8.0,1.0,1.0,4.0,5.0,1.0,,,3.0,3.0,,,1.0,,0.8,0.3333333333333333,0.625,1.0,,,0.14285714285714285,0.375,0.0625,0.3333333333333333,7.7625,3.0,3.0,1.0,0.5,0.5,0.3333333333333333,0.5,,1.0,1.0,1.0,3.0,2.0,2.0,1.0,,1.0,0.3333333333333333,0.3333333333333333,0.375,0.0625,,,,1.0,1.0,1.0,0.3333333333333333,0.44805,,,1.0,2.0,1.0,2.0,,1.0,2.0,5.0,1.0,3.0,4.0,6.0,,1.0,,,,,1.0,,1.0,,,1.0,,0.3333333333333333,0.5,0.625,0.125,,0.5,1.0,,0.3333333333333333,0.4,,,1.0,,0.14285714285714285,,0.6666666666666666,0.25,,,,,,1.0,1.0,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,1610612756,2022,2021-22,True
101108-1626164-1628969-1629661-203109,1610612756,"Chris Paul, Devin Booker, Mikal Bridges, Cameron Johnson, Jae Crowder","Paul, Booker, Bridges, Johnson, Crowder",101108-1626164-1628969-1629661-203109,PHX,201.0,3,9.0,9.0,15.0,6.0,6.0,6.0,6.0,6.0,,,0.75,107.46268656716417,12.222222222222221,11.11111111111111,0.75,0.75,0.875,27.2,3.0,,6.0,6.0,,,,,2.0,1.0,9.0,9.0,2.0,1.0,9.0,,,,,,3.0,,3.0,5.0,1.0,1.0,1.0,,,,,,9.0,9.0,6.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5625,0.5625,,1.0,0.75,,1.0,,15.166666666666666,12.833333333333334,,,,,,,0.43075625,0.43075625,0.125,0.5,1.0,1.0,2.0,,1.0,1.0,2.0,1.0,2.0,,2.0,,,,,,,,4.0,,,0.5,0.4,,,,,,0.125,0.5,12.25,2.0,2.0,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,1.0,1.0,,,1.0,1.0,,,,,,,0.5,0.125,1.0,1.0,,,,,,0.33705,,1.0,1.0,,,2.0,,,,,1.0,2.0,2.0,6.0,,,,,,,,,,1.0,1.0,,,0.5,,,,,0.5,,,,,,,,,0.125,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2022,2021-22,True
101108-1626164-1628969-1630688-203109,1610612756,"Chris Paul, Devin Booker, Mikal Bridges, Ish Wainright, Jae Crowder","Paul, Booker, Bridges, Wainright, Crowder",101108-1626164-1628969-1630688-203109,PHX,53.0,1,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,1.0,81.50943396226415,6.0,6.0,1.0,1.0,1.0,25.8,1.0,1.0,2.0,2.0,,,,,1.0,,3.0,2.0,1.0,,3.0,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,,,1.0,1.0,1.0,1.5,1.5,1.5,1.5,,,,,,,23.5,23.5,,,,,,,0.45945,0.45945,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2022,2021-22,True
