EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,FG2M,FG2A,Points,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG3A,FtPoints,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,ShortMidRangeFGM,Arc3FGM,FG3M,PtsUnassisted3s,NonHeaveArc3FGM,ShortMidRangeAssists,DefThreePtRebounds,FTDefRebounds,Fg3Pct,NonHeaveFg3Pct,DefFTReboundPct,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,Corner3FGA,PtsAssisted3s,ThreePtAssists,Arc3Assists,OffThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,Charge Fouls,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,Assisted3sPct,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,Corner3Frequency,Arc3PctAssisted,PenaltyOffPoss,PenaltyArc3FGA,PenaltyFG2A,PenaltyFG3A,PenaltyOffPossExcludingTakeFouls,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,DefAtRimReboundPct,PenaltyArc3FGM,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PenaltyTurnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyArc3Accuracy,PenaltyPointsPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,FTOffRebounds,SelfOReb,Offensive Fouls,SecondChanceFg3Pct,OffFTReboundPct,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedShortMidRange,RecoveredBlocks,OffShortMidRangeReboundPct,BlocksRecoveredPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyFG2M,Fg2aBlocked,Corner3Assists,LostBallSteals,Offensive Fouls Drawn,Technical Free Throw Trips,3SecondViolations,PenaltyFg2Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,Travels,Loose Ball Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,PenaltyCorner3FGM,HeaveAttempts,Charge Fouls Drawn,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,LostBallOutOfBoundsTurnovers,DefensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,OffensiveGoaltends,SecondChanceAtRimPctAssisted,BlockedCorner3,LongMidRangePctBlocked,Corner3PctBlocked,HeaveMakes,team_id,year,season,team_vs
1626159-1627826-1628379-1629599-202339,1610612746,"Justise Winslow, Ivica Zubac, Luke Kennard, Amir Coffey, Eric Bledsoe","Winslow, Zubac, Kennard, Coffey, Bledsoe",1626159-1627826-1628379-1629599-202339,LAC,76.0,1,1.0,4.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,94.73684210526316,10.0,18.666666666666668,10.0,18.666666666666668,1.0,1.0,1.0,1.0,1.0,0.4746,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2022,2021-22,True
1626159-1627826-1628379-1629599-202704,1610612746,"Justise Winslow, Ivica Zubac, Luke Kennard, Amir Coffey, Reggie Jackson","Winslow, Zubac, Kennard, Coffey, Jackson",1626159-1627826-1628379-1629599-202704,LAC,308.0,2,5.0,-8.0,8.0,9.0,17.0,2.0,4.0,3.0,8.0,7.0,4.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0,5.0,0.6666666666666666,1.0,0.375,0.3333333333333333,0.3888888888888889,0.3333333333333333,0.2,,1.0,79.48051948051948,17.875,18.333333333333332,17.875,16.22222222222222,0.4444444444444444,0.5,0.5,0.5,0.5555555555555556,0.45033888888888884,8.0,9.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,15.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.2,0.16666666666666666,0.5,0.2222222222222222,0.2222222222222222,0.5,0.5,1.0,0.1111111111111111,1.0,1.0,0.642,0.1111111111111111,0.125,0.2857142857142857,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2022,2021-22,True
1626159-1627826-1628379-1629611-202339,1610612746,"Justise Winslow, Ivica Zubac, Luke Kennard, Terance Mann, Eric Bledsoe","Winslow, Zubac, Kennard, Mann, Bledsoe",1626159-1627826-1628379-1629611-202339,LAC,256.0,2,4.0,8.0,8.0,8.0,16.0,1.0,1.0,4.0,4.0,15.0,4.0,2.0,2.0,1.0,4.0,1.0,4.0,4.0,15.0,0.5,0.5,1.0,0.9166666666666666,0.9375,1.0,1.0,1.0,,90.0,13.75,18.25,13.75,18.25,0.16666666666666666,1.0,1.0,1.0,0.5,0.48879999999999996,8.6,,,,,2.0,1.0,1.0,2.0,2.0,4.0,7.0,,,,4.0,,2.0,,,,2.0,2.0,1.0,2.0,3.0,4.0,,2.0,,,,,0.3333333333333333,,,,0.3333333333333333,0.16666666666666666,1.0,1.0,,0.3333333333333333,,,,0.25,0.3333333333333333,,25.75,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2022,2021-22,True
1626159-1627826-1628379-1629611-202704,1610612746,"Justise Winslow, Ivica Zubac, Luke Kennard, Terance Mann, Reggie Jackson","Winslow, Zubac, Kennard, Mann, Jackson",1626159-1627826-1628379-1629611-202704,LAC,977.0,2,16.0,5.0,33.0,31.0,64.0,8.0,9.0,13.0,20.0,38.0,18.0,9.0,12.0,7.0,27.0,5.0,14.0,16.0,36.0,0.6923076923076923,0.6923076923076923,0.65,0.6129032258064516,0.6129032258064516,0.625,0.75,1.0,0.8,94.32958034800409,13.969696969696969,16.64516129032258,13.666666666666666,16.35483870967742,0.2903225806451613,0.8888888888888888,0.8888888888888888,0.875,0.6451612903225806,0.5315354838709677,6.555,1.0,2.0,,,10.0,1.0,1.0,10.0,11.0,,33.0,1.0,1.0,2.0,8.0,,10.0,,,2.0,3.0,3.0,3.0,9.0,4.0,,,,,1.0,1.0,1.0,0.3548387096774194,,0.14285714285714285,,0.3225806451612903,0.03225806451612903,1.0,1.0,,0.3225806451612903,,,,,,0.05263157894736842,25.936363636363637,4.0,4.0,4.0,3.0,4.0,2.0,7.0,2.0,0.36363636363636365,0.36363636363636365,1.0,0.875,0.8,0.4,0.4,0.5,0.4,0.4,0.4,1.0,9.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,0.75,0.75,0.2857142857142857,0.3333333333333333,1.0,0.03225806451612903,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2022,2021-22,True
1626159-1627826-1628379-201587-202339,1610612746,"Justise Winslow, Ivica Zubac, Luke Kennard, Nicolas Batum, Eric Bledsoe","Winslow, Zubac, Kennard, Batum, Bledsoe",1626159-1627826-1628379-201587-202339,LAC,41.0,1,1.0,-2.0,1.0,2.0,3.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,,,105.36585365853658,25.0,8.0,25.0,8.0,,,,,0.5,0.258975,8.0,2.0,,,,1.0,,,1.0,1.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,0.5,,,,,,,27.7,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,0.258975,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2022,2021-22,True
1626159-1627826-1628379-202694-202704,1610612746,"Justise Winslow, Ivica Zubac, Luke Kennard, Marcus Morris Sr., Reggie Jackson","Winslow, Zubac, Kennard, Morris Sr., Jackson",1626159-1627826-1628379-202694-202704,LAC,28.0,1,,2.0,1.0,1.0,2.0,,,,,2.0,,,,,,1.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,,,102.85714285714286,,28.0,,28.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2022,2021-22,True
1626159-1627826-1628392-1629599-1629611,1610612746,"Justise Winslow, Ivica Zubac, Isaiah Hartenstein, Amir Coffey, Terance Mann","Winslow, Zubac, Hartenstein, Coffey, Mann",1626159-1627826-1628392-1629599-1629611,LAC,2.0,1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2161,18.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.2161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2022,2021-22,True
1626159-1627826-1629599-1629611-202339,1610612746,"Justise Winslow, Ivica Zubac, Amir Coffey, Terance Mann, Eric Bledsoe","Winslow, Zubac, Coffey, Mann, Bledsoe",1626159-1627826-1629599-1629611-202339,LAC,15.0,1,,2.0,1.0,1.0,2.0,,,,,2.0,,,,,,1.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,,192.0,4.0,11.0,4.0,11.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2022,2021-22,True
1626159-1627826-1629599-202331-202704,1610612746,"Justise Winslow, Ivica Zubac, Amir Coffey, Paul George, Reggie Jackson","Winslow, Zubac, Coffey, George, Jackson",1626159-1627826-1629599-202331-202704,LAC,82.0,1,1.0,,3.0,3.0,6.0,,,,,5.0,,,,,,,1.0,1.0,5.0,,,,1.5,0.8333333333333334,,1.0,,,105.36585365853658,18.0,9.333333333333334,18.0,9.333333333333334,,,,,1.0,0.53055,,2.0,,,,,,,1.0,1.0,2.0,5.0,,,,,,1.0,,,,,,1.0,1.0,2.0,3.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,27.2,,1.0,1.0,3.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,3.0,1.0,,1.0,3.0,1.0,0.53055,1.0,,1.0,1.0,2.0,5.0,1.0,1.0,2.0,5.0,1.0,1.0,1.5,0.8333333333333334,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2022,2021-22,True
1626159-1627826-1629611-1630527-202339,1610612746,"Justise Winslow, Ivica Zubac, Terance Mann, Brandon Boston Jr., Eric Bledsoe","Winslow, Zubac, Mann, Boston Jr., Bledsoe",1626159-1627826-1629611-1630527-202339,LAC,194.0,1,3.0,-2.0,7.0,7.0,14.0,1.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,3.0,4.0,4.0,4.0,1.0,1.0,0.5,0.2857142857142857,0.2857142857142857,1.0,1.0,,1.0,103.91752577319588,12.571428571428571,15.142857142857142,12.571428571428571,15.142857142857142,0.14285714285714285,1.0,1.0,1.0,0.5714285714285714,0.5182071428571429,5.1,,,,,3.0,,,1.0,3.0,,6.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,0.42857142857142855,,,,0.42857142857142855,,,,,0.14285714285714285,,,,,,,24.266666666666666,1.0,,,,,1.0,1.0,,,,,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.2857142857142857,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2022,2021-22,True
