EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,DefPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,LiveBallTurnoverPct,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,OffPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,Points,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,FoulsDrawn,Charge Fouls Drawn,FTA,Technical Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,Corner3FGM,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,DefThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,ShootingFouls,Fouls,Charge Fouls,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGA,LongMidRangeFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,OffTwoPtRebounds,OffRebounds,SelfOReb,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SelfORebPct,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceArc3FGM,SecondChanceArc3FGA,OffThreePtRebounds,OffThreePtReboundPct,OffCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,PtsPutbacks,Travels,Offensive Fouls Drawn,SecondChanceFg2Pct,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,LongMidRangeFGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFtPoints,LongMidRangeAssists,LostBallSteals,Loose Ball Fouls Drawn,BlockedShortMidRange,DefensiveGoaltends,AtRimPctBlocked,OffArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,2pt And 1 Free Throw Trips,Fg3aBlocked,Transition Take Fouls Drawn,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,StepOutOfBoundsTurnovers,Corner3PctBlocked,Transition Take Fouls,HeaveAttempts,BlockedLongMidRange,Blocked3s,BlockedArc3,LongMidRangePctBlocked,BlockedCorner3,HeaveMakes,FTOffRebounds,OffensiveGoaltends,Defensive 3 Seconds Violations,OffFTReboundPct,Clear Path Fouls,team_id,year,season,team_vs
1627936-1628470-1628975-1629632-201942,1610612741,"Alex Caruso, Torrey Craig, Jevon Carter, Coby White, DeMar DeRozan","Caruso, Craig, Carter, White, DeRozan",1627936-1628470-1628975-1629632-201942,CHI,18.0,1,-3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,80.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2024,2023-24,True
1627936-1628470-1628975-1629632-202696,1610612741,"Alex Caruso, Torrey Craig, Jevon Carter, Coby White, Nikola Vucevic","Caruso, Craig, Carter, White, Vucevic",1627936-1628470-1628975-1629632-202696,CHI,193.0,2,-3.0,6.0,,12.0,7.0,,,1.0,,,89.53367875647668,14.333333333333334,14.333333333333334,3.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.6666666666666666,0.4,0.4,0.4,1.0,1.0,1.0,1.0,1.0,17.833333333333332,17.833333333333332,0.2,1.0,1.0,1.0,0.4,0.5,0.5,1.0,0.2,0.2,0.6,0.54547,3.6333333333333333,24.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2024,2023-24,True
1627936-1628470-1628975-1629632-203083,1610612741,"Alex Caruso, Torrey Craig, Jevon Carter, Coby White, Andre Drummond","Caruso, Craig, Carter, White, Drummond",1627936-1628470-1628975-1629632-203083,CHI,712.0,6,-11.0,25.0,1.0,51.0,36.0,2.0,1.0,5.0,1.0,0.4,103.14606741573033,13.28,12.32,12.0,26.0,2.0,2.0,2.0,6.0,3.0,7.0,4.0,8.0,10.0,25.0,6.0,7.0,3.0,5.0,2.0,1.0,12.0,2.0,8.0,8.0,1.0,3.0,2.0,,2.0,,2.0,2.0,2.0,,25.0,0.75,0.75,0.5,0.6388888888888888,0.6578947368421053,0.5555555555555556,0.4,0.6666666666666666,0.25,,,14.615384615384615,14.615384615384615,0.1111111111111111,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.4,0.5,0.16666666666666666,0.3888888888888889,0.6666666666666666,0.5203823529411765,6.35,27.160000000000004,5.0,1.0,4.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,2.0,7.0,2.0,6.0,9.0,4.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,6.0,7.0,1.0,1.0,7.0,5.0,1.0,0.4,0.5,1.0,0.5,0.5,0.8333333333333334,0.875,0.125,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5714285714285714,0.5714285714285714,0.25,0.3333333333333333,1.0,0.5714285714285714,0.412,0.28,0.19230769230769232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2024,2023-24,True
1627936-1628470-1628975-1630245-202696,1610612741,"Alex Caruso, Torrey Craig, Jevon Carter, Ayo Dosunmu, Nikola Vucevic","Caruso, Craig, Carter, Dosunmu, Vucevic",1627936-1628470-1628975-1630245-202696,CHI,497.0,4,-6.0,16.0,12.0,33.0,16.0,2.0,2.0,5.0,1.0,0.4,95.61368209255534,13.375,13.1875,8.0,17.0,1.0,3.0,,4.0,3.0,2.0,1.0,11.0,5.0,10.0,,2.0,,2.0,,,6.0,1.0,8.0,12.0,1.0,3.0,2.0,,2.0,,,,,,7.0,,,0.09090909090909091,0.25,0.29411764705882354,0.3125,1.0,0.8888888888888888,,,,16.647058823529413,15.117647058823529,0.1875,0.3333333333333333,0.3333333333333333,,0.25,,,,0.1875,0.125,0.5,0.46109375,10.736363636363636,24.119999999999997,4.0,2.0,,,,2.0,2.0,,3.0,,,,,2.0,6.0,,,1.0,2.0,,2.0,7.0,,2.0,2.0,,,2.0,4.0,,,,4.0,,1.0,0.4,,0.4,,,,0.09090909090909091,0.25,,0.875,1.0,0.8571428571428571,1.0,0.6666666666666666,0.6666666666666666,1.0,,,,,,,0.33549999999999996,,0.23529411764705882,2.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.375,0.5,0.36363636363636365,1.0,0.3333333333333333,0.5,0.1,0.25,0.25,0.25,1.0,1.0,0.4985375,0.058823529411764705,0.08333333333333333,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2024,2023-24,True
1627936-1628470-1628975-1630245-203083,1610612741,"Alex Caruso, Torrey Craig, Jevon Carter, Ayo Dosunmu, Andre Drummond","Caruso, Craig, Carter, Dosunmu, Drummond",1627936-1628470-1628975-1630245-203083,CHI,86.0,1,4.0,3.0,,6.0,2.0,,,,,,100.46511627906976,16.333333333333332,16.333333333333332,1.0,3.0,,,,,1.0,2.0,,1.0,3.0,6.0,,2.0,,2.0,,,6.0,1.0,2.0,3.0,,,,,,,,,,,3.0,,,,0.75,0.75,0.75,1.0,1.0,,,,12.333333333333334,12.0,,,,,,,,,0.25,0.5,0.75,0.5364625,16.6,25.233333333333334,,,2.0,,,2.0,,,,,,,,,6.0,,2.0,,2.0,2.0,,1.0,,,,,,,,,,,,,1.0,0.6666666666666666,,0.6666666666666666,,,,,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,1.0,,,,1.0,,1.0,,,,1.0,1.0,3.0,,1.0,,,,,,,1.0,1.5,1.5,,0.5,,,,,0.25,,,,,,,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2024,2023-24,True
1627936-1628470-1628975-1631207-201942,1610612741,"Alex Caruso, Torrey Craig, Jevon Carter, Dalen Terry, DeMar DeRozan","Caruso, Craig, Carter, Terry, DeRozan",1627936-1628470-1628975-1631207-201942,CHI,154.0,1,2.0,5.0,3.0,11.0,8.0,,,,,,102.85714285714285,9.2,9.2,3.0,6.0,2.0,2.0,,1.0,1.0,1.0,2.0,3.0,2.0,10.0,,1.0,,1.0,,,3.0,1.0,1.0,2.0,,,3.0,,4.0,,,,,,7.0,,,0.6666666666666666,0.7,0.7142857142857143,0.4,1.0,1.0,,1.0,,18.0,17.0,0.4,1.0,1.0,,0.2,,,,0.2,0.2,0.8,0.5722400000000001,4.3,23.7,1.0,1.0,,,,1.0,3.0,,,,,2.0,2.0,4.0,3.0,,,,1.0,,1.0,,,,,,,2.0,2.0,,1.0,2.0,1.0,1.0,1.0,0.5,,0.5,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,0.2,0.16666666666666666,1.0,,,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,,,,1.0,,1.0,1.5,1.5,1.0,0.5,,1.0,,0.5,,,1.0,1.0,1.0,0.57405,0.16666666666666666,0.25,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2024,2023-24,True
1627936-1628470-1628975-1641931-202696,1610612741,"Alex Caruso, Torrey Craig, Jevon Carter, Onuralp Bitim, Nikola Vucevic","Caruso, Craig, Carter, Bitim, Vucevic",1627936-1628470-1628975-1641931-202696,CHI,67.0,1,,2.0,,4.0,,1.0,,1.0,,1.0,85.97014925373134,19.5,19.5,1.0,2.0,,1.0,,,,,,2.0,,,,,,,,,,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,14.0,13.5,0.5,,,,,,,,,,0.5,0.4968,9.2,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,0.5,0.5,,,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2024,2023-24,True
1627936-1628470-1628975-201942-202696,1610612741,"Alex Caruso, Torrey Craig, Jevon Carter, DeMar DeRozan, Nikola Vucevic","Caruso, Craig, Carter, DeRozan, Vucevic",1627936-1628470-1628975-201942-202696,CHI,551.0,5,5.0,18.0,,38.0,15.0,2.0,1.0,5.0,1.0,0.4,99.3103448275862,15.555555555555555,14.722222222222221,9.0,20.0,3.0,5.0,1.0,2.0,,6.0,4.0,7.0,6.0,20.0,6.0,6.0,3.0,5.0,2.0,1.0,12.0,5.0,11.0,12.0,,3.0,5.0,,6.0,,,,,,18.0,0.75,1.0,0.5714285714285714,0.6538461538461539,0.625,0.46153846153846156,0.8333333333333334,0.8461538461538461,1.0,0.5,,13.55,13.55,0.38461538461538464,0.6,0.6,0.6666666666666666,0.15384615384615385,0.5,0.5,1.0,,0.46153846153846156,0.8461538461538461,0.56195,3.4285714285714284,25.933333333333334,11.0,,3.0,3.0,5.0,3.0,3.0,2.0,5.0,3.0,5.0,1.0,14.0,2.0,6.0,3.0,3.0,,2.0,2.0,,6.0,,,,,1.0,,4.0,,1.0,14.0,11.0,1.0,0.6666666666666666,0.5,0.6,0.5,0.4,0.65,0.6363636363636364,,,,0.8571428571428571,1.0,0.8333333333333334,1.0,,,,0.5,0.5,0.6666666666666666,0.5,0.6,0.5,0.544565,0.7,0.55,1.0,1.0,,,,1.0,,,2.0,1.0,1.0,,,,2.0,2.0,,,1.0,1.0,0.3333333333333333,0.16666666666666666,,1.0,,,,1.0,,,,0.5942,0.13333333333333333,0.2222222222222222,0.1,,,,,,,,,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2024,2023-24,True
1627936-1628470-1628975-201942-203083,1610612741,"Alex Caruso, Torrey Craig, Jevon Carter, DeMar DeRozan, Andre Drummond","Caruso, Craig, Carter, DeRozan, Drummond",1627936-1628470-1628975-201942-203083,CHI,1552.0,6,-1.0,50.0,7.0,96.0,60.0,2.0,1.0,6.0,1.0,0.3333333333333333,89.0721649484536,16.34,15.74,26.0,46.0,10.0,14.0,1.0,3.0,6.0,19.0,13.0,19.0,25.0,59.0,18.0,19.0,9.0,17.0,7.0,,42.0,9.0,13.0,16.0,3.0,4.0,6.0,,4.0,,2.0,1.0,2.0,,56.0,0.6923076923076923,0.6923076923076923,0.6842105263157895,0.6363636363636364,0.6413043478260869,0.5681818181818182,0.45,0.5,0.3333333333333333,0.6,,15.978260869565217,15.847826086956522,0.3181818181818182,0.7142857142857143,0.8333333333333334,0.7,0.06818181818181818,0.3333333333333333,1.0,,0.13636363636363635,0.4318181818181818,0.8863636363636364,0.5879095238095238,4.084210526315789,26.564,12.0,4.0,6.0,,3.0,10.0,3.0,5.0,8.0,1.0,5.0,1.0,14.0,8.0,24.0,6.0,6.0,4.0,8.0,4.0,4.0,4.0,,5.0,3.0,,1.0,4.0,10.0,1.0,,14.0,12.0,,0.8,0.4,0.2,0.4,0.625,0.5,0.5,0.21052631578947367,0.6666666666666666,,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3157894736842105,0.3157894736842105,0.6666666666666666,0.23076923076923078,,0.3157894736842105,0.5786291666666666,0.23728813559322035,0.2608695652173913,1.0,1.0,2.0,,,1.0,,,3.0,1.0,3.0,,,,,2.0,,,1.0,0.75,0.16666666666666666,0.15789473684210525,,0.5,,,0.045454545454545456,1.0,,,,0.7577,0.043478260869565216,0.09523809523809523,0.05084745762711865,,,2.0,0.15384615384615385,,,,,1.0,4.0,6.0,1.0,,,1.0,1.0,1.0,0.46153846153846156,0.6666666666666666,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.14285714285714285,0.18181818181818182,1.0,1.0,1.0,1.0,0.15384615384615385,0.5,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2024,2023-24,True
1627936-1628470-1628975-202696-203897,1610612741,"Alex Caruso, Torrey Craig, Jevon Carter, Nikola Vucevic, Zach LaVine","Caruso, Craig, Carter, Vucevic, LaVine",1627936-1628470-1628975-202696-203897,CHI,260.0,4,-1.0,11.0,,21.0,8.0,4.0,3.0,4.0,1.0,1.0,116.30769230769232,14.363636363636363,14.363636363636363,4.0,10.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,4.0,2.0,7.0,4.0,1.0,2.0,2.0,,2.0,4.0,5.0,6.0,6.0,,,,,1.0,1.0,1.0,1.0,1.0,,7.0,0.6666666666666666,0.6666666666666666,0.75,0.5,0.5,0.3333333333333333,0.8333333333333334,0.8571428571428571,0.6666666666666666,,,10.2,10.2,0.16666666666666666,1.0,1.0,,0.5,0.6666666666666666,1.0,1.0,0.16666666666666666,0.16666666666666666,0.5,0.5586833333333333,6.175,26.7,3.0,,,,,,1.0,,1.0,,1.0,,,2.0,,,,1.0,,,,1.0,,1.0,1.0,,1.0,,,,,,3.0,,,,,,,,,0.25,0.3333333333333333,,1.0,1.0,1.0,,,,,,,,,,,0.53855,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2024,2023-24,True
