EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,FtPoints,Points,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,TsPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Corner3FGA,Arc3FGA,FG3A,OpponentPoints,NonHeaveArc3FGA,DefThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,ShootingFouls,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FG3APct,LiveBallTurnoverPct,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Corner3Frequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LostBallSteals,Offensive Fouls Drawn,OffensiveGoaltends,SecondChanceAtRimPctAssisted,PenaltyFtPoints,PenaltyPoints,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTsPct,PenaltyPointsPct,LongMidRangeFGM,LostBallOutOfBoundsTurnovers,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Charge Fouls Drawn,PenaltyAtRimFGA,PenaltyFG2A,3SecondViolations,PenaltyAtRimFrequency,PenaltyShotQualityAvg,PenaltyFG2M,PenaltyFg2Pct,PenaltyEfgPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyAtRimFGM,NonShootingPenaltyNonTakeFouls,PenaltyAtRimAccuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,LongMidRangeAssists,Technical Free Throw Trips,PenaltyFg3Pct,LongMidRangePctBlocked,OffLongMidRangeReboundPct,OffCorner3ReboundPct,LongMidRangePctAssisted,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,Defensive 3 Seconds Violations,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,Charge Fouls,BlockedLongMidRange,Blocked3s,BlockedArc3,HeaveAttempts,Fg3aBlocked,Clear Path Fouls,Transition Take Fouls,Transition Take Fouls Drawn,DefensiveGoaltends,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1627750-1629008-1630192-1630296-1631128,1610612743,"Jamal Murray, Michael Porter Jr., Zeke Nnaji, Braxton Key, Christian Braun","Murray, Porter Jr., Nnaji, Key, Braun",1627750-1629008-1630192-1630296-1631128,DEN,33.0,1,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,87.27272727272727,5.0,28.0,5.0,19.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,True
1627750-1629008-1630192-1631124-1631128,1610612743,"Jamal Murray, Michael Porter Jr., Zeke Nnaji, Julian Strawther, Christian Braun","Murray, Porter Jr., Nnaji, Strawther, Braun",1627750-1629008-1630192-1631124-1631128,DEN,205.0,1,3.0,-2.0,8.0,7.0,15.0,3.0,3.0,1.0,3.0,3.0,1.0,,3.0,4.0,2.0,3.0,0.25,0.3333333333333333,0.5,,105.3658536585366,13.75,13.571428571428571,13.75,12.285714285714286,0.3333333333333333,1.0,2.0,2.0,4.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,4.0,1.0,1.0,0.5,0.6666666666666666,0.5,0.5,1.0,0.25,0.5,0.5,1.0,0.54195,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,True
1627750-1629008-1630192-1631128-1631212,1610612743,"Jamal Murray, Michael Porter Jr., Zeke Nnaji, Christian Braun, Peyton Watson","Murray, Porter Jr., Nnaji, Braun, Watson",1627750-1629008-1630192-1631128-1631212,DEN,1448.0,6,24.0,-4.0,47.0,47.0,94.0,10.0,55.0,6.0,18.0,28.0,13.0,2.0,9.0,13.0,6.0,45.0,0.5392156862745098,0.375,0.5161290322580645,0.2857142857142857,93.48066298342542,14.829787234042554,15.97872340425532,13.680851063829786,14.893617021276595,0.13725490196078433,0.17142857142857143,3.0,12.0,15.0,59.0,12.0,10.0,4.0,1.0,2.0,,6.0,7.0,5.0,3.0,2.0,5.0,2.0,0.32608695652173914,0.6666666666666666,0.6666666666666666,0.4,0.7272727272727273,0.5,0.4,0.06521739130434782,0.2608695652173913,0.6956521739130435,0.5417565217391305,25.913333333333334,1.0,1.0,8.0,10.0,17.0,1.0,4.0,5.0,10.0,4.0,2.0,3.0,1.0,3.0,15.0,31.0,5.0,2.0,5.0,1.0,3.0,3.0,10.0,16.0,14.0,9.0,6.0,2.0,3.0,5.0,8.0,3.0,11.0,1.0,2.0,6.0,2.0,25.0,2.0,7.0,1.0,2.0,10.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5333333333333333,0.5714285714285714,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4838709677419355,0.4,0.4891304347826087,0.4375,0.5,0.16129032258064516,0.17647058823529413,0.2,1.0,0.5,0.4375,0.2,0.34615384615384615,0.5714285714285714,0.6,0.2222222222222222,0.5,0.14285714285714285,0.3695652173913043,0.5882352941176471,0.7142857142857143,0.6,0.21739130434782608,0.5,0.625,0.4,0.08695652173913043,0.6666666666666666,0.6666666666666666,1.0,0.25,0.25,0.3333333333333333,0.5,0.25,0.375,0.3333333333333333,0.25,0.5314857142857143,0.0625,0.18181818181818182,5.151612903225806,0.02127659574468085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,True
1627750-1629008-1630192-1631128-202704,1610612743,"Jamal Murray, Michael Porter Jr., Zeke Nnaji, Christian Braun, Reggie Jackson","Murray, Porter Jr., Nnaji, Braun, Jackson",1627750-1629008-1630192-1631128-202704,DEN,231.0,3,4.0,9.0,9.0,8.0,17.0,5.0,16.0,1.0,1.0,3.0,,,5.0,6.0,2.0,13.0,0.8,1.0,0.5,,105.97402597402598,13.666666666666666,13.5,13.444444444444445,13.25,0.3,0.2857142857142857,1.0,1.0,2.0,7.0,1.0,,,,1.0,,1.0,,,,,,,0.25,,,1.0,,,,0.125,0.125,0.875,0.61720625,24.85,,1.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,,1.0,,,,4.0,6.0,1.0,1.0,1.0,,,1.0,3.0,6.0,2.0,3.0,,,,,3.0,1.0,4.0,,1.0,2.0,1.0,9.0,,2.0,,,2.0,,2.0,1.0,,,1.0,,,,1.0,1.0,,0.75,0.75,1.0,0.5,,0.5,0.6666666666666666,1.0,0.6875,1.0,1.5,,,,,,1.0,,0.6666666666666666,1.0,,,,,0.625,0.6,0.6,0.6666666666666666,0.125,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,0.6845,0.3333333333333333,0.1875,2.6166666666666667,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,True
1627750-1629008-1630192-1631128-203932,1610612743,"Jamal Murray, Michael Porter Jr., Zeke Nnaji, Christian Braun, Aaron Gordon","Murray, Porter Jr., Nnaji, Braun, Gordon",1627750-1629008-1630192-1631128-203932,DEN,82.0,1,1.0,,3.0,3.0,6.0,,2.0,1.0,1.0,1.0,,,,,,2.0,0.3333333333333333,0.5,0.5,0.5,105.36585365853658,14.333333333333334,13.0,14.333333333333334,12.333333333333334,,,,1.0,1.0,2.0,1.0,,,,,,,,1.0,,1.0,1.0,,0.3333333333333333,,,,,,,,0.3333333333333333,0.6666666666666666,0.50685,25.5,,,,1.0,1.0,,,,1.0,,,,,,1.0,2.0,,,,,,,,2.0,,,,,,,1.0,,1.0,,,1.0,,2.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,0.5,,0.3333333333333333,,,,,,,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,True
1627750-1629008-1630192-1631212-202704,1610612743,"Jamal Murray, Michael Porter Jr., Zeke Nnaji, Peyton Watson, Reggie Jackson","Murray, Porter Jr., Nnaji, Watson, Jackson",1627750-1629008-1630192-1631212-202704,DEN,48.0,2,1.0,3.0,2.0,2.0,4.0,5.0,5.0,,,,,,2.0,5.0,,5.0,1.25,,,,120.0,8.5,15.5,8.5,15.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.5,1.0,,,,2.0,2.0,1.0,2.0,1.0,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,True
1627750-1629008-1630192-1631212-203200,1610612743,"Jamal Murray, Michael Porter Jr., Zeke Nnaji, Peyton Watson, Justin Holiday","Murray, Porter Jr., Nnaji, Watson, Holiday",1627750-1629008-1630192-1631212-203200,DEN,527.0,2,9.0,1.0,16.0,16.0,32.0,1.0,23.0,4.0,4.0,7.0,,,3.0,3.0,3.0,18.0,0.6388888888888888,0.6666666666666666,0.5,1.0,87.43833017077799,15.125,17.8125,14.8125,17.5,0.16666666666666666,0.25,3.0,3.0,6.0,22.0,3.0,,1.0,,1.0,,2.0,,1.0,1.0,,1.0,1.0,0.3333333333333333,0.5,,0.3333333333333333,,,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.5448055555555555,25.066666666666666,,,2.0,6.0,9.0,2.0,2.0,1.0,1.0,2.0,2.0,,,,8.0,12.0,2.0,2.0,2.0,,,1.0,5.0,8.0,8.0,6.0,,,,2.0,4.0,2.0,6.0,,2.0,3.0,1.0,14.0,,3.0,,,3.0,,3.0,2.0,,1.0,1.0,,,,3.0,,,0.5,0.5,1.0,0.3333333333333333,,0.3333333333333333,0.6666666666666666,1.0,0.6111111111111112,1.0,1.25,0.16666666666666666,0.2222222222222222,,,,0.75,,0.375,1.0,,,1.0,,0.5,0.6666666666666666,0.8571428571428571,0.5,0.05555555555555555,1.0,1.0,1.0,0.1111111111111111,0.6666666666666666,0.6666666666666666,1.0,,,,1.0,1.0,,,,0.6507499999999999,,0.21739130434782608,5.325,,1.0,,,0.5,,,,,,,,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,True
1627750-1629008-1630192-1631212-203932,1610612743,"Jamal Murray, Michael Porter Jr., Zeke Nnaji, Peyton Watson, Aaron Gordon","Murray, Porter Jr., Nnaji, Watson, Gordon",1627750-1629008-1630192-1631212-203932,DEN,57.0,1,1.0,,2.0,2.0,4.0,2.0,2.0,,1.0,1.0,,,1.0,2.0,1.0,2.0,0.5,,1.0,,101.05263157894737,16.0,12.5,16.0,12.5,0.5,0.5,,,,2.0,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,0.4525,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,True
1627750-1629008-1630192-202704-203932,1610612743,"Jamal Murray, Michael Porter Jr., Zeke Nnaji, Reggie Jackson, Aaron Gordon","Murray, Porter Jr., Nnaji, Jackson, Gordon",1627750-1629008-1630192-202704-203932,DEN,163.0,1,3.0,-1.0,5.0,6.0,11.0,,3.0,1.0,2.0,2.0,2.0,,3.0,2.0,1.0,3.0,0.5,0.5,0.5,0.5,97.17791411042944,16.8,13.166666666666666,16.8,12.833333333333334,0.3333333333333333,1.0,,2.0,2.0,4.0,2.0,1.0,1.0,,1.0,,2.0,1.0,,,,,,1.0,0.5,0.5,,0.5,,,,1.0,1.0,0.529125,26.6,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,3.0,,,1.0,,,1.0,1.0,1.0,,,,3.0,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,0.5,,0.5,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,1.0,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,True
1627750-1629008-1630192-203484-203999,1610612743,"Jamal Murray, Michael Porter Jr., Zeke Nnaji, Kentavious Caldwell-Pope, Nikola Jokic","Murray, Porter Jr., Nnaji, Caldwell-Pope, Jokic",1627750-1629008-1630192-203484-203999,DEN,151.0,1,3.0,8.0,7.0,6.0,13.0,4.0,8.0,4.0,5.0,5.0,,,2.0,4.0,2.0,8.0,0.6666666666666666,1.0,1.0,1.0,123.97350993377484,7.142857142857143,16.833333333333332,7.142857142857143,16.833333333333332,0.3333333333333333,0.4,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,0.25,,1.0,1.0,,1.0,1.0,,0.25,1.0,0.673575,25.9,2.0,,,2.0,3.0,,,,,,,,,,2.0,3.0,,,,,,,,2.0,2.0,,,,,,1.0,,1.0,,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,2.0,0.5,0.5,,,,,0.6666666666666666,,0.5,,,,,,,,,,,,,,1.0,,0.75,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,1.5666666666666667,0.2857142857142857,1.0,,,,2.0,2.0,,2.0,,0.5,0.25,,,,,,1.0,1.0,1.0,1.0,0.6371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,True
