EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,TotalPoss,Arc3FGM,Arc3FGA,FG3M,FG3A,Points,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg3ptShotDistance,Minutes,DefPoss,LongMidRangeFGA,FG2A,OpponentPoints,OffThreePtRebounds,OffRebounds,Rebounds,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,Avg2ptShotDistance,SecondChanceOffPoss,LongMidRangeFGM,Corner3FGA,FG2M,PtsAssisted2s,TwoPtAssists,LongMidRangeAssists,DefThreePtRebounds,DefRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,DefThreePtReboundPct,DefFGReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,ShortMidRangeFGM,ShortMidRangeFGA,FtPoints,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,SecondChanceTsPct,FG2APctBlocked,LongMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceFG2A,ShortMidRangeAssists,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,ShortMidRangePctBlocked,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceCorner3FGA,SecondChanceFG3A,Steals,BadPassSteals,ShootingFouls,Fouls,SecondChanceCorner3Frequency,Corner3FGM,Corner3Assists,FTDefRebounds,DefFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceShotQualityAvg,PenaltyDefPoss,AtRimFGM,AtRimFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Offensive Fouls Drawn,SecondChanceFg3Pct,SecondChanceEfgPct,LiveBallTurnoverPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceAtRimFGA,StepOutOfBoundsTurnovers,AtRimPctBlocked,OffAtRimReboundPct,SecondChanceAtRimFrequency,Technical Free Throw Trips,Travels,Charge Fouls,DefLongMidRangeReboundPct,SecondChanceFG2M,PtsPutbacks,2pt And 1 Free Throw Trips,SecondChanceFg2Pct,PenaltyOffPoss,SecondChanceAtRimFGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,HeaveAttempts,AtRimAssists,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefAtRimReboundPct,AtRimPctAssisted,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,BlockedAtRim,SecondChanceCorner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,PtsUnassisted3s,Loose Ball Fouls,Offensive Fouls,DefensiveGoaltends,Defensive 3 Seconds Violations,PenaltyFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,NonShootingPenaltyNonTakeFouls,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyFtPoints,Loose Ball Fouls Drawn,OffShortMidRangeReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,Blocked3s,BlockedArc3,FTOffRebounds,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffFTReboundPct,Charge Fouls Drawn,SecondChanceAtRimPctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffensiveGoaltends,Corner3PctBlocked,Clear Path Fouls,Transition Take Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedCorner3,BlockedLongMidRange,3SecondViolations,ThreePtShootingFoulsDrawnPct,Transition Take Fouls Drawn,HeaveMakes,team_id,year,season,team_vs
1626246-1627832-1628415-1628988-201145,1610612745,"Boban Marjanovic, Fred VanVleet, Dillon Brooks, Aaron Holiday, Jeff Green","Marjanovic, VanVleet, Brooks, Holiday, Green",1626246-1627832-1628415-1628988-201145,HOU,1.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.5,1.5,1.0,1440.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32775,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2024,2023-24,True
1626246-1627832-1628415-201145-203493,1610612745,"Boban Marjanovic, Fred VanVleet, Dillon Brooks, Jeff Green, Reggie Bullock Jr.","Marjanovic, VanVleet, Brooks, Green, Bullock Jr.",1626246-1627832-1628415-201145-203493,HOU,70.0,1,-4.0,1.0,3.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,0.5,61.71428571428571,36.0,36.0,0.5,,,,0.5,,0.492775,26.6,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.5,1.0,17.0,17.0,0.5,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2024,2023-24,True
1626246-1627832-1630256-1631095-1641708,1610612745,"Boban Marjanovic, Fred VanVleet, Jae'Sean Tate, Jabari Smith Jr., Amen Thompson","Marjanovic, VanVleet, Tate, Smith Jr., Thompson",1626246-1627832-1630256-1631095-1641708,HOU,78.0,1,,2.0,4.0,,,,1.0,2.0,,,,,1.0,,2.0,2.0,,,,0.5,0.5,0.5,73.84615384615384,21.5,19.0,,,,,0.5,,0.5189,23.8,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,17.5,17.5,0.5,16.2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2024,2023-24,True
1626246-1627832-1630256-1641708-201145,1610612745,"Boban Marjanovic, Fred VanVleet, Jae'Sean Tate, Amen Thompson, Jeff Green","Marjanovic, VanVleet, Tate, Thompson, Green",1626246-1627832-1630256-1641708-201145,HOU,75.0,1,2.0,2.0,4.0,,,,,4.0,,,,,,,,2.0,,,,0.5,0.6666666666666666,,76.8,21.5,20.5,,,,,,,0.439,,1.0,2.0,1.0,2.0,2.0,,1.0,2.0,,1.0,,16.0,16.0,0.5,15.9,1.0,,,1.0,,,,,1.0,,,,,,,,0.5,,1.0,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2024,2023-24,True
1626246-1628988-1630207-1631466-1641708,1610612745,"Boban Marjanovic, Aaron Holiday, Nate Hinton, Nate Williams, Amen Thompson","Marjanovic, Holiday, Hinton, Williams, Thompson",1626246-1628988-1630207-1631466-1641708,HOU,207.0,2,-2.0,7.0,14.0,1.0,3.0,1.0,4.0,5.0,3.0,3.0,1.0,1.0,2.0,1.0,5.0,5.0,1.0,0.25,0.25,0.2777777777777778,0.2777777777777778,0.4444444444444444,97.39130434782608,17.571428571428573,15.571428571428571,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4444444444444444,0.3333333333333333,0.4759055555555556,25.95,3.0,7.0,1.0,5.0,7.0,2.0,2.0,6.0,0.6666666666666666,0.2857142857142857,1.0,12.0,12.0,0.1111111111111111,8.02,2.0,,1.0,1.0,2.0,1.0,,1.0,4.0,,,,,,1.0,1.0,0.2,1.0,1.0,,,,,,,0.1111111111111111,1.0,4.0,,,,,1.0,,3.0,1.0,,,,0.2,,1.0,,,1.0,0.4444444444444444,0.25,0.3333333333333333,,,,2.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2024,2023-24,True
1626246-1628988-1631095-1631466-1641708,1610612745,"Boban Marjanovic, Aaron Holiday, Jabari Smith Jr., Nate Williams, Amen Thompson","Marjanovic, Holiday, Smith Jr., Williams, Thompson",1626246-1628988-1631095-1631466-1641708,HOU,155.0,1,-5.0,5.0,10.0,,2.0,,3.0,4.0,,2.0,,,1.0,,2.0,4.0,,,,0.3333333333333333,0.3333333333333333,0.5,92.9032258064516,17.4,15.6,0.3333333333333333,,,,0.5,,0.5128083333333333,25.0,3.0,5.0,1.0,3.0,9.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,13.6,12.4,0.16666666666666666,11.9,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,0.5,0.5,0.6666666666666666,,,,,,1.0,1.0,1.0,0.16666666666666666,1.0,2.0,,,,2.0,,,,,,,,,,,,,,0.3333333333333333,0.5,0.5,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2024,2023-24,True
1626246-1628988-1631095-1641708-1641715,1610612745,"Boban Marjanovic, Aaron Holiday, Jabari Smith Jr., Amen Thompson, Cam Whitmore","Marjanovic, Holiday, Smith Jr., Thompson, Whitmore",1626246-1628988-1631095-1641708-1641715,HOU,143.0,1,4.0,5.0,10.0,1.0,1.0,2.0,3.0,8.0,6.0,1.0,1.0,2.0,2.0,1.0,6.0,8.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,100.69930069930071,14.0,12.4,0.16666666666666666,1.0,1.0,1.0,0.5,1.0,0.5086,24.96666666666667,2.0,5.0,2.0,3.0,4.0,1.0,1.0,4.0,1.0,0.3333333333333333,,14.6,14.6,0.3333333333333333,14.9,1.0,1.0,2.0,1.0,,,,,3.0,,,,,,,,0.3333333333333333,,1.0,1.0,,,0.5,0.5,,0.3333333333333333,,1.0,,,,2.0,,,2.0,,,,,,,1.0,,,1.0,0.16666666666666666,,,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.4161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2024,2023-24,True
1626246-1630207-1631257-1631466-1641715,1610612745,"Boban Marjanovic, Nate Hinton, Jermaine Samuels Jr., Nate Williams, Cam Whitmore","Marjanovic, Hinton, Samuels Jr., Williams, Whitmore",1626246-1630207-1631257-1631466-1641715,HOU,3.0,1,,,1.0,,,,,,,,,,,,,,,,,,,,480.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2024,2023-24,True
1626246-1630224-1630256-1641708-201145,1610612745,"Boban Marjanovic, Jalen Green, Jae'Sean Tate, Amen Thompson, Jeff Green","Marjanovic, Green, Tate, Thompson, Green",1626246-1630224-1630256-1641708-201145,HOU,224.0,1,-1.0,8.0,17.0,2.0,3.0,2.0,3.0,10.0,6.0,3.0,2.0,2.0,2.0,2.0,6.0,7.0,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.5,109.28571428571428,14.125,13.875,0.5,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.465,27.133333333333336,4.0,9.0,1.0,3.0,11.0,1.0,1.0,2.0,1.0,0.5,1.0,12.333333333333334,12.333333333333334,0.16666666666666666,8.466666666666667,1.0,,,2.0,,,,1.0,1.0,,1.0,1.0,3.0,,,,0.6666666666666666,1.0,1.0,,1.0,,,,,,1.0,1.0,,,3.0,4.0,,,,1.0,,,1.5,,,,,,,0.16666666666666666,1.0,1.0,,,0.3,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.5,0.6666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2024,2023-24,True
1626246-1631095-1631466-1641708-1641715,1610612745,"Boban Marjanovic, Jabari Smith Jr., Nate Williams, Amen Thompson, Cam Whitmore","Marjanovic, Smith Jr., Williams, Thompson, Whitmore",1626246-1631095-1631466-1641708-1641715,HOU,157.0,2,-5.0,7.0,13.0,,3.0,,4.0,2.0,,3.0,,,,,,2.0,,,,0.14285714285714285,0.14285714285714285,0.5714285714285714,119.23566878980891,11.0,10.428571428571429,0.42857142857142855,,,,1.0,,0.5710642857142857,25.675,3.0,6.0,,3.0,7.0,1.0,2.0,4.0,0.25,0.3333333333333333,,13.333333333333334,12.833333333333334,,1.1333333333333333,1.0,,1.0,1.0,,,,2.0,2.0,,,1.0,2.0,,,,0.3333333333333333,0.6666666666666666,0.4,1.0,0.6666666666666666,,,,,0.14285714285714285,,,,,,2.0,1.0,1.0,,,,,,0.3333333333333333,,,0.5,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,1.0,1.0,2.0,2.0,1.0,2.0,0.5,,,,,,,,0.46665,1.0,1.0,3.0,,,,,1.0,1.0,,,,,0.5,0.42857142857142855,0.3333333333333333,0.5,,,,1.0,1.0,0.3333333333333333,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2024,2023-24,True
