EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGA,FG2A,OpponentPoints,DefThreePtRebounds,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,BadPassTurnovers,PenaltyTurnovers,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,Steals,BadPassSteals,LostBallSteals,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls Drawn,Technical Free Throw Trips,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceCorner3FGA,PenaltyCorner3FGA,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,FTOffRebounds,OffFTReboundPct,DeadBallTurnovers,Charge Fouls,BadPassOutOfBoundsTurnovers,Blocked3s,BlockedArc3,Loose Ball Fouls,Charge Fouls Drawn,SelfOReb,LostBallOutOfBoundsTurnovers,Offensive Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedAtRim,SelfORebPct,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,OffLongMidRangeReboundPct,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PtsUnassisted3s,Travels,BlockedCorner3,StepOutOfBoundsTurnovers,DefensiveGoaltends,team_id,year,season,team_vs
1628365-1628371-1628976-1630591-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Wendell Carter Jr., Jalen Suggs, Joe Ingles","Fultz, Isaac, Carter Jr., Suggs, Ingles",1628365-1628371-1628976-1630591-204060,ORL,54.0,2,1.0,-3.0,2.0,3,5,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,133.33333333333334,18.0,6.0,18.0,6.0,1.0,0.4285,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1629021-1630175-1630532,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Cole Anthony, Franz Wagner","Fultz, Isaac, Wagner, Anthony, Wagner",1628365-1628371-1629021-1630175-1630532,ORL,428.0,3,7.0,8.0,16.0,15,31,,13.0,17.0,3.0,1.0,8.0,11.0,1.0,,1.0,1.0,1.0,1.0,0.875,1.0,104.29906542056074,12.625,15.066666666666666,12.4375,15.0,,0.5353533333333333,4.030769230769231,13.0,10.0,3.0,5.0,7.0,2.0,3.0,4.0,6.0,4.0,6.0,1.0,2.0,1.0,2.0,9.0,1.0,2.0,4.0,25.0,2.0,3.0,4.0,6.0,10.0,1.0,2.0,4.0,19.0,6.0,12.0,3.0,4.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,9.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,21.0,19.0,13.0,1.0,0.3333333333333333,0.42857142857142855,1.0,0.5,0.5,0.5,0.6923076923076923,0.6666666666666666,0.6,0.7,0.6666666666666666,0.625,0.6944444444444444,0.6666666666666666,0.6333333333333333,0.13333333333333333,0.07692307692307693,0.14285714285714285,0.8,0.75,0.6,0.5,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,0.7142857142857143,0.8333333333333334,0.2,0.4,0.6666666666666666,0.6666666666666666,0.5,0.13333333333333333,0.5,0.5,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.16666666666666666,0.5,0.6,0.5,0.5174666666666666,0.5361416666666666,0.11764705882352941,0.13333333333333333,0.16,0.76,25.8,0.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1629021-1630175-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Cole Anthony, Joe Ingles","Fultz, Isaac, Wagner, Anthony, Ingles",1628365-1628371-1629021-1630175-204060,ORL,1146.0,6,19.0,13.0,33.0,35,68,3.0,21.0,28.0,12.0,,17.0,23.0,3.0,1.0,3.0,1.0,,1.0,0.85,1.0,85.44502617801047,17.060606060606062,16.65714285714286,16.363636363636363,16.4,0.09090909090909091,0.5524621212121212,6.666666666666667,,,6.0,8.0,12.0,3.0,3.0,,,3.0,6.0,1.0,7.0,,,14.0,3.0,12.0,4.0,41.0,3.0,3.0,6.0,,,,,,,10.0,18.0,9.0,4.0,7.0,1.0,3.0,5.0,3.0,8.0,1.0,2.0,1.0,19.0,4.0,5.0,6.0,2.0,,7.0,,7.0,3.0,,,,,,35.0,,,,0.35714285714285715,0.4166666666666667,1.0,0.25,,0.25,0.6666666666666666,1.0,,0.5606060606060606,0.75,,0.5555555555555556,0.75,,0.36363636363636365,0.14285714285714285,0.16666666666666666,0.625,0.5714285714285714,0.375,0.5,0.6666666666666666,0.5,,,,0.36363636363636365,0.6666666666666666,0.8,0.25,0.18181818181818182,0.5,0.6,0.3333333333333333,0.21212121212121213,0.14285714285714285,0.14285714285714285,1.0,0.75,1.0,,,,,0.7272727272727273,0.14285714285714285,0.5913499999999999,,0.08333333333333333,0.125,0.14634146341463414,,25.125,,3.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,2.0,7.0,1.0,1.0,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.15151515151515152,0.4,0.4,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1629021-1630532-1630591,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Franz Wagner, Jalen Suggs","Fultz, Isaac, Wagner, Wagner, Suggs",1628365-1628371-1629021-1630532-1630591,ORL,474.0,3,8.0,3.0,16.0,16,32,1.0,9.0,16.0,3.0,,4.0,8.0,1.0,,1.0,1.0,,1.0,0.6666666666666666,1.0,97.21518987341771,15.625,14.0,13.625,13.8125,0.058823529411764705,0.5485882352941177,5.855555555555556,12.0,11.0,3.0,3.0,4.0,1.0,1.0,2.0,3.0,3.0,4.0,1.0,6.0,1.0,5.0,6.0,1.0,8.0,4.0,19.0,1.0,2.0,2.0,4.0,6.0,1.0,7.0,4.0,15.0,4.0,8.0,3.0,2.0,6.0,1.0,,2.0,1.0,3.0,1.0,2.0,,7.0,1.0,1.0,4.0,1.0,1.0,3.0,,5.0,2.0,1.0,,,,,17.0,15.0,12.0,1.0,0.3333333333333333,0.4,1.0,0.125,0.14285714285714285,0.125,0.6666666666666666,0.5,0.6666666666666666,0.4411764705882353,0.25,0.4230769230769231,0.5,0.25,0.5,0.47058823529411764,,,0.3333333333333333,0.3333333333333333,0.4,1.0,,,1.0,1.0,,0.23529411764705882,0.75,0.75,0.6666666666666666,0.23529411764705882,0.75,0.75,,0.35294117647058826,0.16666666666666666,0.16666666666666666,1.0,0.25,1.0,0.23076923076923078,0.6666666666666666,0.38461538461538464,0.2,0.7058823529411765,0.16666666666666666,0.6333,0.5558807692307692,0.1111111111111111,0.2,0.10526315789473684,0.7894736842105263,25.4375,0.75,,,2.0,1.0,2.0,,,3.0,2.0,1.0,1.0,,3.0,6.0,,,,0.42857142857142855,0.4,0.5,,,,,0.11764705882352941,,,,0.25,1.0,2.0,1.0,1.0,0.25,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1629021-1630532-1631094,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Franz Wagner, Paolo Banchero","Fultz, Isaac, Wagner, Wagner, Banchero",1628365-1628371-1629021-1630532-1631094,ORL,29.0,1,,3.0,2.0,1,3,,1.0,,,,,,,,,,,,,,148.9655172413793,10.0,9.0,10.0,9.0,,0.6833,1.3,2.0,,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,,1.0,3.0,,,,1.0,1.0,,,1.0,3.0,,2.0,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,,1.0,,,,,3.0,3.0,2.0,1.0,,,,,,,1.0,,1.0,1.0,,1.0,0.75,,0.75,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,,,0.6833,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1629021-1630591-1631094,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Jalen Suggs, Paolo Banchero","Fultz, Isaac, Wagner, Suggs, Banchero",1628365-1628371-1629021-1630591-1631094,ORL,32.0,1,1.0,,1.0,1,2,,,,,,,2.0,,,,,,,,,90.0,21.0,11.0,6.0,11.0,,0.443775,,1.0,,1.0,,,,,,,,,,2.0,,2.0,,,2.0,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,0.5,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,0.408,0.443775,,,,,25.8,1.0,,,,2.0,2.0,,,1.0,,,,,,,,,,0.5,0.5,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1629021-1630591-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Jalen Suggs, Joe Ingles","Fultz, Isaac, Wagner, Suggs, Ingles",1628365-1628371-1629021-1630591-204060,ORL,160.0,1,3.0,6.0,5.0,4,9,,2.0,7.0,,,1.0,1.0,,,,,,,0.5,,81.0,13.4,23.25,13.4,22.75,,0.479625,8.9,,,,,,,,,,2.0,2.0,1.0,1.0,,,2.0,2.0,2.0,3.0,13.0,,,,,,,,,,,4.0,6.0,,1.0,1.0,,,2.0,2.0,1.0,,,6.0,,1.0,,,,2.0,,3.0,2.0,,,,,,13.0,,,,,,1.0,1.0,,1.0,1.0,,,1.25,,,1.3,,,0.5,,,0.5,,,,,,0.5,,,,,,,0.5,1.0,1.0,,0.25,1.0,1.0,1.0,,,,,,,0.5,1.0,,,0.4,0.6666666666666666,,,24.35,,,1.0,1.0,,,1.0,,,,,,,2.0,2.0,,,,,,,,,,,0.25,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1629021-1631094-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Paolo Banchero, Joe Ingles","Fultz, Isaac, Wagner, Banchero, Ingles",1628365-1628371-1629021-1631094-204060,ORL,46.0,1,1.0,1.0,2.0,2,4,,,2.0,,,,,,,1.0,,,,,,125.21739130434781,11.0,12.0,11.0,12.0,,0.5673,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,3.0,,,,,,,,,,,,3.0,,1.0,1.0,,,1.0,1.0,1.0,,,3.0,,,,,,,,,,,,,,,3.0,,,,,,1.0,1.0,,1.0,,,,1.5,,,1.5,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,26.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1630175-1631094-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Cole Anthony, Paolo Banchero, Joe Ingles","Fultz, Isaac, Anthony, Banchero, Ingles",1628365-1628371-1630175-1631094-204060,ORL,44.0,1,1.0,-2.0,2.0,2,4,,,5.0,,,,,,,1.0,,,,,,130.9090909090909,14.5,7.5,14.5,7.5,,0.54465,,,,,,,,,,,,,,,,,,1.0,1.0,,3.0,,,,,,,,,,,,3.0,,,,,,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,3.0,,,,,,1.0,1.0,,1.0,,,,1.5,,,1.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,23.2,,,1.0,1.0,,,1.0,,,,,,,2.0,2.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1630532-1630591-1631094,1610612753,"Markelle Fultz, Jonathan Isaac, Franz Wagner, Jalen Suggs, Paolo Banchero","Fultz, Isaac, Wagner, Suggs, Banchero",1628365-1628371-1630532-1630591-1631094,ORL,14.0,2,,-2.0,,2,2,,,2.0,,,,,,,,,,,,,205.71428571428572,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
