EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Transition Take Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,OffCorner3ReboundPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,BlockedLongMidRange,Charge Fouls Drawn,3pt And 1 Free Throw Trips,Arc3PctBlocked,FTOffRebounds,OffFTReboundPct,BlockedCorner3,Technical Free Throw Trips,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1628384-1628392-1628404-1628973-1628978,1610612752,"OG Anunoby, Isaiah Hartenstein, Josh Hart, Jalen Brunson, Donte DiVincenzo","Anunoby, Hartenstein, Hart, Brunson, DiVincenzo",1628384-1628392-1628404-1628973-1628978,NYK,10526.0,15,175.0,-3.0,331,335.0,47.0,58.0,31.0,666,63.0,107.0,10.0,19.0,6.0,8.0,19.0,44.0,22.0,37.0,16.0,24.0,2.0,3.0,2.0,3.0,29.0,86.0,1.0,4.0,4.0,12.0,104.0,188.0,45.0,110.0,65.0,408.0,411.0,12.0,25.0,3.0,7.0,7.0,40.0,10.0,17.0,6.0,15.0,18.0,56.0,122.0,86.0,120.0,15.0,16.0,1.0,85.0,29.0,26.0,61.0,40.0,101.0,25.0,15.0,35.0,8.0,18.0,242.0,5.0,31.0,48.0,63.0,8.0,119.0,36.0,155,7.0,24.0,13.0,11.0,13.0,10.0,8.0,24.0,4.0,5.0,1.0,1.0,37.0,1.0,7.0,37.0,70.0,2.0,4.0,4.0,66.0,2.0,4.0,1.0,78.0,9.0,33.0,2.0,8.0,13.0,2.0,2.0,7.0,6.0,15.0,9.0,1.0,1.0,368.0,56.0,47.0,3.0,7.0,0.5865384615384616,0.6354166666666666,0.8888888888888888,0.4090909090909091,0.42857142857142855,0.4,0.41284403669724773,0.5531914893617021,0.48,0.5882352941176471,0.575503355704698,0.515625,0.59375,0.6144578313253012,0.5555555555555556,0.6511627906976745,0.3691275167785235,0.13829787234042554,0.1588785046728972,0.1590909090909091,0.05405405405405406,0.35135135135135137,0.8,0.6774193548387096,0.36904761904761907,0.7058823529411765,0.078125,0.6894409937888198,0.24324324324324326,0.4318181818181818,0.28,0.3333333333333333,0.08928571428571429,0.631578947368421,0.6428571428571429,0.9230769230769231,0.7321428571428571,0.5833333333333334,0.05737704918032787,91.11153334600037,0.6,14.867069486404834,16.73134328358209,14.534743202416918,15.859701492537313,0.35906040268456374,0.5887850467289719,0.7,0.5555555555555556,0.1476510067114094,0.4318181818181818,0.5135135135135135,0.42105263157894735,0.12416107382550336,0.5945945945945946,0.6285714285714286,0.8181818181818182,0.08053691275167785,0.6666666666666666,0.6666666666666666,0.9375,0.28859060402684567,0.3372093023255814,0.3372093023255814,0.8620689655172413,0.59375,0.5263157894736842,0.1,0.09375,0.6666666666666666,1.0,0.125,0.25,1.0,0.25,0.75,0.09375,0.6666666666666666,0.375,0.3333333333333333,0.7281879194630873,0.3411764705882353,0.5692082491582491,0.5379555555555556,0.5405419354838709,0.10802469135802469,0.15566037735849056,0.017857142857142856,0.09803921568627451,0.13725490196078433,6.159574468085105,25.823636363636364,0.1419939577039275,,,,,,,,,,,,,,1610612752,2024,2023-24,True
1628384-1628392-1628404-1628973-1630173,1610612752,"OG Anunoby, Isaiah Hartenstein, Josh Hart, Jalen Brunson, Precious Achiuwa","Anunoby, Hartenstein, Hart, Brunson, Achiuwa",1628384-1628392-1628404-1628973-1630173,NYK,57.0,2,1.0,-2.0,2,2.0,1.0,1.0,2.0,4,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,2.0,3,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,1.0,,,,101.05263157894737,,16.0,12.5,12.5,12.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4069,0.4433,,,,,,,8.65,,0.5,,,,,,,,,,,,,,1610612752,2024,2023-24,True
1628384-1628392-1628404-1628973-1630540,1610612752,"OG Anunoby, Isaiah Hartenstein, Josh Hart, Jalen Brunson, Miles McBride","Anunoby, Hartenstein, Hart, Brunson, McBride",1628384-1628392-1628404-1628973-1630540,NYK,1098.0,7,18.0,14.0,32,33.0,4.0,14.0,5.0,65,6.0,9.0,1.0,2.0,1.0,1.0,2.0,5.0,5.0,6.0,,1.0,,1.0,,1.0,4.0,12.0,1.0,1.0,,1.0,13.0,20.0,4.0,13.0,5.0,43.0,29.0,2.0,3.0,1.0,2.0,2.0,9.0,1.0,1.0,,2.0,3.0,5.0,12.0,14.0,9.0,3.0,2.0,,12.0,4.0,,6.0,3.0,9.0,3.0,,3.0,1.0,2.0,21.0,3.0,3.0,8.0,7.0,1.0,16.0,6.0,22,,1.0,,1.0,1.0,2.0,1.0,2.0,,,,,3.0,,1.0,3.0,8.0,,,,6.0,1.0,,,6.0,2.0,2.0,,2.0,2.0,,,1.0,1.0,2.0,1.0,,,34.0,5.0,4.0,,2.0,0.46153846153846156,0.5,0.75,0.3076923076923077,0.5,,0.3076923076923077,0.65,0.6666666666666666,1.0,0.5757575757575758,0.7,0.3333333333333333,0.6142857142857143,0.75,0.5,0.3939393939393939,,,,,0.3333333333333333,1.0,0.7777777777777778,0.42857142857142855,1.0,0.3333333333333333,0.8823529411764706,0.375,0.3333333333333333,0.6666666666666666,,0.25,0.75,0.75,1.0,1.0,1.0,,85.24590163934425,0.5,15.375,18.363636363636363,14.84375,17.87878787878788,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.5,0.15151515151515152,0.4,0.4,0.5,0.18181818181818182,0.8333333333333334,0.8333333333333334,0.4,0.030303030303030304,,,,0.36363636363636365,0.3333333333333333,0.3333333333333333,0.75,0.4,0.5,,0.2,,,0.2,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,,0.3333333333333333,,0.6666666666666666,0.3333333333333333,0.5399666666666666,0.5989333333333333,0.62335,0.06060606060606061,0.1,,0.20930232558139536,0.11627906976744186,7.455,25.93846153846154,0.125,1.0,,,,,,,,,,,,,1610612752,2024,2023-24,True
1628384-1628392-1628404-1628978-1630540,1610612752,"OG Anunoby, Isaiah Hartenstein, Josh Hart, Donte DiVincenzo, Miles McBride","Anunoby, Hartenstein, Hart, DiVincenzo, McBride",1628384-1628392-1628404-1628978-1630540,NYK,511.0,7,9.0,11.0,18,14.0,3.0,3.0,2.0,32,3.0,4.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,4.0,8.0,,,,1.0,5.0,7.0,5.0,10.0,,25.0,14.0,1.0,1.0,,,,2.0,,1.0,,1.0,,,6.0,4.0,15.0,,2.0,,8.0,4.0,,3.0,5.0,8.0,4.0,1.0,2.0,,1.0,21.0,2.0,,1.0,5.0,,6.0,2.0,8,,1.0,1.0,,1.0,,1.0,2.0,,,,,3.0,1.0,1.0,1.0,3.0,,,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,,23.0,,3.0,1.0,,0.6,0.75,1.0,0.5,,,0.5,0.7142857142857143,1.0,,0.7352941176470589,1.0,,0.7352941176470589,1.0,,0.5882352941176471,,,,,0.3333333333333333,,0.625,,1.0,0.5,0.6666666666666666,0.3333333333333333,,,,0.3333333333333333,0.5,0.6666666666666666,1.0,1.0,,,90.17612524461839,,13.222222222222221,19.5,13.166666666666666,17.5,0.23529411764705882,0.75,0.75,0.6666666666666666,0.058823529411764705,1.0,1.0,,0.11764705882352941,0.5,0.5,1.0,0.11764705882352941,0.5,1.0,1.0,0.47058823529411764,0.5,0.5,1.0,1.0,1.0,,,,,,,,0.5,,,,0.5,,0.8235294117647058,0.5,0.5612029411764706,,0.523975,,,,0.08,,6.242857142857143,25.46,0.16666666666666666,1.0,1.0,0.1,0.5,,,,,,,,,,1610612752,2024,2023-24,True
1628384-1628392-1628404-1630173-1630540,1610612752,"OG Anunoby, Isaiah Hartenstein, Josh Hart, Precious Achiuwa, Miles McBride","Anunoby, Hartenstein, Hart, Achiuwa, McBride",1628384-1628392-1628404-1630173-1630540,NYK,262.0,1,4.0,6.0,8,8.0,,,1.0,16,3.0,3.0,,,,,1.0,2.0,,,3.0,4.0,1.0,1.0,,,,,,,,,4.0,5.0,3.0,4.0,1.0,18.0,12.0,,,1.0,1.0,,3.0,,,,,,,6.0,2.0,9.0,,,,,,,3.0,3.0,6.0,,3.0,3.0,,,15.0,1.0,,2.0,1.0,,3.0,1.0,4,,,,,,,,,,,,,,,,2.0,2.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,15.0,,,,,0.75,0.75,1.0,0.75,1.0,,0.75,0.8,,,0.9444444444444444,1.5,,1.0,1.5,,0.4444444444444444,,,,,,,1.0,,0.6666666666666666,1.0,0.75,0.5,,,,,1.0,,,,1.0,,87.93893129770993,,14.0,18.75,13.375,17.375,0.3333333333333333,1.0,1.0,1.0,0.2222222222222222,0.5,0.5,,,,,,0.4444444444444444,0.75,0.75,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,0.7777777777777778,,0.6197777777777778,,,0.1111111111111111,0.2,,0.16666666666666666,,4.82,23.05,,1.0,,,,,,,,,,,,,1610612752,2024,2023-24,True
1628384-1628392-1628973-1628978-1630540,1610612752,"OG Anunoby, Isaiah Hartenstein, Jalen Brunson, Donte DiVincenzo, Miles McBride","Anunoby, Hartenstein, Brunson, DiVincenzo, McBride",1628384-1628392-1628973-1628978-1630540,NYK,230.0,2,4.0,1.0,7,7.0,5.0,5.0,1.0,14,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,2.0,,,,1.0,2.0,3.0,1.0,3.0,2.0,9.0,8.0,,,,,2.0,2.0,1.0,2.0,1.0,2.0,,5.0,2.0,2.0,3.0,,,,2.0,,1.0,1.0,1.0,2.0,,1.0,,,1.0,5.0,1.0,,,3.0,,3.0,1.0,4,,1.0,,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,,,,1.0,,,,2.0,,1.0,,,,,,,,,,,,7.0,5.0,5.0,,,0.5,0.5,1.0,0.3333333333333333,,0.5,0.3333333333333333,0.6666666666666666,,0.5,0.5833333333333334,,0.625,0.6428571428571429,1.0,0.625,0.5,0.3333333333333333,,1.0,,1.0,,0.75,,,0.5,0.75,0.3333333333333333,,,,0.5,1.0,,0.6666666666666666,,,,87.65217391304347,,15.285714285714286,17.571428571428573,15.285714285714286,16.285714285714285,0.16666666666666666,1.0,1.0,,0.16666666666666666,,,,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,0.25,1.0,0.25,,0.6666666666666666,,0.4933083333333333,,0.4342625,0.14285714285714285,0.25,,0.2222222222222222,0.5555555555555556,8.033333333333333,25.5,0.7142857142857143,,,,,,,,,,,,,,1610612752,2024,2023-24,True
1628384-1628392-1628973-1630540-202711,1610612752,"OG Anunoby, Isaiah Hartenstein, Jalen Brunson, Miles McBride, Bojan Bogdanovic","Anunoby, Hartenstein, Brunson, McBride, Bogdanovic",1628384-1628392-1628973-1630540-202711,NYK,82.0,2,1.0,-3.0,4,3.0,2.0,2.0,1.0,7,1.0,2.0,,,,1.0,,2.0,,,,,,,,,,,,,,,1.0,4.0,,,2.0,4.0,7.0,,1.0,,,,,,3.0,,,,,2.0,,,,,,,,1.0,1.0,,1.0,,,1.0,,,2.0,,1.0,,,,,1.0,1,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,2.0,,1.0,,,,,,,,,,,,4.0,,2.0,1.0,,1.0,1.0,,,,,,0.25,,,0.25,,,0.4,,,,0.25,0.5,,,,,,0.3333333333333333,,,,0.3333333333333333,1.0,,,,,,,,,,122.92682926829268,,14.5,8.0,14.25,8.0,0.5,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,0.5,,0.527475,0.4033,0.5215666666666666,0.2,0.2,,,,4.525,,0.5,,,,,,,,,,,,,,1610612752,2024,2023-24,True
1628384-1628404-1628973-1628978-1629011,1610612752,"OG Anunoby, Josh Hart, Jalen Brunson, Donte DiVincenzo, Mitchell Robinson","Anunoby, Hart, Brunson, DiVincenzo, Robinson",1628384-1628404-1628973-1628978-1629011,NYK,1457.0,6,24.0,-27.0,43,50.0,15.0,30.0,6.0,93,8.0,16.0,,2.0,2.0,4.0,,3.0,,4.0,2.0,3.0,,,1.0,2.0,6.0,17.0,1.0,4.0,3.0,6.0,8.0,23.0,8.0,20.0,6.0,46.0,73.0,,2.0,1.0,4.0,,3.0,2.0,6.0,4.0,8.0,4.0,20.0,10.0,6.0,21.0,3.0,,1.0,16.0,6.0,2.0,5.0,7.0,12.0,5.0,2.0,5.0,,,31.0,2.0,5.0,4.0,5.0,2.0,11.0,7.0,18,,5.0,2.0,3.0,4.0,,3.0,2.0,,1.0,,,6.0,2.0,1.0,5.0,13.0,,,1.0,7.0,1.0,,,6.0,,1.0,,2.0,5.0,,,3.0,1.0,5.0,1.0,1.0,,43.0,20.0,15.0,3.0,2.0,0.625,0.625,0.875,0.4,0.25,0.5,0.42105263157894735,0.34782608695652173,,0.3333333333333333,0.46511627906976744,0.25,0.5714285714285714,0.5,0.25,0.625,0.46511627906976744,0.08695652173913043,0.125,,,0.6666666666666666,0.6666666666666666,0.29411764705882354,0.3333333333333333,0.6666666666666666,0.2,0.391304347826087,0.28,0.375,0.3333333333333333,0.25,0.2222222222222222,0.16666666666666666,0.2,0.5,0.75,0.5,,91.91489361702126,0.2,16.813953488372093,14.68,15.790697674418604,13.1,0.37209302325581395,0.5,0.5714285714285714,0.625,0.06976744186046512,,,,0.09302325581395349,,,,0.06976744186046512,0.6666666666666666,0.6666666666666666,1.0,0.3953488372093023,0.35294117647058826,0.35294117647058826,0.8333333333333334,0.3333333333333333,,,,,,0.6666666666666666,0.25,1.0,0.2857142857142857,0.5,0.14285714285714285,0.5,0.42857142857142855,0.5,0.8372093023255814,0.375,0.5806809523809524,0.551875,0.5798423076923077,0.022727272727272728,0.041666666666666664,,0.06521739130434782,0.43478260869565216,5.208695652173913,28.439999999999998,0.3488372093023256,,,,,1.0,,,,,,,,,1610612752,2024,2023-24,True
1628384-1628404-1628973-1628978-1630173,1610612752,"OG Anunoby, Josh Hart, Jalen Brunson, Donte DiVincenzo, Precious Achiuwa","Anunoby, Hart, Brunson, DiVincenzo, Achiuwa",1628384-1628404-1628973-1628978-1630173,NYK,282.0,2,5.0,-5.0,7,7.0,7.0,2.0,2.0,14,1.0,3.0,,,1.0,3.0,,1.0,,1.0,,,,,,,,2.0,,,,2.0,1.0,5.0,,2.0,4.0,6.0,11.0,,1.0,,,2.0,2.0,1.0,5.0,,2.0,4.0,6.0,,2.0,,,,,2.0,,2.0,,,,,,,,,,,2.0,1.0,1.0,,2.0,2.0,4,,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,4.0,,1.0,,1.0,1.0,,,1.0,,1.0,,,,4.0,6.0,7.0,,1.0,,,,,,,,0.2,,0.2,0.14285714285714285,,0.14285714285714285,0.3333333333333333,0.5,0.3333333333333333,0.2857142857142857,0.4,0.6666666666666666,,,,,0.25,0.6666666666666666,0.3333333333333333,,0.2857142857142857,0.4,1.0,,,,,,0.5,0.5,,,71.48936170212765,,17.0,23.285714285714285,13.857142857142858,17.571428571428573,0.42857142857142855,0.3333333333333333,1.0,,0.14285714285714285,,,,0.14285714285714285,,,,,,,,0.2857142857142857,,,,,,,,,,,,,0.42857142857142855,0.3333333333333333,,,0.2857142857142857,,0.7142857142857143,,0.47977142857142857,0.3139,0.47977142857142857,0.125,0.16666666666666666,,0.3333333333333333,1.0,7.340000000000001,27.45,1.0,,,,,,,,,,,,,,1610612752,2024,2023-24,True
1628384-1628404-1628973-1628978-1630540,1610612752,"OG Anunoby, Josh Hart, Jalen Brunson, Donte DiVincenzo, Miles McBride","Anunoby, Hart, Brunson, DiVincenzo, McBride",1628384-1628404-1628973-1628978-1630540,NYK,109.0,6,2.0,-2.0,7,6.0,5.0,4.0,,13,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,,1.0,2.0,2.0,,1.0,4.0,8.0,10.0,,,,,,,1.0,1.0,,1.0,4.0,6.0,2.0,2.0,,,,,1.0,,,1.0,,1.0,,,1.0,,,2.0,,,,1.0,,1.0,,1,,,,,1.0,,1.0,,,,,,1.0,,1.0,1.0,4.0,,,,2.0,,,,4.0,,,,2.0,,,,,,,,,,8.0,2.0,3.0,1.0,,0.5,0.5,,,,,,1.0,,1.0,0.6666666666666666,,0.5,0.8,,0.75,0.3333333333333333,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,171.74311926605506,,7.142857142857143,9.833333333333334,7.142857142857143,9.833333333333334,0.3333333333333333,1.0,1.0,1.0,,,,,0.3333333333333333,1.0,1.0,,,,,,0.3333333333333333,,,,,,,,,,,,,0.5,1.0,,,0.5,,0.6666666666666666,,0.5052666666666666,,0.5568500000000001,,,,,0.75,8.65,26.7,0.7142857142857143,,,,,,,,,,,,,,1610612752,2024,2023-24,True
