EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG3M,PtsAssisted3s,PtsPutbacks,Fg2aBlocked,ThreePtAssists,Arc3Assists,OffTwoPtRebounds,FTOffRebounds,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,Assisted3sPct,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,Arc3PctAssisted,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyDefPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3Assists,LostBallSteals,BadPassOutOfBoundsTurnovers,Offensive Fouls,Technical Free Throw Trips,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,OffAtRimReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,Defensive 3 Seconds Violations,LongMidRangeFGM,ShortMidRangeAssists,DefAtRimReboundPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Offensive Fouls Drawn,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SelfOReb,SelfORebPct,Blocked3s,BlockedArc3,2pt And 1 Free Throw Trips,BlockedAtRim,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Travels,Loose Ball Fouls,SecondChanceCorner3FGM,FTDefRebounds,StepOutOfBoundsTurnovers,AtRimPctBlocked,DefFTReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,team_id,year,season,team_vs
1626153-1628389-1628997-1629130-1629639,1610612748,"Delon Wright, Bam Adebayo, Caleb Martin, Duncan Robinson, Tyler Herro","Wright, Adebayo, Martin, Robinson, Herro",1626153-1628389-1628997-1629130-1629639,MIA,312.0,2,5.0,-2.0,10.0,9.0,3.0,1.0,19,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,4.0,3.0,10.0,12.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,2.0,9.0,5.0,3.0,2.0,0.5,0.5,0.25,0.25,0.5,1.0,0.4375,0.3333333333333333,0.5,0.25,0.5,0.5,0.5,1.0,1.0,0.6666666666666666,1.0,0.4,0.5,1.0,1.0,1.0,1.0,87.6923076923077,19.7,12.777777777777779,19.3,12.777777777777779,0.25,0.5,0.5,1.0,0.125,1.0,1.0,0.125,0.125,0.375,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.75,0.3333333333333333,0.509875,0.5811000000000001,0.1,0.5,7.95,26.175,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1628389-1628997-1629312-1629639,1610612748,"Delon Wright, Bam Adebayo, Caleb Martin, Haywood Highsmith, Tyler Herro","Wright, Adebayo, Martin, Highsmith, Herro",1626153-1628389-1628997-1629312-1629639,MIA,129.0,1,2.0,1.0,5.0,5.0,5.0,3.0,10,,,,,1.0,4.0,,,,,1.0,2.0,2.0,1.0,4.0,1.0,2.0,,5.0,4.0,,,2.0,1.0,4.0,2.0,,5.0,,2.0,,2.0,1.0,,1.0,,3.0,1.0,1.0,2.0,3.0,3.0,6.0,,,1.0,,,,1.0,,,,,,,3.0,5.0,5.0,,,,0.5,0.5,0.25,0.25,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5,0.4166666666666667,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,1.0,1.0,,111.62790697674419,13.4,12.4,11.2,12.4,,,,,0.6666666666666666,0.25,0.3333333333333333,,,0.3333333333333333,0.5,0.5,,,,,0.3333333333333333,0.3333333333333333,0.5,0.4882583333333333,0.4882583333333333,0.4,1.0,6.35,26.6,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.25,0.25,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.5,0.4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1628389-1628997-1629312-1631170,1610612748,"Delon Wright, Bam Adebayo, Caleb Martin, Haywood Highsmith, Jaime Jaquez Jr.","Wright, Adebayo, Martin, Highsmith, Jaquez Jr.",1626153-1628389-1628997-1629312-1631170,MIA,32.0,1,1.0,2.0,2.0,,2.0,,2,,,,,,1.0,,,,,,,,,1.0,,,2.0,2.0,,,,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,2.0,2.0,2.0,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,90.0,15.0,,15.0,,,,,,1.0,,,,,,,,,,,,,,,0.3905,0.3905,,1.0,4.2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1628389-1628997-1629639-1631107,1610612748,"Delon Wright, Bam Adebayo, Caleb Martin, Tyler Herro, Nikola Jovic","Wright, Adebayo, Martin, Herro, Jovic",1626153-1628389-1628997-1629639-1631107,MIA,918.0,3,15.0,4.0,30.0,31.0,13.0,4.0,61,11.0,13.0,4.0,5.0,,2.0,1.0,1.0,,,5.0,13.0,5.0,11.0,16.0,6.0,14.0,3.0,43.0,39.0,,,4.0,4.0,6.0,5.0,2.0,19.0,8.0,14.0,3.0,13.0,5.0,4.0,9.0,4.0,23.0,3.0,3.0,6.0,9.0,4.0,13.0,4.0,2.0,1.0,1.0,2.0,,3.0,2.0,5.0,4.0,1.0,3.0,1.0,39.0,19.0,13.0,1.0,0.36363636363636365,0.4,0.42857142857142855,0.42857142857142855,0.6875,0.6666666666666666,0.6666666666666666,0.7727272727272727,0.6774193548387096,0.5,0.7916666666666666,0.4666666666666667,0.3333333333333333,0.8571428571428571,0.75,0.375,0.8181818181818182,0.3076923076923077,0.375,,1.0,1.0,,95.68627450980392,15.233333333333333,14.870967741935484,14.633333333333333,14.709677419354838,0.43333333333333335,0.8461538461538461,0.8461538461538461,0.36363636363636365,0.06666666666666667,,,0.03333333333333333,0.03333333333333333,0.43333333333333335,0.38461538461538464,0.38461538461538464,,0.45454545454545453,0.8,,0.45454545454545453,0.9,0.38461538461538464,0.57838,0.5680954545454546,0.09302325581395349,0.4418604651162791,3.35,26.12857142857143,0.43333333333333335,3.0,2.0,4.0,3.0,15.0,2.0,,5.0,4.0,1.0,,,,2.0,2.0,,2.0,1.0,0.8333333333333334,0.6,0.5,0.5,,,,0.2,,0.8333333333333334,0.5,0.8,0.6,0.4991,,,,14.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1628389-1628997-1629639-1631170,1610612748,"Delon Wright, Bam Adebayo, Caleb Martin, Tyler Herro, Jaime Jaquez Jr.","Wright, Adebayo, Martin, Herro, Jaquez Jr.",1626153-1628389-1628997-1629639-1631170,MIA,25.0,1,,,1.0,,,,1,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.599999999999994,15.0,,15.0,,,,,,1.0,,,,,,,,,,,,,,,0.3946,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1628389-1628997-1629639-201988,1610612748,"Delon Wright, Bam Adebayo, Caleb Martin, Tyler Herro, Patty Mills","Wright, Adebayo, Martin, Herro, Mills",1626153-1628389-1628997-1629639-201988,MIA,411.0,1,7.0,4.0,15.0,16.0,11.0,1.0,31,3.0,3.0,2.0,2.0,,,2.0,1.0,,,,2.0,2.0,3.0,5.0,,3.0,7.0,13.0,9.0,,,,2.0,4.0,2.0,4.0,8.0,6.0,,,2.0,,3.0,3.0,3.0,6.0,1.0,5.0,7.0,12.0,1.0,13.0,,,2.0,1.0,2.0,,4.0,,1.0,4.0,,8.0,,13.0,8.0,11.0,,1.0,1.0,,,0.6,0.5,0.375,0.3333333333333333,0.5416666666666666,,0.5,0.375,0.5,1.0,1.0,0.5,1.0,0.25,1.0,,1.0,1.0,1.0,108.61313868613139,12.2,14.25,11.2,14.25,0.375,1.0,1.0,1.0,,,,0.25,0.125,0.25,,,,0.3333333333333333,1.0,,0.3333333333333333,0.75,,0.55379375,0.5432583333333333,,0.6153846153846154,8.18,25.0,0.7333333333333333,,,1.0,,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,1.0,,,,,4.0,0.3333333333333333,0.4444444444444444,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1628389-1629130-1629312-1629639,1610612748,"Delon Wright, Bam Adebayo, Duncan Robinson, Haywood Highsmith, Tyler Herro","Wright, Adebayo, Robinson, Highsmith, Herro",1626153-1628389-1629130-1629312-1629639,MIA,396.0,2,7.0,5.0,12.0,12.0,,1.0,24,2.0,2.0,,,1.0,2.0,1.0,,,,1.0,4.0,,4.0,5.0,1.0,4.0,4.0,15.0,10.0,,,2.0,,,,,,2.0,6.0,,4.0,1.0,1.0,2.0,,5.0,1.0,4.0,3.0,7.0,1.0,8.0,1.0,,,,1.0,1.0,1.0,,2.0,3.0,,6.0,,13.0,,,,0.25,0.3333333333333333,0.25,0.25,0.8,,0.6111111111111112,,0.625,1.0,,0.4444444444444444,,1.0,0.8,0.3333333333333333,0.875,0.25,0.3333333333333333,,1.0,0.8,,87.27272727272728,14.416666666666666,18.583333333333332,14.333333333333334,18.5,0.2222222222222222,1.0,1.0,,0.2222222222222222,0.5,0.5,0.1111111111111111,,0.4444444444444444,0.25,0.25,,,,,,0.6666666666666666,0.25,0.5136555555555555,,0.13333333333333333,,8.6,26.275,,,1.0,1.0,,3.0,2.0,,1.0,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,1.0,,,3.0,0.25,0.375,,1.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1628389-1629130-1629312-1631170,1610612748,"Delon Wright, Bam Adebayo, Duncan Robinson, Haywood Highsmith, Jaime Jaquez Jr.","Wright, Adebayo, Robinson, Highsmith, Jaquez Jr.",1626153-1628389-1629130-1629312-1631170,MIA,115.0,1,2.0,1.0,3.0,4.0,3.0,,7,2.0,2.0,2.0,2.0,,,1.0,,,,,,,2.0,3.0,,,,4.0,3.0,,,,2.0,3.0,,,4.0,4.0,,,,,2.0,2.0,2.0,4.0,,,2.0,2.0,,2.0,,,,,,,,,2.0,1.0,,,,4.0,4.0,3.0,,1.0,1.0,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0.6666666666666666,,,1.0,,,1.0,,,,1.0,,,87.65217391304347,13.333333333333334,18.75,13.333333333333334,18.75,0.6666666666666666,1.0,1.0,1.0,,,,0.3333333333333333,,,,,,0.6666666666666666,1.0,,,0.6666666666666666,,0.6646333333333333,0.6646333333333333,,1.0,5.733333333333333,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1628389-1629312-1629639-1631107,1610612748,"Delon Wright, Bam Adebayo, Haywood Highsmith, Tyler Herro, Nikola Jovic","Wright, Adebayo, Highsmith, Herro, Jovic",1626153-1628389-1629312-1629639-1631107,MIA,80.0,1,1.0,1.0,2.0,3.0,,,5,,,,,,,,1.0,,,,,,,,1.0,1.0,,3.0,2.0,,,,,,,,,,,,,,,1.0,,3.0,,,2.0,2.0,,2.0,,,1.0,1.0,,,1.0,,,,,,,3.0,,,,,,1.0,1.0,,,1.5,,1.5,,,1.0,1.0,1.0,,,1.0,,,,1.0,,,90.0,19.0,14.0,19.0,14.0,,,,,,,,,1.0,,,,,,,,,1.0,,0.5502,,,,,24.0,,,,,,3.0,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1628389-1629312-1629639-1631170,1610612748,"Delon Wright, Bam Adebayo, Haywood Highsmith, Tyler Herro, Jaime Jaquez Jr.","Wright, Adebayo, Highsmith, Herro, Jaquez Jr.",1626153-1628389-1629312-1629639-1631170,MIA,138.0,1,2.0,-5.0,5.0,6.0,,,11,,,,,,3.0,,,,,,1.0,,,3.0,,1.0,,,5.0,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,2.0,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,0.25,,1.0,1.0,,1.0,,,,,,1.0,114.78260869565219,18.4,7.666666666666667,18.4,7.666666666666667,,,,,0.75,,,,,0.25,,,,,,,,0.25,,0.4660375,,,,7.3,26.1,,,,,,,,1.0,,,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
