EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,Corner3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,FG3APctBlocked,Arc3PctBlocked,OffArc3ReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,PenaltyOffPoss,PenaltyDefPoss,SecondChanceAtRimFGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,ShortMidRangeAssists,OffTwoPtRebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Fouls,Offensive Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,LongMidRangeFGA,AtRimAssists,ShootingFouls,BlockedShortMidRange,OffAtRimReboundPct,AtRimPctAssisted,LongMidRangeFrequency,PtsUnassisted3s,Offensive Fouls,DefCorner3ReboundPct,SecondChanceAtRimFGM,LongMidRangeFGM,SecondChanceFG2M,LongMidRangeAssists,FTOffRebounds,Loose Ball Fouls,SecondChanceFg2Pct,OffFTReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,Fg2aBlocked,Steals,BadPassSteals,2pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,FG2APctBlocked,ShortMidRangePctBlocked,DefLongMidRangeReboundPct,PenaltyAtRimFGM,PenaltyAtRimFGA,FTDefRebounds,PenaltyTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefFTReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceTurnovers,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SelfOReb,SelfORebPct,Loose Ball Fouls Drawn,Travels,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,HeaveAttempts,PenaltyCorner3FGA,PtsPutbacks,LostBallSteals,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,PenaltyCorner3Frequency,LostBallTurnovers,Technical Free Throw Trips,Charge Fouls Drawn,Charge Fouls,3SecondViolations,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Blocked3s,BlockedArc3,Transition Take Fouls Drawn,DefensiveGoaltends,OffLongMidRangeReboundPct,OffensiveGoaltends,Corner3PctBlocked,LongMidRangePctBlocked,BlockedLongMidRange,HeaveMakes,BlockedCorner3,Clear Path Fouls,Transition Take Fouls,team_id,year,season,team_vs
1627745-1627747-1627777-1628378-1629622,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Donovan Mitchell, Max Strus","Jones, LeVert, Niang, Mitchell, Strus",1627745-1627747-1627777-1628378-1629622,CLE,98.0,1,2.0,1.0,4.0,5.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,0.5,0.75,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,132.24489795918367,1.0,10.75,11.0,10.75,11.0,0.5,1.0,1.0,0.5,1.0,0.688225,0.5,0.6666666666666666,0.3333333333333333,1.1,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,False
1627745-1627747-1627777-1628378-1629660,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Donovan Mitchell, Ty Jerome","Jones, LeVert, Niang, Mitchell, Jerome",1627745-1627747-1627777-1628378-1629660,CLE,220.0,1,4.0,-1.0,6.0,7.0,1.0,13.0,1.0,1.0,,3.0,3.0,4.0,,9.0,10.0,,3.0,6.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,,,,,,,,6.0,1.0,0.6428571428571429,0.6428571428571429,1.5,0.5714285714285714,1.0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,1.0,85.0909090909091,,19.833333333333332,14.428571428571429,19.5,13.714285714285714,0.14285714285714285,1.0,1.0,,0.7142857142857143,0.48912857142857147,,,0.3333333333333333,6.3999999999999995,25.45,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.25,1.0,0.25,1.5,0.25,0.25,0.6666666666666666,1.0,0.2857142857142857,1.0,1.0,0.5714285714285714,0.25,0.3333333333333333,1.0,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,False
1627745-1627747-1627777-1628378-1630171,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Donovan Mitchell, Isaac Okoro","Jones, LeVert, Niang, Mitchell, Okoro",1627745-1627747-1627777-1628378-1630171,CLE,345.0,2,6.0,2.0,10.0,10.0,1.0,20.0,,1.0,,3.0,5.0,4.0,1.0,10.0,8.0,,,2.0,,3.0,1.0,4.0,1.0,5.0,,,1.0,2.0,2.0,1.0,2.0,2.0,2.0,,10.0,0.6,0.5,0.5,,0.4444444444444444,,0.2,0.75,,0.4444444444444444,0.2,,,1.0,83.47826086956522,,15.6,18.9,15.2,16.5,0.1111111111111111,,,,0.5555555555555556,0.48358888888888885,0.1,0.16666666666666666,,7.18,25.9,3.0,4.0,1.0,4.0,,,1.0,,,3.0,4.0,1.0,,1.0,3.0,1.0,7.0,1.0,0.25,,0.25,,,,,0.3333333333333333,0.4444444444444444,0.75,0.75,0.4444444444444444,0.25,0.25,1.0,,,,0.25,6.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,8.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,8.0,6.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.7,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,0.6,0.3333333333333333,0.5337,0.49622,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,False
1627745-1627747-1627777-1628378-1630241,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Donovan Mitchell, Sam Merrill","Jones, LeVert, Niang, Mitchell, Merrill",1627745-1627747-1627777-1628378-1630241,CLE,370.0,3,6.0,3.0,12.0,12.0,1.0,24.0,3.0,4.0,2.0,5.0,9.0,4.0,2.0,15.0,12.0,2.0,2.0,2.0,,2.0,4.0,6.0,2.0,8.0,,,,2.0,2.0,1.0,1.0,,1.0,1.0,13.0,0.5555555555555556,0.5,0.5357142857142857,0.5,0.3076923076923077,,1.0,0.6666666666666666,,0.8571428571428571,0.2857142857142857,,1.0,1.0,93.4054054054054,1.0,16.25,14.583333333333334,16.166666666666668,14.5,0.3076923076923077,0.75,0.75,0.15384615384615385,0.6153846153846154,0.5563961538461538,0.07142857142857142,0.1,0.13333333333333333,5.733333333333333,24.675,2.0,4.0,1.0,2.0,,,1.0,,,3.0,2.0,1.0,,1.0,5.0,1.0,11.0,1.0,0.25,,0.25,,,,,1.0,0.3076923076923077,0.5,0.5,0.15384615384615385,0.5,0.5,1.0,,,,0.5,,,1.0,,,1.0,,,,,,,8.0,4.0,2.0,2.0,,,2.0,,,,0.8,0.8,,,,,0.5,0.5,1.0,1.0,,,0.6457,,,,1.0,2.0,1.0,1.0,1.0,0.6666666666666666,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,False
1627745-1627747-1627777-1629622-1629636,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Max Strus, Darius Garland","Jones, LeVert, Niang, Strus, Garland",1627745-1627747-1627777-1629622-1629636,CLE,287.0,1,5.0,-2.0,9.0,8.0,,17.0,2.0,3.0,,3.0,4.0,4.0,,9.0,11.0,,,2.0,,2.0,1.0,3.0,,3.0,,,1.0,1.0,,,,,,,9.0,0.75,0.5625,0.5625,,0.5,,1.0,0.6666666666666666,,0.75,,,,0.5,85.29616724738676,,16.88888888888889,16.875,16.88888888888889,16.375,0.375,0.6666666666666666,0.6666666666666666,,0.875,0.5529375,,,,4.925,25.65,1.0,1.0,1.0,4.0,,,1.0,,,,4.0,1.0,,,2.0,,4.0,,0.25,,0.25,,,,,1.0,0.125,1.0,1.0,0.5,0.25,0.25,,,,,0.25,,,,,,,,,,,,,4.0,2.0,,,1.0,,3.0,,,,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,2.0,1.0,,,1.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,False
1627745-1627747-1627777-1629622-1630171,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Max Strus, Isaac Okoro","Jones, LeVert, Niang, Strus, Okoro",1627745-1627747-1627777-1629622-1630171,CLE,320.0,3,5.0,-6.0,10.0,10.0,1.0,20.0,1.0,1.0,1.0,4.0,5.0,3.0,2.0,10.0,16.0,,2.0,4.0,,2.0,1.0,3.0,1.0,4.0,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,0.8,0.5,0.5555555555555556,1.0,0.375,,1.0,0.5,,0.6,,,1.0,0.5,90.0,1.0,16.9,15.1,16.5,14.9,0.125,1.0,1.0,0.125,0.5,0.52731875,0.1111111111111111,0.16666666666666666,0.2,7.540000000000001,25.400000000000002,2.0,3.0,,2.0,,,,,,,2.0,,,,2.0,,4.0,,,,,1.0,,,,,0.375,0.6666666666666666,0.6666666666666666,0.25,,,,,,,,3.0,3.0,1.0,,1.0,1.0,1.0,2.0,,1.0,,2.0,4.0,2.0,,,1.0,,1.0,,2.0,3.0,0.5,0.5,,0.5,0.3333333333333333,0.3333333333333333,,,,1.0,0.3333333333333333,,0.8588,0.4598333333333333,0.2,0.3,1.0,1.0,,,,1.0,0.125,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,False
1627745-1627747-1627777-1629622-1630241,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Max Strus, Sam Merrill","Jones, LeVert, Niang, Strus, Merrill",1627745-1627747-1627777-1629622-1630241,CLE,355.0,3,6.0,-4.0,10.0,11.0,,21.0,2.0,2.0,,3.0,5.0,3.0,1.0,10.0,14.0,,,4.0,,,2.0,2.0,1.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,10.0,0.6,0.5625,0.625,,0.375,0.5,0.5,,,0.5,0.3333333333333333,,,,85.1830985915493,,17.3,16.545454545454547,17.3,15.090909090909092,0.25,1.0,1.0,,0.625,0.5432,0.125,0.2,,6.0600000000000005,27.599999999999998,1.0,3.0,1.0,3.0,,,1.0,,,3.0,3.0,1.0,,1.0,2.0,1.0,5.0,1.0,0.3333333333333333,,0.3333333333333333,,,,,1.0,0.375,0.3333333333333333,0.5,0.375,0.3333333333333333,0.3333333333333333,1.0,,,,0.3333333333333333,,4.0,,,,,,,,,,,2.0,1.0,,1.0,2.0,,2.0,,,,0.3333333333333333,0.3333333333333333,,,,,0.5,0.5,,,,,,,,,,1.0,1.0,,,0.5,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.2,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,False
1627745-1627747-1627777-1629636-1629660,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Darius Garland, Ty Jerome","Jones, LeVert, Niang, Garland, Jerome",1627745-1627747-1627777-1629636-1629660,CLE,160.0,1,3.0,-5.0,5.0,5.0,,10.0,1.0,1.0,,1.0,3.0,,2.0,4.0,9.0,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,4.0,0.3333333333333333,0.3333333333333333,0.5,,,0.5,,,,,0.5,,,,90.0,,18.4,13.6,18.4,13.6,0.3333333333333333,1.0,1.0,,0.3333333333333333,0.4553,,,,9.166666666666666,,,1.0,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,0.3333333333333333,,,,,,,,,,,5.0,5.0,,,,,1.0,3.0,,,2.0,4.0,2.0,1.0,,1.0,1.0,,3.0,,4.0,5.0,1.0,1.0,,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,,,,,,0.4553,1.0,1.0,1.0,1.0,2.0,,,1.0,0.3333333333333333,,1.0,,,,,,,,,,,,,,,1.0,,,,,0.3333333333333333,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,False
1627745-1627747-1627777-1629636-1630171,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Darius Garland, Isaac Okoro","Jones, LeVert, Niang, Garland, Okoro",1627745-1627747-1627777-1629636-1630171,CLE,146.0,2,2.0,1.0,5.0,5.0,,10.0,1.0,1.0,,1.0,2.0,3.0,1.0,6.0,5.0,,,,,,1.0,1.0,,1.0,,,,2.0,1.0,1.0,,,,,6.0,0.5,0.5,0.6,,0.6,,1.0,,,0.5,,,,,98.63013698630138,,13.0,16.2,13.0,14.2,0.2,1.0,1.0,,0.8,0.59283,0.2,0.5,,4.05,25.866666666666664,,1.0,1.0,3.0,,,1.0,,,,3.0,1.0,,,1.0,,2.0,,0.3333333333333333,,0.3333333333333333,,,,,1.0,0.2,,,0.6,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,,,,,,,,,,,,,2.0,1.0,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,3.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,False
1627745-1627747-1627777-1629636-1630241,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Darius Garland, Sam Merrill","Jones, LeVert, Niang, Garland, Merrill",1627745-1627747-1627777-1629636-1630241,CLE,442.0,2,7.0,-3.0,17.0,18.0,1.0,35.0,4.0,6.0,,4.0,11.0,4.0,,14.0,17.0,,,,,1.0,4.0,5.0,,5.0,2.0,2.0,2.0,2.0,,,,,,,14.0,0.36363636363636365,0.4666666666666667,0.4666666666666667,,0.26666666666666666,1.0,1.0,1.0,,1.0,,,1.0,,114.02714932126698,,14.529411764705882,10.833333333333334,14.058823529411764,10.833333333333334,0.4,0.6666666666666666,0.8,,0.6666666666666666,0.5620233333333334,,,,5.254545454545454,26.725,,3.0,2.0,4.0,,,2.0,,,3.0,4.0,2.0,,1.0,5.0,1.0,11.0,0.5,0.5,,0.5,,,,,1.0,0.2,,,0.26666666666666666,0.5,0.5,0.5,,,,0.5,,10.0,,,,,,,,,,,8.0,4.0,,,,,3.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,2.0,4.0,2.0,,,1.0,0.13333333333333333,3.0,,1.0,,,,,,,,,,,,,,1.0,,,,,0.09090909090909091,,,,,,,,,,,,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,False
