EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Defensive 3 Seconds Violations,LongMidRangePctBlocked,Offensive Fouls Drawn,Blocked3s,BlockedArc3,Arc3PctBlocked,BlockedLongMidRange,FTOffRebounds,ThreePtShootingFoulsDrawn,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,BlockedCorner3,HeaveAttempts,Transition Take Fouls Drawn,Transition Take Fouls,OffensiveGoaltends,3SecondViolations,HeaveMakes,team_id,year,season,team_vs
1628384-1628392-1628404-1628973-1628978,1610612752,"OG Anunoby, Isaiah Hartenstein, Josh Hart, Jalen Brunson, Donte DiVincenzo","Anunoby, Hartenstein, Hart, Brunson, DiVincenzo",1628384-1628392-1628404-1628973-1628978,NYK,7669.0,14,128.0,40.0,250.0,247.0,35.0,25.0,33.0,497.0,49.0,67.0,11.0,14.0,8.0,11.0,31.0,62.0,10.0,21.0,8.0,22.0,1.0,3.0,1.0,4.0,23.0,66.0,2.0,7.0,1.0,6.0,90.0,150.0,31.0,88.0,29.0,302.0,262.0,15.0,20.0,3.0,10.0,2.0,41.0,11.0,21.0,2.0,10.0,9.0,37.0,94.0,86.0,75.0,18.0,20.0,66.0,23.0,9.0,1.0,47.0,25.0,72.0,17.0,8.0,30.0,13.0,4.0,169.0,14.0,22.0,49.0,45.0,5.0,99.0,36.0,135.0,5.0,22.0,12.0,10.0,19.0,5.0,11.0,19.0,2.0,8.0,1.0,1.0,38.0,6.0,5.0,17.0,31.0,2.0,1.0,1.0,41.0,3.0,2.0,40.0,11.0,1.0,23.0,2.0,11.0,7.0,4.0,11.0,6.0,1.0,261.0,35.0,34.0,1.0,1.0,0.5222222222222223,0.5875,0.8064516129032258,0.3522727272727273,0.3,0.2,0.3522727272727273,0.6,0.75,0.5238095238095238,0.5735294117647058,0.65,0.45161290322580644,0.5972222222222222,0.6612903225806451,0.5138888888888888,0.3697478991596639,0.011363636363636364,0.06,0.029850746268656716,0.11290322580645161,0.045454545454545456,0.5,1.0,0.7758620689655172,0.3793103448275862,0.8596491228070176,0.25,0.8173913043478261,0.3157894736842105,0.4117647058823529,0.3548387096774194,0.4,0.20930232558139536,0.38461538461538464,0.782608695652174,0.6818181818181818,0.9230769230769231,0.8333333333333334,0.9047619047619048,0.047619047619047616,93.32116312426653,0.5454545454545454,16.332,14.518218623481781,15.692,14.238866396761134,0.2815126050420168,0.7313432835820896,0.7538461538461538,0.6122448979591837,0.2605042016806723,0.5,0.5636363636363636,0.41935483870967744,0.08823529411764706,0.47619047619047616,0.47619047619047616,0.4,0.09243697478991597,0.36363636363636365,0.38095238095238093,1.0,0.2773109243697479,0.3484848484848485,0.3484848484848485,0.7391304347826086,0.4666666666666667,0.7857142857142857,0.09090909090909091,0.1,0.3333333333333333,1.0,0.23333333333333334,0.2857142857142857,1.0,0.3548387096774194,0.7272727272727273,0.12903225806451613,0.25,0.1935483870967742,0.16666666666666666,0.6512605042016807,0.3484848484848485,0.5499810924369748,0.5672947368421053,0.5460758064516129,0.092,0.1419753086419753,0.1357615894039735,0.12251655629139073,6.613333333333334,25.35909090909091,0.14,,,,,,,,,,,,,,,,,,,,1610612752,2024,2023-24,False
1628384-1628392-1628404-1628973-1629656,1610612752,"OG Anunoby, Isaiah Hartenstein, Josh Hart, Jalen Brunson, Quentin Grimes","Anunoby, Hartenstein, Hart, Brunson, Grimes",1628384-1628392-1628404-1628973-1629656,NYK,1305.0,7,22.0,17.0,43.0,43.0,11.0,10.0,8.0,86.0,7.0,10.0,1.0,1.0,3.0,3.0,3.0,6.0,1.0,4.0,1.0,6.0,,,,2.0,7.0,15.0,1.0,2.0,2.0,3.0,11.0,20.0,8.0,21.0,8.0,54.0,37.0,2.0,2.0,1.0,2.0,4.0,11.0,3.0,5.0,2.0,5.0,3.0,15.0,12.0,10.0,21.0,3.0,2.0,15.0,7.0,3.0,,6.0,7.0,13.0,6.0,1.0,4.0,1.0,1.0,33.0,5.0,4.0,9.0,14.0,1.0,24.0,9.0,33.0,1.0,1.0,1.0,,5.0,,2.0,1.0,,3.0,,1.0,6.0,2.0,2.0,5.0,10.0,,,,9.0,1.0,,12.0,,,6.0,,1.0,1.0,,1.0,1.0,,43.0,15.0,11.0,2.0,,0.5454545454545454,0.6,0.875,0.38095238095238093,0.5,0.4,0.38095238095238093,0.55,1.0,0.6,0.5609756097560976,0.875,0.6,0.574468085106383,0.7857142857142857,0.625,0.5121951219512195,,0.15,0.2,0.16666666666666666,,0.8333333333333334,1.0,0.8235294117647058,0.4444444444444444,1.0,0.38461538461538464,0.8846153846153846,0.4090909090909091,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.25,0.6,1.0,0.6666666666666666,0.7142857142857143,1.0,1.0,0.05263157894736842,94.89655172413794,1.0,15.162790697674419,15.186046511627907,14.279069767441861,15.023255813953488,0.24390243902439024,0.7,0.875,0.5714285714285714,0.14634146341463414,0.5,0.6,0.3333333333333333,0.0975609756097561,0.25,0.25,1.0,0.14634146341463414,0.16666666666666666,0.16666666666666666,1.0,0.36585365853658536,0.4666666666666667,0.4666666666666667,0.8571428571428571,0.25,1.0,,,,,0.5,0.5,1.0,0.3,1.0,0.2,,0.3,0.6666666666666666,0.7560975609756098,0.4666666666666667,0.5609841463414634,0.4803,0.583605,0.1276595744680851,0.23076923076923078,0.2037037037037037,0.2777777777777778,6.335,24.66190476190476,0.2558139534883721,1.0,,,,,,,,,,,,,,,,,,,1610612752,2024,2023-24,False
1628384-1628392-1628404-1628973-1630540,1610612752,"OG Anunoby, Isaiah Hartenstein, Josh Hart, Jalen Brunson, Miles McBride","Anunoby, Hartenstein, Hart, Brunson, McBride",1628384-1628392-1628404-1628973-1630540,NYK,399.0,3,7.0,4.0,13.0,13.0,,,1.0,26.0,2.0,2.0,,,,,1.0,3.0,1.0,3.0,,2.0,,,,,2.0,2.0,,,,,4.0,8.0,2.0,4.0,2.0,16.0,12.0,,,,,,,,,,,,,8.0,,3.0,3.0,,2.0,2.0,1.0,,4.0,1.0,5.0,1.0,,2.0,1.0,1.0,11.0,,1.0,2.0,2.0,,4.0,1.0,5.0,,1.0,,1.0,1.0,,,,,1.0,,,1.0,1.0,,2.0,2.0,,,,2.0,,,2.0,,,1.0,,2.0,2.0,,2.0,1.0,,16.0,,,,,1.0,1.0,0.5,0.5,,,0.5,0.5,,,0.5833333333333334,,,0.6153846153846154,,,0.3333333333333333,,0.125,,,,1.0,,0.6666666666666666,0.25,1.0,,0.8,0.16666666666666666,,0.5,,,,0.6666666666666666,,,1.0,1.0,,93.8345864661654,0.5,18.153846153846153,12.538461538461538,18.0,12.538461538461538,0.16666666666666666,1.0,1.0,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,0.25,0.3333333333333333,0.5,1.0,0.16666666666666666,,,,0.16666666666666666,1.0,1.0,0.5,,,,,,,,,,,,,,,,0.5,1.0,0.5165166666666666,,,0.07692307692307693,0.1111111111111111,,,10.4875,24.125,,,0.3333333333333333,,,,,,,,,,,,,,,,,,1610612752,2024,2023-24,False
1628384-1628392-1628404-1628973-202711,1610612752,"OG Anunoby, Isaiah Hartenstein, Josh Hart, Jalen Brunson, Bojan Bogdanovic","Anunoby, Hartenstein, Hart, Brunson, Bogdanovic",1628384-1628392-1628404-1628973-202711,NYK,133.0,1,2.0,4.0,5.0,4.0,,,3.0,9.0,1.0,1.0,,,,,,2.0,,,,,,,,,1.0,4.0,1.0,3.0,,,1.0,3.0,1.0,4.0,1.0,6.0,2.0,,,1.0,3.0,,3.0,,,,,,,2.0,,3.0,,,4.0,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,,5.0,1.0,2.0,,3.0,,3.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,1.0,,,,,,,,3.0,,,,,1.0,1.0,1.0,0.25,0.3333333333333333,,0.25,0.3333333333333333,,,0.35714285714285715,0.5,,0.375,0.5,,0.5714285714285714,,0.3333333333333333,,0.5,,,,0.75,1.0,,0.3333333333333333,0.75,0.6,,1.0,,0.3333333333333333,,1.0,1.0,,,,,97.44360902255639,,13.0,17.0,9.0,16.5,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,,,,,,,,,,,,0.5714285714285714,0.25,0.25,1.0,,,,,,,1.0,0.3333333333333333,1.0,,,,,,,0.7142857142857143,0.25,0.5238142857142857,0.56445,,0.125,0.25,0.5,,6.3999999999999995,25.525,,,,,,,,,,,,,,,,,,,,,1610612752,2024,2023-24,False
1628384-1628392-1628404-1628973-203944,1610612752,"OG Anunoby, Isaiah Hartenstein, Josh Hart, Jalen Brunson, Julius Randle","Anunoby, Hartenstein, Hart, Brunson, Randle",1628384-1628392-1628404-1628973-203944,NYK,1732.0,9,29.0,36.0,63.0,60.0,9.0,22.0,8.0,123.0,15.0,20.0,3.0,4.0,3.0,3.0,10.0,15.0,2.0,3.0,1.0,7.0,1.0,1.0,,1.0,1.0,10.0,,2.0,,,27.0,38.0,2.0,17.0,20.0,80.0,44.0,5.0,6.0,1.0,3.0,,13.0,3.0,3.0,,1.0,6.0,12.0,24.0,30.0,6.0,,2.0,10.0,1.0,2.0,,12.0,2.0,14.0,1.0,1.0,10.0,2.0,,30.0,3.0,6.0,8.0,17.0,3.0,28.0,9.0,37.0,2.0,6.0,4.0,2.0,5.0,,4.0,5.0,,1.0,,1.0,10.0,1.0,2.0,7.0,13.0,1.0,1.0,1.0,16.0,1.0,,21.0,5.0,2.0,12.0,,8.0,8.0,,8.0,6.0,,67.0,12.0,9.0,1.0,,0.4444444444444444,0.46153846153846156,1.0,0.11764705882352941,0.3333333333333333,,0.11764705882352941,0.7105263157894737,0.8333333333333334,1.0,0.5454545454545454,0.7222222222222222,0.75,0.6290322580645161,0.7222222222222222,0.7857142857142857,0.3090909090909091,,0.05263157894736842,0.1,,,0.5,1.0,0.7391304347826086,0.5454545454545454,0.8888888888888888,0.2,0.78125,0.34615384615384615,0.4,0.8,,0.3333333333333333,,0.8333333333333334,0.6666666666666666,0.5,0.8333333333333334,1.0,0.08333333333333333,102.26327944572748,0.75,14.396825396825397,13.75,13.428571428571429,13.433333333333334,0.36363636363636365,0.75,0.8333333333333334,0.6666666666666666,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.2,0.05454545454545454,0.6666666666666666,0.6666666666666666,,0.12727272727272726,0.14285714285714285,0.14285714285714285,1.0,0.18181818181818182,0.1,0.1,1.0,0.4444444444444444,0.75,,0.1111111111111111,1.0,1.0,0.2222222222222222,,,0.75,1.0,0.25,,,,0.6727272727272727,0.1,0.5735427272727273,0.5616416666666667,0.6323125,0.1935483870967742,0.26666666666666666,0.1625,0.15,5.663157894736842,24.8,0.14285714285714285,,,,,,,,,,,,,,,,,,,,1610612752,2024,2023-24,False
1628384-1628392-1628404-1628978-203944,1610612752,"OG Anunoby, Isaiah Hartenstein, Josh Hart, Donte DiVincenzo, Julius Randle","Anunoby, Hartenstein, Hart, DiVincenzo, Randle",1628384-1628392-1628404-1628978-203944,NYK,39.0,1,1.0,2.0,2.0,1.0,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,1.0,,,1.0,,,2.0,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,2.0,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,110.76923076923076,1.0,7.0,25.0,7.0,25.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.7388,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,1610612752,2024,2023-24,False
1628384-1628392-1628404-1629656-1630201,1610612752,"OG Anunoby, Isaiah Hartenstein, Josh Hart, Quentin Grimes, Malachi Flynn","Anunoby, Hartenstein, Hart, Grimes, Flynn",1628384-1628392-1628404-1629656-1630201,NYK,97.0,1,2.0,,2.0,3.0,,,,5.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,,2.0,2.0,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,0.5,,,0.5,,,0.5,,,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,1.0,,,74.22680412371133,,32.0,11.0,32.0,11.0,0.5,1.0,1.0,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,1.0,,0.5981,,,,,,,1.2,25.9,,,,,,,,,,,,,,,,,,,,,1610612752,2024,2023-24,False
1628384-1628392-1628404-1629656-1630540,1610612752,"OG Anunoby, Isaiah Hartenstein, Josh Hart, Quentin Grimes, Miles McBride","Anunoby, Hartenstein, Hart, Grimes, McBride",1628384-1628392-1628404-1629656-1630540,NYK,877.0,5,15.0,-3.0,29.0,33.0,,3.0,5.0,62.0,5.0,10.0,2.0,2.0,,,1.0,4.0,,1.0,,1.0,,,,,3.0,7.0,,,,,6.0,15.0,3.0,8.0,4.0,25.0,28.0,2.0,3.0,,,4.0,8.0,,,,,,,6.0,6.0,6.0,3.0,4.0,7.0,3.0,2.0,1.0,3.0,2.0,5.0,2.0,,3.0,,,12.0,1.0,5.0,11.0,7.0,,18.0,6.0,24.0,1.0,1.0,1.0,,7.0,1.0,5.0,3.0,1.0,2.0,,1.0,10.0,1.0,,2.0,3.0,,,,4.0,,,4.0,,,2.0,,2.0,1.0,1.0,3.0,2.0,,17.0,,,,,0.5,0.75,0.6666666666666666,0.375,,,0.375,0.4,0.6666666666666666,,0.45652173913043476,0.6666666666666666,,0.5,0.8,,0.34782608695652173,0.125,0.13333333333333333,0.1,0.25,1.0,0.7,,0.875,0.5555555555555556,0.8461538461538461,0.2,0.8571428571428571,0.42857142857142855,0.6,0.3333333333333333,1.0,0.25,,1.0,0.75,,0.8333333333333334,1.0,0.09090909090909091,101.80159635119726,0.6666666666666666,13.586206896551724,14.636363636363637,13.03448275862069,14.212121212121213,0.43478260869565216,0.5,0.5555555555555556,0.6,0.17391304347826086,0.25,0.3333333333333333,,0.043478260869565216,,,,0.043478260869565216,,,,0.30434782608695654,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,,,,,0.782608695652174,0.42857142857142855,0.5540695652173914,0.49885,,0.08,0.11764705882352941,0.32,,4.42,24.95,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1610612752,2024,2023-24,False
1628384-1628392-1628404-1630201-203944,1610612752,"OG Anunoby, Isaiah Hartenstein, Josh Hart, Malachi Flynn, Julius Randle","Anunoby, Hartenstein, Hart, Flynn, Randle",1628384-1628392-1628404-1630201-203944,NYK,119.0,1,2.0,4.0,4.0,4.0,,,,8.0,2.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,2.0,2.0,,1.0,,4.0,,,,,,,,,,,,,,2.0,2.0,,,,1.0,,,,1.0,,1.0,,,1.0,,,2.0,,,,4.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,4.0,,,,,0.5,0.5,,,,,,1.0,,,0.6666666666666666,,,0.6666666666666666,,,0.3333333333333333,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,96.80672268907563,,12.0,17.75,12.0,17.75,0.6666666666666666,1.0,1.0,0.5,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,1.0,,0.6841499999999999,,,,,,,1.0,25.7,,,,,,,,,,,,,,,,,,,,,1610612752,2024,2023-24,False
1628384-1628392-1628404-1630540-202711,1610612752,"OG Anunoby, Isaiah Hartenstein, Josh Hart, Miles McBride, Bojan Bogdanovic","Anunoby, Hartenstein, Hart, McBride, Bogdanovic",1628384-1628392-1628404-1630540-202711,NYK,214.0,2,4.0,,7.0,8.0,,,,15.0,2.0,2.0,,,,,1.0,2.0,1.0,1.0,,,,,,,,1.0,,,,,4.0,5.0,,1.0,2.0,10.0,10.0,,,,,,,,,,,,,6.0,2.0,,,,1.0,,,,3.0,,3.0,,,1.0,1.0,1.0,6.0,,,1.0,2.0,,3.0,,3.0,,,,,1.0,,1.0,,,,,,1.0,,,3.0,3.0,,,,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,10.0,,,,,0.75,0.75,,,,,,0.8,,,0.6666666666666666,,,0.75,,,0.16666666666666666,,,,,,1.0,,0.6666666666666666,,1.0,,0.75,,,,,,,,0.6666666666666666,,,1.0,,100.93457943925233,,13.0,15.375,13.0,15.375,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0.5,0.5,1.0,0.16666666666666666,1.0,1.0,1.0,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,0.5,,0.4643083333333333,,,0.16666666666666666,0.2,,,8.52,24.9,,,,,,,,,,,,,,,,,,,,,1610612752,2024,2023-24,False
