EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,DefPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,OffPoss,PenaltyOffPoss,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2A,FG3M,FG3A,Points,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Fouls,FTA,Technical Free Throw Trips,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,PenaltyFG2M,PtsAssisted2s,TwoPtAssists,AtRimAssists,FTDefRebounds,FoulsDrawn,Offensive Fouls Drawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,DefFTReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceOffPoss,ShortMidRangeFGM,LongMidRangeFGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,Arc3Assists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefTwoPtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Charge Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,ShortMidRangePctBlocked,OffAtRimReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,PtsPutbacks,BadPassOutOfBoundsTurnovers,SecondChanceFg2Pct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,LongMidRangeFGM,LostBallSteals,Loose Ball Fouls Drawn,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Travels,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted,SecondChanceTurnovers,Offensive Fouls,Blocked3s,BlockedArc3,StepOutOfBoundsTurnovers,LongMidRangeAssists,Charge Fouls,Loose Ball Fouls,Transition Take Fouls,Transition Take Fouls Drawn,3pt And 1 Free Throw Trips,BlockedCorner3,DefensiveGoaltends,Corner3PctBlocked,OffLongMidRangeReboundPct,LongMidRangePctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,HeaveAttempts,LongMidRangePctBlocked,team_id,year,season,team_vs
1627884-1628467-1629023-1629029-1629655,1610612742,"Derrick Jones Jr., Maxi Kleber, P.J. Washington, Luka Doncic, Daniel Gafford","Jones Jr., Kleber, Washington, Doncic, Gafford",1627884-1628467-1629023-1629029-1629655,DAL,16.0,1,-3.0,1.0,1.0,1.0,3.0,90.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2024,2023-24,False
1627884-1628467-1629023-1629029-1630182,1610612742,"Derrick Jones Jr., Maxi Kleber, P.J. Washington, Luka Doncic, Josh Green","Jones Jr., Kleber, Washington, Doncic, Green",1627884-1628467-1629023-1629029-1630182,DAL,91.0,3,3.0,2.0,1.0,4.0,,63.2967032967033,28.0,28.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.5,1.0,1.0,1.0,1.0,17.5,17.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.409625,0.409625,1.0,10.5,22.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2024,2023-24,False
1627884-1628467-1629023-1629029-1641726,1610612742,"Derrick Jones Jr., Maxi Kleber, P.J. Washington, Luka Doncic, Dereck Lively II","Jones Jr., Kleber, Washington, Doncic, Lively II",1627884-1628467-1629023-1629029-1641726,DAL,30.0,1,2.0,2.0,1.0,3.0,,144.0,10.0,10.0,,1.0,1.0,,,,,,1.0,,,2.0,1.0,,,2.0,,,1.0,,2.0,,1.0,1.0,,,,2.0,2.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,10.0,10.0,,,,,,,,1.0,0.7998,0.7998,1.0,1.2,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2024,2023-24,False
1627884-1628467-1629023-1629029-202681,1610612742,"Derrick Jones Jr., Maxi Kleber, P.J. Washington, Luka Doncic, Kyrie Irving","Jones Jr., Kleber, Washington, Doncic, Irving",1627884-1628467-1629023-1629029-202681,DAL,1947.0,8,14.0,58.0,13.0,119.0,71.0,88.01232665639445,17.56896551724138,16.93103448275862,32.0,61.0,33.0,14.0,4.0,6.0,2.0,4.0,24.0,14.0,26.0,85.0,11.0,5.0,13.0,44.0,27.0,9.0,14.0,4.0,37.0,11.0,19.0,25.0,11.0,26.0,,80.0,41.0,31.0,0.6428571428571429,0.5384615384615384,0.38461538461538464,0.5384615384615384,0.64,0.6041666666666666,0.6854838709677419,0.6875,0.52,0.7857142857142857,0.7037037037037037,0.9,0.5,15.21311475409836,14.852459016393443,0.28,0.12,0.6666666666666666,0.6666666666666666,1.0,0.16666666666666666,0.5,0.7,0.506686,0.5132875,0.5176470588235295,5.391666666666667,26.326923076923077,0.5409836065573771,5.0,9.0,4.0,5.0,11.0,7.0,10.0,5.0,2.0,,20.0,,0.45454545454545453,0.45454545454545453,0.4583333333333333,0.6363636363636364,,0.18,0.5555555555555556,0.625,0.4,0.20833333333333334,0.8,5.0,6.0,1.0,1.0,10.0,20.0,1.0,2.0,3.0,9.0,21.0,2.0,1.0,3.0,2.0,5.0,15.0,12.0,15.0,20.0,10.0,1.0,1.0,5.0,3.0,3.0,2.0,1.0,8.0,6.0,2.0,3.0,3.0,4.0,1.0,2.0,1.0,3.0,6.0,4.0,6.0,1.0,2.0,7.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,0.3333333333333333,0.3,0.4166666666666667,0.038461538461538464,0.041666666666666664,0.1111111111111111,0.05,0.6666666666666666,1.0,0.6153846153846154,0.15384615384615385,0.3333333333333333,0.22727272727272727,0.25,0.2857142857142857,0.5,0.5,0.5714285714285714,1.0,0.1,0.5,0.42857142857142855,0.42857142857142855,0.5,0.02,0.4,0.5,0.5263157894736842,0.5,0.2,0.4,0.5,1.0,0.375,0.3333333333333333,0.5,0.38020000000000004,0.12727272727272726,0.2413793103448276,0.058823529411764705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2024,2023-24,False
1627884-1628467-1629023-1629029-203501,1610612742,"Derrick Jones Jr., Maxi Kleber, P.J. Washington, Luka Doncic, Tim Hardaway Jr.","Jones Jr., Kleber, Washington, Doncic, Hardaway Jr.",1627884-1628467-1629023-1629029-203501,DAL,84.0,1,-3.0,2.0,2.0,5.0,3.0,85.71428571428572,19.5,19.5,1.0,3.0,,1.0,,,,,2.0,,2.0,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,0.5,1.0,1.0,1.0,,15.0,12.0,0.25,,,,,,,0.75,0.5720375,,,3.15,27.25,,,1.0,,,,,,,,,,,,,,,,0.25,,,,,,1.0,,,,,2.0,,,,,,1.0,,,,,,,,2.0,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,0.5,,0.25,,,,,,,,,,,,,0.5,,,,,,,,,,,0.4707,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2024,2023-24,False
1627884-1628467-1629023-1629655-1630182,1610612742,"Derrick Jones Jr., Maxi Kleber, P.J. Washington, Daniel Gafford, Josh Green","Jones Jr., Kleber, Washington, Gafford, Green",1627884-1628467-1629023-1629655-1630182,DAL,29.0,1,-2.0,2.0,2.0,2.0,2.0,99.3103448275862,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2024,2023-24,False
1627884-1628467-1629023-1630182-1641726,1610612742,"Derrick Jones Jr., Maxi Kleber, P.J. Washington, Josh Green, Dereck Lively II","Jones Jr., Kleber, Washington, Green, Lively II",1627884-1628467-1629023-1630182-1641726,DAL,9.0,1,,1.0,,1.0,,160.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2024,2023-24,False
1627884-1628467-1629023-1630182-202681,1610612742,"Derrick Jones Jr., Maxi Kleber, P.J. Washington, Josh Green, Kyrie Irving","Jones Jr., Kleber, Washington, Green, Irving",1627884-1628467-1629023-1630182-202681,DAL,183.0,4,,9.0,5.0,14.0,8.0,110.16393442622952,15.444444444444445,15.444444444444445,3.0,5.0,4.0,1.0,,,,,2.0,2.0,3.0,8.0,1.0,2.0,3.0,8.0,3.0,1.0,1.0,,3.0,1.0,4.0,5.0,4.0,,,6.0,8.0,4.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,1.0,0.8,1.0,0.6,0.5,0.8,0.5,,8.8,8.8,0.2,,,,,,,0.8,0.5462100000000001,0.5648875,1.0,5.0,25.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,0.5,1.0,,0.2,1.0,1.0,,0.25,1.0,1.0,,,,2.0,3.0,,,2.0,3.0,,1.0,,,,2.0,,2.0,3.0,3.0,2.0,,,1.0,,1.0,,,3.0,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,1.0,0.5,,1.0,,1.0,1.0,,,,,,,,0.6,0.6666666666666666,0.6666666666666666,0.5,,,,,0.75,0.6666666666666666,0.6666666666666666,,,,0.25,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2024,2023-24,False
1627884-1628467-1629023-1630182-203957,1610612742,"Derrick Jones Jr., Maxi Kleber, P.J. Washington, Josh Green, Dante Exum","Jones Jr., Kleber, Washington, Green, Exum",1627884-1628467-1629023-1630182-203957,DAL,9.0,1,,1.0,1.0,1.0,,160.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2024,2023-24,False
1627884-1628467-1629023-1641726-202681,1610612742,"Derrick Jones Jr., Maxi Kleber, P.J. Washington, Dereck Lively II, Kyrie Irving","Jones Jr., Kleber, Washington, Lively II, Irving",1627884-1628467-1629023-1641726-202681,DAL,58.0,1,-4.0,2.0,,4.0,4.0,99.3103448275862,13.5,13.5,1.0,2.0,2.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,2.0,,,,,,,,,1.0,,0.5,,,15.5,15.5,,,,,,,,1.0,0.495,0.495,,,27.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,0.5,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2024,2023-24,False
