EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceAtRimFGM,LongMidRangeFGM,LongMidRangeFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,PtsUnassisted3s,PtsPutbacks,ShortMidRangeAssists,LongMidRangeAssists,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,LiveBallTurnoverPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,HeaveAttempts,Fg3aBlocked,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,3pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedShortMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,FG3APctBlocked,AtRimPctBlocked,Corner3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Transition Take Fouls,Arc3PctBlocked,OffLongMidRangeReboundPct,FTOffRebounds,OffFTReboundPct,Clear Path Fouls,3SecondViolations,LongMidRangePctBlocked,OffensiveGoaltends,BlockedLongMidRange,BlockedCorner3,Transition Take Fouls Drawn,team_id,year,season,team_vs
1627739-1628374-1628381-1629012-1630534,1610612762,"Kris Dunn, Lauri Markkanen, John Collins, Collin Sexton, Ochai Agbaji","Dunn, Markkanen, Collins, Sexton, Agbaji",1627739-1628374-1628381-1629012-1630534,UTA,267.0,2,4.0,9.0,9.0,9.0,9.0,3.0,18.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,6.0,3.0,5.0,4.0,17.0,8.0,1.0,2.0,1.0,2.0,4.0,2.0,6.0,3.0,5.0,4.0,17.0,2.0,2.0,9.0,3.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,11.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,8.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,17.0,9.0,1.0,0.5,0.5,1.0,0.6,0.6,0.6,0.3333333333333333,0.5,0.3333333333333333,0.5909090909090909,0.3333333333333333,0.5909090909090909,0.6538461538461539,0.5,0.6538461538461539,0.45454545454545453,0.16666666666666666,0.3333333333333333,1.0,1.0,0.75,0.6666666666666666,1.0,0.75,0.8,1.0,0.5,1.0,1.0,0.6666666666666666,0.5,97.07865168539325,1.0,13.444444444444445,16.22222222222222,12.88888888888889,15.11111111111111,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.2727272727272727,0.3333333333333333,0.5,0.18181818181818182,0.5,0.5,1.0,0.2727272727272727,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.2727272727272727,0.3333333333333333,0.18181818181818182,0.5,0.2727272727272727,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.4870181818181818,0.4063,0.4870181818181818,0.08333333333333333,0.14285714285714285,0.23529411764705882,1.0,4.1499999999999995,25.36,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2024,2023-24,False
1627739-1628374-1628381-1629012-1631117,1610612762,"Kris Dunn, Lauri Markkanen, John Collins, Collin Sexton, Walker Kessler","Dunn, Markkanen, Collins, Sexton, Kessler",1627739-1628374-1628381-1629012-1631117,UTA,1445.0,2,24.0,-9.0,49.0,49.0,8.0,9.0,98.0,8.0,9.0,5.0,1.0,1.0,5.0,16.0,2.0,2.0,1.0,1.0,5.0,16.0,2.0,,3.0,15.0,28.0,7.0,18.0,12.0,63.0,72.0,5.0,7.0,3.0,2.0,15.0,2.0,2.0,1.0,4.0,5.0,12.0,16.0,14.0,18.0,16.0,5.0,4.0,8.0,6.0,14.0,4.0,2.0,4.0,34.0,5.0,6.0,7.0,6.0,2.0,15.0,11.0,26.0,4.0,7.0,11.0,9.0,12.0,5.0,,4.0,4.0,4.0,1.0,48.0,12.0,8.0,,0.5333333333333333,0.6153846153846154,0.8571428571428571,0.3888888888888889,0.25,0.3888888888888889,0.5357142857142857,0.7142857142857143,1.0,0.5543478260869565,0.65,0.5833333333333334,0.6176470588235294,0.6818181818181818,0.75,0.391304347826087,0.14285714285714285,0.25,0.6666666666666666,0.5,0.46153846153846156,0.875,0.5,0.65,0.4782608695652174,,0.5454545454545454,,0.2857142857142857,0.8571428571428571,0.21052631578947367,97.66089965397924,0.25,15.795918367346939,13.693877551020408,14.63265306122449,13.061224489795919,0.1956521739130435,0.8888888888888888,0.8888888888888888,0.5,0.34782608695652173,0.3125,0.4166666666666667,0.043478260869565216,1.0,1.0,1.0,0.34782608695652173,0.3125,0.3125,0.8,0.5,0.2,0.16666666666666666,1.0,0.16666666666666666,1.0,0.5,,0.5869565217391305,0.3125,0.5237576086956521,0.557725,0.5491166666666667,0.11764705882352941,0.15625,0.23809523809523808,0.19047619047619047,6.410714285714286,25.605555555555554,0.16326530612244897,2.0,5.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,2.0,2.0,6.0,2.0,4.0,4.0,10.0,3.0,3.0,1.0,1.0,0.3333333333333333,0.6,0.5,0.6666666666666666,1.0,1.0,0.6,0.06521739130434782,0.6666666666666666,0.6666666666666666,0.5,1.0,0.4,0.1,1.0,1.0,0.05263157894736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2024,2023-24,False
1627739-1628374-1628381-1629012-1631323,1610612762,"Kris Dunn, Lauri Markkanen, John Collins, Collin Sexton, Simone Fontecchio","Dunn, Markkanen, Collins, Sexton, Fontecchio",1627739-1628374-1628381-1629012-1631323,UTA,14451.0,20,241.0,26.0,501.0,507.0,44.0,59.0,1008.0,98.0,151.0,31.0,11.0,15.0,59.0,124.0,21.0,57.0,1.0,5.0,60.0,131.0,12.0,4.0,8.0,168.0,291.0,81.0,188.0,76.0,655.0,629.0,27.0,40.0,18.0,14.0,92.0,17.0,26.0,5.0,13.0,5.0,54.0,208.0,128.0,222.0,130.0,60.0,37.0,104.0,74.0,178.0,53.0,21.0,63.0,430.0,28.0,42.0,88.0,85.0,8.0,181.0,70.0,251.0,10.0,49.0,89.0,92.0,88.0,46.0,1.0,22.0,8.0,23.0,9.0,563.0,54.0,44.0,1.0,0.6190476190476191,0.6887417218543046,0.9135802469135802,0.4308510638297872,0.38461538461538464,0.43315508021390375,0.5773195876288659,0.675,0.6538461538461539,0.6043841336116911,0.6724137931034483,0.6282051282051282,0.6339805825242718,0.7109375,0.6428571428571429,0.3924843423799583,0.12714776632302405,0.11290322580645161,0.8888888888888888,0.6967213114754098,0.34146341463414637,0.8627450980392157,0.2641509433962264,0.7723214285714286,0.3056768558951965,0.3584905660377358,0.35384615384615387,0.16666666666666666,0.6785714285714286,0.8589743589743589,0.05263157894736842,100.4442599128088,0.391304347826087,14.199600798403194,14.471400394477318,13.688622754491018,14.076923076923077,0.31524008350730687,0.6490066225165563,0.765625,0.6428571428571429,0.2588726513569937,0.47580645161290325,0.5363636363636364,0.11899791231732777,0.3684210526315789,0.38181818181818183,1.0,0.27348643006263046,0.4580152671755725,0.4580152671755725,0.8833333333333333,0.5344827586206896,0.20689655172413793,0.38461538461538464,0.7333333333333333,0.1282051282051282,0.2,0.20512820512820512,0.5,0.7077244258872651,0.46153846153846156,0.5426771966527196,0.5447930555555556,0.5527410256410256,0.0933852140077821,0.14153846153846153,0.14045801526717558,0.08244274809160305,5.0893470790378,25.300531914893618,0.08782435129740519,47.0,22.0,11.0,16.0,1.0,6.0,8.0,21.0,34.0,33.0,8.0,33.0,21.0,30.0,21.0,27.0,9.0,57.0,7.0,4.0,12.0,2.0,0.4444444444444444,0.5263157894736842,0.3142857142857143,0.6142857142857143,0.9583333333333334,0.875,0.559322033898305,0.033402922755741124,0.6875,0.6875,0.7272727272727273,0.7096774193548387,0.18181818181818182,0.10344827586206896,0.16666666666666666,1.0,0.010582010582010581,7.0,1.0,2.0,12.0,7.0,2.0,3.0,8.0,5.0,3.0,2.0,2.0,8.0,8.0,1.0,2.0,1.0,1.0,14.0,2.0,2.0,3.0,0.010638297872340425,0.152317880794702,0.03508771929824561,0.5833333333333334,1.0,,,,,,,,,,,,,1610612762,2024,2023-24,False
1627739-1628374-1628381-1629012-1641718,1610612762,"Kris Dunn, Lauri Markkanen, John Collins, Collin Sexton, Keyonte George","Dunn, Markkanen, Collins, Sexton, George",1627739-1628374-1628381-1629012-1641718,UTA,469.0,5,8.0,-5.0,16.0,18.0,1.0,2.0,34.0,2.0,3.0,,,1.0,2.0,4.0,1.0,1.0,,,2.0,7.0,,,,4.0,7.0,3.0,8.0,3.0,20.0,25.0,1.0,2.0,,1.0,3.0,,1.0,,,,,4.0,4.0,9.0,7.0,2.0,,2.0,3.0,5.0,2.0,1.0,1.0,13.0,2.0,,,3.0,2.0,5.0,2.0,7.0,,2.0,5.0,2.0,3.0,2.0,,,,,,17.0,,1.0,,0.5,0.5,1.0,0.375,,0.375,0.5714285714285714,0.5,,0.5666666666666667,0.5,,0.625,0.75,,0.5333333333333333,,,1.0,1.0,,,0.4,1.0,0.25,,,,1.0,,,104.39232409381664,,13.6875,13.88888888888889,12.625,13.777777777777779,0.2,0.6666666666666666,0.6666666666666666,0.5,0.26666666666666666,0.5,0.5,0.06666666666666667,1.0,1.0,1.0,0.4666666666666667,0.2857142857142857,0.2857142857142857,1.0,,,1.0,,,,,,0.7333333333333333,0.2857142857142857,0.5359033333333334,0.3951,0.8726,0.125,0.25,0.15,,5.128571428571428,25.925,0.0625,2.0,,,,,,,,,1.0,,2.0,1.0,2.0,2.0,,,2.0,,,1.0,,,1.0,0.4,1.0,1.0,,0.5,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1610612762,2024,2023-24,False
1627739-1628374-1628381-1629012-203482,1610612762,"Kris Dunn, Lauri Markkanen, John Collins, Collin Sexton, Kelly Olynyk","Dunn, Markkanen, Collins, Sexton, Olynyk",1627739-1628374-1628381-1629012-203482,UTA,1702.0,3,28.0,-6.0,59.0,59.0,10.0,9.0,118.0,16.0,21.0,5.0,2.0,2.0,2.0,5.0,3.0,10.0,,1.0,7.0,21.0,3.0,2.0,4.0,18.0,27.0,10.0,31.0,6.0,72.0,78.0,5.0,5.0,4.0,2.0,15.0,2.0,3.0,2.0,5.0,2.0,12.0,26.0,10.0,27.0,21.0,7.0,2.0,13.0,9.0,22.0,6.0,3.0,11.0,53.0,7.0,3.0,7.0,15.0,,22.0,10.0,32.0,1.0,4.0,10.0,6.0,6.0,3.0,,4.0,3.0,4.0,2.0,57.0,12.0,10.0,,0.7222222222222222,0.9285714285714286,0.9,0.3225806451612903,0.4,0.3225806451612903,0.6666666666666666,1.0,0.6666666666666666,0.5689655172413793,0.7222222222222222,0.625,0.5901639344262295,0.75,0.6666666666666666,0.5344827586206896,0.07407407407407407,0.2,,0.7142857142857143,0.3333333333333333,0.875,0.3333333333333333,0.7586206896551724,0.3333333333333333,0.6,,0.42857142857142855,0.4444444444444444,0.8333333333333334,0.037037037037037035,99.83548766157462,0.5,14.830508474576272,14.016949152542374,14.05084745762712,13.76271186440678,0.3620689655172414,0.7619047619047619,0.8,0.6875,0.08620689655172414,0.4,0.5,0.1724137931034483,0.3,0.3333333333333333,1.0,0.3620689655172414,0.3333333333333333,0.3333333333333333,0.8571428571428571,0.5555555555555556,0.3333333333333333,0.25,1.0,0.125,,0.5,0.5,0.896551724137931,0.3333333333333333,0.5965275862068965,0.5581625,0.56919375,0.04918032786885246,0.1,0.20833333333333334,0.16666666666666666,3.1333333333333333,25.200000000000003,0.1694915254237288,3.0,5.0,,1.0,1.0,1.0,1.0,3.0,8.0,2.0,,3.0,3.0,6.0,4.0,2.0,2.0,8.0,2.0,1.0,,,0.25,0.75,0.2857142857142857,0.9090909090909091,1.0,1.0,1.0,0.017241379310344827,,,,1.0,0.2,0.1111111111111111,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,1.0,0.03225806451612903,0.047619047619047616,0.1,,,1.0,,,,,,,,,,,,1610612762,2024,2023-24,False
1627739-1628374-1628381-1629012-203903,1610612762,"Kris Dunn, Lauri Markkanen, John Collins, Collin Sexton, Jordan Clarkson","Dunn, Markkanen, Collins, Sexton, Clarkson",1627739-1628374-1628381-1629012-203903,UTA,1079.0,7,18.0,10.0,40.0,41.0,17.0,8.0,81.0,8.0,9.0,2.0,3.0,3.0,6.0,13.0,,4.0,,2.0,6.0,12.0,3.0,3.0,7.0,15.0,24.0,6.0,16.0,9.0,57.0,47.0,3.0,4.0,3.0,2.0,11.0,5.0,10.0,3.0,9.0,7.0,26.0,16.0,14.0,12.0,12.0,6.0,4.0,8.0,4.0,12.0,4.0,,6.0,28.0,3.0,5.0,4.0,6.0,2.0,12.0,8.0,20.0,,8.0,10.0,6.0,10.0,4.0,1.0,,,,,46.0,26.0,17.0,1.0,0.5333333333333333,0.5714285714285714,0.6666666666666666,0.375,0.3333333333333333,0.375,0.625,0.75,0.5,0.6,0.6428571428571429,0.5,0.6333333333333333,0.6875,0.5652173913043478,0.4,0.16666666666666666,0.23076923076923078,1.0,0.6,0.5555555555555556,0.6666666666666666,0.375,0.625,0.47058823529411764,1.0,0.5714285714285714,0.6666666666666666,0.8,0.6666666666666666,,108.10009267840593,,13.075,13.560975609756097,11.925,12.78048780487805,0.225,0.8888888888888888,1.0,0.75,0.325,0.46153846153846156,0.6,0.1,,,,0.3,0.5,0.5454545454545454,0.6666666666666666,0.2857142857142857,0.42857142857142855,0.15789473684210525,1.0,0.10526315789473684,,0.3684210526315789,0.42857142857142855,0.625,0.5,0.5201487499999999,0.5307916666666667,0.4960868421052631,0.09090909090909091,0.14285714285714285,0.19298245614035087,0.45614035087719296,6.116666666666667,25.0125,0.425,13.0,2.0,1.0,2.0,,,1.0,6.0,2.0,2.0,,7.0,4.0,4.0,4.0,,,4.0,1.0,,,,0.3333333333333333,1.0,0.2,0.3333333333333333,0.5,,0.3333333333333333,0.05,0.5,0.5,,1.0,0.5,,,,,1.0,,1.0,3.0,,,,,1.0,,,,,,,,,,,,,1.0,0.0625,0.1111111111111111,,0.3333333333333333,1.0,,0.08333333333333333,,,,,,,,,,,1610612762,2024,2023-24,False
1627739-1628374-1628381-1629659-1630534,1610612762,"Kris Dunn, Lauri Markkanen, John Collins, Talen Horton-Tucker, Ochai Agbaji","Dunn, Markkanen, Collins, Horton-Tucker, Agbaji",1627739-1628374-1628381-1629659-1630534,UTA,418.0,2,7.0,-1.0,14.0,14.0,,2.0,28.0,2.0,2.0,2.0,,,1.0,4.0,1.0,1.0,,,1.0,1.0,,,,4.0,7.0,2.0,2.0,2.0,16.0,17.0,2.0,2.0,,,4.0,,,,,,,2.0,6.0,6.0,1.0,1.0,,1.0,2.0,3.0,1.0,1.0,1.0,8.0,,2.0,2.0,2.0,,4.0,2.0,6.0,1.0,1.0,3.0,3.0,2.0,1.0,,1.0,,1.0,1.0,12.0,,,,0.25,0.3333333333333333,1.0,1.0,,1.0,0.5714285714285714,1.0,,0.7777777777777778,1.0,,0.8,1.0,,0.2222222222222222,,,,0.4,0.6666666666666666,0.4,,0.4,0.6666666666666666,,0.6666666666666666,,,0.5,0.3333333333333333,96.45933014354067,1.0,15.571428571428571,14.285714285714286,15.285714285714286,12.5,0.2222222222222222,1.0,1.0,0.5,0.4444444444444444,0.25,0.25,0.1111111111111111,1.0,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,1.0,,,,,,,,0.4444444444444444,1.0,0.4993722222222222,0.5662,,0.1,0.125,0.25,,6.457142857142857,24.3,,,2.0,1.0,1.0,,,,,2.0,,,1.0,1.0,5.0,2.0,1.0,3.0,6.0,,,,,,0.8333333333333334,,0.6666666666666666,,,,0.1111111111111111,1.0,1.0,,1.0,0.5,,,,,,,,,,1.0,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1610612762,2024,2023-24,False
1627739-1628374-1628381-1629659-203903,1610612762,"Kris Dunn, Lauri Markkanen, John Collins, Talen Horton-Tucker, Jordan Clarkson","Dunn, Markkanen, Collins, Horton-Tucker, Clarkson",1627739-1628374-1628381-1629659-203903,UTA,449.0,1,7.0,-13.0,16.0,15.0,,1.0,31.0,3.0,3.0,,,,2.0,3.0,,3.0,,,2.0,6.0,1.0,,,5.0,7.0,2.0,9.0,,16.0,29.0,,1.0,1.0,,,,,,,,,4.0,6.0,6.0,6.0,2.0,,2.0,2.0,4.0,2.0,,2.0,10.0,2.0,,1.0,1.0,,2.0,2.0,4.0,,4.0,5.0,,,,,,,,,16.0,,,,0.4,0.4,1.0,0.2222222222222222,,0.2222222222222222,0.7142857142857143,,,0.5,,,0.5,,,0.5625,,,,1.0,,0.5,0.3333333333333333,0.6666666666666666,0.2857142857142857,,,0.3333333333333333,,1.0,,99.42093541202672,,14.875,14.066666666666666,13.3125,14.066666666666666,0.1875,1.0,1.0,0.6666666666666666,0.1875,0.6666666666666666,0.6666666666666666,0.1875,,,,0.375,0.3333333333333333,0.3333333333333333,1.0,,0.5,,,,,,,0.75,0.3333333333333333,0.50605,0.48975,,,,,,6.942857142857143,24.766666666666666,,3.0,,,1.0,,,,,,,,1.0,1.0,2.0,2.0,,,2.0,,,,,,1.0,0.3333333333333333,1.0,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2024,2023-24,False
1627739-1628374-1628381-1630534-1641707,1610612762,"Kris Dunn, Lauri Markkanen, John Collins, Ochai Agbaji, Taylor Hendricks","Dunn, Markkanen, Collins, Agbaji, Hendricks",1627739-1628374-1628381-1630534-1641707,UTA,194.0,1,3.0,-3.0,6.0,6.0,,,12.0,1.0,1.0,,,,1.0,1.0,,,,,,2.0,,,,2.0,2.0,,2.0,2.0,6.0,9.0,,,,,,,,,,,,4.0,,,2.0,,,2.0,,2.0,,,1.0,4.0,,,1.0,1.0,1.0,3.0,,3.0,,1.0,2.0,2.0,2.0,1.0,,,,,,6.0,,,,1.0,1.0,,,,,1.0,,,0.5,,,0.6,,,0.5,,,1.0,1.0,,1.0,,1.0,,,,,,1.0,,89.0721649484536,,14.666666666666666,17.666666666666668,14.666666666666666,17.666666666666668,0.25,1.0,1.0,1.0,0.25,1.0,1.0,,,,,0.5,,,,,,,,,,,,0.75,,0.5092875,,,0.2,0.3333333333333333,,,4.55,25.05,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2024,2023-24,False
1627739-1628374-1628381-1630534-203482,1610612762,"Kris Dunn, Lauri Markkanen, John Collins, Ochai Agbaji, Kelly Olynyk","Dunn, Markkanen, Collins, Agbaji, Olynyk",1627739-1628374-1628381-1630534-203482,UTA,373.0,2,6.0,-14.0,12.0,13.0,8.0,3.0,25.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,6.0,1.0,5.0,,1.0,1.0,,1.0,3.0,5.0,1.0,7.0,2.0,11.0,25.0,1.0,1.0,1.0,,2.0,2.0,3.0,1.0,6.0,1.0,8.0,6.0,,3.0,1.0,,,3.0,1.0,4.0,,1.0,1.0,9.0,3.0,1.0,2.0,1.0,,3.0,4.0,7.0,1.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,9.0,8.0,8.0,,1.0,1.0,1.0,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.6,1.0,0.6666666666666666,0.375,0.5,0.3888888888888889,0.4230769230769231,0.5,0.4444444444444444,0.5833333333333334,,,,0.3333333333333333,0.5,0.6666666666666666,0.6,0.5,0.5714285714285714,,,0.5,,,0.14285714285714285,96.51474530831099,,16.0,13.923076923076923,14.166666666666666,12.846153846153847,0.08333333333333333,1.0,1.0,1.0,0.16666666666666666,0.5,0.5,0.5,0.16666666666666666,0.16666666666666666,1.0,0.08333333333333333,,,,,0.5,0.1111111111111111,1.0,0.5555555555555556,0.2,0.1111111111111111,,0.6666666666666666,,0.5160958333333333,0.552,0.5280888888888888,0.08333333333333333,0.2,0.18181818181818182,0.7272727272727273,11.34,23.642857142857142,0.6666666666666666,5.0,,1.0,2.0,,,,,,1.0,1.0,,,3.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,,,0.75,1.0,0.5,,0.6666666666666666,1.0,0.16666666666666666,0.5,0.5,1.0,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1610612762,2024,2023-24,False
