EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,FoulsDrawn,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,FTA,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceFtPoints,PtsUnassisted2s,PtsPutbacks,OffThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefFTReboundPct,OffThreePtReboundPct,OffCorner3ReboundPct,SecondChanceAtRimAccuracy,TwoPtShootingFoulsDrawnPct,DefLongMidRangeReboundPct,PenaltyAtRimFGM,SecondChanceArc3FGA,SecondChanceFG3A,Charge Fouls,OffArc3ReboundPct,DefCorner3ReboundPct,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,LongMidRangeFGM,Fg3aBlocked,LongMidRangeAssists,Charge Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,Blocked3s,BlockedArc3,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,LostBallOutOfBoundsTurnovers,OffLongMidRangeReboundPct,OffensiveGoaltends,SecondChanceArc3FGM,SecondChanceFG3M,StepOutOfBoundsTurnovers,Travels,Transition Take Fouls,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefensiveGoaltends,team_id,year,season,team_vs
1626181-1627826-1629599-1629611-201935,1610612746,"Norman Powell, Ivica Zubac, Amir Coffey, Terance Mann, James Harden","Powell, Zubac, Coffey, Mann, Harden",1626181-1627826-1629599-1629611-201935,LAC,13.0,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2024,2023-24,False
1626181-1627826-1629599-201566-201935,1610612746,"Norman Powell, Ivica Zubac, Amir Coffey, Russell Westbrook, James Harden","Powell, Zubac, Coffey, Westbrook, Harden",1626181-1627826-1629599-201566-201935,LAC,668.0,4,6.0,11.0,3.0,23.0,22.0,17.0,7.0,3.0,45.0,1.0,6.0,2.0,2.0,2.0,6.0,1.0,1.0,3.0,1.0,2.0,4.0,4.0,3.0,3.0,3.0,13.0,5.0,7.0,5.0,26.0,23.0,1.0,3.0,2.0,2.0,8.0,4.0,5.0,5.0,21.0,6.0,9.0,6.0,4.0,4.0,2.0,3.0,3.0,6.0,2.0,1.0,1.0,2.0,15.0,4.0,5.0,6.0,11.0,4.0,15.0,2.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,3.0,2.0,6.0,1.0,2.0,1.0,6.0,2.0,2.0,1.0,1.0,2.0,2.0,24.0,21.0,17.0,1.0,1.0,1.0,0.6,0.7142857142857143,0.8,0.7142857142857143,0.23076923076923078,0.3333333333333333,0.25,0.525,0.3333333333333333,0.6153846153846154,0.5909090909090909,0.3333333333333333,0.7,0.35,0.15384615384615385,0.16666666666666666,0.16666666666666666,0.4,0.8571428571428571,0.4,0.8333333333333334,0.8461538461538461,0.3333333333333333,0.6,0.25,1.0,0.8,0.8333333333333334,0.2,97.0059880239521,1.0,15.695652173913043,13.954545454545455,15.08695652173913,13.636363636363637,0.3,0.16666666666666666,0.2,1.0,0.3,0.3333333333333333,0.4,1.0,0.05,0.15,0.3333333333333333,0.3333333333333333,1.0,0.2,1.0,1.0,0.5,0.6666666666666666,0.15384615384615385,0.15384615384615385,0.5,0.23076923076923078,1.0,0.65,1.0,0.5181025,0.5304,0.5182730769230769,0.09090909090909091,0.2222222222222222,0.07692307692307693,0.8076923076923077,5.923076923076923,24.785714285714285,0.7391304347826086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2024,2023-24,False
1626181-1627826-1629599-201566-202331,1610612746,"Norman Powell, Ivica Zubac, Amir Coffey, Russell Westbrook, Paul George","Powell, Zubac, Coffey, Westbrook, George",1626181-1627826-1629599-201566-202331,LAC,389.0,4,3.0,6.0,2.0,12.0,13.0,4.0,9.0,3.0,25.0,2.0,5.0,1.0,,,3.0,1.0,,1.0,,1.0,1.0,2.0,,1.0,2.0,9.0,1.0,3.0,5.0,12.0,10.0,1.0,2.0,5.0,,1.0,,2.0,5.0,5.0,,3.0,,2.0,1.0,1.0,,1.0,1.0,1.0,,,,3.0,2.0,3.0,,5.0,3.0,8.0,,1.0,,1.0,1.0,,2.0,,,2.0,6.0,,1.0,,6.0,1.0,,,,,,7.0,5.0,4.0,,,,1.0,0.3333333333333333,,0.3333333333333333,0.2222222222222222,0.5,,0.2916666666666667,0.5,,0.42857142857142855,0.8333333333333334,0.5,0.25,0.1111111111111111,0.2,,0.5,,0.2857142857142857,0.6,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,0.6,,92.54498714652956,,14.833333333333334,16.23076923076923,14.0,15.23076923076923,0.4166666666666667,0.4,0.5,,0.25,,,,0.08333333333333333,0.08333333333333333,,,,0.16666666666666666,0.5,0.5,1.0,0.5,,0.3333333333333333,,0.3333333333333333,,0.6666666666666666,0.5,0.5253708333333333,0.5376,0.5265833333333333,0.15384615384615385,0.25,0.4166666666666667,0.4166666666666667,5.4,25.333333333333332,0.3333333333333333,1.0,3.0,4.0,2.0,1.0,2.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2024,2023-24,False
1626181-1627826-1629599-201566-202695,1610612746,"Norman Powell, Ivica Zubac, Amir Coffey, Russell Westbrook, Kawhi Leonard","Powell, Zubac, Coffey, Westbrook, Leonard",1626181-1627826-1629599-201566-202695,LAC,127.0,1,1.0,2.0,2.0,4.0,5.0,,,2.0,9.0,1.0,3.0,2.0,,1.0,1.0,,,1.0,,,,,,,2.0,4.0,,1.0,,4.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,2.0,2.0,4.0,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,0.5,0.5,,0.4,0.5,,0.4,0.5,,0.2,,,,1.0,1.0,0.5,,1.0,0.6666666666666666,0.5,,,,,,102.04724409448819,,14.0,14.2,13.75,14.2,0.6,0.3333333333333333,0.3333333333333333,,0.2,1.0,1.0,,,0.2,,,,,,,,1.0,,,,,,0.8,,0.6249,0.5593,,,,0.5,,2.85,23.2,,1.0,,4.0,2.0,1.0,1.0,2.0,2.0,,,,,,1.0,1.0,1.0,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2024,2023-24,False
1626181-1627826-1629599-201935-202331,1610612746,"Norman Powell, Ivica Zubac, Amir Coffey, James Harden, Paul George","Powell, Zubac, Coffey, Harden, George",1626181-1627826-1629599-201935-202331,LAC,167.0,2,1.0,3.0,-6.0,5.0,5.0,,,,10.0,,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,1.0,3.0,,1.0,2.0,4.0,10.0,,,,,,,,,,2.0,,,1.0,,,1.0,,1.0,,,,1.0,2.0,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,2.0,,,,2.0,,,,,,,4.0,,,,1.0,1.0,,,,,0.3333333333333333,,,0.25,,,0.4,,,0.25,,,,,,,1.0,1.0,,,,,,1.0,,86.22754491017965,,16.4,17.0,16.4,17.0,0.25,,,,0.25,1.0,1.0,1.0,0.25,,,,,0.25,,,,,,,,,,0.5,,0.4782875,,,0.2,,,,9.133333333333333,25.1,,,,,,,,,,,,1.0,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2024,2023-24,False
1626181-1627826-1629599-201935-202695,1610612746,"Norman Powell, Ivica Zubac, Amir Coffey, James Harden, Kawhi Leonard","Powell, Zubac, Coffey, Harden, Leonard",1626181-1627826-1629599-201935-202695,LAC,119.0,1,,2.0,-3.0,4.0,4.0,,,,8.0,,,,,,,,,,,,1.0,2.0,,,,,1.0,2.0,,3.0,6.0,,,,,,,,,,,3.0,,2.0,1.0,,,1.0,1.0,1.0,,,,3.0,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,3.0,,,,,,1.0,0.5,,0.5,,,,0.75,,,0.75,,,1.0,,,,0.5,1.0,,,1.0,,,,,,,,96.80672268907563,,17.25,12.5,17.25,12.5,,,,,,,,,,,,,,1.0,0.5,0.5,1.0,,,,,,,1.0,0.5,0.53025,,,,,,,,27.1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2024,2023-24,False
1626181-1627826-1629611-201566-201935,1610612746,"Norman Powell, Ivica Zubac, Terance Mann, Russell Westbrook, James Harden","Powell, Zubac, Mann, Westbrook, Harden",1626181-1627826-1629611-201566-201935,LAC,298.0,3,,5.0,4.0,10.0,8.0,5.0,5.0,3.0,18.0,3.0,3.0,,2.0,2.0,2.0,,,1.0,,1.0,,2.0,,1.0,5.0,5.0,,3.0,,10.0,6.0,1.0,1.0,2.0,2.0,2.0,,2.0,,4.0,8.0,,,2.0,,,4.0,,4.0,,,2.0,2.0,8.0,,3.0,2.0,5.0,2.0,7.0,,2.0,,2.0,2.0,,4.0,1.0,2.0,1.0,2.0,,,,,,1.0,1.0,,1.0,1.0,8.0,4.0,5.0,,0.8,0.8,,,,,1.0,1.0,1.0,0.625,0.5,0.5,0.625,0.5,0.5,0.375,,,,0.5,0.6666666666666666,,0.6,0.625,0.6666666666666666,,,0.5,1.0,0.6666666666666666,,86.97986577181207,1.0,15.0,18.5,13.2,17.125,0.375,1.0,1.0,0.6666666666666666,0.25,1.0,1.0,1.0,,0.125,,,,0.25,,,,,0.5,0.25,,0.25,,0.75,,0.590725,0.4077,0.639425,,,0.2,0.4,3.12,25.400000000000002,0.5,,,2.0,,2.0,,,,,,,,,,0.6666666666666666,1.0,,,,2.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2024,2023-24,False
1626181-1627826-1629611-201566-202331,1610612746,"Norman Powell, Ivica Zubac, Terance Mann, Russell Westbrook, Paul George","Powell, Zubac, Mann, Westbrook, George",1626181-1627826-1629611-201566-202331,LAC,374.0,3,2.0,6.0,-10.0,14.0,13.0,7.0,2.0,4.0,27.0,2.0,8.0,2.0,3.0,,3.0,,,2.0,,1.0,,2.0,,2.0,2.0,11.0,,4.0,3.0,7.0,17.0,2.0,3.0,4.0,,3.0,,3.0,2.0,2.0,,,,2.0,,2.0,,,,,,,,,4.0,2.0,2.0,5.0,5.0,10.0,,2.0,,1.0,,1.0,2.0,,1.0,3.0,4.0,1.0,,,4.0,,,,,,,3.0,2.0,7.0,,,,,,,,0.18181818181818182,0.6666666666666666,,0.13333333333333333,0.4,,0.20588235294117646,0.4,0.14285714285714285,0.26666666666666666,0.18181818181818182,0.25,,1.0,1.0,0.4444444444444444,0.6666666666666666,0.8,0.38461538461538464,0.5,0.3333333333333333,,1.0,1.0,,103.9572192513369,,17.071428571428573,10.384615384615385,15.5,10.153846153846153,0.5333333333333333,0.25,0.3333333333333333,,0.2,,,,,0.13333333333333333,,,,0.13333333333333333,,,,0.4,0.5,0.16666666666666666,,0.3333333333333333,,0.8,,0.5699366666666666,0.5913,0.626675,0.0625,,0.5714285714285714,0.2857142857142857,3.727272727272727,24.05,0.5,2.0,,4.0,4.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,0.25,,1.0,0.08333333333333333,1.0,,1.0,2.0,,0.5,,0.2,,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2024,2023-24,False
1626181-1627826-1629611-201935-202331,1610612746,"Norman Powell, Ivica Zubac, Terance Mann, James Harden, Paul George","Powell, Zubac, Mann, Harden, George",1626181-1627826-1629611-201935-202331,LAC,1831.0,6,15.0,31.0,12.0,60.0,58.0,15.0,14.0,4.0,118.0,9.0,12.0,4.0,6.0,12.0,20.0,4.0,2.0,7.0,1.0,3.0,5.0,14.0,,2.0,23.0,36.0,7.0,21.0,8.0,75.0,63.0,3.0,4.0,6.0,7.0,11.0,1.0,5.0,1.0,18.0,22.0,15.0,6.0,14.0,5.0,2.0,11.0,5.0,16.0,4.0,1.0,4.0,5.0,37.0,3.0,11.0,6.0,20.0,5.0,25.0,1.0,4.0,,1.0,2.0,3.0,6.0,1.0,2.0,9.0,13.0,2.0,,,11.0,,1.0,,1.0,2.0,2.0,69.0,17.0,14.0,1.0,0.4782608695652174,0.55,0.7142857142857143,0.3333333333333333,0.2,0.3333333333333333,0.6388888888888888,0.75,0.6363636363636364,0.5877192982456141,0.75,0.53125,0.6065573770491803,0.75,0.5294117647058824,0.3684210526315789,0.05555555555555555,,0.1,0.6666666666666666,0.6,0.25,0.9166666666666666,0.7727272727272727,0.20833333333333334,0.6666666666666666,0.14285714285714285,,0.625,0.9,0.045454545454545456,92.80174767886402,1.0,17.55,13.413793103448276,17.383333333333333,12.879310344827585,0.21052631578947367,0.75,0.75,0.4444444444444444,0.3508771929824561,0.6,0.6666666666666666,0.4166666666666667,0.07017543859649122,0.12280701754385964,0.2857142857142857,0.3333333333333333,0.5,0.24561403508771928,0.35714285714285715,0.38461538461538464,0.8,1.0,0.375,0.1875,0.3333333333333333,0.125,,0.5789473684210527,0.35714285714285715,0.5216149122807017,0.62895,0.5555875,0.08333333333333333,,0.08,0.24,6.894444444444444,25.095238095238095,0.25,3.0,,24.0,6.0,2.0,3.0,6.0,4.0,2.0,2.0,5.0,1.0,,1.0,0.16666666666666666,0.2,0.75,0.1282051282051282,1.0,4.0,,,,0.14285714285714285,1.0,,0.6666666666666666,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.09523809523809523,0.14285714285714285,0.07142857142857142,0.5,0.5,1.0,,,,,,,,,,,,,,,,1610612746,2024,2023-24,False
1626181-1627826-1629611-201935-202695,1610612746,"Norman Powell, Ivica Zubac, Terance Mann, James Harden, Kawhi Leonard","Powell, Zubac, Mann, Harden, Leonard",1626181-1627826-1629611-201935-202695,LAC,237.0,1,,4.0,-6.0,7.0,8.0,,5.0,,15.0,1.0,3.0,,,,,1.0,,1.0,,,1.0,1.0,,,2.0,4.0,1.0,2.0,,7.0,13.0,,,,,,,,,,4.0,3.0,,1.0,1.0,1.0,2.0,1.0,3.0,1.0,,1.0,,7.0,,1.0,1.0,3.0,,3.0,,1.0,,,,1.0,1.0,,,1.0,2.0,,,,,,,,,,,7.0,,,,1.0,1.0,1.0,0.5,,0.5,0.5,,,0.5833333333333334,,,0.5833333333333334,,,0.3333333333333333,0.25,0.3333333333333333,,1.0,0.3333333333333333,,1.0,0.5,,,,,,1.0,,91.13924050632912,,17.285714285714285,14.5,17.285714285714285,14.5,0.5,0.3333333333333333,0.5,1.0,,,,,0.16666666666666666,0.16666666666666666,,,,0.16666666666666666,1.0,1.0,1.0,,,,,,,0.8333333333333334,1.0,0.6123666666666666,,,,,,,5.475,24.55,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1610612746,2024,2023-24,False
