EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,FtPoints,LiveBallTurnovers,BadPassTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,LiveBallTurnoverPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimFGM,Corner3FGM,PtsUnassisted3s,Fg2aBlocked,AtRimAssists,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LostBallTurnovers,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3Assists,Corner3PctAssisted,FTDefRebounds,DefFTReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,LostBallSteals,PenaltyTurnovers,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyCorner3FGM,PenaltyCorner3FGA,Offensive Fouls Drawn,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyAtRimFGA,PenaltyFtPoints,OffThreePtRebounds,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyAtRimFrequency,PenaltyAtRimFGM,HeaveAttempts,PenaltyAtRimAccuracy,BlockedAtRim,AtRimPctBlocked,SecondChanceArc3FGA,SecondChanceFG3A,OffCorner3ReboundPct,SecondChanceArc3Frequency,LongMidRangeFGM,SecondChanceFtPoints,LongMidRangePctBlocked,OffLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceArc3FGM,SecondChanceFG3M,LongMidRangeAssists,Travels,Loose Ball Fouls,Offensive Fouls,Defensive 3 Seconds Violations,SecondChanceFg3Pct,LongMidRangePctAssisted,SecondChanceArc3Accuracy,Loose Ball Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,2pt And 1 Free Throw Trips,Technical Free Throw Trips,SelfOReb,Charge Fouls Drawn,SelfORebPct,FTOffRebounds,OffFTReboundPct,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls,Blocked3s,BlockedArc3,SecondChanceAtRimPctAssisted,Fg3aBlocked,DefensiveGoaltends,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,BlockedCorner3,Transition Take Fouls Drawn,BlockedLongMidRange,OffensiveGoaltends,Transition Take Fouls,3SecondViolations,Clear Path Fouls,team_id,year,season,team_vs
1626153-1626179-1628389-1628997-1629130,1610612748,"Delon Wright, Terry Rozier, Bam Adebayo, Caleb Martin, Duncan Robinson","Wright, Rozier, Adebayo, Martin, Robinson",1626153-1626179-1628389-1628997-1629130,MIA,60.0,1,1.0,-2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,96.0,15.5,14.5,15.5,14.5,0.5,0.5,1.0,1.0,1.0,0.5,0.41045,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1626179-1628389-1628997-1629312,1610612748,"Delon Wright, Terry Rozier, Bam Adebayo, Caleb Martin, Haywood Highsmith","Wright, Rozier, Adebayo, Martin, Highsmith",1626153-1626179-1628389-1628997-1629312,MIA,361.0,2,6.0,-4.0,11.0,11.0,10.0,22.0,,2.0,4.0,2.0,4.0,10.0,14.0,2.0,1.0,3.0,1.0,8.0,10.0,0.5,0.5,0.5,0.625,0.625,87.75623268698061,13.636363636363637,19.181818181818183,13.363636363636363,19.181818181818183,,0.5,0.5,0.5,0.5,0.5,0.49091875,7.925,4.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,8.0,2.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,1.0,2.0,2.0,4.0,8.0,4.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.375,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,0.6666666666666666,0.4886375,0.8,27.175,0.36363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1626179-1628389-1628997-1631107,1610612748,"Delon Wright, Terry Rozier, Bam Adebayo, Caleb Martin, Nikola Jovic","Wright, Rozier, Adebayo, Martin, Jovic",1626153-1626179-1628389-1628997-1631107,MIA,36.0,1,1.0,-2.0,2.0,1.0,1.0,3.0,,,,,,1.0,3.0,,,,,,1.0,,,,,0.5,120.0,13.5,9.0,13.5,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1626179-1628389-1628997-1631170,1610612748,"Delon Wright, Terry Rozier, Bam Adebayo, Caleb Martin, Jaime Jaquez Jr.","Wright, Rozier, Adebayo, Martin, Jaquez Jr.",1626153-1626179-1628389-1628997-1631170,MIA,380.0,2,6.0,2.0,12.0,13.0,,25.0,1.0,1.0,5.0,2.0,6.0,10.0,8.0,2.0,1.0,1.0,,2.0,10.0,0.5,0.5,0.3333333333333333,0.5555555555555556,0.5555555555555556,94.73684210526316,12.5,17.692307692307693,12.5,16.615384615384617,0.1111111111111111,0.5555555555555556,0.2,0.25,,0.4444444444444444,0.4911277777777777,9.1,,1.0,1.0,1.0,2.0,,,2.0,3.0,,,,,,2.0,,2.0,1.0,,,6.0,2.0,8.0,9.0,2.0,2.0,,3.0,1.0,1.0,,,,,0.6666666666666666,,0.6666666666666666,,,,0.3333333333333333,0.6666666666666666,1.0,0.8888888888888888,1.0,1.0,1.0,0.1111111111111111,0.2222222222222222,0.5,0.5,,,,0.5,,,25.46666666666667,,,1.0,,,,,0.3333333333333333,,,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.2,0.25,0.2,0.25,0.5,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1626179-1628389-1628997-202710,1610612748,"Delon Wright, Terry Rozier, Bam Adebayo, Caleb Martin, Jimmy Butler","Wright, Rozier, Adebayo, Martin, Butler",1626153-1626179-1628389-1628997-202710,MIA,12.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1626179-1628389-1629130-1629312,1610612748,"Delon Wright, Terry Rozier, Bam Adebayo, Duncan Robinson, Haywood Highsmith","Wright, Rozier, Adebayo, Robinson, Highsmith",1626153-1626179-1628389-1629130-1629312,MIA,73.0,1,1.0,1.0,3.0,3.0,3.0,6.0,,1.0,1.0,1.0,1.0,5.0,4.0,,,1.0,,3.0,5.0,,,1.0,1.25,1.25,118.35616438356165,6.333333333333333,18.0,6.333333333333333,16.666666666666668,,0.5,1.0,1.0,,0.5,0.495575,12.1,,,1.0,,,,,1.0,1.0,,,,,,2.0,3.0,,,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,,,0.5,1.0,,0.5,,,,0.5,,,,,,,,,,23.3,,,1.0,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1626179-1628389-1629312-1631107,1610612748,"Delon Wright, Terry Rozier, Bam Adebayo, Haywood Highsmith, Nikola Jovic","Wright, Rozier, Adebayo, Highsmith, Jovic",1626153-1626179-1628389-1629312-1631107,MIA,2.0,1,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,720.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1626179-1628389-1629312-1631170,1610612748,"Delon Wright, Terry Rozier, Bam Adebayo, Haywood Highsmith, Jaime Jaquez Jr.","Wright, Rozier, Adebayo, Highsmith, Jaquez Jr.",1626153-1626179-1628389-1629312-1631170,MIA,548.0,2,9.0,-2.0,20.0,19.0,3.0,39.0,3.0,5.0,6.0,7.0,11.0,20.0,22.0,8.0,4.0,6.0,3.0,14.0,18.0,0.5714285714285714,0.6666666666666666,0.6363636363636364,0.625,0.625,102.48175182481752,12.45,15.736842105263158,12.45,15.526315789473685,0.1875,0.375,0.8333333333333334,0.8333333333333334,0.6,0.5,0.495640625,8.618181818181817,8.0,1.0,1.0,2.0,4.0,,,2.0,5.0,4.0,6.0,,,8.0,6.0,6.0,4.0,2.0,2.0,2.0,2.0,4.0,6.0,7.0,,,,5.0,3.0,4.0,8.0,8.0,1.0,1.0,0.4,,0.4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3125,0.8,0.6666666666666666,0.75,,0.5,1.0,0.0625,0.25,0.5,0.5,1.0,,,0.5,0.39668333333333333,0.4,26.580000000000002,0.4,,5.0,4.0,1.0,,,1.0,,,2.0,,,,1.0,1.0,1.0,1.0,,1.0,,,0.3333333333333333,0.16666666666666666,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,1.0,1.0,0.6136,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1626179-1628389-1629312-1631306,1610612748,"Delon Wright, Terry Rozier, Bam Adebayo, Haywood Highsmith, Cole Swider","Wright, Rozier, Adebayo, Highsmith, Swider",1626153-1626179-1628389-1629312-1631306,MIA,80.0,1,1.0,-3.0,3.0,3.0,,6.0,,1.0,2.0,1.0,2.0,2.0,5.0,,,,,,2.0,,,0.5,0.5,0.5,108.0,12.666666666666666,14.0,12.666666666666666,14.0,,1.0,0.5,1.0,,,0.44535,8.3,,1.0,,,,,,,,,,,,,2.0,,,,,,,1.0,1.0,2.0,1.0,2.0,,2.0,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
1626153-1626179-1628389-1629312-202710,1610612748,"Delon Wright, Terry Rozier, Bam Adebayo, Haywood Highsmith, Jimmy Butler","Wright, Rozier, Adebayo, Highsmith, Butler",1626153-1626179-1628389-1629312-202710,MIA,157.0,1,3.0,-1.0,5.0,5.0,5.0,10.0,,,,,,3.0,4.0,,,1.0,,3.0,3.0,,,,0.5,0.5,91.71974522292993,16.2,15.2,16.2,13.8,,,,,,1.0,0.5688,,5.0,,2.0,,1.0,,1.0,1.0,3.0,,,1.0,3.0,3.0,,3.0,1.0,,1.0,,2.0,,2.0,2.0,,,,2.0,,1.0,3.0,5.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.5,0.5,1.0,,0.6666666666666666,0.6666666666666666,,0.5,1.0,0.6666666666666666,0.3333333333333333,,,,0.3333333333333333,,,0.5688,1.0,23.53333333333333,1.0,,2.0,,1.0,,,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,0.5,0.5,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2024,2023-24,True
