EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,FG2M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Arc3Assists,AtRimAssists,OffTwoPtRebounds,DefThreePtRebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyDefPoss,PenaltyAtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted3s,ShortMidRangeAssists,LongMidRangeAssists,FTDefRebounds,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,LongMidRangePctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonShootingPenaltyNonTakeFouls,SecondChanceFtPoints,Fg3aBlocked,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Charge Fouls Drawn,OffensiveGoaltends,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,SecondChanceArc3FGA,BlockedLongMidRange,SecondChanceArc3Frequency,Travels,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,BlockedArc3,DefensiveGoaltends,Corner3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,OffFTReboundPct,3pt And 1 Free Throw Trips,3SecondViolations,Transition Take Fouls,HeaveAttempts,Defensive 3 Seconds Violations,Transition Take Fouls Drawn,team_id,year,season,team_vs
1626167-1627741-1627783-1629614-1630167,1610612754,"Myles Turner, Buddy Hield, Pascal Siakam, Andrew Nembhard, Obi Toppin","Turner, Hield, Siakam, Nembhard, Toppin",1626167-1627741-1627783-1629614-1630167,IND,72.0,1,1.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.5,0.5,1.5,0.6666666666666666,1.0,1.0,1.0,0.5,1.0,1.0,80.0,19.0,17.0,14.5,17.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.6486999999999999,1.0,0.3,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2024,2023-24,True
1626167-1627741-1627783-1629614-1630169,1610612754,"Myles Turner, Buddy Hield, Pascal Siakam, Andrew Nembhard, Tyrese Haliburton","Turner, Hield, Siakam, Nembhard, Haliburton",1626167-1627741-1627783-1629614-1630169,IND,327.0,1,5.0,-8.0,11.0,12.0,3.0,23.0,6.0,,,,,1.0,10.0,1.0,1.0,11.0,19.0,,,2.0,3.0,1.0,1.0,2.0,,5.0,,1.0,3.0,3.0,6.0,,,1.0,1.0,,1.0,0.4090909090909091,0.5,0.4583333333333333,0.5,0.09090909090909091,1.0,,0.75,0.42857142857142855,,,101.28440366972477,17.181818181818183,11.5,17.181818181818183,11.5,0.5454545454545454,,,,,0.09090909090909091,,,,0.6363636363636364,0.5154636363636363,0.18181818181818182,7.49,25.6,4.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,9.0,2.0,4.0,0.3333333333333333,0.5,0.3,0.5,0.25,0.25,0.25,0.2,0.3333333333333333,1.0,0.42857142857142855,0.6666666666666666,0.5,0.3333333333333333,1.0,0.6666666666666666,0.2,0.3333333333333333,0.5,0.5,0.36363636363636365,0.25,0.25,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.6182,0.504725,0.08333333333333333,0.09090909090909091,0.18181818181818182,0.36363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2024,2023-24,True
1626167-1627741-1627783-1629614-1630174,1610612754,"Myles Turner, Buddy Hield, Pascal Siakam, Andrew Nembhard, Aaron Nesmith","Turner, Hield, Siakam, Nembhard, Nesmith",1626167-1627741-1627783-1629614-1630174,IND,3003.0,7,50.0,-5.0,104.0,103.0,6.0,207.0,22.0,5.0,7.0,,,23.0,56.0,14.0,30.0,134.0,139.0,,,8.0,36.0,23.0,12.0,30.0,5.0,72.0,2.0,14.0,26.0,7.0,33.0,12.0,21.0,0.8571428571428571,0.4666666666666667,,0.4666666666666667,0.6511627906976745,0.6666666666666666,0.6822916666666666,0.6666666666666666,0.3488372093023256,0.6363636363636364,0.125,0.6944444444444444,0.1891891891891892,0.14285714285714285,0.5833333333333334,99.26073926073927,15.5,13.504854368932039,15.278846153846153,13.145631067961165,0.2558139534883721,0.08139534883720931,0.7142857142857143,0.7142857142857143,1.0,0.26744186046511625,,,,0.6046511627906976,0.5234552325581395,0.05970149253731343,8.266071428571427,25.60666666666667,23.0,14.0,3.0,4.0,3.0,8.0,16.0,9.0,35.0,22.0,4.0,6.0,6.0,8.0,31.0,36.0,34.0,4.0,9.0,1.0,18.0,7.0,7.0,5.0,11.0,1.0,6.0,5.0,6.0,5.0,15.0,1.0,4.0,20.0,25.0,8.0,126.0,31.0,23.0,0.5142857142857142,0.5454545454545454,0.625,0.6666666666666666,0.75,0.75,0.8157894736842105,0.017857142857142856,,0.4,0.23809523809523808,0.7857142857142857,0.125,0.375,0.5,0.8888888888888888,0.027777777777777776,0.6363636363636364,0.6363636363636364,0.5,0.18604651162790697,0.5,0.5333333333333333,0.391304347826087,0.391304347826087,0.7777777777777778,0.6666666666666666,0.75,0.25,0.391304347826087,0.57738,0.5312958333333333,0.08695652173913043,0.12903225806451613,0.23134328358208955,0.22115384615384615,15.0,1.0,13.0,18.0,1.0,1.0,1.0,3.0,2.0,4.0,13.0,6.0,8.0,3.0,1.0,1.0,1.0,9.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,4.0,8.0,1.0,4.0,1.0,4.0,9.0,3.0,4.0,0.5,0.0625,1.0,0.2,0.8333333333333334,0.6,0.3333333333333333,0.20930232558139536,0.7222222222222222,0.7222222222222222,0.6153846153846154,0.375,0.6666666666666666,0.3333333333333333,0.08333333333333333,1.0,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2024,2023-24,True
1626167-1627741-1627783-1629614-1631097,1610612754,"Myles Turner, Buddy Hield, Pascal Siakam, Andrew Nembhard, Bennedict Mathurin","Turner, Hield, Siakam, Nembhard, Mathurin",1626167-1627741-1627783-1629614-1631097,IND,251.0,2,4.0,6.0,11.0,11.0,1.0,22.0,4.0,,,,,3.0,7.0,1.0,3.0,13.0,7.0,,,2.0,,3.0,,3.0,,6.0,,4.0,5.0,,5.0,,1.0,,0.3333333333333333,,0.3333333333333333,0.65,1.0,0.65,1.0,0.3,0.6666666666666666,,0.7142857142857143,,,0.75,126.21513944223106,10.181818181818182,12.636363636363637,9.636363636363637,12.181818181818182,0.4,,,,,0.3,,,,0.7,0.5990949999999999,0.15384615384615385,5.742857142857143,25.633333333333336,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,,1.0,1.0,1.0,2.0,2.0,6.0,4.0,,1.0,1.0,3.0,,3.0,,1.0,,1.0,,,,,,,,,,11.0,2.0,4.0,0.6,0.6,0.7142857142857143,1.0,0.5,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.25,,,1.0,,,0.5,,,0.75,1.0,1.0,0.1,1.0,1.0,0.3333333333333333,0.3333333333333333,,1.0,1.0,0.6666666666666666,0.3333333333333333,0.7345,0.6521666666666667,,,0.15384615384615385,0.36363636363636365,8.0,1.0,1.0,2.0,,,,1.0,,1.0,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.2,0.5,0.5,,,1.0,0.5,,,0.3333333333333333,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2024,2023-24,True
1626167-1627741-1627783-1629614-1641767,1610612754,"Myles Turner, Buddy Hield, Pascal Siakam, Andrew Nembhard, Ben Sheppard","Turner, Hield, Siakam, Nembhard, Sheppard",1626167-1627741-1627783-1629614-1641767,IND,274.0,2,5.0,-5.0,9.0,10.0,,19.0,1.0,,,,,2.0,6.0,,2.0,7.0,12.0,,,,,2.0,,2.0,,4.0,,,4.0,,4.0,1.0,2.0,,,,,0.375,,0.3888888888888889,,0.25,,,1.0,,,,99.85401459854015,16.88888888888889,12.2,16.88888888888889,12.2,0.125,,,,,0.25,,,,0.375,0.4734125,,6.5,26.6,2.0,1.0,,,1.0,,1.0,,3.0,1.0,,,1.0,2.0,2.0,4.0,2.0,,,,2.0,,,,3.0,,,,,,,,,1.0,2.0,1.0,7.0,2.0,2.0,0.6666666666666666,0.6666666666666666,0.5,,0.5,0.5,0.5,,,,,1.0,,,,1.0,,1.0,1.0,,0.125,,,,,,,,0.5,,,0.4762,0.1111111111111111,0.14285714285714285,0.2857142857142857,0.2222222222222222,,1.0,2.0,4.0,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.5,0.5,0.5,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2024,2023-24,True
1626167-1627741-1627783-1629614-204456,1610612754,"Myles Turner, Buddy Hield, Pascal Siakam, Andrew Nembhard, T.J. McConnell","Turner, Hield, Siakam, Nembhard, McConnell",1626167-1627741-1627783-1629614-204456,IND,31.0,1,1.0,2.0,2.0,1.0,1.0,3.0,1.0,,,,,,1.0,,,2.0,,,,2.0,,,,,,,,,1.0,1.0,2.0,,,,,,,,,0.5,1.0,,,,1.0,1.0,,,139.3548387096774,6.5,18.0,6.5,18.0,1.0,,,,,,,,,1.0,0.5293,1.0,2.8,,2.0,,,,1.0,,,,,2.0,,,,1.0,2.0,,,,,,,,,1.0,1.0,,,,,,1.0,,1.0,1.0,2.0,,,2.0,2.0,,,,,,,0.5,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,,0.5293,,,1.0,1.0,,,,,,,,,,,2.0,,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2024,2023-24,True
1626167-1627741-1627783-1630169-1630174,1610612754,"Myles Turner, Buddy Hield, Pascal Siakam, Tyrese Haliburton, Aaron Nesmith","Turner, Hield, Siakam, Haliburton, Nesmith",1626167-1627741-1627783-1630169-1630174,IND,2680.0,3,45.0,-25.0,95.0,96.0,8.0,191.0,33.0,1.0,5.0,,1.0,20.0,68.0,10.0,25.0,113.0,138.0,,1.0,12.0,27.0,20.0,9.0,24.0,1.0,57.0,5.0,12.0,29.0,13.0,42.0,8.0,12.0,0.9,0.4,,0.4,0.5161290322580645,0.6,0.5485436893203883,0.6,0.26881720430107525,0.631578947368421,0.3333333333333333,0.6046511627906976,0.2653061224489796,0.36363636363636365,0.75,102.6268656716418,16.28421052631579,11.802083333333334,16.13684210526316,10.979166666666666,0.3548387096774194,0.053763440860215055,0.2,0.2,1.0,0.21505376344086022,0.1,,,0.6236559139784946,0.5266397849462365,0.10619469026548672,6.104411764705882,25.76,22.0,21.0,5.0,8.0,5.0,4.0,7.0,9.0,33.0,17.0,6.0,9.0,6.0,12.0,26.0,30.0,36.0,12.0,9.0,9.0,15.0,8.0,12.0,8.0,14.0,4.0,7.0,1.0,3.0,2.0,7.0,1.0,2.0,21.0,23.0,8.0,101.0,26.0,22.0,0.45454545454545453,0.5555555555555556,0.4852941176470588,0.6666666666666666,0.5,0.5625,0.6190476190476191,0.1323529411764706,0.12121212121212122,0.42857142857142855,0.23529411764705882,0.5833333333333334,0.36363636363636365,0.3333333333333333,0.3333333333333333,0.5909090909090909,0.1,0.6363636363636364,0.7241379310344828,0.5714285714285714,0.07526881720430108,0.5714285714285714,0.5714285714285714,0.45,0.47368421052631576,0.8888888888888888,0.8,0.625,0.3125,0.45,0.5551916666666666,0.48865,0.08163265306122448,0.1095890410958904,0.23008849557522124,0.23157894736842105,12.0,4.0,8.0,28.0,,1.0,2.0,3.0,2.0,4.0,8.0,3.0,2.0,1.0,3.0,6.0,1.0,4.0,1.0,,,,1.0,1.0,3.0,,5.0,7.0,,2.0,,5.0,7.0,4.0,5.0,0.5,,1.0,0.15,1.0,0.5,0.5714285714285714,0.3010752688172043,0.2857142857142857,0.34782608695652173,0.25,0.25,,0.8,0.0625,,0.1875,0.6666666666666666,3.0,,1.0,1.0,2.0,2.0,1.0,0.04,0.17857142857142858,0.05,0.25,,,,,,,,,,,,,,,,,,,,,1610612754,2024,2023-24,True
1626167-1627741-1627783-1630169-1631097,1610612754,"Myles Turner, Buddy Hield, Pascal Siakam, Tyrese Haliburton, Bennedict Mathurin","Turner, Hield, Siakam, Haliburton, Mathurin",1626167-1627741-1627783-1630169-1631097,IND,4.0,1,,-2.0,,1.0,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2024,2023-24,True
1626167-1627741-1627783-1630169-1641767,1610612754,"Myles Turner, Buddy Hield, Pascal Siakam, Tyrese Haliburton, Ben Sheppard","Turner, Hield, Siakam, Haliburton, Sheppard",1626167-1627741-1627783-1630169-1641767,IND,80.0,1,1.0,6.0,3.0,2.0,,5.0,1.0,,,,,,2.0,,,6.0,,,,,,,,1.0,,2.0,,,2.0,,2.0,,,,,,,1.0,,1.0,,,,,1.0,,,,90.0,12.0,22.0,12.0,22.0,0.5,,,,,,,,,0.5,0.43425,,3.55,,,1.0,,,,,,,2.0,2.0,,,,,,2.0,2.0,,,,1.0,,1.0,,2.0,,,,,,,,,1.0,2.0,1.0,6.0,,,0.5,0.5,1.0,,,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2024,2023-24,True
1626167-1627741-1627783-1630174-1641767,1610612754,"Myles Turner, Buddy Hield, Pascal Siakam, Aaron Nesmith, Ben Sheppard","Turner, Hield, Siakam, Nesmith, Sheppard",1626167-1627741-1627783-1630174-1641767,IND,165.0,1,3.0,2.0,5.0,5.0,,10.0,,,,,,3.0,1.0,2.0,3.0,9.0,7.0,,,,6.0,3.0,2.0,2.0,,6.0,,1.0,2.0,,2.0,,2.0,1.0,0.6666666666666666,,0.6666666666666666,1.0,,0.9,,0.75,1.0,,1.0,,,,87.27272727272727,14.2,18.8,14.2,18.8,,,,,,0.75,,,,0.75,0.533,,17.5,24.766666666666666,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,2.0,,2.0,,,2.0,,,1.0,,,,,,1.0,,,1.0,2.0,1.0,9.0,,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,,0.25,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,,,,0.6666666666666666,,,0.2,0.5,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2024,2023-24,True
