EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,Arc3FGM,Arc3FGA,FG3M,FG3A,Points,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,FirstChancePoints,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,BadPassSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,PenaltyFg3Pct,Fg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,LongMidRangeFGM,SecondChanceArc3FGA,FtPoints,SecondChanceFG3A,PtsUnassisted2s,ShortMidRangeAssists,LongMidRangeAssists,FTDefRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,BlockedShortMidRange,RecoveredBlocks,Defensive 3 Seconds Violations,LiveBallTurnoverPct,DefFTReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,SecondChanceFG2M,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,HeaveAttempts,BadPassOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,SecondChancePointsPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Charge Fouls Drawn,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Charge Fouls,Loose Ball Fouls Drawn,OffThreePtRebounds,OffThreePtReboundPct,OffCorner3ReboundPct,SecondChanceTurnovers,Offensive Fouls Drawn,AtRimPctBlocked,OffArc3ReboundPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,DefensiveGoaltends,StepOutOfBoundsTurnovers,PenaltyCorner3FGM,PtsPutbacks,PenaltyCorner3Accuracy,Corner3PctBlocked,SecondChanceFtPoints,Travels,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1628365-1628371-1628976-1630591-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Wendell Carter Jr., Jalen Suggs, Joe Ingles","Fultz, Isaac, Carter Jr., Suggs, Ingles",1628365-1628371-1628976-1630591-204060,ORL,54.0,2,1.0,3.0,3,2.0,5,1.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.5,0.5,0.75,0.75,1.0,1.0,1.0,1.0,133.33333333333334,6.0,18.0,6.0,18.0,1.0,0.5,0.5,1.0,0.5,0.5541,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,True
1628365-1628371-1629021-1630175-1630532,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Cole Anthony, Franz Wagner","Fultz, Isaac, Wagner, Anthony, Wagner",1628365-1628371-1629021-1630175-1630532,ORL,428.0,3,7.0,-8.0,15,16.0,31,4.0,7.0,5.0,9.0,17.0,6.0,7.0,4.0,1.0,2.0,3.0,1.0,,17.0,0.5555555555555556,0.5555555555555556,0.5666666666666667,0.5666666666666667,0.6,0.25,0.4,,104.29906542056074,15.066666666666666,12.625,15.0,12.4375,0.4666666666666667,0.5714285714285714,0.5714285714285714,0.7333333333333333,0.5714285714285714,0.49293333333333333,25.955555555555556,10.0,13.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,6.0,1.0,6.0,25.0,1.0,4.0,3.0,7.0,9.0,2.0,9.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,9.0,10.0,1.0,1.0,1.0,0.6,0.42857142857142855,0.16666666666666666,0.4090909090909091,0.4090909090909091,0.16666666666666666,0.3333333333333333,0.2,1.0,0.125,1.0,0.5,1.0,0.13333333333333333,0.5,0.5,1.0,0.2,0.06666666666666667,0.13333333333333333,0.5,0.5,1.0,0.5,1.0,0.09090909090909091,0.09090909090909091,0.5454545454545454,0.5,0.5907,0.46035000000000004,0.5294117647058824,5.6499999999999995,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,True
1628365-1628371-1629021-1630175-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Cole Anthony, Joe Ingles","Fultz, Isaac, Wagner, Anthony, Ingles",1628365-1628371-1629021-1630175-204060,ORL,1146.0,6,19.0,-13.0,35,33.0,68,3.0,15.0,3.0,15.0,28.0,9.0,15.0,3.0,3.0,11.0,14.0,3.0,1.0,28.0,0.2,0.2,0.4032258064516129,0.42424242424242425,0.4838709677419355,0.42857142857142855,0.625,,85.44502617801047,16.65714285714286,17.060606060606062,16.4,16.363636363636363,0.4838709677419355,0.2,0.2,0.7419354838709677,0.2,0.5116032258064516,26.246666666666666,,,2.0,4.0,8.0,2.0,,4.0,4.0,,,,,,8.0,16.0,41.0,2.0,,,,,12.0,,,6.0,,6.0,,,3.0,12.0,3.0,7.0,3.0,2.0,1.0,5.0,,3.0,7.0,,3.0,2.0,3.0,,,,0.75,0.75,,,0.5,,,,,0.375,0.7777777777777778,0.15,,0.5,0.8333333333333334,0.25806451612903225,0.5,0.5,0.75,0.12903225806451613,0.12903225806451613,,,,,,0.6666666666666666,,,,,0.50475,,,7.0625,,3.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,7.0,4.0,2.0,1.0,1.0,1.0,0.8,1.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.05,0.3333333333333333,0.75,0.75,0.6666666666666666,0.25,0.25,1.0,0.3333333333333333,0.06060606060606061,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,True
1628365-1628371-1629021-1630532-1630591,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Franz Wagner, Jalen Suggs","Fultz, Isaac, Wagner, Wagner, Suggs",1628365-1628371-1629021-1630532-1630591,ORL,474.0,3,8.0,-3.0,16,16.0,32,1.0,3.0,1.0,5.0,16.0,,2.0,1.0,2.0,7.0,9.0,1.0,,14.0,0.2,0.25,0.4090909090909091,0.5357142857142857,0.45454545454545453,0.6666666666666666,0.6,1.0,97.21518987341771,14.0,15.625,13.8125,13.625,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.8181818181818182,0.5,0.61409,28.080000000000002,11.0,12.0,1.0,2.0,4.0,2.0,4.0,2.0,,,2.0,2.0,1.0,3.0,3.0,6.0,19.0,2.0,4.0,1.0,5.0,11.0,4.0,3.0,,2.0,1.0,3.0,1.0,,1.0,7.0,2.0,4.0,2.0,1.0,2.0,4.0,3.0,2.0,3.0,,,,,11.0,11.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.2,0.5,0.3888888888888889,0.5,,,0.6666666666666666,0.5714285714285714,0.3333333333333333,,,0.6,0.36363636363636365,0.5,0.5,0.5,0.18181818181818182,,0.18181818181818182,,,,1.0,1.0,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.73715,0.65355,0.6875,3.75,0.6875,1.0,,,7.0,,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,6.0,8.0,3.0,,,,0.5,1.0,1.0,,1.0,0.5,0.16666666666666666,,0.5,0.5,1.0,,,,,0.23076923076923078,0.375,1.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,True
1628365-1628371-1629021-1630532-1631094,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Franz Wagner, Paolo Banchero","Fultz, Isaac, Wagner, Wagner, Banchero",1628365-1628371-1629021-1630532-1631094,ORL,29.0,1,,-3.0,1,2.0,3,,,,,,,,,,1.0,1.0,,,,,,,,,,,,148.9655172413793,9.0,10.0,9.0,10.0,,,,,,,,,2.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,True
1628365-1628371-1629021-1630591-1631094,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Jalen Suggs, Paolo Banchero","Fultz, Isaac, Wagner, Suggs, Banchero",1628365-1628371-1629021-1630591-1631094,ORL,32.0,1,1.0,,1,1.0,2,,,,1.0,,,,,,1.0,1.0,,,,,,,,1.0,,0.5,,90.0,11.0,21.0,11.0,6.0,,,,1.0,,0.4197,22.4,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,True
1628365-1628371-1629021-1630591-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Jalen Suggs, Joe Ingles","Fultz, Isaac, Wagner, Suggs, Ingles",1628365-1628371-1629021-1630591-204060,ORL,160.0,1,3.0,-6.0,4,5.0,9,1.0,1.0,1.0,1.0,7.0,,1.0,1.0,,,1.0,,,4.0,1.0,1.0,0.625,0.5833333333333334,0.25,,,,81.0,23.25,13.4,22.75,13.4,0.25,1.0,1.0,0.25,1.0,0.4572125,24.5,,,1.0,,,,,3.0,,,,,,,1.0,3.0,13.0,,,,,,2.0,3.0,,1.0,1.0,2.0,1.0,,,5.0,1.0,,1.0,,,,,2.0,2.0,,,,,,,,1.0,1.0,1.0,,0.3333333333333333,,,,,0.5,,0.5,,,,,,,,0.75,,,,,,1.0,,,,,,0.56085,,,10.1,,1.0,,1.0,2.0,1.0,,1.0,,,,,,,,,2.0,4.0,2.0,,,,,,,0.5,,,,,0.3333333333333333,0.3333333333333333,1.0,,,,1.0,0.3333333333333333,0.4,,,,3.0,,,,,,,,,,,1.5,1.5,,,,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,True
1628365-1628371-1629021-1631094-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Paolo Banchero, Joe Ingles","Fultz, Isaac, Wagner, Banchero, Ingles",1628365-1628371-1629021-1631094-204060,ORL,46.0,1,1.0,-1.0,2,2.0,4,,,,,2.0,,,,,,,,,2.0,,,1.0,1.0,,,,,125.21739130434781,12.0,11.0,12.0,11.0,,,,,,0.4481,,,,,,,,,1.0,,,,,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,12.1,,1.0,,,,,2.0,,,,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,True
1628365-1628371-1630175-1631094-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Cole Anthony, Paolo Banchero, Joe Ingles","Fultz, Isaac, Anthony, Banchero, Ingles",1628365-1628371-1630175-1631094-204060,ORL,44.0,1,1.0,2.0,2,2.0,4,,,,,5.0,,,,,,,,,5.0,,,1.0,1.25,,,,,130.9090909090909,7.5,14.5,7.5,14.5,,,,,,0.4426,,,,,,,,,1.0,,,,,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,6.0,,1.0,,,3.0,,2.0,,,,,,,,,,2.0,3.0,2.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,True
1628365-1628371-1630532-1630591-1631094,1610612753,"Markelle Fultz, Jonathan Isaac, Franz Wagner, Jalen Suggs, Paolo Banchero","Fultz, Isaac, Wagner, Suggs, Banchero",1628365-1628371-1630532-1630591-1631094,ORL,14.0,2,,2.0,2,,2,,1.0,,1.0,2.0,,,,,,,,,2.0,,,0.5,0.5,0.5,,,,205.71428571428572,7.0,,7.0,,0.5,,,0.5,,0.2932,78.4,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,6.4,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,True
